Company name,Ticker,Sector,Industry
"111, Inc.",YI,Health Care,Medical/Nursing Services
"1347 Property Insurance Holdings, Inc.",PIH,Finance,Property-Casualty Insurers
"1347 Property Insurance Holdings, Inc.",PIHPP,Finance,Property-Casualty Insurers
180 Degree Capital Corp.,TURN,Finance,Finance/Investors Services
"1-800 FLOWERS.COM, Inc.",FLWS,Consumer Services,Other Specialty Stores
"1895 Bancorp of Wisconsin, Inc.",BCOW,Finance,Banks
1st Constitution Bancorp (NJ),FCCY,Finance,Savings Institutions
1st Source Corporation,SRCE,Finance,Major Banks
"21Vianet Group, Inc.",VNET,Technology,"Computer Software: Programming, Data Processing"
"2U, Inc.",TWOU,Technology,Computer Software: Prepackaged Software
"360 Finance, Inc.",QFIN,Finance,Finance: Consumer Services
"3PEA International, Inc.",TPNL,Miscellaneous,Business Services
"51job, Inc.",JOBS,Technology,Diversified Commercial Services
8x8 Inc,EGHT,Technology,EDP Services
"AAON, Inc.",AAON,Capital Goods,Industrial Machinery/Components
Abeona Therapeutics Inc.,ABEO,Health Care,Major Pharmaceuticals
Abeona Therapeutics Inc.,ABEOW,Health Care,Major Pharmaceuticals
Ability Inc.,ABIL,Consumer Durables,Telecommunications Equipment
"ABIOMED, Inc.",ABMD,Health Care,Medical/Dental Instruments
Abraxas Petroleum Corporation,AXAS,Energy,Oil & Gas Production
AC Immune SA,ACIU,Health Care,Major Pharmaceuticals
"Acacia Communications, Inc.",ACIA,Technology,Semiconductors
Acacia Research Corporation,ACTG,Miscellaneous,Multi-Sector Companies
"Acadia Healthcare Company, Inc.",ACHC,Health Care,Medical Specialities
ACADIA Pharmaceuticals Inc.,ACAD,Health Care,Major Pharmaceuticals
Acamar Partners Acquisition Corp.,ACAMU,Finance,Business Services
"Acasti Pharma, Inc.",ACST,Health Care,Major Pharmaceuticals
"Accelerate Diagnostics, Inc.",AXDX,Capital Goods,Biotechnology: Laboratory Analytical Instruments
Acceleron Pharma Inc.,XLRN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
Accuray Incorporated,ARAY,Health Care,Medical/Dental Instruments
"AcelRx Pharmaceuticals, Inc.",ACRX,Health Care,Major Pharmaceuticals
Acer Therapeutics Inc.,ACER,Health Care,Major Pharmaceuticals
Aceto Corporation,ACET,Health Care,Other Pharmaceuticals
"Achaogen, Inc.",AKAO,Health Care,Major Pharmaceuticals
"Achieve Life Sciences, Inc. ",ACHV,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
"Achillion Pharmaceuticals, Inc.",ACHN,Health Care,Major Pharmaceuticals
"ACI Worldwide, Inc.",ACIW,Technology,Computer Software: Prepackaged Software
"Aclaris Therapeutics, Inc.",ACRS,Health Care,Major Pharmaceuticals
"ACM Research, Inc.",ACMR,Technology,Industrial Machinery/Components
ACNB Corporation,ACNB,Finance,Major Banks
"Acorda Therapeutics, Inc.",ACOR,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
"Activision Blizzard, Inc",ATVI,Technology,Computer Software: Prepackaged Software
"Adamas Pharmaceuticals, Inc.",ADMS,Health Care,Major Pharmaceuticals
Adamis Pharmaceuticals Corporation,ADMP,Health Care,Major Pharmaceuticals
Adaptimmune Therapeutics plc,ADAP,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
Addus HomeCare Corporation,ADUS,Health Care,Medical/Nursing Services
"ADDvantage Technologies Group, Inc.",AEY,Consumer Services,Office Equipment/Supplies/Services
Adesto Technologies Corporation,IOTS,Technology,Semiconductors
"Adial Pharmaceuticals, Inc",ADIL,Health Care,Major Pharmaceuticals
"Adial Pharmaceuticals, Inc",ADILW,Health Care,Major Pharmaceuticals
ADMA Biologics Inc,ADMA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
Adobe Inc.,ADBE,Technology,Computer Software: Prepackaged Software
"ADOMANI, Inc.",ADOM,Capital Goods,Auto Parts:O.E.M.
"ADTRAN, Inc.",ADTN,Public Utilities,Telecommunications Equipment
"Aduro Biotech, Inc.",ADRO,Health Care,Major Pharmaceuticals
"Advanced Emissions Solutions, Inc.",ADES,Basic Industries,Major Chemicals
"Advanced Energy Industries, Inc.",AEIS,Capital Goods,Industrial Machinery/Components
"Advanced Micro Devices, Inc.",AMD,Technology,Semiconductors
"Advaxis, Inc.",ADXS,Health Care,Major Pharmaceuticals
"Adverum Biotechnologies, Inc.",ADVM,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AdvisorShares Dorsey Wright Micro-Cap ETF,DWMC,n/a,n/a
AdvisorShares Dorsey Wright Short ETF,DWSH,n/a,n/a
AdvisorShares Sabretooth ETF,BKCH,n/a,n/a
AdvisorShares Vice ETF,ACT,n/a,n/a
Aegion Corp,AEGN,Basic Industries,Water Supply
"Aeglea BioTherapeutics, Inc.",AGLE,Health Care,Major Pharmaceuticals
Aehr Test Systems,AEHR,Capital Goods,Electrical Products
"Aemetis, Inc",AMTX,Basic Industries,Major Chemicals
"Aerie Pharmaceuticals, Inc.",AERI,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
"AeroVironment, Inc.",AVAV,Capital Goods,Aerospace
"Aerpio Pharmaceuticals, Inc.",ARPO,Health Care,Major Pharmaceuticals
AEterna Zentaris Inc.,AEZS,Health Care,Major Pharmaceuticals
"Aethlon Medical, Inc.",AEMD,Capital Goods,Biotechnology: Laboratory Analytical Instruments
"Aevi Genomic Medicine, Inc.",GNMX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
Affimed N.V.,AFMD,Health Care,Major Pharmaceuticals
Agenus Inc.,AGEN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
