date,1. open,5. volume,2. high,4. close,3. low
1999-11-18,45.5,44739900.0,50.0,44.0,40.0
1999-11-19,42.94,10897100.0,43.0,40.38,39.81
1999-11-22,41.31,4705200.0,44.0,44.0,40.06
1999-11-23,42.5,4274400.0,43.63,40.25,40.25
1999-11-24,40.13,3464400.0,41.94,41.06,40.0
1999-11-26,40.88,1237100.0,41.5,41.19,40.75
1999-11-29,41.0,2914700.0,42.44,42.13,40.56
1999-11-30,42.0,3083000.0,42.94,42.19,40.94
1999-12-01,42.19,2115400.0,43.44,42.94,41.88
1999-12-02,43.75,2195900.0,45.0,44.13,43.19
1999-12-03,44.94,2175700.0,45.69,44.5,44.31
1999-12-06,45.25,1610000.0,46.44,45.75,45.19
1999-12-07,45.75,1585100.0,46.0,45.25,44.31
1999-12-08,45.25,1350400.0,45.63,45.19,44.81
1999-12-09,45.25,1451400.0,45.94,45.81,45.25
1999-12-10,45.69,1190800.0,45.94,44.75,44.75
1999-12-13,45.5,2875900.0,46.25,45.5,44.38
1999-12-14,45.38,1665900.0,45.38,43.0,42.06
1999-12-15,42.0,2087100.0,42.31,41.69,41.0
1999-12-16,42.0,1848300.0,48.0,47.25,42.0
1999-12-17,46.38,2652400.0,47.12,45.94,45.44
1999-12-20,46.25,856100.0,46.94,46.88,46.13
1999-12-21,46.69,1616200.0,46.69,46.63,46.0
1999-12-22,46.63,1363200.0,47.56,47.56,46.31
1999-12-23,47.5,1544700.0,50.0,49.75,47.44
1999-12-27,49.94,1451800.0,53.19,52.81,49.56
1999-12-28,54.25,2546500.0,61.5,61.5,53.94
1999-12-29,63.0,7524000.0,79.06,72.0,62.94
1999-12-30,76.0,4771900.0,80.0,79.25,74.25
1999-12-31,79.5,1381400.0,79.94,77.31,76.25
2000-01-03,78.75,3343600.0,78.94,72.0,67.38
2000-01-04,68.13,3408500.0,68.88,66.5,64.75
2000-01-05,66.25,4119200.0,66.31,61.56,61.31
2000-01-06,61.63,1812900.0,62.0,60.0,58.13
2000-01-07,59.06,2016900.0,65.94,65.0,59.0
2000-01-10,69.0,1536800.0,69.63,68.94,67.56
2000-01-11,68.94,1327600.0,68.94,68.0,66.44
2000-01-12,68.0,1022800.0,68.0,66.63,64.06
2000-01-13,68.38,811400.0,69.81,67.63,66.0
2000-01-14,67.0,942000.0,69.38,68.38,67.0
2000-01-18,68.63,1503400.0,72.88,71.5,68.13
2000-01-19,72.0,1877600.0,72.0,70.0,69.81
2000-01-20,70.75,1436300.0,70.88,68.13,67.5
2000-01-21,69.13,1372200.0,69.38,68.75,66.44
2000-01-24,68.5,1499200.0,71.81,68.5,68.0
2000-01-25,68.75,825300.0,69.63,67.69,66.44
2000-01-26,67.94,731300.0,69.25,68.31,67.88
2000-01-27,69.88,621300.0,70.5,68.44,67.25
2000-01-28,69.5,1151100.0,69.5,68.06,67.44
2000-01-31,67.56,744200.0,67.63,66.19,64.75
2000-02-01,66.25,1004500.0,72.0,71.0,66.25
2000-02-02,71.88,1391400.0,76.5,76.5,71.56
2000-02-03,75.19,1272900.0,77.75,77.75,73.81
2000-02-04,77.75,819500.0,77.75,76.25,75.0
2000-02-07,77.69,911500.0,80.0,79.5,76.25
2000-02-08,80.75,836700.0,82.19,79.0,78.25
2000-02-09,77.63,846100.0,78.69,75.75,75.69
2000-02-10,77.0,763100.0,78.81,76.69,75.31
2000-02-11,76.5,537700.0,76.81,75.38,74.81
2000-02-14,75.25,599200.0,76.94,76.44,74.81
2000-02-15,76.56,1443200.0,83.0,81.88,76.56
2000-02-16,80.0,1288800.0,81.88,81.0,79.38
2000-02-17,81.0,675900.0,97.0,97.0,77.63
2000-02-18,88.5,2904200.0,95.88,93.75,88.06
2000-02-22,96.0,1593700.0,97.38,91.5,90.0
2000-02-23,91.63,1208900.0,100.0,99.0,91.63
2000-02-24,101.4,2114700.0,115.4,106.8,100.5
2000-02-25,103.4,1465100.0,113.9,108.1,103.3
2000-02-28,108.1,1198400.0,109.2,101.0,98.25
2000-02-29,101.4,685300.0,105.2,103.9,101.3
2000-03-01,104.5,742400.0,111.8,109.1,104.3
2000-03-02,109.9,850000.0,110.0,105.3,102.5
2000-03-03,104.9,869700.0,111.8,108.0,104.9
2000-03-06,113.0,4072600.0,162.0,159.0,112.5
2000-03-07,156.0,5515600.0,161.0,142.0,131.0
2000-03-08,146.0,2828300.0,152.0,152.0,140.0
