date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,69.25,1114300.0,69.5,66.25,65.0
1998-01-05,64.38,1662600.0,65.38,62.94,62.63
1998-01-06,61.75,1793000.0,65.13,64.0,61.25
1998-01-07,62.75,984900.0,64.88,63.81,62.75
1998-01-08,64.0,1359300.0,65.97,64.25,62.75
1998-01-09,64.5,1893500.0,65.25,61.88,60.75
1998-01-12,60.0,2391400.0,64.13,62.5,59.0
1998-01-13,64.75,3297200.0,68.25,65.78,64.56
1998-01-14,66.75,1667400.0,67.88,67.0,66.0
1998-01-15,65.25,1744800.0,66.75,65.34,64.0
1998-01-16,66.0,1143000.0,67.5,65.25,65.0
1998-01-20,65.25,2193500.0,65.25,64.5,63.0
1998-01-21,64.13,1146000.0,64.5,63.88,62.88
1998-01-22,63.38,696100.0,63.94,62.31,62.25
1998-01-23,62.75,668800.0,62.94,61.75,61.13
1998-01-26,62.38,658400.0,62.5,59.88,59.5
1998-01-27,60.25,944600.0,61.25,60.06,60.0
1998-01-28,60.63,1852600.0,60.63,58.06,57.81
1998-01-29,58.0,2073800.0,62.25,61.88,57.63
1998-01-30,63.0,2042600.0,64.5,63.38,61.25
1998-02-02,64.25,1534900.0,66.0,66.0,63.88
1998-02-03,65.75,2122100.0,66.13,64.84,63.88
1998-02-04,64.63,857600.0,64.63,63.69,63.19
1998-02-05,64.38,1152900.0,64.88,62.25,61.63
1998-02-06,62.13,899200.0,64.63,64.25,61.63
1998-02-09,64.75,1034200.0,65.25,63.89,63.0
1998-02-10,64.0,1299100.0,65.5,64.63,63.0
1998-02-11,64.63,746900.0,65.75,65.09,64.0
1998-02-12,64.25,566200.0,65.25,65.13,63.75
1998-02-13,64.75,828500.0,66.75,64.75,64.38
1998-02-17,64.5,714200.0,65.0,64.25,63.5
1998-02-18,64.25,707700.0,64.75,63.5,62.63
1998-02-19,63.5,842900.0,65.63,64.03,63.25
1998-02-20,64.5,783700.0,64.75,64.13,61.63
1998-02-23,64.38,699200.0,64.63,63.28,62.94
1998-02-24,63.88,891300.0,63.88,61.53,61.13
1998-02-25,61.88,1256400.0,62.25,61.72,60.88
1998-02-26,62.0,2485000.0,68.5,68.13,61.75
1998-02-27,68.25,6248000.0,74.25,73.19,67.75
1998-03-02,74.75,2032500.0,74.94,73.19,71.75
1998-03-03,72.0,1386400.0,74.0,72.94,70.75
1998-03-04,71.75,1431300.0,72.5,71.63,70.75
1998-03-05,69.5,3319500.0,75.63,75.31,68.75
1998-03-06,76.75,3256900.0,81.75,80.56,75.75
1998-03-09,81.75,4139200.0,88.5,87.81,81.63
1998-03-10,90.5,6576200.0,92.38,87.5,84.31
1998-03-11,85.38,4137200.0,86.75,84.25,83.0
1998-03-12,83.88,4361300.0,85.0,82.0,81.25
1998-03-13,82.25,1965100.0,85.0,83.38,81.5
1998-03-16,85.5,1559200.0,86.5,85.0,84.5
1998-03-17,85.13,896900.0,85.25,83.84,82.63
1998-03-18,82.5,2597700.0,86.88,86.28,81.63
1998-03-19,85.75,2109100.0,87.44,83.88,83.88
1998-03-20,84.38,1127600.0,84.94,83.16,82.75
1998-03-23,82.5,676000.0,83.81,83.0,82.38
1998-03-24,82.75,1771400.0,87.0,86.81,82.75
1998-03-25,88.13,2385200.0,89.94,88.25,87.38
1998-03-26,88.13,1738800.0,90.5,88.94,87.34
1998-03-27,90.19,1808000.0,92.19,90.63,88.75
1998-03-30,91.63,1922900.0,94.25,93.06,91.13
1998-03-31,94.0,1196000.0,94.13,92.44,91.75
1998-04-01,92.44,2437800.0,97.81,97.81,90.88
1998-04-02,99.0,4061800.0,104.6,103.9,98.5
1998-04-03,105.1,3659100.0,105.8,102.4,101.0
1998-04-06,103.8,2945700.0,103.8,99.06,98.5
1998-04-07,98.5,5116300.0,98.5,93.25,91.75
1998-04-08,94.0,5835900.0,98.75,97.25,93.88
1998-04-09,107.8,11049200.0,114.8,114.5,106.0
1998-04-13,112.5,7128400.0,116.6,113.0,108.8
1998-04-14,112.8,4871400.0,118.3,114.9,111.6
1998-04-15,116.8,2535900.0,118.6,118.2,115.8
1998-04-16,119.0,9185200.0,129.6,128.8,117.0
1998-04-17,123.6,5872000.0,125.5,121.5,120.1
