date,1. open,5. volume,2. high,4. close,3. low
2005-09-27,21.05,2576944.0,21.4,19.3,19.1
2005-09-28,19.3,15409920.0,20.53,20.5,19.2
2005-09-29,20.4,2890617.0,20.58,20.21,20.1
2005-09-30,20.26,8373458.0,21.05,21.01,20.18
2005-10-03,20.9,2836193.0,21.75,21.5,20.9
2005-10-04,21.44,4742091.0,22.5,22.16,21.44
2005-10-05,22.1,2424397.0,22.31,22.2,21.75
2005-10-06,22.6,4327614.0,23.0,22.58,22.4
2005-10-07,22.25,2019839.0,22.6,22.15,21.8
2005-10-10,22.28,1444236.0,22.29,22.21,22.1
2005-10-11,22.26,2049866.0,22.3,21.98,21.8
2005-10-12,21.9,2447453.0,22.05,21.76,21.64
2005-10-13,21.7,1424397.0,21.8,21.71,21.4
2005-10-14,21.85,2380161.0,22.4,22.27,21.85
2005-10-17,22.15,1243968.0,22.22,22.08,21.85
2005-10-18,22.06,4867292.0,22.3,21.49,21.35
2005-10-19,21.37,3930295.0,21.6,21.38,20.85
2005-10-20,21.35,1718231.0,21.48,21.02,20.85
2005-10-21,21.02,2458445.0,22.42,21.96,21.01
2005-10-24,22.01,1364075.0,22.36,22.31,21.95
2005-10-25,22.25,1172386.0,22.54,22.0,21.7
2005-10-26,22.0,1456300.0,22.45,22.32,21.99
2005-10-27,22.26,941555.0,22.56,22.56,22.2
2005-10-28,22.55,4329491.0,23.9,23.9,22.37
2005-10-31,24.0,1893834.0,25.35,24.68,24.0
2005-11-01,24.7,2323861.0,25.08,25.02,24.69
2005-11-02,25.23,7694906.0,28.1,27.55,25.2
2005-11-03,27.6,2429223.0,28.1,27.87,27.6
2005-11-04,27.8,2446649.0,29.0,28.8,27.77
2005-11-07,29.0,1305362.0,29.43,28.93,28.38
2005-11-08,29.1,3739946.0,29.7,29.43,29.0
2005-11-09,29.43,3518231.0,31.3,31.3,29.43
2005-11-10,31.15,5224933.0,33.96,32.8,31.15
2005-11-11,33.05,3173995.0,33.95,33.35,33.0
2005-11-14,33.5,2839678.0,34.5,33.75,33.45
2005-11-15,33.75,2035389.0,33.88,33.88,32.84
2005-11-16,33.51,1454692.0,33.85,33.6,33.4
2005-11-17,33.4,2712869.0,34.55,34.32,33.23
2005-11-18,34.35,1420375.0,34.35,33.05,32.86
2005-11-21,32.75,1705898.0,32.75,31.99,31.26
2005-11-22,31.99,1131099.0,32.74,32.5,31.6
2005-11-23,32.2,1799732.0,33.68,33.04,32.16
2005-11-25,33.01,371314.0,33.2,32.85,32.72
2005-11-28,33.05,1690080.0,33.85,33.41,33.0
2005-11-29,33.3,1149062.0,33.5,32.9,32.63
2005-11-30,32.9,1850134.0,33.8,33.59,32.9
2005-12-01,34.0,996783.0,34.94,34.28,34.0
2005-12-02,34.4,1149062.0,34.65,34.28,34.25
2005-12-05,32.08,3014477.0,32.64,32.35,31.38
2005-12-06,32.04,2119571.0,33.75,33.62,32.04
2005-12-07,33.4,2101609.0,34.18,33.95,33.3
2005-12-08,33.95,1028686.0,33.98,33.66,33.53
2005-12-09,33.41,1098391.0,34.07,33.88,33.35
2005-12-12,33.8,1130027.0,33.91,33.76,33.71
2005-12-13,33.76,607775.0,33.8,33.25,33.05
2005-12-14,33.4,424665.0,33.69,33.54,33.25
2005-12-15,33.64,841555.0,33.88,33.63,33.35
2005-12-16,33.68,4415282.0,35.5,35.15,33.68
2005-12-19,35.18,1011796.0,35.45,35.25,34.89
2005-12-20,35.25,1513405.0,35.46,35.32,34.02
2005-12-21,35.38,1879893.0,37.0,36.51,35.33
2005-12-22,36.6,664343.0,37.05,36.83,36.35
2005-12-23,36.73,1321716.0,38.0,37.73,36.73
2005-12-27,37.99,1277212.0,38.8,37.46,37.2
2005-12-28,38.0,878820.0,38.15,37.45,36.35
2005-12-29,37.45,508847.0,37.95,37.38,37.19
2005-12-30,37.55,463271.0,37.58,37.14,36.92
2006-01-03,37.2,2716354.0,38.28,37.45,36.85
2006-01-04,37.7,5169973.0,40.6,39.2,37.7
2006-01-05,39.18,852279.0,39.71,39.71,38.91
2006-01-06,39.71,936193.0,39.71,39.0,38.14
2006-01-09,38.8,591957.0,38.88,38.61,38.5
2006-01-10,38.61,512869.0,38.71,37.8,37.4
2006-01-11,37.8,2612064.0,37.8,34.8,34.65
2006-01-12,33.0,5385791.0,35.35,34.99,32.96
2006-01-13,35.0,1968365.0,35.42,34.05,33.31
2006-01-17,33.55,6303485.0,33.55,30.0,29.62
2006-01-18,29.1,4755228.0,31.16,31.0,28.88
2006-01-19,30.8,2298123.0,31.24,30.39,29.34
2006-01-20,30.28,2114477.0,30.28,29.24,28.6
2006-01-23,29.49,1423056.0,30.05,29.42,29.15
2006-01-24,29.9,1739678.0,31.47,31.02,29.75
2006-01-25,31.15,2242091.0,31.51,31.0,30.75
2006-01-26,31.05,841019.0,31.25,30.25,30.0
2006-01-27,30.2,1390349.0,30.2,28.89,28.3
2006-01-30,28.73,2459249.0,29.58,29.0,28.73
2006-01-31,29.17,1315282.0,30.41,29.34,29.01
2006-02-01,29.1,2189812.0,29.62,29.38,28.35
2006-02-02,29.38,2056836.0,30.2,30.01,29.0
2006-02-03,30.01,1065952.0,30.01,29.55,29.2
2006-02-06,29.2,1476944.0,29.7,29.27,28.66
2006-02-07,29.35,1313137.0,29.45,29.0,28.62
2006-02-08,29.1,2331635.0,30.76,29.99,29.01
2006-02-09,29.95,1188740.0,30.48,30.35,29.55
2006-02-10,30.5,1082306.0,30.5,30.0,29.74
2006-02-13,31.05,2214477.0,32.1,31.17,30.55
2006-02-14,31.5,1792493.0,32.9,32.8,31.41
2006-02-15,32.55,2165684.0,34.2,33.75,32.35
2006-02-16,33.66,655228.0,33.9,33.38,33.2
2006-02-17,32.8,847185.0,33.39,33.15,32.33
2006-02-21,32.5,2071582.0,33.65,32.5,31.3
2006-02-22,33.53,1708311.0,34.3,33.64,33.3
2006-02-23,34.2,2483378.0,35.02,34.65,34.07
2006-02-24,33.97,1753351.0,33.98,33.52,33.18
2006-02-27,33.9,1443700.0,34.07,33.35,33.1
2006-02-28,33.3,1094370.0,33.45,33.09,32.6
2006-03-01,33.09,3081769.0,34.06,32.8,32.6
2006-03-02,32.8,1041823.0,33.2,32.9,32.6
2006-03-03,32.65,2401609.0,32.67,31.87,31.32
2006-03-06,31.9,1826542.0,32.0,31.81,31.38
2006-03-07,32.1,2190080.0,32.8,32.41,32.0
2006-03-08,32.41,1854960.0,33.89,33.46,32.1
2006-03-09,33.4,739678.0,33.41,32.85,32.6
2006-03-10,32.95,3012869.0,33.53,33.26,32.93
2006-03-13,33.25,1335925.0,33.7,33.05,32.78
2006-03-14,33.1,1444772.0,34.55,34.1,33.1
2006-03-15,34.28,2906434.0,35.5,35.07,34.2
2006-03-16,35.2,1595979.0,35.35,35.17,34.8
2006-03-17,35.15,1144504.0,35.43,35.43,34.85
2006-03-20,35.45,2654960.0,37.43,36.95,35.43
2006-03-21,37.95,4107239.0,39.07,36.98,36.63
2006-03-22,37.07,5746649.0,39.99,39.6,37.07
2006-03-23,39.61,5390885.0,39.9,39.11,38.52
2006-03-24,39.2,2274531.0,39.5,38.71,38.56
2006-03-27,39.1,3239410.0,39.77,39.17,39.07
2006-03-28,39.18,3512601.0,39.2,37.57,37.43
2006-03-29,37.57,2247721.0,37.95,37.71,36.71
2006-03-30,37.95,1736193.0,38.22,37.49,37.2
2006-03-31,37.7,5752011.0,40.02,40.0,37.6
2006-04-03,40.0,2773727.0,40.0,39.6,39.24
2006-04-04,40.0,2390885.0,40.6,39.48,39.3
2006-04-05,39.5,1252815.0,39.73,39.48,38.97
2006-04-06,39.6,4504021.0,40.33,40.15,39.1
2006-04-07,40.3,3709383.0,40.75,39.65,39.45
2006-04-10,39.65,3420375.0,39.65,37.92,37.35
2006-04-11,37.95,3175335.0,38.3,37.5,37.0
2006-04-12,37.5,2941555.0,37.97,37.5,36.76
2006-04-13,37.44,3568097.0,39.13,38.63,37.38
2006-04-17,38.4,5883646.0,38.6,36.9,36.53
2006-04-18,37.1,4802949.0,37.6,37.05,36.84
2006-04-19,37.3,5594638.0,39.45,38.44,37.2
2006-04-20,38.65,3097587.0,39.64,38.0,37.9
2006-04-21,38.27,4897855.0,38.27,37.73,36.19
2006-04-24,39.25,8402949.0,42.3,41.9,39.04
2006-04-25,42.0,6052815.0,43.9,42.73,41.0
2006-04-26,42.4,2991153.0,43.26,42.99,41.57
2006-04-27,42.99,3664075.0,44.7,44.3,42.56
2006-04-28,44.3,3130027.0,44.38,43.26,42.8
2006-05-01,43.19,2670509.0,44.0,43.68,43.19
2006-05-02,45.1,5336729.0,46.9,45.4,45.0
2006-05-03,46.2,5646113.0,48.38,47.8,45.77
2006-05-04,48.4,5637534.0,49.2,48.05,47.75
2006-05-05,48.05,1754155.0,48.84,48.59,47.94
2006-05-08,49.1,3686863.0,49.8,47.3,46.48
2006-05-09,48.25,8641287.0,52.13,51.63,48.05
2006-05-10,51.73,4527346.0,52.18,50.1,49.35
2006-05-11,49.25,3029223.0,49.89,49.12,48.0
2006-05-12,48.75,1738606.0,49.97,48.02,47.8
2006-05-15,48.85,3254692.0,49.95,49.75,48.74
2006-05-16,49.5,2024933.0,49.6,47.85,47.53
2006-05-17,47.5,2830563.0,47.55,46.63,45.79
2006-05-18,46.75,2274799.0,47.54,46.9,46.65
2006-05-19,47.4,4321716.0,48.48,47.4,46.85
2006-05-22,47.4,3854692.0,47.5,47.0,45.76
2006-05-23,47.06,2848525.0,47.25,45.19,45.09
2006-05-24,45.3,4654155.0,45.36,43.82,42.76
2006-05-25,44.25,1760858.0,44.78,43.9,43.4
2006-05-26,44.35,4821180.0,46.7,46.37,44.35
2006-05-30,46.0,2706971.0,46.12,44.61,43.85
2006-05-31,45.0,4916354.0,47.3,46.7,45.0
2006-06-01,45.68,5622788.0,46.85,46.25,45.55
2006-06-02,46.26,3268633.0,46.81,45.85,45.25
2006-06-05,45.45,3372654.0,46.59,44.58,44.1
2006-06-06,45.02,3842895.0,46.29,46.28,44.55
2006-06-07,46.5,4686595.0,47.63,46.89,46.04
2006-06-08,47.0,5468633.0,47.3,47.18,45.6
2006-06-09,47.18,2232708.0,49.1,47.82,47.18
2006-06-12,47.6,6684987.0,47.6,44.25,43.5
2006-06-13,44.15,11104290.0,44.52,41.55,41.0
2006-06-14,41.8,6829491.0,44.17,42.49,41.29
