date,1. open,5. volume,2. high,4. close,3. low
2001-11-29,40.2,123700.0,43.4,41.7,40.15
2001-11-30,41.7,55100.0,42.85,42.85,41.65
2001-12-03,42.7,42500.0,42.7,41.35,41.35
2001-12-04,41.35,31800.0,41.35,39.7,39.7
2001-12-05,40.3,199400.0,44.35,44.0,40.3
2001-12-06,44.2,52400.0,44.2,43.72,43.71
2001-12-07,44.0,71700.0,44.0,44.0,43.4
2001-12-10,43.9,39700.0,43.92,43.85,43.76
2001-12-11,43.8,126200.0,44.13,43.76,43.76
2001-12-12,43.75,38200.0,43.75,42.3,42.11
2001-12-13,42.25,37900.0,42.8,41.9,41.9
2001-12-14,41.85,77800.0,41.85,40.89,40.55
2001-12-17,40.99,35400.0,42.0,41.0,40.99
2001-12-18,41.05,33800.0,41.6,41.0,41.0
2001-12-19,41.0,52600.0,41.05,41.05,40.74
2001-12-20,41.2,32400.0,42.69,42.3,41.2
2001-12-21,42.55,219800.0,45.9,45.34,42.5
2001-12-24,45.3,16900.0,46.05,45.8,45.2
2001-12-26,45.9,126000.0,46.96,46.0,45.8
2001-12-27,47.25,116400.0,47.65,46.95,46.2
2001-12-28,47.2,98500.0,47.2,47.05,46.9
2001-12-31,47.1,85300.0,49.75,49.75,46.7
2002-01-02,48.5,44100.0,48.5,47.78,47.65
2002-01-03,47.71,29900.0,47.71,45.3,45.3
2002-01-04,45.6,115500.0,45.6,42.5,41.0
2002-01-07,42.5,200500.0,43.1,41.8,39.85
2002-01-08,41.55,147400.0,41.8,41.1,40.5
2002-01-09,41.15,20000.0,41.6,41.2,41.1
2002-01-10,41.2,72100.0,42.4,42.1,41.2
2002-01-11,43.0,113600.0,44.25,43.5,42.95
2002-01-14,43.5,76900.0,43.7,42.9,42.9
2002-01-15,44.25,343400.0,46.35,46.01,44.25
2002-01-16,45.93,175400.0,47.35,46.9,45.5
2002-01-17,47.0,14300.0,47.8,47.2,47.0
2002-01-18,47.1,23500.0,48.0,47.3,46.7
2002-01-22,47.31,43600.0,47.31,46.7,45.7
2002-01-23,47.15,12900.0,47.15,46.9,46.7
2002-01-24,47.0,41700.0,47.2,46.25,46.0
2002-01-25,46.4,29600.0,47.3,46.9,45.95
2002-01-28,47.7,25100.0,47.7,46.3,45.78
2002-01-29,46.35,9100.0,46.6,46.36,46.3
2002-01-30,46.4,22600.0,46.7,46.65,46.1
2002-01-31,46.75,12200.0,47.1,46.85,46.45
2002-02-01,47.2,3000.0,47.2,47.1,46.95
2002-02-04,47.0,4400.0,47.0,46.33,46.3
2002-02-05,46.15,13100.0,46.15,45.89,45.85
2002-02-06,45.79,18100.0,45.8,45.7,45.5
2002-02-07,44.5,72000.0,44.85,44.7,43.8
2002-02-08,44.65,23700.0,44.85,44.8,44.5
2002-02-11,44.7,7200.0,45.5,45.4,44.6
2002-02-12,45.5,4700.0,46.2,46.2,45.5
2002-02-13,46.0,24700.0,46.1,45.0,44.9
2002-02-14,45.1,19500.0,45.1,44.65,44.4
2002-02-15,44.6,5700.0,44.6,44.6,44.5
2002-02-19,44.7,3300.0,44.79,44.5,44.45
2002-02-20,45.75,29500.0,45.75,44.2,43.9
2002-02-21,44.0,44100.0,44.38,44.38,43.8
2002-02-22,44.38,15200.0,44.95,44.9,44.38
2002-02-25,44.8,8600.0,45.3,45.0,44.8
2002-02-26,45.1,29600.0,45.3,45.1,45.0
2002-02-27,45.15,42400.0,45.6,45.1,44.95
2002-02-28,45.2,7500.0,45.2,44.8,44.5
2002-03-01,44.8,73000.0,44.8,43.9,43.55
2002-03-04,43.8,43100.0,44.2,43.9,43.55
2002-03-05,43.9,89700.0,43.9,43.7,43.2
2002-03-06,43.6,167000.0,43.99,43.6,43.35
2002-03-07,41.5,4510100.0,42.2,40.9,40.8
2002-03-08,41.01,1045000.0,41.59,41.5,40.52
2002-03-11,41.5,1049200.0,42.2,41.99,41.0
2002-03-12,41.95,552600.0,41.95,41.8,41.4
2002-03-13,41.5,259300.0,41.85,41.7,41.5
2002-03-14,43.2,901800.0,43.2,43.1,41.9
2002-03-15,43.1,574400.0,44.45,44.35,42.85
2002-03-18,44.0,431900.0,44.31,44.25,43.75
2002-03-19,44.15,309800.0,45.1,45.0,44.0
2002-03-20,45.0,188400.0,45.0,44.56,44.48
2002-03-21,44.6,174200.0,44.6,44.5,43.8
2002-03-22,44.35,305500.0,44.53,44.25,44.15
2002-03-25,44.0,145800.0,44.4,44.05,43.75
2002-03-26,44.0,312300.0,45.0,45.0,44.0
2002-03-27,45.1,119200.0,45.1,45.05,44.95
2002-03-28,45.1,337700.0,46.05,46.0,45.1
2002-04-01,46.08,174900.0,46.08,46.01,45.62
2002-04-02,46.0,672800.0,46.0,45.0,44.86
2002-04-03,45.0,398500.0,45.0,43.85,43.69
2002-04-04,43.85,200700.0,44.2,43.98,43.8
2002-04-05,44.25,161200.0,44.5,44.5,44.1
2002-04-08,44.5,170300.0,45.0,45.0,43.95
2002-04-09,45.15,198200.0,46.75,46.7,45.15
2002-04-10,46.7,277800.0,47.75,47.75,46.7
2002-04-11,47.63,179100.0,48.0,47.71,47.4
2002-04-12,47.6,261600.0,47.85,47.6,47.4
2002-04-15,48.3,322800.0,48.7,48.2,47.9
2002-04-16,48.3,272800.0,48.75,48.65,48.3
2002-04-17,48.7,59200.0,49.2,49.0,48.5
2002-04-18,49.0,235800.0,49.2,49.08,48.0
2002-04-19,49.2,280500.0,50.05,50.0,49.2
2002-04-22,50.25,198300.0,50.25,49.9,49.65
2002-04-23,49.9,265200.0,51.0,51.0,49.8
2002-04-24,51.15,238300.0,51.55,51.35,51.15
2002-04-25,54.5,1264800.0,57.5,57.5,54.35
2002-04-26,57.4,351400.0,57.4,56.75,56.1
2002-04-29,56.9,174900.0,57.4,56.3,56.0
2002-04-30,56.3,368500.0,59.2,59.2,56.3
2002-05-01,59.6,439400.0,60.2,59.1,58.62
2002-05-02,59.1,61800.0,59.25,58.9,58.62
2002-05-03,59.1,109800.0,59.15,58.89,58.8
2002-05-06,58.8,134000.0,59.15,58.5,58.4
2002-05-07,58.5,196300.0,60.9,60.38,58.5
2002-05-08,60.38,215200.0,60.9,59.95,59.44
2002-05-09,59.9,137000.0,59.95,59.3,59.11
2002-05-10,59.25,140800.0,59.3,58.91,58.9
2002-05-13,58.8,116800.0,58.8,58.61,58.14
2002-05-14,58.6,187500.0,60.9,60.41,58.6
2002-05-15,60.55,200800.0,62.19,61.86,60.55
2002-05-16,61.86,170000.0,62.0,61.31,61.01
2002-05-17,61.4,75600.0,61.5,61.09,60.9
2002-05-20,61.15,110600.0,61.49,61.45,61.05
2002-05-21,61.46,327100.0,61.5,59.55,59.2
2002-05-22,60.4,1429700.0,61.01,60.08,57.5
2002-05-23,58.6,2031400.0,59.15,59.04,56.26
2002-05-24,58.95,192500.0,60.55,59.4,58.0
2002-05-28,59.3,273800.0,59.3,58.1,57.5
2002-05-29,58.0,324200.0,58.1,56.25,56.18
2002-05-30,55.75,376300.0,55.9,54.9,54.8
2002-05-31,54.9,509400.0,58.45,57.8,54.9
2002-06-03,57.8,375000.0,58.71,58.45,56.94
2002-06-04,58.38,440400.0,59.4,58.87,57.81
