date,1. open,5. volume,2. high,4. close,3. low
2013-01-02,34.92,13767900.0,35.4,35.12,34.1
2013-01-03,35.0,16739300.0,35.0,34.83,34.16
2013-01-04,34.62,21372100.0,34.89,34.3908,34.25
2013-01-07,34.15,17897100.0,35.45,34.46,34.15
2013-01-08,34.29,17863300.0,34.64,33.71,33.36
2013-01-09,33.61,18800400.0,33.95,33.9,33.61
2013-01-10,33.66,15658100.0,34.0,34.0,33.33
2013-01-11,33.59,11191500.0,33.9,33.85,33.35
2013-01-14,34.01,11584900.0,34.25,34.09,33.8
2013-01-15,33.71,13040200.0,34.72,34.6,33.71
2013-01-16,34.47,16512700.0,35.54,35.54,34.45
2013-01-17,35.75,14424800.0,36.7,36.42,35.75
2013-01-18,36.43,17842200.0,37.32,37.32,36.04
2013-01-22,36.98,15809700.0,37.25,36.42,35.93
2013-01-23,36.91,10981600.0,37.84,37.8,36.5
2013-01-24,37.79,11327100.0,38.52,37.46,37.23
2013-01-25,37.52,8934600.0,37.84,37.6,36.64
2013-01-28,37.65,7140100.0,37.87,36.89,36.71
2013-01-29,36.71,8838500.0,37.46,37.31,36.25
2013-01-30,36.81,10841800.0,37.525,36.93,36.81
2013-01-31,36.84,10720700.0,36.93,36.69,36.27
2013-02-01,36.84,9527500.0,37.2,37.18,36.52
2013-02-04,36.64,6348000.0,37.3,37.28,36.55
2013-02-05,37.42,7284400.0,37.73,37.2,37.18
2013-02-06,36.96,5738900.0,37.28,37.14,36.86
2013-02-07,37.57,9872500.0,37.57,36.42,35.8
2013-02-08,36.37,13858700.0,36.42,36.25,35.825
2013-02-11,36.13,6032100.0,36.18,35.85,35.75
2013-02-12,35.77,7473800.0,35.9,35.42,35.2
2013-02-13,35.42,4859800.0,35.57,35.27,35.15
2013-02-14,35.05,7570100.0,36.73,36.57,35.01
2013-02-15,36.93,13296300.0,37.81,37.58,36.93
2013-02-19,37.54,8292700.0,38.33,38.19,37.11
2013-02-20,38.16,8096400.0,39.13,38.61,37.61
2013-02-21,38.49,7260900.0,39.025,38.78,38.19
2013-02-22,38.79,4490400.0,38.85,38.46,38.14
2013-02-25,38.54,4665600.0,38.61,37.37,37.37
2013-02-26,37.6,4463000.0,37.6,37.09,36.96
2013-02-27,36.97,12238400.0,36.98,36.73,36.4
2013-02-28,36.66,10321000.0,37.14,36.92,36.5
