date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,18.63,613100.0,19.19,18.88,18.5
1998-01-05,18.63,1807200.0,18.63,17.88,17.69
1998-01-06,17.81,2530100.0,17.88,17.0,16.94
1998-01-07,16.88,2415100.0,17.44,17.25,16.75
1998-01-08,16.63,3723300.0,16.88,16.06,15.88
1998-01-09,16.0,2103300.0,16.06,15.75,15.63
1998-01-12,15.63,1906900.0,15.94,15.38,15.06
1998-01-13,15.75,2486000.0,16.88,16.88,15.69
1998-01-14,17.75,4001700.0,17.81,17.25,17.13
1998-01-15,17.25,2158900.0,18.0,18.0,17.25
1998-01-16,18.56,3010100.0,18.75,18.63,18.31
1998-01-20,17.25,2541200.0,17.69,17.56,17.19
1998-01-21,17.75,1650900.0,18.0,17.88,17.56
1998-01-22,18.0,1636900.0,18.19,17.63,17.63
1998-01-23,17.63,4459000.0,19.25,19.06,17.63
1998-01-26,19.5,5556900.0,20.13,19.56,19.25
1998-01-27,19.56,2240100.0,20.06,20.0,19.56
1998-01-28,19.56,2444200.0,20.38,20.31,19.56
1998-01-29,20.13,2537600.0,20.13,19.38,19.31
1998-01-30,19.56,1434600.0,19.63,19.38,19.31
1998-02-02,19.25,1724900.0,19.63,19.56,19.25
1998-02-03,19.0,2536000.0,19.0,18.44,18.31
1998-02-04,18.88,3523200.0,19.69,19.5,18.81
1998-02-05,19.94,2835800.0,20.0,19.75,19.31
1998-02-06,19.69,1354300.0,19.94,19.81,19.63
1998-02-09,19.94,1360700.0,20.19,20.13,19.81
1998-02-10,20.19,1195800.0,20.25,19.81,19.63
1998-02-11,19.63,866200.0,19.94,19.69,19.5
1998-02-12,19.63,1095800.0,19.75,19.75,19.31
1998-02-13,19.88,1433700.0,20.06,20.0,19.75
1998-02-17,20.06,1282700.0,20.06,19.13,19.13
1998-02-18,19.19,1786900.0,19.44,19.0,18.94
1998-02-19,19.13,2194500.0,19.13,18.81,18.69
1998-02-20,18.5,2229200.0,18.56,18.5,18.44
1998-02-23,18.13,2575500.0,18.19,18.0,18.0
1998-02-24,18.06,1439900.0,18.06,17.69,17.69
1998-02-25,17.88,1928700.0,17.88,17.75,17.69
1998-02-26,17.81,3398900.0,18.63,18.63,17.81
1998-02-27,19.0,1761700.0,19.38,19.31,18.94
1998-03-02,19.25,659500.0,19.38,19.31,19.06
1998-03-03,18.88,706900.0,19.13,19.0,18.88
1998-03-04,18.88,745300.0,19.19,19.19,18.88
1998-03-05,18.81,1117100.0,19.25,19.25,18.69
1998-03-06,19.31,961500.0,19.56,19.56,19.19
1998-03-09,19.5,1574100.0,20.31,20.31,19.38
1998-03-10,20.25,2995100.0,20.94,20.75,20.19
1998-03-11,20.38,1276600.0,20.56,20.25,20.19
1998-03-12,20.13,908700.0,20.19,20.06,19.75
1998-03-13,20.06,795600.0,20.38,20.38,20.06
1998-03-16,20.31,699100.0,20.31,20.0,20.0
1998-03-17,19.88,1153800.0,19.88,19.44,19.44
1998-03-18,19.06,1637900.0,19.38,19.31,19.06
1998-03-19,19.31,801400.0,19.5,19.19,19.13
1998-03-20,19.31,1698300.0,19.31,19.0,18.94
1998-03-23,19.38,2187800.0,20.19,20.19,19.31
1998-03-24,20.38,1862500.0,20.44,20.13,19.88
1998-03-25,20.0,1410300.0,20.31,19.81,19.75
1998-03-26,19.88,4970700.0,21.38,21.31,19.75
1998-03-27,21.44,4214400.0,22.19,21.94,21.19
1998-03-30,21.81,2261100.0,22.31,21.81,21.5
1998-03-31,21.69,1564700.0,21.88,21.63,21.5
1998-04-01,21.56,878900.0,21.63,21.31,21.31
1998-04-02,21.5,3807700.0,22.06,21.69,21.5
1998-04-03,22.56,3544400.0,22.69,22.5,22.13
1998-04-06,23.0,4176700.0,23.44,23.13,22.94
1998-04-07,23.06,1472600.0,23.06,22.44,22.44
1998-04-08,22.25,2223200.0,23.13,23.13,22.0
1998-04-09,22.81,1291100.0,23.06,22.13,22.13
1998-04-13,22.38,987000.0,22.56,22.5,22.06
1998-04-14,22.19,1098700.0,22.31,21.88,21.69
1998-04-15,21.63,1083600.0,22.06,21.81,21.44
1998-04-16,21.63,1713500.0,21.94,21.69,21.44
1998-04-17,21.69,1248700.0,21.81,21.44,21.19
1998-04-20,21.44,887200.0,21.69,21.44,21.38
1998-04-21,21.69,2804100.0,22.81,22.81,21.69
1998-04-22,23.06,3948400.0,23.63,23.63,22.94
1998-04-23,23.56,1892500.0,23.69,23.63,23.25
1998-04-24,23.44,959500.0,23.56,22.94,22.94
1998-04-27,22.5,1286300.0,22.75,22.31,22.19
1998-04-28,22.31,1517400.0,22.88,22.88,22.25
1998-04-29,22.81,2024800.0,23.69,23.25,22.81
1998-04-30,23.44,1494000.0,23.5,22.44,22.38
1998-05-01,22.44,1187500.0,22.5,21.94,21.5
1998-05-04,22.06,848300.0,22.38,22.06,21.81
1998-05-05,22.0,1374400.0,22.38,22.06,21.63
1998-05-06,21.94,1023300.0,21.94,21.94,21.44
1998-05-07,21.5,1711200.0,21.63,21.38,21.19
1998-05-08,21.69,818500.0,22.0,21.81,21.69
1998-05-11,21.88,961900.0,22.44,22.44,21.81
1998-05-12,22.31,1302000.0,22.38,21.75,21.63
1998-05-13,21.5,1519800.0,21.81,21.5,21.31
1998-05-14,21.31,1708000.0,21.81,21.69,21.0
1998-05-15,22.19,1238700.0,22.38,21.88,21.88
1998-05-18,21.75,1091900.0,21.88,20.88,20.88
1998-05-19,21.25,825100.0,21.5,21.13,21.06
1998-05-20,21.38,780100.0,21.44,20.94,20.88
1998-05-21,21.06,994900.0,21.19,20.94,20.63
1998-05-22,20.81,563000.0,21.06,21.0,20.69
1998-05-26,20.69,1696500.0,20.69,19.75,19.63
1998-05-27,19.31,1593300.0,19.5,19.25,19.13
1998-05-28,19.38,2527200.0,19.81,19.75,19.25
1998-05-29,19.75,845500.0,19.81,19.25,19.19
1998-06-01,19.06,1548900.0,19.06,18.5,18.38
1998-06-02,18.75,1281000.0,19.06,19.0,18.75
1998-06-03,19.0,1984000.0,19.19,18.81,18.75
1998-06-04,18.63,1228000.0,18.81,18.63,18.56
1998-06-05,18.38,852100.0,18.56,18.5,18.31
1998-06-08,18.5,1491800.0,19.5,19.44,18.5
1998-06-09,19.56,1949600.0,19.88,18.75,18.75
1998-06-10,18.88,1136200.0,18.88,18.19,18.12
1998-06-11,18.0,2085300.0,18.06,17.38,16.94
1998-06-12,17.5,1872200.0,17.63,17.19,16.5
1998-06-15,17.0,877400.0,17.31,16.69,16.69
1998-06-16,17.06,1302400.0,17.38,17.38,17.0
1998-06-17,17.75,1537200.0,18.13,17.94,17.69
1998-06-18,17.81,1458400.0,17.88,17.81,17.44
1998-06-19,18.19,1888000.0,18.56,18.06,18.06
1998-06-22,17.63,793400.0,18.0,17.88,17.5
1998-06-23,17.88,867600.0,18.25,18.25,17.75
1998-06-24,18.19,769100.0,18.25,18.13,17.88
1998-06-25,18.25,1155200.0,18.56,18.5,18.19
1998-06-26,18.38,892400.0,18.63,18.56,18.25
1998-06-29,18.5,446100.0,18.69,18.38,18.38
1998-06-30,18.88,3123400.0,19.31,19.25,18.69
1998-07-01,19.13,547100.0,19.19,19.0,18.56
1998-07-02,18.63,520400.0,18.81,18.38,18.25
1998-07-06,18.38,726300.0,18.63,18.5,18.25
1998-07-07,18.75,762900.0,19.44,19.13,18.56
1998-07-08,18.69,804700.0,18.94,18.94,18.56
1998-07-09,18.81,608700.0,18.88,18.38,18.38
1998-07-10,18.38,642200.0,18.38,18.25,17.88
1998-07-13,18.31,838400.0,18.75,18.0,17.94
1998-07-14,18.19,712400.0,18.31,18.19,18.06
1998-07-15,18.06,747500.0,18.13,17.88,17.75
1998-07-16,17.88,1300500.0,18.44,18.31,17.88
1998-07-17,18.31,1553900.0,18.63,18.44,18.25
1998-07-20,18.56,1158200.0,18.75,18.75,18.38
1998-07-21,18.38,647800.0,18.75,18.25,18.25
1998-07-22,18.25,434800.0,18.5,18.31,18.19
1998-07-23,18.06,630400.0,18.31,17.75,17.75
1998-07-24,18.13,786000.0,18.13,17.69,17.56
1998-07-27,17.5,533800.0,17.75,17.63,17.5
1998-07-28,17.63,1254300.0,17.94,17.63,17.5
1998-07-29,17.5,884700.0,17.63,17.0,17.0
1998-07-30,17.19,491000.0,17.25,17.19,17.0
1998-07-31,17.06,817400.0,17.19,16.38,16.13
1998-08-03,16.5,933600.0,16.69,16.19,16.0
1998-08-04,16.5,1541600.0,16.88,16.25,16.25
1998-08-05,16.5,1282700.0,16.75,16.63,16.44
1998-08-06,16.56,798000.0,16.75,16.56,16.38
1998-08-07,16.44,710700.0,16.63,16.5,16.38
1998-08-10,16.31,767700.0,16.63,16.56,16.19
1998-08-11,16.19,957800.0,16.19,15.88,15.63
1998-08-12,16.19,567300.0,16.19,15.81,15.63
1998-08-13,15.88,1068900.0,16.5,16.06,15.88
1998-08-14,15.94,531900.0,16.0,15.56,15.56
1998-08-17,15.69,622900.0,15.88,15.81,15.56
1998-08-18,15.81,690100.0,16.13,16.06,15.63
1998-08-19,16.13,812200.0,16.56,16.38,16.06
1998-08-20,16.56,1677500.0,16.69,16.69,16.5
1998-08-21,16.63,1255400.0,16.88,16.56,16.25
1998-08-24,16.56,763100.0,16.69,16.38,16.25
1998-08-25,16.06,908600.0,16.19,16.0,15.88
1998-08-26,16.0,1599600.0,16.06,15.31,15.31
