date,1. open,5. volume,2. high,4. close,3. low
2001-07-19,15.1,34994300.0,15.29,15.17,15.0
2001-07-20,15.05,9238500.0,15.05,15.01,14.8
2001-07-23,15.0,7501000.0,15.01,15.0,14.55
2001-07-24,14.95,3537300.0,14.97,14.86,14.7
2001-07-25,14.7,4208100.0,14.95,14.95,14.65
2001-07-26,14.95,6335300.0,14.99,14.5,14.5
2001-07-27,14.51,3524000.0,14.59,14.51,14.5
2001-07-30,14.5,3654300.0,14.78,14.7,14.5
2001-07-31,14.71,1429000.0,15.01,14.96,14.6
2001-08-01,15.0,2087900.0,15.5,15.5,14.9
2001-08-02,15.4,1717400.0,15.5,15.4,15.1
2001-08-03,15.4,983600.0,15.4,15.15,14.98
2001-08-06,15.15,777400.0,15.22,15.1,15.02
2001-08-07,15.1,788900.0,15.55,15.5,15.1
2001-08-08,15.4,2190300.0,15.6,15.0,15.0
2001-08-09,15.05,928000.0,15.5,15.5,15.0
2001-08-10,15.4,703300.0,15.4,15.19,15.12
2001-08-13,15.15,1770400.0,15.34,15.01,14.9
2001-08-14,15.05,1000800.0,15.06,14.7,14.65
2001-08-15,14.75,530900.0,14.9,14.79,14.7
2001-08-16,14.78,1522700.0,14.78,14.05,14.05
2001-08-17,14.06,2342400.0,14.8,14.52,13.9
2001-08-20,14.52,1434900.0,14.52,14.52,14.52
2001-08-21,15.25,1038200.0,15.6,15.46,15.01
2001-08-22,15.32,829000.0,15.39,15.34,14.78
2001-08-23,15.45,470000.0,15.45,15.25,15.25
2001-08-24,15.25,689000.0,15.48,15.4,15.0
2001-08-27,15.48,827700.0,15.65,15.48,15.4
2001-08-28,15.42,736900.0,15.58,15.36,15.25
2001-08-29,15.29,397400.0,15.31,15.01,15.0
2001-08-30,15.04,640100.0,15.04,14.95,14.85
2001-08-31,15.0,3337900.0,15.1,14.9,14.9
2001-09-04,15.0,1068600.0,15.65,15.38,15.0
2001-09-05,15.38,1053200.0,15.38,14.91,14.9
2001-09-06,14.75,1384500.0,15.01,14.5,14.4
2001-09-07,14.45,1408500.0,14.64,14.52,14.35
2001-09-10,14.58,622100.0,15.16,15.15,14.55
2001-09-17,15.14,1934300.0,15.14,14.6,14.47
2001-09-18,14.6,902800.0,15.0,14.55,14.35
2001-09-19,14.69,2415400.0,14.69,13.95,13.72
2001-09-20,13.9,3498900.0,13.9,12.95,12.84
2001-09-21,13.0,2051800.0,13.0,12.75,12.16
2001-09-24,13.28,1964200.0,13.28,13.2,12.95
2001-09-25,13.2,1827300.0,13.2,13.2,13.2
2001-09-26,12.96,3327200.0,12.96,12.2,12.2
2001-09-27,12.26,2347500.0,12.26,11.85,11.61
2001-09-28,12.1,2844000.0,13.45,12.75,12.1
2001-10-01,12.65,878800.0,13.0,12.7,12.65
2001-10-02,12.55,1900400.0,12.7,12.58,12.12
2001-10-03,13.06,2539400.0,13.06,12.95,12.6
2001-10-04,13.8,3108500.0,13.8,13.49,12.97
2001-10-05,13.74,2172300.0,13.74,13.55,13.32
2001-10-08,13.69,576100.0,13.69,13.23,13.23
2001-10-09,13.8,1601100.0,13.8,13.4,13.38
2001-10-10,13.35,1700400.0,13.75,13.67,13.3
2001-10-11,15.5,4214100.0,15.5,15.16,14.7
2001-10-12,15.26,5193300.0,16.55,16.55,12.75
2001-10-15,16.51,3277900.0,17.95,17.5,16.51
2001-10-16,17.65,1996000.0,18.05,17.45,16.9
2001-10-17,17.65,1877100.0,17.74,16.98,16.85
2001-10-18,16.98,942000.0,16.98,16.7,16.61
2001-10-19,16.7,2062500.0,16.85,16.85,16.54
2001-10-22,17.0,469600.0,17.57,17.5,16.97
2001-10-23,17.5,915400.0,17.73,17.62,17.27
2001-10-24,17.76,472600.0,17.76,17.74,17.57
2001-10-25,17.74,265100.0,17.75,17.74,17.13
2001-10-26,17.7,566500.0,17.78,17.62,17.5
2001-10-29,17.72,616200.0,17.73,17.55,17.4
2001-10-30,17.46,574700.0,17.46,17.35,17.15
2001-10-31,17.42,718600.0,17.6,17.57,17.1
2001-11-01,17.52,1089900.0,18.59,18.31,17.52
2001-11-02,18.5,2372800.0,19.1,18.25,18.1
2001-11-05,18.25,1552700.0,18.27,18.1,17.77
2001-11-06,17.98,562600.0,17.98,17.97,17.35
2001-11-07,18.9,1987000.0,18.9,18.9,17.96
2001-11-08,18.7,1747200.0,19.97,19.95,18.7
2001-11-09,19.75,1325400.0,19.95,19.95,19.65
2001-11-12,19.75,2398300.0,19.75,19.49,19.0
2001-11-13,19.7,1463000.0,21.24,20.8,19.66
2001-11-14,21.0,1391400.0,21.4,20.21,19.97
2001-11-15,20.05,628200.0,20.45,20.25,20.05
2001-11-16,20.25,639100.0,21.25,21.04,20.2
2001-11-19,21.1,1430000.0,22.25,22.0,21.1
2001-11-20,21.96,1017400.0,21.96,21.25,21.15
2001-11-21,21.21,1442600.0,21.21,20.35,19.8
2001-11-23,20.62,286500.0,20.62,20.55,20.26
2001-11-26,20.68,1064900.0,21.6,21.5,20.27
2001-11-27,21.6,1210000.0,22.75,22.5,21.5
2001-11-28,22.1,1415900.0,22.1,21.85,20.86
2001-11-29,21.83,1326400.0,22.24,21.43,21.01
2001-11-30,21.46,2075400.0,22.66,22.6,21.41
2001-12-03,24.0,1244400.0,24.0,22.9,22.5
2001-12-04,22.75,2087000.0,24.5,24.2,22.65
2001-12-05,24.4,3386200.0,26.8,26.65,24.34
2001-12-06,27.17,3190200.0,27.17,26.25,25.9
2001-12-07,25.95,1115400.0,25.95,24.86,24.8
2001-12-10,25.0,1732100.0,26.2,24.6,24.5
2001-12-11,24.55,1713200.0,24.88,24.76,24.5
2001-12-12,24.75,2044100.0,25.3,25.17,24.54
2001-12-13,25.12,1446600.0,25.13,23.3,23.2
2001-12-14,23.35,1156200.0,23.85,23.65,22.64
2001-12-17,23.8,1428100.0,25.5,25.46,23.71
