date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,40.88,797600.0,40.88,40.5,39.5
1998-01-05,40.13,1114600.0,41.63,41.06,40.13
1998-01-06,40.88,1579400.0,43.5,42.44,40.88
1998-01-07,42.38,2331700.0,42.5,41.81,41.38
1998-01-08,41.63,1106400.0,42.75,42.19,41.5
1998-01-09,42.0,829400.0,42.19,41.25,41.0
1998-01-12,40.38,1122200.0,41.88,40.75,40.13
1998-01-13,40.75,1142000.0,41.0,40.25,39.63
1998-01-14,40.25,870100.0,40.25,38.88,38.75
1998-01-15,38.5,731900.0,40.0,39.25,38.25
1998-01-16,39.31,621400.0,39.5,39.25,38.56
1998-01-20,39.13,521000.0,39.88,39.63,39.13
1998-01-21,39.0,475000.0,39.75,39.06,39.0
1998-01-22,38.75,538400.0,39.25,38.5,38.0
1998-01-23,38.38,682500.0,38.88,38.25,37.0
1998-01-26,38.25,558300.0,38.5,37.38,37.0
1998-01-27,37.06,482900.0,37.88,37.38,37.06
1998-01-28,37.5,890300.0,38.31,37.94,37.22
1998-01-29,37.88,534000.0,38.13,37.63,37.0
1998-01-30,38.0,595200.0,38.75,38.5,37.13
1998-02-02,38.88,1247100.0,39.5,38.38,38.25
1998-02-03,38.25,1025300.0,38.63,38.31,37.88
1998-02-04,38.0,1155100.0,39.44,39.25,37.69
1998-02-05,39.44,1023900.0,40.13,39.44,39.38
1998-02-06,39.13,1082000.0,40.63,40.0,39.06
1998-02-09,40.38,1394800.0,41.06,40.63,40.31
1998-02-10,40.56,1396900.0,40.94,40.31,40.13
1998-02-11,40.13,1372700.0,40.88,40.38,40.0
1998-02-12,39.5,3102800.0,41.5,41.25,38.63
1998-02-13,41.0,3092100.0,44.63,43.44,40.88
1998-02-17,44.38,1156000.0,44.38,43.31,42.5
1998-02-18,43.38,1086000.0,44.13,43.81,42.81
1998-02-19,43.88,675900.0,44.0,43.88,43.5
1998-02-20,44.0,721800.0,44.63,43.75,43.5
1998-02-23,44.25,607800.0,44.5,43.84,43.63
1998-02-24,43.75,1726400.0,44.0,41.75,41.5
1998-02-25,42.0,859600.0,43.38,42.75,41.81
1998-02-26,43.0,512900.0,44.0,43.56,42.63
1998-02-27,43.56,867600.0,44.75,44.19,43.38
1998-03-02,44.31,648200.0,44.5,43.13,43.0
1998-03-03,43.25,500000.0,44.19,43.63,43.0
1998-03-04,43.75,366900.0,44.5,43.88,43.63
1998-03-05,42.75,782500.0,44.13,43.69,42.5
1998-03-06,43.75,742800.0,44.63,44.5,43.75
1998-03-09,44.0,1354300.0,46.0,43.63,43.63
1998-03-10,44.38,315400.0,45.0,44.75,44.13
1998-03-11,44.88,364500.0,45.06,44.78,44.5
1998-03-12,44.75,473700.0,44.75,44.38,43.63
1998-03-13,44.25,715500.0,44.75,43.88,43.38
1998-03-16,43.56,614900.0,44.5,44.44,43.56
1998-03-17,44.5,318300.0,44.69,43.63,43.63
1998-03-18,43.75,604100.0,43.75,42.63,42.38
1998-03-19,42.88,840800.0,44.13,43.94,42.63
1998-03-20,43.88,664000.0,44.0,43.25,43.25
1998-03-23,43.13,853500.0,43.88,43.13,42.5
1998-03-24,43.0,1026000.0,44.06,44.06,43.0
1998-03-25,44.25,1488300.0,45.25,44.44,43.5
1998-03-26,44.38,6059600.0,49.44,48.0,44.13
1998-03-27,46.75,10834200.0,47.0,45.5,44.25
1998-03-30,46.13,2456600.0,46.63,45.38,45.25
1998-03-31,45.38,1750600.0,45.69,45.19,44.75
1998-04-01,45.13,1367900.0,46.0,45.75,44.81
1998-04-02,45.63,1741500.0,47.31,46.63,45.63
1998-04-03,46.88,618400.0,47.38,47.0,46.63
1998-04-06,46.81,1337400.0,47.13,46.19,46.0
1998-04-07,45.75,1441100.0,46.0,44.75,44.5
1998-04-08,44.75,712300.0,44.94,44.94,43.75
1998-04-09,44.63,567400.0,45.44,45.31,44.63
1998-04-13,45.38,1209500.0,46.94,46.88,45.13
1998-04-14,46.63,642400.0,46.88,46.69,45.75
1998-04-15,46.81,1549700.0,48.5,48.25,46.44
1998-04-16,48.38,1088500.0,49.19,48.38,47.88
1998-04-17,48.0,699900.0,48.81,48.69,48.0
1998-04-20,48.75,1602000.0,50.56,50.0,48.63
1998-04-21,49.06,503400.0,50.06,49.06,48.38
1998-04-22,50.69,1677500.0,51.0,50.69,49.25
1998-04-23,50.69,1213300.0,50.75,49.69,49.38
1998-04-24,49.75,1311100.0,51.06,50.75,49.75
1998-04-27,49.88,1872600.0,51.69,50.13,49.5
1998-04-28,50.75,789400.0,51.0,48.81,48.56
1998-04-29,49.13,1315000.0,51.25,50.63,49.13
1998-04-30,50.88,1299100.0,51.88,50.06,50.0
1998-05-01,50.06,626000.0,50.5,50.38,49.38
1998-05-04,50.0,537200.0,51.0,49.88,49.63
1998-05-05,49.38,1080200.0,49.94,49.38,48.13
1998-05-06,49.5,740800.0,49.88,49.25,48.75
1998-05-07,49.25,464100.0,49.88,49.81,48.63
1998-05-08,49.75,534500.0,51.5,50.63,49.75
1998-05-11,50.13,4403800.0,50.13,47.25,46.06
1998-05-12,47.5,2078400.0,48.25,46.0,45.75
1998-05-13,46.0,1637400.0,46.31,45.31,45.0
1998-05-14,44.88,657000.0,46.06,45.25,44.56
1998-05-15,45.56,649700.0,45.63,45.38,44.69
1998-05-18,45.13,470200.0,46.13,44.94,44.63
1998-05-19,45.38,306500.0,45.81,45.5,45.0
1998-05-20,46.0,401400.0,46.0,44.69,44.63
1998-05-21,44.63,558500.0,45.0,44.06,43.19
1998-05-22,44.13,291800.0,44.75,43.38,43.25
1998-05-26,44.0,1295500.0,44.0,41.38,41.13
1998-05-27,40.63,1882300.0,41.75,41.69,40.0
1998-05-28,41.75,1144800.0,42.0,41.88,41.13
1998-05-29,41.88,742300.0,42.63,39.94,39.94
1998-06-01,39.94,678200.0,40.63,39.31,38.88
1998-06-02,39.75,510400.0,41.0,41.0,39.5
1998-06-03,40.88,437800.0,41.13,40.0,39.69
1998-06-04,40.25,634200.0,40.75,40.69,39.81
1998-06-05,40.56,326500.0,41.0,40.88,40.0
1998-06-08,41.0,421200.0,41.38,40.5,40.38
1998-06-09,40.63,1454400.0,43.88,43.5,40.5
1998-06-10,43.0,1024100.0,44.0,42.0,42.0
1998-06-11,42.13,968700.0,42.38,40.81,40.38
1998-06-12,40.88,570700.0,41.13,40.0,39.75
1998-06-15,40.0,850500.0,41.0,39.63,39.63
1998-06-16,40.31,949600.0,41.75,41.75,40.0
1998-06-17,41.94,806600.0,42.5,41.5,41.25
1998-06-18,41.25,926100.0,41.5,40.94,40.13
1998-06-19,40.94,1787500.0,41.0,39.44,38.38
1998-06-22,39.88,1290400.0,40.63,40.13,39.5
1998-06-23,40.5,859600.0,41.75,40.5,40.13
1998-06-24,40.63,954300.0,42.25,42.06,40.0
1998-06-25,42.63,1419800.0,44.75,44.38,42.38
1998-06-26,44.0,2262600.0,45.13,42.44,41.81
1998-06-29,43.13,872400.0,43.5,42.75,42.13
1998-06-30,42.63,1390500.0,42.63,42.44,41.88
1998-07-01,42.5,652200.0,42.88,41.56,40.81
1998-07-02,41.31,591300.0,41.63,41.38,40.63
1998-07-06,41.38,680200.0,42.06,41.06,40.5
1998-07-07,41.0,548900.0,41.25,40.75,40.0
1998-07-08,40.63,690900.0,42.0,41.63,40.5
1998-07-09,41.38,830800.0,41.63,40.81,40.56
1998-07-10,40.63,529600.0,41.06,40.19,40.0
1998-07-13,40.13,917300.0,40.38,39.88,39.38
1998-07-14,39.88,566500.0,39.88,39.0,38.75
1998-07-15,38.81,902000.0,39.75,39.31,38.81
1998-07-16,40.13,712700.0,40.69,39.81,39.63
1998-07-17,39.81,1179000.0,40.0,39.94,39.31
1998-07-20,39.94,705000.0,40.56,40.5,39.75
1998-07-21,40.38,545600.0,40.81,39.63,39.5
1998-07-22,39.5,879800.0,39.94,39.5,38.38
1998-07-23,39.31,1065100.0,39.63,38.88,38.63
1998-07-24,39.19,855700.0,39.19,37.88,37.38
1998-07-27,37.75,669100.0,38.13,37.88,37.0
1998-07-28,37.5,582400.0,37.78,37.75,37.0
1998-07-29,37.38,925400.0,37.5,36.06,36.0
1998-07-30,35.25,1895900.0,35.63,34.25,34.06
1998-07-31,34.63,1818300.0,34.63,32.31,32.25
1998-08-03,32.94,1615500.0,33.25,31.0,30.94
1998-08-04,31.88,1399700.0,32.13,30.25,29.75
1998-08-05,30.38,896400.0,30.88,30.56,29.94
1998-08-06,30.5,1069600.0,31.63,30.5,30.38
1998-08-07,30.88,1597700.0,30.88,30.25,30.13
1998-08-10,30.5,1514600.0,32.25,32.19,30.38
1998-08-11,30.25,1044400.0,31.63,30.81,30.13
1998-08-12,26.0,6329700.0,27.63,27.31,24.56
1998-08-13,27.25,3735200.0,27.69,27.63,26.13
1998-08-14,28.0,1327100.0,28.0,26.94,26.81
