date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,21.81,454200.0,21.88,21.69,21.31
1998-01-05,21.63,876200.0,21.94,21.75,21.56
1998-01-06,21.56,829900.0,21.63,21.25,21.13
1998-01-07,21.0,1952800.0,22.63,22.56,20.75
1998-01-08,22.63,1751700.0,22.94,22.44,22.13
1998-01-09,22.25,1315600.0,22.31,21.88,21.88
1998-01-12,21.56,1239500.0,22.31,22.25,21.56
1998-01-13,22.25,1425600.0,22.44,22.19,21.94
1998-01-14,22.31,1253500.0,22.31,22.06,21.5
1998-01-15,22.0,625400.0,22.25,22.0,21.94
1998-01-16,22.0,2835300.0,22.19,21.94,21.5
1998-01-20,21.81,1373600.0,22.06,22.0,21.81
1998-01-21,21.94,1855700.0,22.0,21.94,21.63
1998-01-22,21.81,1174900.0,22.19,22.06,21.75
1998-01-23,22.19,1290200.0,22.38,22.06,21.69
1998-01-26,21.94,1223900.0,22.19,22.06,21.81
1998-01-27,22.0,1216300.0,22.13,21.56,21.56
1998-01-28,21.69,1663200.0,21.75,21.44,21.25
1998-01-29,21.31,2342600.0,22.0,21.69,21.31
1998-01-30,21.63,1216500.0,21.75,21.06,21.06
1998-02-02,21.19,1235100.0,21.69,21.56,21.19
1998-02-03,21.63,1550400.0,22.0,21.81,21.56
1998-02-04,21.63,932400.0,21.94,21.94,21.5
1998-02-05,21.88,1282000.0,21.94,21.88,21.56
1998-02-06,21.94,1250800.0,22.13,22.06,21.81
1998-02-09,22.0,1273000.0,22.63,22.5,21.94
1998-02-10,22.63,1401700.0,22.88,22.44,22.38
1998-02-11,22.38,1010500.0,22.63,22.56,22.19
1998-02-12,22.38,1111500.0,22.88,22.69,22.31
1998-02-13,22.56,810700.0,22.69,22.44,22.31
1998-02-17,22.81,1241000.0,22.81,22.31,22.25
1998-02-18,22.31,1251400.0,22.56,22.56,22.25
1998-02-19,22.5,989300.0,22.56,22.44,22.25
1998-02-20,22.44,885100.0,22.56,22.5,22.25
1998-02-23,22.56,835200.0,22.56,22.13,22.0
1998-02-24,22.06,974800.0,22.38,22.25,22.0
