date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,61.31,687450.0,61.38,60.0,59.25
1998-01-05,60.38,1067050.0,60.88,60.81,59.69
1998-01-06,60.44,590950.0,61.0,60.94,59.88
1998-01-07,60.75,780100.0,60.75,60.13,59.63
1998-01-08,60.0,500950.0,60.19,59.88,59.31
1998-01-09,59.81,914050.0,59.81,58.69,58.56
1998-01-12,57.56,874800.0,59.94,59.94,57.56
1998-01-13,60.0,1016050.0,60.19,60.13,59.31
1998-01-14,60.06,495250.0,60.06,60.0,58.75
1998-01-15,60.06,663450.0,60.31,59.19,58.88
1998-01-16,59.06,983000.0,59.94,59.5,58.88
1998-01-20,60.25,1040900.0,61.25,61.25,60.19
1998-01-21,61.25,606650.0,61.25,61.06,60.5
1998-01-22,61.0,813150.0,62.19,61.0,60.94
1998-01-23,61.0,569900.0,61.5,60.56,60.31
1998-01-26,60.75,426800.0,60.88,60.56,60.06
1998-01-27,60.81,563450.0,61.25,60.63,60.0
1998-01-28,60.63,691850.0,60.69,60.31,59.81
1998-01-29,60.31,763700.0,61.06,59.94,59.88
1998-01-30,60.06,871050.0,60.44,59.81,59.75
1998-02-02,59.88,868600.0,61.5,61.5,59.88
1998-02-03,61.63,562850.0,62.38,62.19,61.25
1998-02-04,62.25,486900.0,62.5,61.81,61.63
1998-02-05,61.81,1181600.0,61.88,61.31,60.75
1998-02-06,61.31,522500.0,61.38,61.0,60.44
1998-02-09,61.0,512650.0,61.0,60.75,60.31
1998-02-10,60.81,582650.0,61.0,60.44,60.19
1998-02-11,60.75,836900.0,60.94,60.75,60.06
1998-02-12,60.5,485050.0,60.75,60.69,59.88
1998-02-13,60.44,552000.0,60.69,60.38,59.5
1998-02-17,60.63,661200.0,61.0,60.56,59.75
1998-02-18,60.56,530300.0,61.5,61.25,60.5
1998-02-19,61.0,642700.0,61.56,60.13,60.13
1998-02-20,60.63,896750.0,61.0,60.69,59.88
1998-02-23,60.75,432200.0,61.56,61.0,60.69
1998-02-24,60.94,663750.0,60.94,59.94,59.69
1998-02-25,60.19,680000.0,61.5,60.88,60.06
1998-02-26,60.94,586050.0,61.81,61.81,60.31
1998-02-27,61.81,565850.0,61.81,61.06,61.0
1998-03-02,60.63,719750.0,61.88,61.88,60.56
1998-03-03,61.81,582050.0,62.25,62.13,61.63
1998-03-04,61.88,779100.0,62.56,62.38,61.0
1998-03-05,61.81,625250.0,62.38,61.25,61.13
1998-03-06,61.75,611750.0,63.63,63.06,61.75
1998-03-09,63.06,661700.0,63.81,63.06,62.75
1998-03-10,62.94,674700.0,64.25,64.0,62.56
1998-03-11,63.81,507900.0,64.56,64.25,63.63
1998-03-12,64.0,827150.0,64.88,63.31,63.19
1998-03-13,64.0,1271500.0,67.0,66.88,63.94
1998-03-16,67.0,658050.0,67.31,67.25,66.13
1998-03-17,66.75,708650.0,66.94,66.0,65.69
1998-03-18,66.0,734700.0,67.63,67.31,66.0
1998-03-19,68.06,944700.0,69.5,69.5,67.75
1998-03-20,70.13,938100.0,70.25,69.31,69.06
1998-03-23,69.13,428850.0,70.69,70.31,69.06
1998-03-24,70.31,741050.0,70.31,70.06,69.25
1998-03-25,70.0,820100.0,70.25,69.31,68.56
1998-03-26,69.06,625250.0,69.88,69.81,68.75
1998-03-27,69.56,925100.0,69.63,68.0,67.63
1998-03-30,68.13,600300.0,68.38,67.0,66.69
1998-03-31,66.63,671650.0,68.44,68.06,66.63
1998-04-01,67.81,645950.0,68.0,67.31,66.5
1998-04-02,67.31,741250.0,67.5,67.44,66.5
1998-04-03,67.25,722350.0,67.88,67.25,67.0
1998-04-06,67.06,878550.0,67.13,65.44,64.88
1998-04-07,65.19,1270200.0,65.5,64.5,63.81
1998-04-08,64.0,734600.0,65.56,64.81,64.0
1998-04-09,65.25,728400.0,65.88,65.88,65.19
1998-04-13,65.75,864100.0,66.44,66.25,65.31
1998-04-14,66.19,526150.0,66.63,65.44,65.13
1998-04-15,65.38,821950.0,66.63,66.5,65.19
1998-04-16,66.25,814900.0,66.38,66.19,65.94
1998-04-17,66.19,847400.0,67.63,67.44,65.94
1998-04-20,67.5,677500.0,68.56,68.25,67.44
1998-04-21,68.0,519950.0,68.25,68.06,66.94
1998-04-22,67.75,386200.0,67.88,67.81,66.94
1998-04-23,67.38,657300.0,67.56,66.06,65.5
1998-04-24,66.06,670000.0,66.94,66.19,65.56
1998-04-27,66.25,569900.0,66.31,65.19,64.88
1998-04-28,64.0,797850.0,65.88,64.0,63.44
1998-04-29,64.0,742500.0,65.19,65.19,64.0
1998-04-30,65.44,598900.0,66.94,66.94,65.38
1998-05-01,67.0,482650.0,67.06,66.25,65.44
1998-05-04,66.38,320500.0,66.81,66.06,65.44
1998-05-05,65.88,463950.0,65.88,65.56,65.06
1998-05-06,65.5,421600.0,65.5,64.5,64.38
1998-05-07,64.88,651200.0,64.94,63.81,63.75
1998-05-08,63.88,634700.0,65.88,64.88,63.88
1998-05-11,65.13,479250.0,65.44,64.13,64.13
1998-05-12,64.38,709250.0,64.88,64.75,63.63
1998-05-13,64.5,871050.0,67.5,66.88,64.31
1998-05-14,66.81,1003050.0,66.81,66.31,65.88
1998-05-15,66.75,579100.0,66.75,65.0,64.94
1998-05-18,65.25,768150.0,65.31,63.75,62.81
1998-05-19,63.88,537400.0,64.13,63.94,63.38
