date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,36.63,276200.0,37.5,37.5,35.88
1998-01-05,36.88,704500.0,38.5,38.25,36.88
1998-01-06,38.13,832700.0,40.0,39.38,38.13
1998-01-07,39.5,697600.0,39.5,38.0,37.5
1998-01-08,37.75,538600.0,39.13,38.88,37.38
1998-01-09,38.63,1315900.0,38.88,35.94,34.75
1998-01-12,34.5,730800.0,36.38,35.75,34.38
1998-01-13,36.0,748600.0,37.25,36.38,35.63
1998-01-14,36.5,406200.0,37.5,37.38,35.84
1998-01-15,37.25,674000.0,38.5,37.88,37.0
1998-01-16,38.25,454400.0,38.75,38.19,38.0
1998-01-20,38.0,708200.0,38.25,38.06,36.75
1998-01-21,37.5,429200.0,38.56,37.88,37.0
1998-01-22,37.13,596400.0,37.94,37.5,36.75
1998-01-23,37.38,813200.0,38.63,38.56,37.38
1998-01-26,38.25,556100.0,39.0,38.13,38.13
1998-01-27,38.0,1011000.0,38.13,37.75,36.5
1998-01-28,37.75,910600.0,38.0,36.81,36.63
1998-01-29,36.94,1369700.0,38.44,37.19,36.5
1998-01-30,37.5,816800.0,38.88,38.63,37.13
1998-02-02,39.13,1530700.0,40.63,39.19,38.81
1998-02-03,39.25,616800.0,40.13,39.69,38.5
1998-02-04,39.5,664300.0,40.5,40.31,39.0
1998-02-05,40.5,737700.0,41.25,39.5,39.25
1998-02-06,40.0,1709700.0,44.0,42.69,39.75
1998-02-09,42.63,828700.0,43.44,42.69,42.25
1998-02-10,42.63,790500.0,44.13,43.81,42.63
1998-02-11,43.75,1491700.0,45.38,44.75,43.75
1998-02-12,44.63,1278800.0,45.75,45.38,44.38
1998-02-13,45.0,833700.0,45.25,44.38,44.13
1998-02-17,44.88,875800.0,45.38,43.5,43.38
1998-02-18,43.63,573500.0,44.38,44.25,43.5
1998-02-19,44.0,441700.0,44.75,43.75,43.0
1998-02-20,44.0,801100.0,44.0,42.25,41.75
1998-02-23,42.63,691100.0,44.63,43.81,42.5
1998-02-24,43.56,780900.0,45.38,43.38,43.25
1998-02-25,43.75,461600.0,45.0,44.88,43.63
1998-02-26,47.88,3776400.0,49.88,49.88,47.0
1998-02-27,50.0,1072800.0,50.06,47.38,47.38
1998-03-02,48.0,979900.0,48.56,48.0,47.38
1998-03-03,47.63,451700.0,48.13,48.0,46.88
1998-03-04,47.38,923400.0,48.44,48.0,46.25
1998-03-05,47.0,2237300.0,48.13,46.44,45.88
1998-03-06,47.0,641400.0,47.75,46.31,46.13
1998-03-09,45.88,679400.0,47.25,45.69,45.5
1998-03-10,46.25,549000.0,47.25,47.13,46.19
1998-03-11,47.38,1113500.0,47.5,46.13,45.44
1998-03-12,46.0,538700.0,46.75,46.0,45.63
1998-03-13,46.38,613500.0,46.63,46.13,45.63
1998-03-16,45.75,602700.0,46.63,46.56,45.0
1998-03-17,46.38,1167300.0,47.63,47.44,45.75
1998-03-18,47.0,899000.0,47.75,47.63,46.5
1998-03-19,47.25,764000.0,48.38,48.06,46.63
1998-03-20,48.44,484700.0,48.5,47.19,46.88
1998-03-23,47.19,666900.0,47.38,46.88,46.5
1998-03-24,46.75,490700.0,47.5,47.13,46.5
1998-03-25,48.0,481000.0,48.0,46.13,46.0
1998-03-26,46.13,681500.0,47.0,46.81,46.0
1998-03-27,47.13,1384400.0,47.5,45.5,44.88
1998-03-30,45.38,1166000.0,46.25,42.75,42.0
1998-03-31,43.38,1356600.0,43.81,43.13,42.63
1998-04-01,42.63,2165200.0,44.75,44.5,41.75
1998-04-02,45.06,1766900.0,46.25,45.5,44.88
1998-04-03,45.5,928700.0,46.25,44.5,44.31
1998-04-06,44.25,894600.0,44.5,44.25,41.88
1998-04-07,43.88,841400.0,44.25,42.25,41.88
1998-04-08,42.38,791400.0,42.63,41.25,40.75
1998-04-09,41.63,1370100.0,42.38,42.13,41.5
1998-04-13,42.0,884100.0,42.13,41.75,41.63
1998-04-14,41.63,587400.0,42.13,42.0,41.63
1998-04-15,42.25,2145800.0,43.56,43.5,42.25
1998-04-16,43.63,976000.0,45.13,44.88,43.13
1998-04-17,45.5,798000.0,46.25,46.25,44.75
1998-04-20,45.88,1477600.0,46.38,45.13,43.5
1998-04-21,45.0,517200.0,45.0,45.0,43.88
1998-04-22,45.75,936200.0,46.75,45.75,45.13
1998-04-23,45.75,502100.0,46.13,45.06,44.88
1998-04-24,45.0,428500.0,45.75,44.5,44.0
1998-04-27,43.75,762100.0,44.88,43.88,43.25
1998-04-28,44.5,709400.0,45.13,45.13,44.0
1998-04-29,45.25,550100.0,46.63,46.5,44.75
1998-04-30,46.5,807200.0,47.25,47.0,46.25
1998-05-01,46.88,1408300.0,48.13,48.0,45.88
1998-05-04,48.0,1002100.0,48.63,48.63,47.5
1998-05-05,48.25,949700.0,48.5,47.94,47.5
1998-05-06,48.25,629700.0,48.25,47.88,47.13
1998-05-07,47.63,432000.0,47.75,47.63,47.5
1998-05-08,47.5,991400.0,49.0,48.88,47.5
1998-05-11,48.63,503400.0,49.0,48.13,48.0
1998-05-12,48.06,772200.0,49.0,48.81,48.0
1998-05-13,48.56,744300.0,48.88,48.38,48.38
1998-05-14,48.25,777900.0,48.31,47.38,47.38
1998-05-15,47.31,1098500.0,47.44,46.0,45.25
1998-05-18,46.06,303500.0,46.75,45.94,45.75
1998-05-19,46.38,985100.0,48.38,48.0,46.38
1998-05-20,48.13,610000.0,48.25,46.0,45.5
