date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,43.0,444000.0,43.06,42.81,42.38
1998-01-05,43.06,564300.0,43.13,42.5,42.06
1998-01-06,42.13,253600.0,42.19,41.88,41.75
1998-01-07,41.88,358100.0,41.88,41.5,40.88
1998-01-08,41.56,325100.0,41.56,41.0,40.75
1998-01-09,40.94,306600.0,41.81,41.38,40.94
1998-01-12,41.13,268300.0,41.81,41.75,41.0
1998-01-13,41.75,193300.0,41.75,41.44,41.19
1998-01-14,41.44,139500.0,41.44,41.25,41.13
1998-01-15,41.19,155400.0,41.19,40.31,40.25
1998-01-16,40.63,251100.0,40.81,40.5,40.44
1998-01-20,37.5,1051500.0,37.63,37.06,36.5
1998-01-21,36.88,1026300.0,36.88,36.81,35.75
1998-01-22,36.38,492700.0,36.63,36.38,36.13
1998-01-23,36.13,323500.0,36.38,36.0,35.63
1998-01-26,36.06,273000.0,36.25,36.19,35.56
1998-01-27,36.19,563700.0,36.44,36.25,35.81
1998-01-28,36.06,284000.0,36.5,36.5,36.06
1998-01-29,36.5,383800.0,37.0,36.75,36.38
1998-01-30,36.75,486500.0,36.88,36.63,36.56
1998-02-02,36.75,233000.0,36.88,36.69,36.5
1998-02-03,36.63,189200.0,36.81,36.63,36.38
1998-02-04,36.63,557800.0,36.63,36.5,36.25
1998-02-05,36.94,210000.0,37.13,36.94,36.63
1998-02-06,37.0,251100.0,37.56,37.56,36.75
1998-02-09,37.44,271700.0,37.94,37.88,37.44
1998-02-10,37.81,357200.0,38.31,37.94,37.81
1998-02-11,37.81,280600.0,37.88,37.75,37.63
1998-02-12,37.5,496100.0,37.94,37.81,37.38
1998-02-13,37.63,181800.0,37.88,37.5,37.44
1998-02-17,37.44,360600.0,38.0,38.0,37.13
1998-02-18,38.0,267600.0,38.25,38.0,37.94
1998-02-19,38.0,386300.0,38.19,38.19,38.0
1998-02-20,38.13,798600.0,38.31,38.31,37.81
1998-02-23,38.31,347100.0,38.63,38.63,38.06
1998-02-24,38.44,228500.0,38.5,38.5,38.13
1998-02-25,38.56,342500.0,38.75,38.38,38.38
1998-02-26,38.25,152800.0,38.44,38.19,38.06
1998-02-27,38.13,218800.0,38.49,38.44,38.06
1998-03-02,38.19,219700.0,38.5,38.44,38.19
1998-03-03,38.44,416300.0,38.5,38.44,38.38
1998-03-04,38.38,146700.0,38.5,38.38,38.25
1998-03-05,38.19,293600.0,38.44,38.31,38.13
1998-03-06,37.38,3544900.0,38.13,38.13,37.38
1998-03-09,38.0,309000.0,38.06,37.81,37.75
1998-03-10,37.81,290000.0,38.25,38.13,37.75
1998-03-11,38.06,543800.0,38.88,38.75,38.06
