date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,51.44,269600.0,51.63,51.25,51.19
1998-01-05,51.38,381100.0,51.69,51.06,50.75
1998-01-06,51.06,877900.0,51.06,50.94,50.63
1998-01-07,50.75,1263200.0,50.81,50.75,50.25
1998-01-08,50.75,523500.0,51.0,50.88,50.56
1998-01-09,51.0,375900.0,51.0,50.56,50.38
1998-01-12,50.44,398400.0,51.19,51.13,50.38
1998-01-13,51.13,280800.0,51.19,51.0,50.44
1998-01-14,50.94,297900.0,50.94,50.81,50.56
1998-01-15,50.56,310100.0,50.56,50.13,50.0
1998-01-16,50.13,432100.0,50.25,50.13,49.94
1998-01-20,50.13,363900.0,50.25,50.13,49.75
1998-01-21,49.88,711400.0,50.31,50.31,49.88
1998-01-22,50.25,270100.0,50.69,50.69,50.19
1998-01-23,50.63,255800.0,50.75,50.44,50.0
1998-01-26,50.5,202600.0,50.56,50.44,50.31
1998-01-27,50.25,387400.0,50.5,49.88,49.88
1998-01-28,49.69,1000100.0,49.88,49.38,49.13
1998-01-29,49.31,459800.0,50.06,49.75,49.06
1998-01-30,49.75,314400.0,49.75,49.31,49.25
1998-02-02,49.44,852300.0,50.19,49.88,49.38
1998-02-03,49.75,465000.0,49.88,49.31,49.31
1998-02-04,49.31,649300.0,49.38,48.94,48.94
1998-02-05,49.0,1786200.0,49.5,49.5,49.0
1998-02-06,48.88,973500.0,49.38,49.31,48.88
1998-02-09,49.13,622000.0,49.19,49.0,48.81
1998-02-10,49.0,208900.0,49.5,49.06,48.63
1998-02-11,49.19,187800.0,49.19,49.0,48.5
1998-02-12,48.75,573000.0,49.31,49.06,48.5
1998-02-13,49.06,391700.0,49.38,49.13,49.0
1998-02-17,49.0,255000.0,49.19,49.13,49.0
1998-02-18,49.19,159300.0,49.38,49.19,49.13
1998-02-19,49.19,338700.0,49.25,48.94,48.88
1998-02-20,49.13,838300.0,49.31,49.31,48.88
1998-02-23,49.31,755500.0,49.31,48.94,48.81
1998-02-24,48.81,222400.0,48.88,48.75,48.38
1998-02-25,48.81,301400.0,48.94,48.69,48.5
1998-02-26,48.56,328500.0,48.63,48.38,48.19
1998-02-27,48.38,502000.0,48.38,48.0,48.0
1998-03-02,47.81,207300.0,48.44,48.25,47.81
1998-03-03,48.38,393400.0,48.5,48.13,48.06
1998-03-04,48.19,252000.0,48.25,48.19,48.0
1998-03-05,48.0,221600.0,48.25,48.19,48.0
1998-03-06,48.25,198000.0,48.56,48.38,48.19
