date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,70.69,381900.0,71.12,70.0,69.75
1998-01-05,70.5,1464900.0,70.94,70.38,69.75
1998-01-06,70.38,849800.0,72.69,72.31,70.38
1998-01-07,72.31,472600.0,73.0,73.0,71.0
1998-01-08,72.75,302700.0,72.75,71.12,70.62
1998-01-09,70.88,664100.0,71.5,69.62,69.0
1998-01-12,68.75,570600.0,70.44,70.44,68.38
1998-01-13,70.69,229600.0,70.69,70.31,69.69
1998-01-14,70.5,353600.0,70.75,70.19,69.81
1998-01-15,70.19,413000.0,71.81,71.5,70.06
1998-01-16,72.0,390300.0,72.56,71.88,71.62
1998-01-20,71.88,449900.0,72.94,72.81,71.88
1998-01-21,72.56,576300.0,74.0,73.38,72.5
1998-01-22,73.25,836100.0,74.62,74.38,73.19
1998-01-23,74.62,341600.0,74.94,73.88,73.56
1998-01-26,73.81,424500.0,74.88,74.88,73.81
1998-01-27,75.5,498800.0,77.12,76.06,75.44
1998-01-28,75.88,502300.0,75.94,75.44,74.62
1998-01-29,75.06,392800.0,76.25,75.19,74.88
1998-01-30,74.94,418800.0,75.25,73.5,73.31
1998-02-02,74.88,838500.0,77.25,76.69,74.88
1998-02-03,76.5,713800.0,76.69,76.44,75.56
1998-02-04,76.38,1349300.0,79.38,79.19,76.38
1998-02-05,79.94,992300.0,80.56,80.0,79.31
1998-02-06,79.75,372300.0,80.88,80.38,79.56
1998-02-09,81.0,501300.0,83.0,83.0,80.94
1998-02-10,83.38,827900.0,83.88,82.81,82.38
1998-02-11,82.81,795100.0,84.38,83.19,82.81
1998-02-12,83.25,666300.0,83.69,83.62,82.88
1998-02-13,83.88,401900.0,84.44,84.25,83.12
1998-02-17,84.0,999600.0,84.19,84.19,83.62
1998-02-18,84.0,1018200.0,84.62,84.56,84.0
1998-02-19,84.5,337300.0,84.56,84.5,84.0
1998-02-20,85.12,640900.0,86.38,86.06,84.88
1998-02-23,86.12,368200.0,86.25,86.12,85.5
1998-02-24,86.25,575300.0,86.94,86.81,86.06
1998-02-25,87.0,651100.0,88.5,87.69,86.88
1998-02-26,87.69,350400.0,88.44,87.62,87.56
1998-02-27,87.5,443200.0,87.5,87.38,86.75
1998-03-02,87.12,775200.0,87.12,86.88,85.75
1998-03-03,86.0,696700.0,86.5,86.06,85.81
1998-03-04,85.94,729700.0,85.94,83.69,83.62
1998-03-05,82.62,1260600.0,83.0,82.38,81.0
1998-03-06,82.88,405600.0,84.62,83.25,82.25
1998-03-09,83.25,487700.0,83.38,82.44,82.06
1998-03-10,83.12,514400.0,83.38,81.88,81.88
1998-03-11,82.0,545200.0,83.19,82.88,81.5
1998-03-12,82.94,273900.0,84.75,83.88,82.81
1998-03-13,84.25,465500.0,85.38,84.31,84.19
1998-03-16,85.25,470500.0,85.94,84.56,84.31
1998-03-17,84.81,473900.0,85.69,85.69,84.81
1998-03-18,84.94,216400.0,85.62,85.19,84.38
1998-03-19,85.19,386200.0,85.75,85.06,84.69
1998-03-20,85.25,375400.0,85.44,85.19,84.81
1998-03-23,84.56,225900.0,84.88,83.94,83.94
