date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,110.3,816356.0,110.4,110.1,108.6
1998-01-05,110.3,1346844.0,110.4,109.4,107.6
1998-01-06,109.1,1693867.0,109.8,108.9,108.6
1998-01-07,109.1,1148444.0,109.1,107.9,106.8
1998-01-08,107.5,906667.0,107.7,107.3,106.5
1998-01-09,107.1,1429333.0,107.5,103.2,102.3
1998-01-12,101.0,2452622.0,101.9,101.2,100.1
1998-01-13,101.5,1959111.0,103.1,101.0,100.9
1998-01-14,102.0,1890844.0,102.3,100.6,99.94
1998-01-15,100.9,1173333.0,101.3,100.5,100.3
1998-01-16,101.0,1432889.0,102.2,101.5,100.9
1998-01-20,103.3,1478400.0,104.0,103.9,102.0
1998-01-21,103.1,1439289.0,104.9,104.3,103.1
1998-01-22,104.3,1321956.0,105.4,104.9,103.6
1998-01-23,104.9,1710222.0,106.8,106.6,104.1
1998-01-26,107.6,1350400.0,108.8,108.0,106.8
1998-01-27,108.0,1947022.0,111.4,111.1,107.8
1998-01-28,111.0,1032533.0,111.9,111.3,110.3
1998-01-29,111.0,1229511.0,112.4,110.6,110.3
1998-01-30,110.6,964978.0,111.6,110.3,110.2
1998-02-02,111.1,987022.0,112.3,112.2,111.1
1998-02-03,111.7,790756.0,113.7,113.6,111.5
1998-02-04,112.3,802133.0,114.2,113.1,112.1
1998-02-05,113.0,626489.0,113.9,113.2,111.8
1998-02-06,113.4,893867.0,113.9,113.9,113.0
1998-02-09,113.3,472178.0,113.6,113.4,112.8
1998-02-10,113.3,1009778.0,115.5,114.9,112.8
1998-02-11,115.3,755911.0,117.0,116.2,115.0
1998-02-12,116.2,1081600.0,119.2,118.8,115.4
1998-02-13,118.0,787911.0,118.0,117.5,116.3
1998-02-17,117.5,568178.0,118.1,116.9,116.5
1998-02-18,117.3,694044.0,118.4,117.8,117.1
1998-02-19,117.8,942933.0,117.8,116.8,116.4
1998-02-20,117.3,992000.0,118.3,118.2,116.4
1998-02-23,118.6,510578.0,118.8,118.4,117.1
1998-02-24,118.3,612978.0,118.9,118.2,117.0
1998-02-25,119.0,505600.0,120.9,120.1,118.3
1998-02-26,119.6,645689.0,120.8,120.6,118.2
1998-02-27,120.5,565333.0,120.8,120.2,119.5
1998-03-02,119.6,678400.0,120.4,120.3,119.1
1998-03-03,119.6,644978.0,122.0,121.9,119.3
1998-03-04,122.1,585956.0,122.2,120.8,120.2
1998-03-05,120.0,615111.0,120.6,119.6,118.2
1998-03-06,119.9,592356.0,121.4,121.3,119.8
1998-03-09,121.3,484267.0,122.9,122.8,121.0
1998-03-10,122.8,636444.0,123.4,122.0,121.8
1998-03-11,121.8,710400.0,122.6,122.6,121.0
1998-03-12,122.1,577422.0,122.6,122.3,121.1
1998-03-13,123.8,671289.0,124.3,124.2,121.8
1998-03-16,124.8,905244.0,127.4,127.1,124.8
1998-03-17,127.0,760178.0,128.5,128.1,126.3
1998-03-18,127.4,705422.0,128.1,125.8,125.1
1998-03-19,126.8,620089.0,126.8,126.5,124.8
1998-03-20,126.9,1330489.0,129.5,129.4,125.5
1998-03-23,129.1,819200.0,129.9,127.3,126.6
1998-03-24,127.9,711111.0,128.4,127.6,126.2
1998-03-25,127.7,977778.0,129.7,126.6,125.0
1998-03-26,126.3,791467.0,126.8,124.6,124.1
1998-03-27,125.6,1047467.0,125.9,123.8,123.1
1998-03-30,124.0,924444.0,125.5,122.3,121.6
1998-03-31,123.3,893156.0,127.1,125.9,123.2
1998-04-01,125.3,790756.0,127.8,126.3,125.0
1998-04-02,126.5,849778.0,127.6,127.3,126.1
1998-04-03,127.3,820622.0,128.2,127.6,126.2
1998-04-06,128.9,989156.0,129.9,127.3,127.3
1998-04-07,128.0,824178.0,128.0,125.1,124.1
1998-04-08,125.7,914489.0,125.8,124.9,124.3
1998-04-09,125.4,942222.0,127.8,127.5,125.0
1998-04-13,127.5,944356.0,129.6,128.8,126.0
1998-04-14,129.3,590933.0,129.8,129.3,128.1
1998-04-15,129.9,1297067.0,136.0,133.5,129.6
1998-04-16,134.3,1009778.0,134.4,134.1,132.5
1998-04-17,134.2,1153422.0,139.4,139.4,133.6
1998-04-20,138.4,1216711.0,138.5,136.9,134.5
1998-04-21,135.7,871822.0,138.9,138.4,134.8
1998-04-22,138.2,887467.0,140.3,140.2,137.8
1998-04-23,139.2,963556.0,139.9,138.2,136.4
1998-04-24,137.3,1235200.0,137.5,131.5,131.3
1998-04-27,129.2,1314133.0,132.9,129.2,128.4
1998-04-28,130.2,997689.0,130.5,127.5,126.9
1998-04-29,128.0,704000.0,129.9,128.6,126.5
1998-04-30,130.0,879644.0,132.7,131.6,129.6
1998-05-01,132.6,898133.0,133.3,132.4,130.8
1998-05-04,132.5,470756.0,133.8,131.6,131.1
1998-05-05,130.8,573867.0,130.8,129.7,128.5
1998-05-06,129.4,789333.0,129.4,127.4,127.1
1998-05-07,127.3,682667.0,127.4,125.7,125.6
1998-05-08,125.7,886756.0,129.3,128.7,125.7
1998-05-11,128.9,920178.0,130.8,128.3,127.9
1998-05-12,128.9,998400.0,129.1,127.3,125.5
1998-05-13,127.6,713244.0,129.9,129.9,127.0
1998-05-14,129.1,477156.0,129.6,128.4,128.1
1998-05-15,128.7,971378.0,130.9,129.4,128.0
1998-05-18,129.5,596622.0,130.9,129.3,127.9
1998-05-19,130.3,833422.0,130.4,128.4,127.6
1998-05-20,128.1,1098667.0,128.9,128.6,126.5
1998-05-21,129.1,878933.0,129.9,128.4,127.6
1998-05-22,128.6,512711.0,129.2,127.2,126.9
1998-05-26,128.2,634311.0,128.5,125.7,125.6
1998-05-27,125.4,1219556.0,125.4,124.3,121.7
1998-05-28,124.0,657778.0,125.5,125.2,123.7
1998-05-29,126.0,749511.0,126.1,123.8,123.8
1998-06-01,124.6,924444.0,124.9,122.7,121.9
1998-06-02,123.8,759467.0,124.7,123.4,123.0
1998-06-03,123.3,1135644.0,126.7,125.7,123.3
1998-06-04,125.8,1284978.0,130.0,129.5,125.7
1998-06-05,130.0,937244.0,130.4,130.3,129.0
1998-06-08,130.4,1297778.0,136.3,133.9,130.4
1998-06-09,133.9,972800.0,138.2,137.3,133.6
1998-06-10,136.56,945067.0,138.5,137.18,135.18
1998-06-11,136.9,1112178.0,137.0,133.8,132.8
1998-06-12,133.5,1114311.0,136.6,136.1,131.9
1998-06-15,134.8,901689.0,135.0,132.0,132.0
1998-06-16,131.4,1127111.0,132.5,130.7,129.3
1998-06-17,131.2,1158400.0,134.0,132.9,131.2
1998-06-18,132.2,759467.0,132.9,130.6,130.3
1998-06-19,130.9,1498311.0,134.9,134.9,130.9
1998-06-22,134.4,912356.0,136.9,133.1,133.0
1998-06-23,133.4,915911.0,135.0,134.8,133.4
1998-06-24,134.9,956444.0,140.2,139.6,134.1
1998-06-25,139.6,1068800.0,141.8,140.7,139.3
1998-06-26,140.7,777956.0,142.1,141.7,140.7
1998-06-29,142.7,876800.0,144.9,143.3,142.6
1998-06-30,143.1,1582933.0,146.0,146.0,141.8
1998-07-01,146.0,859022.0,146.4,146.2,144.4
1998-07-02,147.0,662756.0,147.0,146.9,144.9
1998-07-06,146.7,727467.0,149.9,148.9,146.6
1998-07-07,149.0,1083733.0,149.9,148.8,147.9
1998-07-08,148.4,532622.0,149.9,148.8,148.4
1998-07-09,147.8,935111.0,148.6,146.9,146.5
1998-07-10,146.1,1011200.0,149.8,149.0,144.9
1998-07-13,148.8,819200.0,149.9,149.3,148.5
1998-07-14,148.0,1287822.0,152.3,151.4,147.9
1998-07-15,151.0,929422.0,151.1,149.3,148.3
1998-07-16,149.4,1050311.0,149.6,147.7,146.3
1998-07-17,148.0,1156978.0,152.6,151.7,147.8
1998-07-20,151.4,697600.0,153.5,152.2,150.5
1998-07-21,152.1,824889.0,153.0,148.5,148.3
1998-07-22,148.3,1446400.0,149.3,145.0,145.0
1998-07-23,145.0,1905778.0,147.8,145.5,143.8
