date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,36.75,130000.0,36.94,36.69,36.19
1998-01-05,36.5,149400.0,36.63,36.38,35.88
1998-01-06,36.13,126300.0,36.56,36.56,36.0
1998-01-07,36.38,229800.0,36.63,36.56,36.13
1998-01-08,36.56,290300.0,36.69,36.5,36.38
1998-01-09,36.5,226000.0,36.56,36.44,36.13
1998-01-12,36.38,299500.0,36.63,36.63,36.0
1998-01-13,36.63,175600.0,36.88,36.63,36.5
1998-01-14,36.81,100000.0,37.25,37.13,36.63
1998-01-15,37.13,229500.0,37.38,37.38,37.13
1998-01-16,37.44,88200.0,37.56,37.44,37.31
1998-01-20,37.5,166000.0,37.56,37.44,37.19
1998-01-21,37.44,144200.0,37.63,37.38,37.25
1998-01-22,37.38,119400.0,37.75,37.75,37.31
1998-01-23,37.88,146700.0,38.13,37.25,37.0
1998-01-26,37.19,125000.0,37.75,37.75,37.0
1998-01-27,37.75,66500.0,37.88,37.44,37.44
1998-01-28,37.63,176200.0,37.75,37.5,37.38
1998-01-29,37.5,47400.0,37.88,37.44,37.38
1998-01-30,37.38,92200.0,37.38,37.13,36.75
1998-02-02,37.25,83900.0,37.5,37.31,37.13
1998-02-03,37.25,214000.0,37.75,37.56,37.25
1998-02-04,37.25,78500.0,37.75,37.75,37.13
1998-02-05,37.88,124100.0,38.0,37.56,37.25
1998-02-06,37.75,99100.0,37.81,37.81,37.06
1998-02-09,37.88,231300.0,38.0,37.63,37.5
1998-02-10,37.5,112900.0,37.69,37.63,37.5
1998-02-11,37.63,293200.0,37.63,36.75,36.5
1998-02-12,36.56,97200.0,36.75,36.56,36.44
1998-02-13,36.56,57800.0,36.56,36.25,35.94
1998-02-17,36.5,83900.0,36.63,36.56,36.38
1998-02-18,36.63,208900.0,36.81,36.63,36.25
1998-02-19,36.5,41100.0,36.81,36.25,36.13
1998-02-20,36.0,51700.0,36.25,36.19,35.63
1998-02-23,36.06,42800.0,36.44,36.31,36.06
1998-02-24,36.75,85200.0,37.0,36.13,36.13
1998-02-25,36.5,74200.0,36.63,36.13,36.0
1998-02-26,36.06,55900.0,36.31,36.06,35.75
1998-02-27,36.19,44900.0,36.44,36.44,36.0
1998-03-02,36.5,36600.0,36.75,36.63,36.38
1998-03-03,36.38,91900.0,37.0,36.63,36.38
1998-03-04,36.69,51500.0,36.88,36.81,36.69
1998-03-05,36.75,45900.0,36.81,36.5,36.38
1998-03-06,36.63,45300.0,36.94,36.38,36.19
1998-03-09,36.25,111800.0,36.5,35.38,35.38
1998-03-10,35.38,166000.0,35.38,34.94,34.25
1998-03-11,35.0,66500.0,35.13,35.0,34.75
1998-03-12,35.13,61600.0,35.25,34.81,34.75
1998-03-13,34.88,79100.0,34.88,34.56,34.44
1998-03-16,34.5,42600.0,34.94,34.56,34.5
1998-03-17,34.56,516100.0,36.5,36.44,34.56
1998-03-18,36.0,589700.0,36.25,36.0,35.75
1998-03-19,35.63,155300.0,36.0,35.88,35.63
1998-03-20,35.88,391500.0,36.5,36.38,35.88
1998-03-23,36.25,72600.0,36.69,36.63,36.25
1998-03-24,38.0,202500.0,38.0,37.19,37.19
1998-03-25,37.31,136100.0,37.5,37.44,37.0
1998-03-26,37.5,77400.0,38.0,38.0,37.38
1998-03-27,37.88,79300.0,38.63,38.56,37.75
1998-03-30,38.5,115100.0,38.56,37.94,37.88
1998-03-31,37.88,101900.0,38.5,38.5,37.63
1998-04-01,38.38,40800.0,38.38,38.0,37.94
1998-04-02,38.06,138000.0,38.5,38.19,37.88
1998-04-03,38.13,59800.0,38.44,38.44,38.0
1998-04-06,38.38,157400.0,38.63,38.56,38.31
1998-04-07,38.56,162100.0,39.38,39.13,38.44
1998-04-08,39.13,56300.0,39.25,38.75,38.63
1998-04-09,38.88,60000.0,38.88,38.63,38.56
1998-04-13,38.56,67400.0,38.56,38.5,38.31
1998-04-14,38.5,104500.0,38.56,38.44,38.38
1998-04-15,38.44,134200.0,38.53,38.38,38.19
1998-04-16,38.38,65700.0,38.38,38.0,37.81
1998-04-17,38.25,74900.0,38.38,38.06,38.0
1998-04-20,38.06,61700.0,38.06,38.0,37.88
1998-04-21,38.06,229700.0,38.13,38.0,37.81
1998-04-22,38.0,76300.0,38.0,38.0,37.88
1998-04-23,38.0,74000.0,38.0,37.75,37.63
1998-04-24,37.63,62300.0,37.69,37.31,37.06
1998-04-27,37.06,105100.0,37.06,37.0,36.56
1998-04-28,36.88,56700.0,37.13,37.0,36.75
1998-04-29,37.06,59500.0,37.19,37.13,36.94
1998-04-30,37.13,139700.0,37.38,37.38,37.0
1998-05-01,37.38,200800.0,38.5,38.44,37.38
1998-05-04,38.44,311900.0,38.5,38.44,38.38
1998-05-05,37.88,88200.0,37.94,37.94,37.75
1998-05-06,37.88,136200.0,38.25,38.19,37.88
1998-05-07,38.19,83300.0,38.25,38.13,38.0
1998-05-08,38.13,98100.0,38.13,38.13,37.94
1998-05-11,38.19,191400.0,38.38,37.56,37.5
1998-05-12,37.38,118400.0,37.38,37.19,36.5
1998-05-13,37.06,42300.0,37.44,37.0,36.88
1998-05-14,36.94,74900.0,37.13,37.06,36.88
1998-05-15,37.25,182100.0,37.25,36.94,36.81
1998-05-18,36.88,183400.0,37.06,37.0,36.81
1998-05-19,37.06,78400.0,37.5,37.5,37.0
1998-05-20,37.38,62000.0,37.75,37.63,37.38
1998-05-21,37.75,131100.0,38.13,38.06,37.63
1998-05-22,38.06,103000.0,38.13,38.0,37.88
1998-05-26,37.88,70600.0,38.06,38.0,37.88
1998-05-27,38.06,179700.0,38.13,38.13,37.88
1998-05-28,38.06,62900.0,38.69,38.69,38.06
1998-05-29,38.81,235000.0,39.13,39.0,38.69
1998-06-01,39.0,58700.0,39.25,38.75,38.69
1998-06-02,38.56,168000.0,39.13,38.94,38.56
1998-06-03,38.94,142200.0,39.0,38.88,38.81
1998-06-04,38.75,130800.0,38.88,38.88,38.5
1998-06-05,38.94,134900.0,38.94,38.88,38.69
1998-06-08,38.88,43100.0,38.94,38.88,38.75
1998-06-09,38.81,27100.0,38.94,38.94,38.69
1998-06-10,38.94,179200.0,39.06,38.62,38.62
1998-06-11,38.63,217400.0,38.63,38.31,38.31
1998-06-12,38.19,204100.0,38.38,38.0,37.75
1998-06-15,37.75,96200.0,38.0,38.0,37.13
1998-06-16,37.88,50200.0,38.25,37.88,37.75
1998-06-17,37.88,30200.0,38.13,37.94,37.75
1998-06-18,38.0,63600.0,38.31,38.06,38.0
1998-06-19,37.81,94800.0,37.94,37.63,37.5
1998-06-22,37.75,44800.0,38.13,37.69,37.63
1998-06-23,37.69,58000.0,38.31,38.31,37.69
1998-06-24,38.19,300500.0,38.63,38.06,38.06
1998-06-25,38.06,76500.0,38.25,37.81,37.5
1998-06-26,37.81,119500.0,38.31,38.19,37.75
1998-06-29,38.19,193500.0,38.5,38.5,38.0
1998-06-30,39.0,291500.0,39.88,39.5,38.88
1998-07-01,39.5,83000.0,39.5,39.13,38.75
1998-07-02,39.13,56600.0,39.44,39.31,39.0
1998-07-06,39.31,86900.0,39.5,39.38,39.25
1998-07-07,39.38,79600.0,39.75,39.5,39.25
1998-07-08,39.44,55400.0,39.88,39.88,39.38
1998-07-09,39.63,214200.0,41.0,40.69,39.63
1998-07-10,40.69,254600.0,40.69,40.44,40.31
1998-07-13,40.38,104000.0,40.56,40.44,40.25
1998-07-14,40.38,115300.0,40.38,40.0,40.0
1998-07-15,40.0,119700.0,40.0,39.94,39.75
1998-07-16,39.88,207100.0,40.44,40.44,39.75
1998-07-17,40.31,86900.0,40.38,39.94,39.94
1998-07-20,39.88,161100.0,40.13,40.13,39.75
1998-07-21,40.19,80700.0,40.25,40.13,40.0
1998-07-22,40.0,96300.0,40.0,39.56,39.25
1998-07-23,39.5,72000.0,39.94,39.63,39.44
1998-07-24,39.75,43700.0,39.75,39.44,39.38
1998-07-27,39.5,88600.0,39.5,39.38,39.25
1998-07-28,39.38,111400.0,39.38,38.5,38.06
1998-07-29,38.63,115600.0,38.69,38.25,38.13
1998-07-30,38.25,115700.0,38.25,38.0,37.88
1998-07-31,38.0,54100.0,38.13,38.0,37.94
1998-08-03,38.0,87900.0,38.13,37.81,37.63
1998-08-04,37.94,148000.0,37.94,36.81,36.75
1998-08-05,36.31,288300.0,36.69,36.63,36.19
1998-08-06,36.5,152400.0,36.75,36.69,36.38
1998-08-07,36.69,74200.0,37.63,37.56,36.69
1998-08-10,37.44,34800.0,38.0,37.75,37.06
1998-08-11,38.13,135800.0,38.13,37.44,37.25
1998-08-12,38.13,152500.0,38.13,37.88,37.25
1998-08-13,37.88,53500.0,37.94,37.81,37.56
1998-08-14,37.63,506900.0,38.25,38.06,37.5
1998-08-17,38.06,172000.0,38.31,38.25,37.81
1998-08-18,38.25,389500.0,38.25,38.25,37.88
1998-08-19,38.19,100200.0,38.25,38.19,38.0
1998-08-20,38.13,115500.0,38.5,38.5,38.0
1998-08-21,38.5,38100.0,38.5,38.0,37.94
1998-08-24,38.0,156500.0,38.75,38.75,37.94
1998-08-25,38.63,91000.0,38.88,38.75,38.5
1998-08-26,38.75,96000.0,38.78,37.94,37.75
1998-08-27,37.75,81000.0,37.75,36.94,36.75
1998-08-28,36.81,95800.0,37.0,36.25,36.13
1998-08-31,36.38,146500.0,36.5,34.25,33.38
1998-09-01,33.75,245800.0,34.25,34.0,33.38
1998-09-02,34.13,166400.0,34.5,34.25,33.81
1998-09-03,34.38,72800.0,34.75,34.44,34.25
1998-09-04,34.31,136900.0,35.06,35.06,34.0
1998-09-08,35.0,118300.0,35.0,34.94,34.81
1998-09-09,34.81,85900.0,34.88,34.38,34.31
1998-09-10,34.31,93800.0,34.38,33.69,33.5
1998-09-11,33.44,149800.0,33.5,33.0,31.75
1998-09-14,33.0,176800.0,33.0,32.75,32.44
1998-09-15,32.5,302900.0,32.63,32.25,30.94
1998-09-16,32.38,383600.0,34.19,33.75,32.25
1998-09-17,33.75,156300.0,33.81,33.75,33.5
1998-09-18,33.94,206000.0,34.06,34.06,33.81
1998-09-21,33.81,168100.0,35.44,35.44,33.75
1998-09-22,36.25,399800.0,37.75,37.19,36.25
1998-09-23,37.38,367000.0,37.56,37.56,37.31
1998-09-24,37.56,391900.0,37.63,37.5,36.38
1998-09-25,37.56,310200.0,37.56,37.25,37.13
1998-09-28,37.25,233200.0,37.25,37.13,36.94
1998-09-29,37.0,302100.0,37.0,36.69,36.38
1998-09-30,36.56,437000.0,37.75,37.75,36.19
1998-10-01,37.13,257100.0,37.13,36.56,36.06
1998-10-02,36.56,181000.0,36.56,36.38,36.13
1998-10-05,36.25,104400.0,36.31,35.0,34.63
1998-10-06,35.0,449300.0,35.13,34.94,34.69
1998-10-07,34.81,722900.0,34.81,33.75,33.5
1998-10-08,33.5,474600.0,33.5,30.5,30.38
1998-10-09,30.5,580700.0,33.0,31.88,30.5
1998-10-12,32.13,427000.0,32.75,31.88,31.75
1998-10-13,31.88,1306200.0,31.88,31.44,30.0
1998-10-14,31.44,608000.0,31.69,31.63,31.25
1998-10-15,31.69,384400.0,32.13,32.13,31.63
1998-10-16,32.13,450800.0,33.25,32.81,32.13
1998-10-19,32.81,249300.0,33.06,32.81,32.56
1998-10-20,33.0,186100.0,33.63,33.44,32.94
1998-10-21,33.81,261100.0,34.0,33.81,33.44
1998-10-22,33.81,93100.0,34.06,34.0,33.81
1998-10-23,34.0,148700.0,34.94,34.44,34.0
1998-10-26,34.31,59900.0,34.38,34.31,34.0
1998-10-27,34.44,164300.0,35.13,34.88,34.44
