date,1. open,5. volume,2. high,4. close,3. low
2004-02-05,23.75,27565200.0,24.94,24.7,23.25
2004-02-06,24.71,5284400.0,24.94,24.85,24.15
2004-02-09,24.6,3252900.0,24.7,24.47,24.0
2004-02-10,24.15,1651600.0,24.47,24.35,24.05
2004-02-11,24.28,2010200.0,24.5,24.25,24.15
2004-02-12,24.19,1637500.0,25.0,24.68,24.17
2004-02-13,24.79,612000.0,24.84,24.7,24.28
2004-02-17,24.75,592300.0,24.9,24.6,24.5
2004-02-18,24.6,805700.0,25.4,25.4,24.35
2004-02-19,25.25,1494600.0,25.98,25.68,25.25
2004-02-20,25.69,742000.0,25.69,25.35,25.0
2004-02-23,25.39,1331500.0,25.39,24.55,24.35
2004-02-24,24.4,963600.0,24.97,24.8,24.21
2004-02-25,24.8,321700.0,25.0,24.85,24.7
2004-02-26,24.85,617200.0,25.27,25.24,24.6
2004-02-27,25.15,1569100.0,25.75,25.74,25.11
2004-03-01,25.74,851700.0,26.19,25.8,25.7
2004-03-02,25.95,595600.0,25.95,25.94,25.1
2004-03-03,25.7,457000.0,25.8,25.48,25.35
2004-03-04,25.48,1060200.0,25.75,25.21,24.75
2004-03-05,25.02,450200.0,25.64,25.55,25.0
2004-03-08,25.55,370100.0,25.65,25.48,25.17
2004-03-09,25.5,816200.0,25.51,25.0,24.71
2004-03-10,24.75,1034300.0,24.85,24.65,24.4
2004-03-11,24.15,2538500.0,24.65,24.2,24.15
2004-03-12,24.34,1501700.0,24.65,24.5,24.25
2004-03-15,24.75,1595900.0,24.75,24.0,23.74
2004-03-16,24.5,1525800.0,24.55,24.23,24.18
2004-03-17,24.2,1051700.0,24.5,24.07,24.06
2004-03-18,24.07,1006800.0,24.1,23.8,23.71
2004-03-19,23.75,759200.0,23.84,23.74,23.4
2004-03-22,23.4,1018700.0,23.75,23.7,23.09
2004-03-23,23.75,678300.0,24.0,24.0,23.51
2004-03-24,24.0,510900.0,24.05,23.8,23.77
2004-03-25,23.65,1499800.0,24.06,23.96,23.49
2004-03-26,23.87,887500.0,24.34,24.1,23.87
2004-03-29,24.11,823900.0,24.44,24.37,24.11
2004-03-30,24.2,739300.0,24.75,24.72,24.18
2004-03-31,24.75,728500.0,25.29,25.15,24.6
2004-04-01,25.25,1568800.0,25.4,25.25,24.78
2004-04-02,25.36,1166400.0,25.41,25.22,24.75
2004-04-05,25.05,544200.0,25.53,25.51,24.9
2004-04-06,25.45,697900.0,26.0,25.94,25.25
2004-04-07,25.75,444100.0,25.86,25.73,25.4
2004-04-08,25.84,657400.0,26.26,26.22,25.7
2004-04-12,26.15,804000.0,26.25,25.88,25.71
2004-04-13,25.98,860800.0,26.16,25.25,25.15
2004-04-14,25.25,1518700.0,25.45,25.19,24.97
2004-04-15,25.3,1406600.0,25.75,25.25,25.07
2004-04-16,25.3,272100.0,25.64,25.54,25.05
2004-04-19,25.45,627800.0,26.13,25.73,25.45
