date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,34.56,10700.0,34.69,34.19,34.13
1998-01-05,34.19,6200.0,34.5,34.44,34.0
1998-01-06,34.38,31100.0,34.63,34.31,34.25
1998-01-07,34.31,4900.0,34.38,34.25,34.25
1998-01-08,34.25,8700.0,34.25,33.81,33.63
1998-01-09,33.75,24500.0,34.31,33.88,33.75
1998-01-12,33.81,10900.0,33.94,33.75,33.56
1998-01-13,33.81,15500.0,34.19,34.13,33.63
1998-01-14,34.13,6000.0,34.44,34.0,34.0
1998-01-15,34.19,14000.0,34.25,33.75,33.56
1998-01-16,34.0,15100.0,34.0,33.94,33.72
1998-01-20,33.94,89900.0,35.0,34.94,33.81
1998-01-21,34.94,45500.0,35.38,35.0,34.75
1998-01-22,34.75,283300.0,35.94,35.69,34.75
1998-01-23,35.94,39100.0,36.94,36.75,35.94
1998-01-26,36.5,72300.0,36.63,35.88,35.69
1998-01-27,35.81,48900.0,37.0,36.88,35.81
1998-01-28,36.94,52400.0,37.44,37.13,36.63
1998-01-29,36.94,52800.0,37.19,36.81,36.75
1998-01-30,36.81,60300.0,37.38,37.0,36.81
1998-02-02,37.25,82700.0,38.38,38.31,37.25
1998-02-03,38.31,58200.0,39.5,39.19,38.31
1998-02-04,39.13,230500.0,39.5,38.88,38.69
1998-02-05,39.44,100000.0,39.44,39.13,38.88
1998-02-06,39.38,34400.0,39.38,38.5,38.5
1998-02-09,38.94,81900.0,39.5,39.5,38.69
1998-02-10,39.5,15700.0,39.5,39.13,39.0
1998-02-11,39.19,36000.0,39.38,39.13,38.75
1998-02-12,39.38,31200.0,39.5,39.19,39.0
1998-02-13,39.19,34600.0,39.5,39.44,38.75
1998-02-17,39.44,18700.0,39.5,39.19,39.0
1998-02-18,39.0,21200.0,39.44,39.38,39.0
1998-02-19,39.38,35800.0,39.38,37.75,37.75
1998-02-20,38.0,36300.0,38.63,38.38,37.5
1998-02-23,38.63,45400.0,38.94,38.81,38.13
1998-02-24,38.94,122600.0,39.75,39.69,38.81
1998-02-25,39.75,70600.0,41.5,40.5,39.75
1998-02-26,40.5,40000.0,40.63,40.56,39.75
1998-02-27,40.56,33600.0,41.5,41.31,40.56
1998-03-02,41.5,44000.0,42.0,40.69,40.25
1998-03-03,40.13,62400.0,42.0,42.0,40.13
1998-03-04,42.0,28200.0,43.0,42.56,42.0
1998-03-05,42.0,65600.0,43.0,42.19,42.0
1998-03-06,41.5,101400.0,42.88,42.44,41.5
1998-03-09,42.31,69800.0,42.94,42.63,42.25
1998-03-10,42.5,11100.0,42.94,42.63,42.44
1998-03-11,42.88,44800.0,43.19,43.19,42.63
1998-03-12,42.94,21600.0,42.94,42.56,42.38
1998-03-13,42.69,56900.0,42.94,42.88,42.63
1998-03-16,42.5,43500.0,43.13,42.94,42.38
1998-03-17,43.0,18300.0,43.0,42.25,42.25
1998-03-18,42.25,106800.0,43.63,43.0,42.0
1998-03-19,43.0,36000.0,44.06,43.75,43.0
1998-03-20,43.38,30000.0,44.5,44.25,43.19
1998-03-23,43.88,38500.0,45.0,44.56,43.63
1998-03-24,44.38,25800.0,45.44,45.38,44.38
1998-03-25,45.38,41100.0,46.13,45.25,45.06
1998-03-26,45.13,15900.0,45.13,44.94,44.5
1998-03-27,44.5,19200.0,45.0,44.38,44.25
1998-03-30,44.38,33700.0,44.63,43.31,42.63
1998-03-31,42.56,56700.0,44.13,43.31,42.56
1998-04-01,43.5,13000.0,43.88,43.75,42.75
1998-04-02,43.88,27200.0,44.44,44.44,43.88
1998-04-03,44.38,14500.0,44.88,44.56,44.38
1998-04-06,44.5,24300.0,44.88,44.75,44.13
1998-04-07,44.75,28300.0,44.75,43.94,43.88
1998-04-08,43.94,12400.0,44.31,44.13,43.81
1998-04-09,44.13,24600.0,44.69,44.69,44.0
1998-04-13,44.63,25100.0,44.75,44.0,43.94
1998-04-14,44.25,45500.0,46.56,46.31,44.25
1998-04-15,46.06,76300.0,46.38,45.25,45.25
1998-04-16,45.13,30100.0,45.13,44.88,44.69
1998-04-17,44.75,20500.0,45.81,45.69,44.75
1998-04-20,45.75,51500.0,46.5,46.19,45.75
1998-04-21,46.13,22100.0,46.5,46.0,45.75
1998-04-22,46.25,13600.0,46.38,45.56,45.0
1998-04-23,46.0,19000.0,46.0,45.25,45.19
1998-04-24,45.0,26800.0,45.5,45.38,44.75
1998-04-27,45.13,44400.0,45.13,43.63,43.5
1998-04-28,43.5,23800.0,44.0,43.94,43.5
1998-04-29,44.0,20200.0,44.0,44.0,43.88
1998-04-30,44.12,45000.0,44.25,43.88,43.88
1998-05-01,43.88,17700.0,44.13,43.69,43.38
1998-05-04,43.81,47200.0,43.94,43.81,43.69
1998-05-05,43.81,7600.0,43.88,43.13,43.13
1998-05-06,43.38,11500.0,43.38,42.5,42.5
1998-05-07,42.5,184000.0,43.0,42.88,42.0
1998-05-08,43.06,30300.0,44.0,43.25,43.06
1998-05-11,44.0,24100.0,44.0,43.75,43.25
1998-05-12,43.63,6900.0,43.88,43.0,43.0
1998-05-13,42.75,39000.0,42.94,42.94,42.56
1998-05-14,42.69,18600.0,42.88,42.38,42.13
1998-05-15,42.25,7500.0,42.63,42.31,42.25
1998-05-18,42.56,13600.0,42.56,42.0,42.0
1998-05-19,42.0,16600.0,42.81,42.81,41.94
1998-05-20,42.75,18700.0,42.81,42.75,42.75
1998-05-21,42.5,33600.0,42.75,42.63,42.44
1998-05-22,42.38,5700.0,42.38,42.19,42.13
1998-05-26,42.25,50600.0,43.25,43.0,42.25
1998-05-27,42.75,43900.0,42.75,42.13,42.13
1998-05-28,42.0,17800.0,42.38,42.38,41.88
1998-05-29,42.44,20200.0,43.69,43.13,42.44
1998-06-01,43.25,26700.0,44.31,44.06,43.25
1998-06-02,44.0,22600.0,44.25,44.06,43.88
1998-06-03,44.94,47800.0,44.94,44.38,44.38
1998-06-04,44.38,15600.0,44.94,44.88,44.38
1998-06-05,44.88,7600.0,44.88,44.38,44.38
1998-06-08,44.63,21200.0,44.94,44.5,44.5
1998-06-09,44.63,18300.0,44.63,43.88,43.5
1998-06-10,43.62,23800.0,44.0,43.06,43.06
1998-06-11,43.06,17300.0,43.06,42.0,42.0
1998-06-12,42.13,21300.0,42.88,42.81,42.06
1998-06-15,42.75,31400.0,42.75,42.75,42.19
1998-06-16,42.69,30800.0,42.75,42.69,42.5
1998-06-17,42.63,15100.0,43.69,43.38,42.63
1998-06-18,43.5,12000.0,43.5,43.25,43.13
1998-06-19,42.88,18800.0,42.88,42.31,42.25
1998-06-22,42.44,11200.0,43.44,43.44,42.44
1998-06-23,43.5,33700.0,44.88,44.81,43.5
1998-06-24,45.0,24600.0,45.69,45.5,44.94
1998-06-25,45.38,14600.0,45.94,45.63,45.38
1998-06-26,45.44,28100.0,45.69,45.63,44.94
1998-06-29,45.69,17000.0,45.69,44.5,44.25
1998-06-30,44.63,41800.0,45.13,44.75,44.63
1998-07-01,43.88,20300.0,44.75,44.5,43.88
1998-07-02,44.75,7900.0,44.75,44.38,44.25
1998-07-06,44.25,15600.0,44.38,44.06,44.0
1998-07-07,43.88,27900.0,43.88,43.56,43.25
1998-07-08,43.5,18000.0,44.06,44.06,43.38
1998-07-09,43.88,1200.0,44.5,44.5,43.88
1998-07-10,44.5,10000.0,44.5,44.31,43.88
1998-07-13,44.13,7200.0,45.0,45.0,44.13
1998-07-14,45.25,12800.0,45.5,45.38,45.13
1998-07-15,45.25,14600.0,45.25,45.25,45.06
1998-07-16,45.13,14800.0,45.44,45.38,45.13
1998-07-17,45.38,6400.0,45.5,45.5,45.31
1998-07-20,45.13,29200.0,45.78,44.81,44.63
1998-07-21,44.44,77200.0,44.5,44.38,44.0
1998-07-22,44.38,8400.0,44.5,43.88,43.88
1998-07-23,43.63,8800.0,43.63,42.75,42.69
1998-07-24,42.5,7800.0,42.5,42.0,42.0
1998-07-27,42.25,11500.0,42.25,41.88,41.5
1998-07-28,41.88,37800.0,41.88,40.19,39.94
1998-07-29,40.38,31800.0,40.75,40.31,40.25
1998-07-30,40.56,33600.0,41.0,40.31,40.0
1998-07-31,40.31,37400.0,40.31,39.19,39.0
1998-08-03,39.19,20800.0,40.25,39.19,39.13
1998-08-04,39.13,28900.0,39.31,37.88,37.88
1998-08-05,38.0,26200.0,38.94,38.94,38.0
1998-08-06,38.88,33600.0,39.94,39.88,38.88
1998-08-07,39.81,66200.0,39.94,39.5,39.44
1998-08-10,39.56,14900.0,39.63,39.5,39.5
1998-08-11,39.25,35500.0,39.25,38.94,38.25
1998-08-12,39.25,38300.0,39.25,39.25,38.25
1998-08-13,39.38,36100.0,39.5,38.38,38.19
1998-08-14,38.5,16000.0,38.88,38.19,38.13
1998-08-17,38.38,11700.0,39.38,39.06,38.38
1998-08-18,39.13,16900.0,39.94,39.5,39.13
1998-08-19,39.75,32600.0,39.75,37.38,37.38
1998-08-20,37.44,4100.0,37.56,37.38,37.38
1998-08-21,37.38,18400.0,38.06,38.06,37.13
1998-08-24,38.19,9300.0,38.44,38.31,38.06
1998-08-25,38.88,41700.0,39.88,39.56,38.88
1998-08-26,39.63,15100.0,39.63,38.38,38.38
1998-08-27,37.13,24700.0,38.19,37.13,37.0
1998-08-28,37.13,70100.0,37.25,37.19,37.0
1998-08-31,37.0,27300.0,37.25,37.0,36.94
1998-09-01,36.88,50400.0,38.25,38.19,36.63
1998-09-02,39.0,26900.0,39.25,38.81,38.75
1998-09-03,38.25,104700.0,38.5,38.31,38.0
1998-09-04,38.13,43600.0,38.63,38.44,38.06
1998-09-08,38.63,70000.0,39.75,39.75,38.63
1998-09-09,39.75,33500.0,39.75,38.94,38.88
1998-09-10,38.69,50300.0,38.81,38.56,38.5
1998-09-11,38.56,52700.0,39.94,39.94,38.56
1998-09-14,39.94,22200.0,40.0,40.0,39.88
1998-09-15,39.75,37600.0,39.81,39.69,39.63
1998-09-16,39.5,25400.0,39.94,39.94,39.5
1998-09-17,39.94,18700.0,39.94,39.38,39.31
1998-09-18,39.75,677800.0,41.0,40.25,39.69
1998-09-21,40.25,31600.0,40.38,40.38,39.44
1998-09-22,40.5,16000.0,41.38,41.38,40.5
1998-09-23,41.13,36400.0,43.38,43.06,41.09
1998-09-24,43.13,39400.0,43.13,42.0,41.63
1998-09-25,41.75,46400.0,42.38,42.13,41.63
1998-09-28,41.5,19400.0,42.03,41.75,41.19
1998-09-29,41.75,73000.0,41.75,40.38,40.0
1998-09-30,40.38,46200.0,41.25,41.25,40.38
1998-10-01,40.5,29000.0,40.56,39.94,39.88
1998-10-02,40.13,15200.0,40.25,40.06,40.0
1998-10-05,39.97,52200.0,40.0,39.38,39.25
1998-10-06,39.38,23100.0,39.38,38.19,37.63
1998-10-07,38.25,10600.0,38.44,38.44,38.25
1998-10-08,38.19,24700.0,38.44,38.06,37.44
1998-10-09,37.81,22400.0,37.88,37.56,37.31
1998-10-12,37.31,60600.0,37.5,37.38,37.31
1998-10-13,37.38,27700.0,37.38,37.38,36.56
1998-10-14,37.13,71500.0,37.13,36.44,34.88
1998-10-15,36.25,73400.0,40.0,40.0,35.75
1998-10-16,40.0,23900.0,41.0,39.75,39.69
1998-10-19,40.0,25900.0,40.13,38.88,38.63
1998-10-20,39.13,17400.0,40.59,39.44,39.13
1998-10-21,39.31,465500.0,40.88,40.31,39.31
1998-10-22,41.13,68900.0,43.19,42.94,41.0
1998-10-23,42.94,44400.0,44.19,42.5,42.5
1998-10-26,42.75,23900.0,42.94,42.19,42.19
1998-10-27,42.44,11900.0,42.63,42.44,41.94
1998-10-28,42.44,7400.0,42.56,42.56,42.38
1998-10-29,42.56,12100.0,42.63,42.25,42.0
1998-10-30,42.25,17900.0,42.63,42.38,42.19
1998-11-02,42.38,18700.0,42.63,42.56,42.25
1998-11-03,42.56,31900.0,43.0,42.75,42.38
1998-11-04,42.63,50400.0,43.88,43.5,42.63
1998-11-05,43.38,43900.0,43.94,43.44,43.19
1998-11-06,43.25,12700.0,43.44,43.31,43.0
1998-11-09,43.5,50700.0,44.94,44.94,43.5
1998-11-10,44.75,35200.0,45.25,45.13,44.5
1998-11-11,45.06,13800.0,45.19,45.19,45.0
1998-11-12,45.44,31100.0,45.94,45.44,45.25
1998-11-13,45.44,29100.0,46.19,45.75,45.44
1998-11-16,46.0,21100.0,46.06,44.94,44.88
1998-11-17,44.69,49700.0,45.0,45.0,43.81
1998-11-18,45.13,18300.0,45.94,45.88,45.13
1998-11-19,45.63,50200.0,45.75,45.63,45.44
1998-11-20,45.13,28700.0,45.81,45.81,45.13
1998-11-23,45.94,24000.0,45.94,44.75,44.75
1998-11-24,44.75,24000.0,45.38,45.31,44.63
1998-11-25,45.5,17800.0,46.25,45.88,45.25
1998-11-27,46.0,3300.0,46.19,46.13,45.81
1998-11-30,46.13,25600.0,46.75,46.38,45.88
1998-12-01,46.13,28900.0,46.13,45.38,45.0
1998-12-02,45.63,16300.0,45.63,44.88,44.56
1998-12-03,44.13,15000.0,44.31,44.25,44.06
1998-12-04,44.38,59800.0,45.06,45.06,44.31
1998-12-07,44.88,14700.0,44.94,44.94,44.81
1998-12-08,45.0,9800.0,45.0,44.63,44.38
1998-12-09,44.88,63400.0,45.25,45.0,44.63
1998-12-10,44.88,67200.0,45.38,45.13,44.88
1998-12-11,45.06,24800.0,45.88,45.88,45.0
1998-12-14,45.63,12200.0,45.63,44.56,44.5
1998-12-15,44.5,10700.0,44.5,43.75,43.69
1998-12-16,44.0,13000.0,44.0,42.63,42.63
1998-12-17,42.88,8500.0,44.19,44.19,42.88
1998-12-18,44.75,37600.0,45.0,43.94,43.75
1998-12-21,43.94,14300.0,43.94,43.69,43.44
1998-12-22,43.63,17400.0,43.63,43.38,43.0
1998-12-23,43.63,27000.0,43.75,43.63,42.75
1998-12-24,43.69,3000.0,43.69,43.19,43.19
1998-12-28,43.19,15900.0,44.81,44.75,43.19
1998-12-29,43.38,29900.0,43.69,43.69,43.0
1998-12-30,43.69,28700.0,43.94,43.75,43.19
1998-12-31,43.75,14000.0,44.25,44.13,43.75
1999-01-04,44.0,72800.0,44.5,44.44,43.31
1999-01-05,44.19,22500.0,45.75,45.5,44.19
1999-01-06,45.44,58100.0,46.75,45.75,45.44
1999-01-07,45.75,3400.0,45.75,45.13,45.13
1999-01-08,45.0,18600.0,45.0,44.56,44.13
1999-01-11,44.56,19700.0,45.13,45.0,44.56
1999-01-12,45.13,28600.0,45.19,44.88,44.81
1999-01-13,44.63,25300.0,45.13,44.5,44.25
1999-01-14,44.44,20700.0,44.5,43.63,43.5
1999-01-15,43.38,29300.0,43.56,42.38,42.25
1999-01-19,42.25,51200.0,44.94,44.5,42.25
1999-01-20,44.5,38000.0,44.94,44.94,44.25
1999-01-21,44.75,107000.0,45.13,44.5,44.38
1999-01-22,43.75,64900.0,44.0,43.88,43.63
1999-01-25,43.88,81900.0,45.44,45.0,43.88
1999-01-26,45.0,54400.0,45.25,45.06,44.75
