date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,23.88,59900.0,24.06,24.06,23.38
1998-01-05,23.94,90400.0,24.19,24.06,23.69
1998-01-06,24.06,337600.0,24.13,23.75,23.25
1998-01-07,23.63,57300.0,23.69,23.31,23.31
1998-01-08,23.19,34300.0,23.63,23.06,23.06
1998-01-09,23.25,33900.0,23.25,22.38,22.31
1998-01-12,22.13,63800.0,22.94,22.69,21.63
1998-01-13,22.63,69100.0,22.81,22.75,22.5
1998-01-14,22.69,239900.0,22.94,22.13,21.81
1998-01-15,22.38,131700.0,22.5,21.88,21.81
1998-01-16,21.94,66000.0,22.06,21.94,21.88
1998-01-20,22.0,79200.0,22.25,22.13,21.75
1998-01-21,22.13,54600.0,22.13,21.88,21.56
1998-01-22,21.88,33900.0,21.88,21.75,21.56
1998-01-23,21.75,72900.0,21.75,21.5,21.31
1998-01-26,21.13,73600.0,21.38,21.31,21.0
1998-01-27,21.19,103500.0,21.69,21.69,21.19
1998-01-28,21.94,126900.0,22.56,22.44,21.94
1998-01-29,22.44,89600.0,22.88,21.88,21.63
1998-01-30,21.81,121700.0,22.56,22.13,21.44
1998-02-02,22.25,87400.0,22.94,22.69,22.13
1998-02-03,22.81,88200.0,22.81,22.75,22.63
1998-02-04,22.75,124500.0,22.81,22.75,22.44
1998-02-05,22.63,39800.0,23.13,23.13,22.56
1998-02-06,23.19,59200.0,23.5,22.94,22.88
1998-02-09,22.94,39800.0,23.38,23.25,22.63
1998-02-10,23.31,38200.0,23.5,23.13,23.13
1998-02-11,23.06,83300.0,24.0,23.75,23.06
1998-02-12,23.69,97700.0,23.94,23.88,23.56
1998-02-13,23.69,25200.0,23.94,23.69,23.56
1998-02-17,23.56,29600.0,23.88,23.69,23.56
1998-02-18,23.56,35500.0,23.81,23.56,23.5
1998-02-19,23.5,56500.0,24.0,23.88,23.5
1998-02-20,23.81,67000.0,24.13,24.0,23.69
1998-02-23,24.0,41800.0,24.38,24.31,23.88
1998-02-24,24.13,61300.0,24.13,23.88,23.69
1998-02-25,23.69,103400.0,24.0,23.38,23.38
1998-02-26,23.25,71200.0,24.5,24.31,23.25
1998-02-27,24.19,36600.0,24.44,24.38,24.06
1998-03-02,24.31,75200.0,25.0,24.44,24.19
1998-03-03,24.31,579900.0,25.5,25.0,24.25
1998-03-04,24.88,76300.0,24.88,24.44,24.0
1998-03-05,24.38,144800.0,25.0,24.94,24.06
1998-03-06,24.75,70600.0,25.19,24.69,24.56
1998-03-09,24.88,46200.0,25.38,24.56,24.44
1998-03-10,24.44,46100.0,25.19,25.0,24.31
1998-03-11,24.88,181100.0,24.94,24.88,24.19
1998-03-12,24.88,25300.0,24.94,24.69,24.69
1998-03-13,24.63,18500.0,24.75,24.63,24.44
