date,1. open,5. volume,2. high,4. close,3. low
2001-01-30,18.13,812300.0,18.19,16.88,16.25
2001-01-31,17.13,1212700.0,17.19,13.5,13.44
2001-02-01,13.13,669100.0,14.38,14.19,13.0
2001-02-02,14.0,775000.0,14.56,14.13,13.75
2001-02-05,14.44,489400.0,14.5,14.13,13.88
2001-02-06,14.02,737900.0,14.06,14.0,13.88
2001-02-07,14.0,1361000.0,14.06,13.06,13.0
2001-02-08,13.13,712000.0,13.19,13.06,13.0
2001-02-09,13.05,1100800.0,13.06,12.0,11.88
2001-02-12,12.05,552000.0,12.13,11.06,10.94
2001-02-13,11.0,304300.0,11.56,11.44,11.0
2001-02-14,11.25,136900.0,11.75,11.63,11.13
2001-02-15,12.06,1568600.0,13.0,12.81,12.05
2001-02-16,12.84,161500.0,13.06,13.06,12.5
2001-02-20,13.63,411200.0,13.69,12.75,12.63
2001-02-21,12.59,219000.0,13.13,12.31,12.25
2001-02-22,12.0,712500.0,12.5,12.11,11.5
2001-02-23,12.13,217800.0,12.25,11.06,10.63
2001-02-26,10.66,839200.0,11.38,9.0,8.75
2001-02-27,9.406,865200.0,9.5,7.563,7.125
2001-02-28,8.094,503600.0,8.125,7.5,7.375
2001-03-01,7.484,464200.0,7.625,7.563,7.313
2001-03-02,7.563,277800.0,7.625,7.5,7.313
2001-03-05,7.594,697900.0,7.625,6.688,6.125
2001-03-06,6.516,1922300.0,7.625,7.5,6.5
2001-03-07,7.969,321800.0,8.0,7.813,7.438
2001-03-08,7.813,242900.0,8.5,8.469,7.625
2001-03-09,8.563,165700.0,8.625,8.125,8.0
2001-03-12,8.375,276100.0,8.625,8.5,7.938
2001-03-13,8.5,128100.0,9.938,9.5,8.438
2001-03-14,9.75,215200.0,10.48,10.25,9.125
2001-03-15,10.44,224600.0,10.5,9.438,9.438
2001-03-16,9.438,580300.0,9.75,8.25,8.0
2001-03-19,8.5,161300.0,9.469,8.875,8.25
2001-03-20,8.688,138100.0,8.938,8.188,8.188
2001-03-21,8.484,139400.0,8.5,8.188,8.0
2001-03-22,8.047,129200.0,8.063,7.75,7.625
2001-03-23,7.969,58900.0,8.0,7.813,7.75
2001-03-26,8.0,104300.0,8.25,7.5,7.25
2001-03-27,7.25,35700.0,7.563,7.406,7.25
2001-03-28,7.531,187200.0,8.094,7.563,7.25
2001-03-29,7.625,246400.0,7.875,7.25,6.813
2001-03-30,7.469,527400.0,7.625,7.25,7.188
2001-04-02,7.297,513800.0,7.813,7.25,7.188
2001-04-03,7.25,129700.0,7.25,6.688,6.25
2001-04-04,6.516,55600.0,6.781,6.563,6.5
2001-04-05,6.719,75800.0,6.875,6.563,6.5
2001-04-06,6.734,44800.0,7.219,6.625,6.5
2001-04-09,6.81,49100.0,6.99,6.55,6.5
2001-04-10,6.75,115800.0,7.27,7.15,6.75
2001-04-11,7.275,95300.0,7.75,6.6,6.52
2001-04-12,6.66,144100.0,6.98,6.0,5.75
2001-04-16,6.75,93400.0,6.75,5.45,5.35
2001-04-17,5.5,32900.0,5.89,5.8,5.5
2001-04-18,5.99,157400.0,7.7,7.28,5.65
2001-04-19,7.74,94100.0,7.75,7.15,6.75
2001-04-20,7.1,73300.0,7.1,6.15,6.0
2001-04-23,6.1,97100.0,7.15,6.65,6.05
2001-04-24,6.5,180800.0,8.5,8.33,6.25
2001-04-25,8.325,220400.0,8.33,8.0,7.55
2001-04-26,7.9,395900.0,9.2,8.8,7.8
2001-04-27,9.125,260500.0,9.15,8.75,8.4
2001-04-30,8.675,325800.0,9.4,8.75,8.52
2001-05-01,9.0,344800.0,9.05,8.5,8.25
2001-05-02,8.5,195500.0,9.0,8.75,8.4
2001-05-03,8.89,163200.0,8.9,8.7,8.12
2001-05-04,8.79,163700.0,8.79,8.6,7.9
2001-05-07,8.11,243000.0,8.8,8.8,8.0
2001-05-08,8.775,1355500.0,9.7,9.5,8.33
2001-05-09,9.6,376300.0,9.6,9.15,9.0
2001-05-10,9.05,399000.0,9.27,8.89,8.4
2001-05-11,8.99,185800.0,9.1,8.8,8.3
2001-05-14,8.65,251100.0,9.2,9.2,8.55
2001-05-15,9.25,556100.0,10.2,9.8,9.2
2001-05-16,9.9,439800.0,10.2,10.13,9.51
2001-05-17,10.13,936200.0,12.45,10.96,10.13
2001-05-18,11.25,116300.0,11.34,11.05,10.95
2001-05-21,11.45,280900.0,12.1,11.95,11.3
2001-05-22,12.05,298400.0,12.07,12.07,11.31
2001-05-23,11.93,171900.0,12.05,12.01,11.22
2001-05-24,11.96,128900.0,12.05,11.56,11.56
2001-05-25,11.95,315400.0,11.95,10.15,10.0
2001-05-29,10.56,199600.0,10.56,9.95,9.7
2001-05-30,9.68,362300.0,9.81,9.25,9.0
2001-05-31,9.3,474000.0,10.15,10.0,9.3
2001-06-01,10.0,50700.0,10.15,10.05,10.0
2001-06-04,10.08,175600.0,10.22,10.15,9.95
2001-06-05,10.22,90600.0,10.53,10.25,10.17
2001-06-06,10.25,123400.0,10.48,9.9,9.8
2001-06-07,10.12,320000.0,10.12,9.55,9.3
2001-06-08,9.45,48500.0,9.47,9.3,9.0
2001-06-11,9.335,818800.0,9.335,9.26,9.15
2001-06-12,9.16,86400.0,9.16,8.88,8.86
2001-06-13,8.88,470800.0,9.07,9.0,8.88
2001-06-14,8.88,87400.0,9.04,8.99,8.88
2001-06-15,9.09,78200.0,9.1,8.9,8.9
2001-06-18,9.1,112000.0,9.13,9.02,8.9
2001-06-19,8.95,323600.0,9.1,8.53,8.53
2001-06-20,8.31,285800.0,8.69,8.43,8.25
2001-06-21,8.485,177600.0,8.5,8.26,8.2
2001-06-22,8.1,665500.0,8.16,7.82,7.6
2001-06-25,7.89,165900.0,7.9,7.7,7.65
2001-06-26,7.855,170200.0,8.64,8.49,7.8
2001-06-27,8.9,131600.0,8.9,7.96,7.85
2001-06-28,7.985,159200.0,8.31,8.0,7.85
2001-06-29,7.9,990300.0,8.26,7.84,7.84
2001-07-02,8.02,219000.0,8.1,8.0,7.85
2001-07-03,8.0,258200.0,8.1,7.99,7.935
2001-07-05,8.09,34000.0,8.1,7.95,7.95
2001-07-06,7.96,287900.0,8.01,7.89,7.85
2001-07-09,7.875,399000.0,7.98,7.78,7.7
2001-07-10,7.92,127500.0,7.95,7.9,7.75
2001-07-11,7.91,126500.0,7.91,7.8,7.75
2001-07-12,8.0,210000.0,8.0,7.62,7.6
2001-07-13,7.62,632300.0,7.74,7.5,7.5
2001-07-16,7.51,259400.0,7.75,7.6,7.4
2001-07-17,7.75,255800.0,7.8,7.67,7.4
2001-07-18,7.59,172000.0,7.75,7.65,7.4
2001-07-19,7.75,268300.0,7.75,7.59,7.58
2001-07-20,7.57,113500.0,7.68,7.38,7.32
2001-07-23,7.4,112600.0,7.57,7.4,7.39
2001-07-24,7.5,56100.0,7.54,7.39,7.39
2001-07-25,7.55,985100.0,7.55,7.02,6.5
2001-07-26,7.14,1335600.0,7.2,7.19,7.0
2001-07-27,7.61,205800.0,7.73,7.6,7.5
2001-07-30,7.75,383000.0,7.75,7.34,6.75
2001-07-31,7.09,188200.0,7.65,7.46,7.09
2001-08-01,7.5,300500.0,7.6,7.5,7.3
2001-08-02,7.6,102800.0,7.6,7.45,7.41
2001-08-03,7.45,112300.0,7.73,7.5,7.45
2001-08-06,7.73,129600.0,7.73,7.69,7.4
2001-08-07,7.69,108700.0,7.89,7.8,7.6
2001-08-08,7.8,143900.0,7.8,7.45,7.45
2001-08-09,7.6,54900.0,7.85,7.56,7.45
2001-08-10,7.51,192700.0,7.86,7.55,7.5
2001-08-13,7.9,90700.0,7.9,7.65,7.55
2001-08-14,7.86,272600.0,8.25,7.89,7.61
