date,1. open,5. volume,2. high,4. close,3. low
2001-01-02,29.5,164000.0,29.88,29.56,29.0
2001-01-03,29.44,342900.0,32.0,31.94,29.44
2001-01-04,31.63,544900.0,34.0,34.0,31.63
2001-01-05,34.0,361800.0,34.06,33.81,33.31
2001-01-08,34.0,400100.0,35.25,33.88,33.44
2001-01-09,32.75,600800.0,32.75,30.94,30.81
2001-01-10,30.88,234200.0,30.88,30.88,30.13
2001-01-11,30.94,206700.0,31.25,30.19,29.94
2001-01-12,30.19,262100.0,30.25,29.88,29.25
2001-01-16,29.94,116300.0,30.0,30.0,29.69
2001-01-17,29.88,77700.0,29.94,29.5,29.31
2001-01-18,29.5,128200.0,30.0,29.81,29.19
2001-01-19,29.75,173700.0,30.0,30.0,29.63
2001-01-22,29.75,124500.0,30.44,30.31,29.5
2001-01-23,30.31,275800.0,32.19,32.19,30.13
2001-01-24,32.06,118500.0,32.38,30.5,30.5
2001-01-25,30.38,103200.0,31.94,31.56,30.38
2001-01-26,30.56,170500.0,31.19,30.38,30.31
2001-01-29,30.4,125100.0,31.32,31.2,30.36
2001-01-30,31.35,83300.0,31.8,31.8,31.05
2001-01-31,31.75,153600.0,32.6,32.34,31.75
2001-02-01,32.3,85700.0,32.35,31.98,31.6
2001-02-02,31.98,130100.0,32.63,32.3,31.9
2001-02-05,32.45,117800.0,33.0,32.88,32.38
2001-02-06,32.75,149400.0,33.65,33.31,32.75
2001-02-07,33.1,74400.0,33.29,33.16,33.0
2001-02-08,32.95,88100.0,33.0,32.48,31.95
2001-02-09,32.4,70800.0,32.4,31.86,31.66
2001-02-12,31.7,70800.0,32.29,31.9,31.67
2001-02-13,31.9,61100.0,31.95,31.85,31.64
2001-02-14,31.84,70300.0,31.84,31.73,31.65
2001-02-15,31.6,274500.0,31.65,31.2,30.9
2001-02-16,31.0,170000.0,31.05,30.46,30.15
2001-02-20,30.45,222400.0,30.54,29.0,28.99
2001-02-21,29.15,188200.0,29.49,29.12,29.0
2001-02-22,29.11,255900.0,29.11,28.85,28.4
2001-02-23,28.85,132600.0,28.85,28.5,28.06
2001-02-26,28.45,141500.0,29.6,29.59,28.45
2001-02-27,29.55,102900.0,29.55,29.02,28.75
2001-02-28,29.02,139100.0,29.4,28.58,28.14
2001-03-01,28.1,318800.0,28.11,27.3,26.4
2001-03-02,27.1,156000.0,28.39,28.24,27.0
2001-03-05,28.24,252700.0,28.24,27.86,27.65
2001-03-06,27.95,437200.0,28.1,28.1,27.45
2001-03-07,28.0,146400.0,28.25,28.24,27.6
2001-03-08,28.24,178200.0,29.0,28.85,28.22
2001-03-09,28.65,150300.0,28.65,28.45,28.25
2001-03-12,28.3,151800.0,28.49,28.0,28.0
2001-03-13,27.5,273000.0,28.38,28.38,27.45
2001-03-14,28.13,251300.0,28.13,27.75,27.4
2001-03-15,27.5,93900.0,27.85,27.6,27.5
2001-03-16,27.35,237900.0,27.45,26.69,26.65
