date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,30.25,4252200.0,31.06,31.0,30.0
1998-01-05,31.44,12884900.0,33.25,33.13,31.0
1998-01-06,32.5,9513100.0,32.88,31.25,31.0
1998-01-07,30.63,8598500.0,30.69,29.5,29.25
1998-01-08,29.25,9190200.0,30.81,29.31,29.06
1998-01-09,29.5,12722900.0,30.0,28.0,27.13
1998-01-12,26.88,11127700.0,28.5,28.06,26.44
1998-01-13,29.13,14840200.0,30.56,29.94,28.5
1998-01-14,30.38,11135400.0,30.56,29.44,28.63
1998-01-15,29.13,11114500.0,30.38,29.81,29.0
1998-01-16,30.63,10459300.0,30.75,29.75,29.5
1998-01-20,30.13,12988800.0,30.81,30.75,29.31
1998-01-21,30.25,19486400.0,33.0,32.25,30.0
1998-01-22,31.69,10701200.0,31.75,30.19,30.13
1998-01-23,31.13,8702400.0,31.38,30.56,30.25
1998-01-26,30.81,6445200.0,31.13,30.25,30.0
1998-01-27,30.13,5183400.0,31.19,30.81,30.06
1998-01-28,31.44,12863200.0,32.81,32.75,31.13
1998-01-29,31.88,9607100.0,32.75,31.75,31.56
1998-01-30,32.0,7867100.0,33.0,32.81,31.63
1998-02-02,33.88,11233400.0,35.0,34.69,33.25
1998-02-03,34.81,12078700.0,35.75,34.88,33.81
1998-02-04,34.44,18168900.0,37.88,36.88,34.0
1998-02-05,38.0,20595500.0,38.06,35.69,35.63
1998-02-06,35.0,11724700.0,36.38,36.0,34.5
1998-02-09,36.13,10003800.0,36.56,34.75,34.56
1998-02-10,34.88,16313700.0,36.75,36.0,34.75
1998-02-11,35.88,22992300.0,36.25,35.94,35.38
1998-02-12,36.06,10557400.0,37.13,36.94,35.81
1998-02-13,36.5,9800600.0,37.69,37.5,36.25
1998-02-17,38.06,9626400.0,38.13,36.38,35.81
1998-02-18,36.25,6470700.0,37.38,36.81,36.0
1998-02-19,37.25,13632300.0,38.13,37.69,36.69
1998-02-20,38.0,11048300.0,38.0,36.38,36.0
1998-02-23,37.25,8665000.0,37.5,37.31,36.31
1998-02-24,37.38,8254500.0,37.38,36.0,36.0
1998-02-25,36.63,7770400.0,37.52,37.38,36.38
1998-02-26,37.31,6843900.0,37.94,37.88,36.88
1998-02-27,37.19,5616200.0,37.5,36.81,36.56
1998-03-02,36.56,11828800.0,36.56,35.44,35.06
1998-03-03,34.88,8489900.0,35.75,35.38,34.75
1998-03-04,34.94,5031700.0,36.02,35.5,34.88
1998-03-05,33.38,10285900.0,34.5,33.19,33.13
1998-03-06,33.38,5956200.0,34.38,33.5,33.31
1998-03-09,33.25,6995400.0,33.81,31.97,31.88
1998-03-10,32.5,8077100.0,33.38,33.31,31.81
1998-03-11,33.63,7180200.0,33.75,33.13,32.63
1998-03-12,32.75,4376700.0,33.5,32.94,32.38
1998-03-13,33.5,4620500.0,34.19,33.88,33.25
1998-03-16,34.44,3188400.0,34.94,34.81,34.38
1998-03-17,34.63,7228100.0,35.0,33.31,33.31
1998-03-18,33.5,9480200.0,33.88,33.13,33.0
1998-03-19,33.69,6634000.0,33.94,33.88,33.38
1998-03-20,34.0,4070400.0,34.25,33.25,33.19
1998-03-23,33.13,7288000.0,34.0,33.56,33.0
1998-03-24,33.75,7982400.0,34.88,34.13,33.56
1998-03-25,35.75,13248700.0,35.88,35.25,35.06
1998-03-26,35.13,6566500.0,36.63,36.25,35.0
1998-03-27,36.31,5405600.0,36.75,35.38,35.0
1998-03-30,35.38,2943400.0,35.88,35.31,35.0
1998-03-31,35.38,4229100.0,36.38,35.31,35.13
1998-04-01,35.06,11861900.0,37.81,37.63,35.0
1998-04-02,37.5,12872500.0,39.5,38.88,37.13
1998-04-03,39.38,10112100.0,39.38,37.5,36.81
1998-04-06,37.56,5219400.0,37.75,36.56,36.5
1998-04-07,36.13,6019700.0,36.63,35.25,35.06
1998-04-08,35.63,5406200.0,36.06,35.25,34.5
1998-04-09,35.75,5364500.0,35.81,34.75,34.63
1998-04-13,34.88,4708300.0,35.0,34.25,33.88
1998-04-14,34.25,6746100.0,36.25,36.19,34.06
1998-04-15,36.5,7768500.0,37.56,37.06,35.88
1998-04-16,36.38,5250600.0,37.5,35.88,35.75
1998-04-17,35.19,3196600.0,35.94,35.44,35.13
1998-04-20,35.38,6192500.0,37.25,36.69,35.13
1998-04-21,38.13,8474400.0,38.19,38.13,36.81
1998-04-22,38.31,8939700.0,39.25,38.31,37.13
1998-04-23,38.0,4017700.0,38.25,37.06,36.94
1998-04-24,37.0,4334900.0,37.75,36.94,36.38
1998-04-27,36.06,4540300.0,36.5,35.88,35.38
1998-04-28,36.63,3869000.0,36.94,35.75,35.06
1998-04-29,36.06,3389700.0,36.19,35.88,35.25
1998-04-30,36.5,5288100.0,36.75,36.13,35.81
1998-05-01,36.25,3866500.0,36.44,36.06,35.19
1998-05-04,36.13,5237300.0,36.88,35.88,35.44
1998-05-05,36.13,4578100.0,36.88,36.44,35.94
1998-05-06,36.88,3646200.0,36.94,36.31,36.0
1998-05-07,36.31,3707500.0,36.63,36.13,35.88
1998-05-08,35.88,3732400.0,36.75,36.75,35.75
1998-05-11,36.94,6500300.0,37.69,37.25,36.75
1998-05-12,37.06,7814900.0,38.06,37.94,36.81
1998-05-13,37.13,17200500.0,39.61,39.5,37.13
1998-05-14,38.56,6407800.0,39.5,38.56,38.44
1998-05-15,38.5,5847300.0,38.5,37.0,36.63
1998-05-18,37.0,5036000.0,38.13,37.81,37.0
1998-05-19,38.13,3550100.0,38.25,37.19,37.06
1998-05-20,37.56,6141800.0,37.56,35.75,35.69
1998-05-21,36.0,8289400.0,36.0,34.06,33.81
1998-05-22,34.06,6256700.0,34.13,33.25,32.88
1998-05-26,33.81,5173400.0,34.19,32.81,32.75
1998-05-27,32.06,7070400.0,32.5,32.31,31.63
1998-05-28,32.31,6312800.0,34.0,33.75,32.19
