date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,28.63,22667.0,28.81,28.81,28.31
1998-01-05,28.94,66467.0,29.31,28.94,28.38
1998-01-06,28.75,23400.0,29.31,28.94,28.5
1998-01-07,28.81,23800.0,28.81,27.25,27.25
1998-01-08,27.25,27467.0,28.38,27.56,27.25
1998-01-09,27.5,23400.0,27.5,27.44,27.13
1998-01-12,27.19,12867.0,27.63,27.63,27.13
1998-01-13,27.63,52600.0,28.44,28.31,27.63
1998-01-14,28.44,61867.0,28.88,28.88,28.19
1998-01-15,28.88,55267.0,29.5,29.5,28.69
1998-01-16,29.44,19600.0,29.94,29.5,29.38
1998-01-20,29.63,6200.0,30.25,30.25,29.63
1998-01-21,30.25,40267.0,30.38,30.25,29.94
1998-01-22,30.06,17267.0,30.13,30.06,30.0
1998-01-23,30.06,140400.0,30.13,30.06,30.06
1998-01-26,30.31,62667.0,30.31,30.13,30.0
1998-01-27,30.06,115867.0,30.06,29.75,29.75
1998-01-28,29.94,64200.0,29.94,29.75,29.75
1998-01-29,29.75,24667.0,30.13,30.06,29.63
1998-01-30,30.19,8067.0,30.44,30.19,30.13
1998-02-02,30.25,27667.0,31.0,30.75,30.25
1998-02-03,31.13,5000.0,31.5,31.5,31.13
1998-02-04,31.31,11467.0,31.88,31.88,31.31
1998-02-05,32.13,14000.0,32.5,32.5,32.13
1998-02-06,32.5,32467.0,32.5,32.44,32.38
1998-02-09,32.31,2467.0,32.38,32.25,32.13
1998-02-10,32.13,16400.0,32.75,32.31,32.0
1998-02-11,32.44,69200.0,32.63,32.0,32.0
1998-02-12,32.13,27667.0,32.5,31.56,31.5
1998-02-13,31.69,28867.0,32.13,31.81,31.69
1998-02-17,31.81,28267.0,32.38,32.38,31.81
1998-02-18,32.38,45200.0,32.44,32.38,32.25
1998-02-19,32.31,21800.0,33.0,33.0,32.25
1998-02-20,33.0,47800.0,35.0,35.0,32.88
1998-02-23,35.0,169200.0,35.44,35.38,34.94
1998-02-24,35.5,31667.0,36.5,36.44,35.44
1998-02-25,36.38,9200.0,36.5,36.44,36.31
1998-02-26,36.38,13667.0,37.0,36.88,36.38
1998-02-27,37.19,46067.0,37.94,37.0,36.75
