date,1. open,5. volume,2. high,4. close,3. low
2005-09-15,38.02,1529800.0,38.1,37.01,37.0
2005-09-16,37.0,62400.0,37.0,36.6,36.6
2005-09-19,36.6,1162300.0,36.7,36.7,36.45
2005-09-20,36.6,654900.0,37.0,36.7,36.6
2005-09-21,36.6,424300.0,36.6,36.4,36.0
2005-09-22,36.4,864800.0,37.2,37.2,36.4
2005-09-23,37.2,1249900.0,38.1,37.68,37.2
2005-09-26,37.75,821400.0,38.15,37.75,37.75
2005-09-27,37.75,1514000.0,37.9,37.25,37.14
2005-09-28,37.24,875700.0,37.4,37.0,36.8
2005-09-29,36.91,2659200.0,36.91,36.6,36.25
2005-09-30,36.6,4014800.0,36.6,35.8,35.6
2005-10-03,35.3,10007600.0,35.9,34.7,34.17
2005-10-04,34.0,8040300.0,34.3,33.9,33.25
2005-10-05,34.0,6304400.0,34.1,33.65,33.32
2005-10-06,33.4,7552200.0,33.65,33.37,33.21
2005-10-07,33.28,7055200.0,33.6,33.6,33.13
2005-10-10,33.6,3400800.0,33.6,33.03,33.0
2005-10-11,33.04,3675400.0,33.39,33.0,32.98
2005-10-12,32.9,4134500.0,33.3,32.77,32.72
2005-10-13,32.53,3184100.0,32.7,32.55,32.48
2005-10-14,32.52,2487500.0,32.75,32.39,32.38
2005-10-17,32.34,1910400.0,32.77,32.48,32.0
2005-10-18,32.3,1737900.0,32.55,32.43,32.15
2005-10-19,32.28,1784400.0,33.16,33.16,32.21
2005-10-20,33.16,2789600.0,34.06,33.58,33.1
2005-10-21,33.78,2881800.0,34.501,34.0,33.63
2005-10-24,35.25,4013400.0,36.48,36.29,34.93
2005-10-25,35.34,2900400.0,37.47,37.18,35.28
2005-10-26,36.85,2208000.0,37.72,37.0,36.7
2005-10-27,36.95,2033000.0,37.0,36.28,35.8
2005-10-28,36.5,1430200.0,37.2,37.1,36.21
2005-10-31,37.21,1211600.0,37.6,37.22,36.96
2005-11-01,36.9,1574900.0,36.96,36.56,36.46
2005-11-02,36.22,1201600.0,36.9,36.8,36.18
2005-11-03,36.72,1887900.0,37.62,37.42,36.72
2005-11-04,37.33,1731900.0,37.42,37.17,37.02
2005-11-07,37.1,1658700.0,37.17,37.02,36.8245
2005-11-08,36.65,2119200.0,37.2,36.96,36.65
2005-11-09,36.96,2152200.0,38.18,37.88,36.9
2005-11-10,37.75,2513200.0,39.3,38.92,37.7499
2005-11-11,38.5,1229800.0,38.96,38.91,38.47
2005-11-14,38.8,1160000.0,39.4,39.34,38.51
2005-11-15,39.0,1793000.0,39.4,39.21,38.47
2005-11-16,39.35,2568800.0,40.0,39.83,39.09
2005-11-17,40.1,2628100.0,41.18,40.0,39.78
2005-11-18,40.45,1556000.0,40.87,39.92,39.64
2005-11-21,40.17,2906900.0,42.0,41.58,40.17
2005-11-22,41.4,2368700.0,42.39,42.15,41.29
2005-11-23,42.2,2149100.0,43.76,43.47,42.2
2005-11-25,44.1,468300.0,44.25,43.45,42.95
2005-11-28,43.4,2377400.0,44.2,43.9,43.1
2005-11-29,43.75,2962200.0,43.99,42.55,41.7301
2005-11-30,42.9,2761100.0,43.25,42.05,41.3
2005-12-01,41.95,1833000.0,43.88,43.31,41.89
2005-12-02,43.25,1057900.0,43.74,43.23,42.6
2005-12-05,43.22,1042900.0,43.7,43.52,42.91
2005-12-06,43.7,1154900.0,43.84,43.61,43.48
2005-12-07,43.59,2063900.0,44.78,43.36,43.22
2005-12-08,43.65,1227800.0,44.05,43.65,43.31
2005-12-09,43.64,515400.0,44.02,43.76,43.36
2005-12-12,43.75,1504900.0,43.76,43.13,42.88
2005-12-13,42.9,1321300.0,43.37,42.83,42.51
2005-12-14,42.83,1701600.0,43.03,41.53,41.52
2005-12-15,41.43,1220600.0,41.9,41.19,41.09
2005-12-16,41.44,1305600.0,42.41,42.26,41.41
2005-12-19,42.31,676200.0,42.63,41.31,41.12
