date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,28.44,244100.0,29.06,27.75,26.06
1998-01-05,27.0,234800.0,28.25,25.56,25.25
1998-01-06,24.25,228400.0,26.0,25.88,24.0
1998-01-07,26.38,178600.0,26.75,25.0,25.0
1998-01-08,25.12,151800.0,25.37,24.88,24.13
1998-01-09,24.62,133900.0,24.88,24.56,24.25
1998-01-12,24.25,129600.0,24.62,24.25,23.87
1998-01-13,24.38,156000.0,26.25,26.0,24.38
1998-01-14,26.25,454400.0,27.25,22.75,22.75
1998-01-15,23.62,607100.0,24.25,23.62,22.63
1998-01-16,23.75,144800.0,24.62,24.0,23.5
1998-01-20,24.25,140900.0,24.75,23.5,23.25
1998-01-21,23.06,141700.0,24.5,24.0,23.0
1998-01-22,24.5,92100.0,24.75,24.75,23.69
1998-01-23,24.75,101000.0,24.75,24.25,23.75
1998-01-26,24.5,254800.0,24.5,23.87,23.25
1998-01-27,23.5,40200.0,23.75,23.75,23.38
1998-01-28,23.0,646100.0,25.25,24.38,22.31
1998-01-29,24.38,162300.0,25.25,24.88,23.75
1998-01-30,25.0,42700.0,25.0,24.25,24.13
1998-02-02,25.0,215600.0,26.0,24.94,24.0
1998-02-03,25.5,91000.0,25.63,25.31,24.88
1998-02-04,25.56,73700.0,25.94,25.37,25.0
1998-02-05,25.88,50500.0,26.0,25.25,25.06
1998-02-06,25.06,59700.0,25.75,25.31,25.06
1998-02-09,25.5,155000.0,26.75,26.75,25.5
1998-02-10,27.0,306600.0,28.75,28.63,26.75
1998-02-11,28.63,236600.0,30.25,29.0,28.63
1998-02-12,28.75,318400.0,30.25,29.0,28.63
1998-02-13,29.25,139400.0,29.62,29.0,28.75
1998-02-17,29.38,201300.0,31.12,29.87,29.38
1998-02-18,29.62,59000.0,30.62,30.06,29.62
1998-02-19,30.56,114400.0,30.75,29.94,29.87
1998-02-20,29.87,101400.0,30.38,29.38,29.0
1998-02-23,29.12,134900.0,29.5,28.44,28.37
1998-02-24,28.37,134500.0,28.63,27.0,27.0
1998-02-25,27.38,90500.0,28.0,27.13,27.06
1998-02-26,27.06,53900.0,27.75,27.5,27.0
1998-02-27,26.87,156500.0,28.37,27.62,26.75
1998-03-02,28.0,73700.0,28.0,27.25,27.13
1998-03-03,27.13,107000.0,27.31,27.0,26.75
1998-03-04,26.87,32900.0,27.0,26.5,26.25
1998-03-05,26.12,74700.0,26.62,26.25,25.5
1998-03-06,26.25,44300.0,26.75,26.75,26.25
1998-03-09,26.75,44800.0,27.25,26.0,26.0
1998-03-10,26.12,118800.0,28.12,28.12,26.12
1998-03-11,28.37,106300.0,29.25,28.5,27.88
1998-03-12,28.37,36300.0,29.0,28.0,27.88
1998-03-13,28.12,153800.0,28.12,26.62,26.0
1998-03-16,26.62,67300.0,27.25,26.94,26.0
1998-03-17,27.5,23600.0,27.5,26.75,26.25
1998-03-18,26.62,63900.0,27.0,26.94,26.25
1998-03-19,27.25,71400.0,27.75,27.75,26.87
1998-03-20,27.75,63500.0,28.0,27.69,27.0
1998-03-23,27.38,230600.0,27.75,27.06,27.06
1998-03-24,27.25,223700.0,27.62,27.38,26.5
1998-03-25,27.38,63200.0,27.62,27.13,27.13
1998-03-26,27.62,58700.0,27.62,26.75,26.62
1998-03-27,26.5,235300.0,27.44,27.44,26.5
1998-03-30,27.5,204300.0,27.5,27.31,27.13
1998-03-31,27.5,459600.0,28.37,27.75,27.31
1998-04-01,28.37,106500.0,28.5,27.88,27.75
1998-04-02,27.75,91300.0,28.31,28.25,27.62
1998-04-03,28.37,153400.0,28.75,28.63,28.25
1998-04-06,28.88,98200.0,29.5,28.37,28.25
1998-04-07,28.25,136600.0,28.5,27.25,26.0
1998-04-08,26.38,159900.0,26.62,26.0,25.25
1998-04-09,26.38,65200.0,26.5,26.12,25.88
1998-04-13,26.44,123400.0,27.5,26.75,26.44
1998-04-14,26.62,89800.0,27.38,26.25,26.0
1998-04-15,26.38,221000.0,26.38,25.25,24.38
1998-04-16,24.75,233100.0,25.0,24.69,22.94
1998-04-17,28.0,768900.0,29.75,29.56,26.75
1998-04-20,29.87,325600.0,30.75,28.75,28.0
1998-04-21,29.12,239600.0,29.5,28.25,27.38
1998-04-22,28.75,155200.0,29.5,29.0,28.0
1998-04-23,29.0,106500.0,29.25,28.63,28.5
1998-04-24,28.75,113000.0,28.75,27.5,26.75
1998-04-27,26.5,153500.0,26.5,26.0,25.5
1998-04-28,26.75,79700.0,27.25,27.13,26.5
1998-04-29,27.0,31700.0,27.25,26.87,26.5
1998-04-30,27.25,328600.0,28.88,28.25,27.0
1998-05-01,27.88,71300.0,28.5,27.88,27.5
1998-05-04,28.25,373600.0,30.0,29.62,28.0
1998-05-05,29.75,182300.0,29.75,29.56,29.25
1998-05-06,29.62,91700.0,29.62,29.5,29.0
1998-05-07,29.38,40700.0,29.5,29.38,28.88
1998-05-08,28.81,69600.0,30.25,29.56,28.81
1998-05-11,29.75,153900.0,31.25,31.0,29.38
1998-05-12,30.69,52300.0,31.0,30.75,30.38
1998-05-13,30.5,50000.0,31.5,31.12,30.5
1998-05-14,31.0,31800.0,31.37,31.25,30.62
1998-05-15,31.25,105400.0,32.75,32.0,31.22
1998-05-18,32.0,90400.0,32.5,32.0,31.63
1998-05-19,31.75,27900.0,32.75,32.75,31.75
1998-05-20,32.5,70100.0,32.87,32.38,32.25
1998-05-21,32.62,36500.0,32.62,31.81,31.75
1998-05-22,31.37,65900.0,32.0,30.75,30.5
1998-05-26,30.5,49900.0,31.37,29.81,29.5
1998-05-27,29.0,79800.0,29.25,28.19,27.94
1998-05-28,28.5,72100.0,30.0,29.94,28.19
1998-05-29,30.5,41700.0,30.5,28.88,28.12
1998-06-01,28.0,99400.0,28.75,27.62,27.25
1998-06-02,27.88,47300.0,28.63,28.44,27.62
1998-06-03,29.0,57000.0,29.0,27.38,27.0
1998-06-04,28.0,80600.0,28.0,26.31,26.06
1998-06-05,26.75,122500.0,27.75,27.25,26.38
1998-06-08,27.88,146600.0,29.0,27.25,26.75
1998-06-09,27.38,90800.0,28.12,26.75,26.5
1998-06-10,28.25,160400.0,28.81,28.56,27.75
1998-06-11,28.25,61100.0,28.63,27.75,27.38
1998-06-12,27.25,185600.0,28.0,27.5,26.0
1998-06-15,26.5,152100.0,26.75,26.0,25.75
1998-06-16,26.5,63000.0,26.5,26.31,26.0
1998-06-17,27.25,140300.0,27.5,27.0,26.44
1998-06-18,27.25,222400.0,27.44,25.37,24.5
1998-06-19,25.5,92600.0,26.38,25.63,25.0
1998-06-22,25.75,86900.0,26.5,26.0,25.63
1998-06-23,26.5,89500.0,26.5,25.56,25.0
1998-06-24,25.81,105400.0,26.87,26.38,25.25
1998-06-25,26.75,96700.0,26.94,26.25,26.0
1998-06-26,26.5,68100.0,26.94,26.75,26.0
1998-06-29,26.94,143300.0,28.0,27.62,26.94
1998-06-30,28.0,165100.0,29.0,27.0,26.5
1998-07-01,27.0,106900.0,28.0,27.81,26.56
1998-07-02,27.5,182900.0,29.5,29.0,27.25
1998-07-06,30.0,120800.0,30.62,30.62,29.5
1998-07-07,30.75,178000.0,32.5,32.5,30.25
1998-07-08,32.25,215700.0,33.62,33.13,31.25
1998-07-09,33.13,296500.0,36.38,36.0,33.13
1998-07-10,36.0,464300.0,40.0,38.94,34.0
1998-07-13,40.06,594300.0,40.37,36.25,35.25
1998-07-14,36.0,213500.0,36.13,35.0,34.0
1998-07-15,35.0,55300.0,35.0,34.5,34.19
