date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,23.5,1748100.0,24.25,23.69,23.38
1998-01-05,24.0,2457300.0,24.25,22.56,22.25
1998-01-06,22.44,1075200.0,22.5,21.75,21.5
1998-01-07,21.5,2298400.0,21.63,21.63,20.75
1998-01-08,21.13,2116500.0,21.31,21.0,20.75
1998-01-09,21.0,3850300.0,21.06,20.0,19.94
1998-01-12,19.25,2103700.0,21.0,20.94,19.25
1998-01-13,21.0,1648000.0,22.5,22.19,20.88
1998-01-14,22.94,1516100.0,23.25,21.69,21.69
1998-01-15,21.88,1020100.0,22.0,21.13,20.94
1998-01-16,21.13,1036200.0,21.81,21.5,21.06
1998-01-20,21.75,1418900.0,22.25,21.38,21.19
1998-01-21,21.25,1187700.0,21.25,20.94,20.81
1998-01-22,20.5,1791200.0,20.88,20.13,20.13
1998-01-23,20.13,2985500.0,20.19,19.75,19.5
1998-01-26,19.69,1559300.0,19.75,19.56,19.19
1998-01-27,19.56,2944200.0,21.13,20.69,19.38
1998-01-28,21.0,1464200.0,21.19,20.88,20.5
1998-01-29,20.88,2507900.0,21.38,21.0,20.81
1998-01-30,21.38,1568000.0,21.88,21.13,20.81
1998-02-02,21.38,1333200.0,22.0,21.5,21.25
1998-02-03,21.5,1667800.0,22.44,21.44,21.25
1998-02-04,21.31,1700600.0,22.5,22.44,21.31
1998-02-05,23.0,2449100.0,23.56,23.0,22.81
1998-02-06,23.0,4099600.0,24.63,24.63,23.0
1998-02-09,24.44,1386300.0,24.44,23.75,23.63
1998-02-10,23.75,906300.0,24.13,23.75,23.56
1998-02-11,23.81,653200.0,24.0,23.75,23.38
1998-02-12,23.5,713700.0,23.63,23.38,23.25
1998-02-13,23.63,495100.0,23.75,23.56,23.38
1998-02-17,23.63,680500.0,23.81,23.06,23.06
1998-02-18,23.06,786500.0,23.5,23.38,22.88
1998-02-19,23.5,735200.0,23.56,23.31,23.0
1998-02-20,23.25,572300.0,23.44,23.38,23.19
1998-02-23,23.5,1528300.0,24.38,24.13,23.5
1998-02-24,24.38,1248100.0,24.44,23.5,23.31
1998-02-25,23.56,600800.0,24.38,23.63,23.5
1998-02-26,23.5,599300.0,23.94,23.63,23.19
1998-02-27,23.38,960800.0,23.88,23.63,23.31
1998-03-02,24.0,997200.0,24.13,23.94,23.63
1998-03-03,24.0,2016800.0,24.75,24.44,24.0
1998-03-04,24.38,3030500.0,25.25,25.25,24.31
1998-03-05,24.5,1415400.0,25.5,25.13,24.38
1998-03-06,25.63,2259100.0,26.13,25.75,25.19
1998-03-09,25.56,874700.0,25.75,25.25,25.0
1998-03-10,25.25,635000.0,25.56,25.38,25.06
1998-03-11,25.5,3472600.0,26.69,26.5,25.44
1998-03-12,26.31,2196600.0,27.13,27.0,26.13
1998-03-13,27.0,2851300.0,27.25,27.0,26.63
1998-03-16,27.06,1900300.0,27.94,27.56,27.06
1998-03-17,27.56,3441100.0,29.0,28.5,27.56
1998-03-18,28.38,2102400.0,28.38,27.63,27.0
1998-03-19,27.63,1871100.0,28.13,28.06,27.56
1998-03-20,28.0,915800.0,28.25,27.63,27.44
1998-03-23,27.0,1802700.0,27.88,27.56,26.56
1998-03-24,27.38,704000.0,27.88,27.81,27.25
1998-03-25,27.63,1144100.0,28.0,27.5,27.06
1998-03-26,27.19,865200.0,27.19,26.88,26.81
1998-03-27,27.13,1616000.0,27.44,26.31,26.13
1998-03-30,25.75,2099700.0,26.0,25.63,25.38
1998-03-31,25.38,1529000.0,25.94,25.81,25.25
1998-04-01,26.5,3133500.0,27.69,27.0,26.5
1998-04-02,26.94,1997900.0,27.25,27.25,26.56
1998-04-03,27.25,1539200.0,27.88,27.56,27.19
1998-04-06,27.38,1153300.0,27.44,27.13,27.13
1998-04-07,27.5,2786500.0,28.0,27.88,27.13
1998-04-08,27.94,1954400.0,28.44,28.19,27.88
1998-04-09,28.5,1664800.0,28.88,28.44,28.25
1998-04-13,28.56,947200.0,28.63,28.63,27.88
1998-04-14,28.63,1127700.0,28.94,28.63,28.38
1998-04-15,28.69,1056300.0,28.69,28.56,27.88
1998-04-16,28.44,765300.0,28.5,28.25,28.13
1998-04-17,28.25,710500.0,28.38,28.0,27.94
1998-04-20,27.88,1316200.0,28.75,28.75,27.25
1998-04-21,29.0,3488800.0,29.75,28.44,28.0
1998-04-22,29.0,4392700.0,29.75,29.25,28.69
1998-04-23,29.38,3218800.0,30.0,28.88,28.75
1998-04-24,28.88,1604000.0,28.94,28.0,27.81
1998-04-27,27.0,2978600.0,27.31,26.69,26.25
1998-04-28,27.0,2258200.0,27.88,27.88,27.0
