date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,58.13,117267.0,58.88,58.13,57.63
1998-01-05,57.88,172467.0,57.94,57.56,57.13
1998-01-06,57.0,161267.0,58.25,58.13,56.88
1998-01-07,57.38,225000.0,58.5,58.31,57.13
1998-01-08,58.06,95867.0,58.06,57.25,57.19
1998-01-09,57.25,290000.0,57.31,55.0,54.81
1998-01-12,54.63,210867.0,56.25,56.0,54.44
1998-01-13,56.0,264267.0,56.99,56.5,55.88
1998-01-14,56.5,319267.0,56.5,55.69,55.38
1998-01-15,55.69,588267.0,55.81,54.94,54.5
1998-01-16,55.13,196867.0,56.25,55.88,55.13
1998-01-20,56.19,168267.0,57.5,57.31,55.44
1998-01-21,57.0,218800.0,57.13,56.06,55.88
1998-01-22,56.0,93800.0,56.63,56.13,55.75
1998-01-23,56.0,105600.0,56.13,55.06,54.5
1998-01-26,55.25,233800.0,55.63,54.81,54.13
1998-01-27,54.81,228800.0,55.88,55.69,54.81
1998-01-28,55.63,147467.0,56.31,55.69,55.13
1998-01-29,55.5,271467.0,57.5,56.19,55.5
1998-01-30,56.0,133667.0,56.69,55.81,55.69
1998-02-02,56.69,112267.0,57.44,56.88,56.38
1998-02-03,56.5,59600.0,56.69,56.63,56.0
1998-02-04,56.88,159867.0,57.19,56.75,56.25
1998-02-05,57.0,82067.0,57.0,55.94,55.44
1998-02-06,56.13,147667.0,56.94,56.31,56.13
1998-02-09,56.25,148200.0,56.38,56.25,56.0
1998-02-10,56.69,194200.0,57.88,57.19,56.63
1998-02-11,57.19,229600.0,57.19,56.25,56.06
1998-02-12,56.13,256667.0,56.63,56.56,55.75
1998-02-13,56.0,299067.0,56.0,56.0,55.25
1998-02-17,56.0,536867.0,56.25,56.25,54.75
1998-02-18,56.25,495200.0,57.0,57.0,56.0
1998-02-19,56.75,298467.0,57.31,57.13,56.63
1998-02-20,57.5,291400.0,57.94,57.94,57.19
1998-02-23,58.0,342867.0,58.38,58.13,57.69
1998-02-24,58.13,401667.0,58.63,58.56,57.75
1998-02-25,58.56,235400.0,59.88,59.19,58.56
1998-02-26,59.06,326467.0,59.75,59.56,59.0
1998-02-27,59.88,276000.0,60.0,59.81,59.38
1998-03-02,59.81,208400.0,59.88,59.81,59.31
