date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,82.25,223600.0,83.56,83.56,82.0
1998-01-05,83.69,273900.0,84.44,83.63,83.13
1998-01-06,83.63,373000.0,83.63,81.81,81.69
1998-01-07,81.81,559800.0,82.0,80.88,80.75
1998-01-08,80.88,429900.0,80.88,79.81,79.44
1998-01-09,79.75,625600.0,79.75,76.69,76.56
1998-01-12,75.69,316600.0,77.63,77.5,75.69
1998-01-13,77.56,278900.0,77.69,76.81,76.44
1998-01-14,76.75,240900.0,77.38,77.31,76.5
1998-01-15,77.25,392300.0,78.38,77.69,77.25
1998-01-16,78.75,210800.0,79.0,78.88,78.19
1998-01-20,78.63,207200.0,79.0,79.0,78.38
1998-01-21,79.13,206400.0,79.13,78.5,77.63
1998-01-22,78.5,382800.0,79.0,78.69,78.5
1998-01-23,78.81,408900.0,79.0,78.38,78.0
1998-01-26,78.38,287100.0,79.38,79.13,78.06
1998-01-27,79.19,474000.0,80.5,80.5,79.13
1998-01-28,80.5,214600.0,80.5,79.81,79.56
1998-01-29,80.0,325400.0,80.0,79.69,79.56
1998-01-30,79.81,224900.0,80.44,80.19,79.38
1998-02-02,81.56,220200.0,83.56,83.56,81.56
1998-02-03,83.31,226700.0,84.19,84.19,82.56
1998-02-04,84.13,166700.0,84.44,83.38,83.13
1998-02-05,83.38,150000.0,84.0,83.94,82.56
1998-02-06,84.0,142100.0,84.94,84.75,83.75
1998-02-09,84.75,287200.0,84.75,82.88,82.5
1998-02-10,83.25,209900.0,86.44,86.0,83.25
1998-02-11,85.75,210200.0,86.0,84.88,84.63
1998-02-12,84.88,183300.0,85.5,85.44,83.31
1998-02-13,85.19,143500.0,86.31,86.0,84.38
1998-02-17,86.0,142400.0,86.69,86.19,85.38
1998-02-18,86.13,163100.0,87.5,86.88,86.13
1998-02-19,86.63,137900.0,87.06,86.94,86.0
1998-02-20,87.0,138900.0,87.75,87.56,86.75
1998-02-23,87.31,162300.0,87.75,86.94,86.06
1998-02-24,87.0,279900.0,87.13,84.81,84.56
1998-02-25,84.0,409600.0,84.38,84.25,83.56
1998-02-26,84.06,729100.0,84.5,84.25,83.88
1998-02-27,84.13,394800.0,84.5,83.94,83.69
1998-03-02,83.69,514400.0,84.13,83.69,83.5
1998-03-03,83.56,206300.0,84.0,84.0,83.5
1998-03-04,83.94,172300.0,83.94,83.5,83.19
1998-03-05,83.0,392600.0,83.13,82.31,82.25
1998-03-06,82.56,219000.0,82.94,82.06,82.0
1998-03-09,82.13,253200.0,82.94,82.31,82.0
1998-03-10,82.56,206500.0,82.81,82.31,81.5
1998-03-11,82.25,298200.0,82.5,81.56,81.44
1998-03-12,82.06,410200.0,82.5,82.31,81.88
1998-03-13,82.38,464800.0,82.38,81.5,81.19
1998-03-16,81.5,350200.0,82.38,82.38,81.31
1998-03-17,82.31,329200.0,82.75,82.75,81.69
1998-03-18,83.25,353400.0,83.38,83.25,82.75
1998-03-19,82.88,284400.0,83.63,83.25,82.88
1998-03-20,83.25,238700.0,83.44,82.75,82.63
1998-03-23,82.94,219800.0,83.75,83.38,82.75
1998-03-24,83.5,217100.0,84.13,83.69,83.5
1998-03-25,83.81,252500.0,83.88,83.5,83.25
1998-03-26,83.0,511600.0,83.13,82.63,82.06
1998-03-27,82.88,401800.0,82.94,82.0,81.94
1998-03-30,81.69,237100.0,82.13,81.69,81.38
1998-03-31,82.19,293700.0,83.19,82.88,82.13
1998-04-01,82.63,246800.0,82.63,82.5,81.63
1998-04-02,82.5,489000.0,83.25,82.75,82.44
1998-04-03,83.25,279800.0,83.44,82.88,82.69
1998-04-06,83.13,433500.0,83.25,83.25,82.81
1998-04-07,83.0,303900.0,83.31,82.88,82.63
1998-04-08,82.75,306500.0,83.44,82.44,82.38
1998-04-09,82.69,288100.0,83.88,82.88,82.44
1998-04-13,82.75,342600.0,82.94,82.13,81.75
1998-04-14,82.38,220900.0,83.88,83.81,81.88
1998-04-15,84.38,345400.0,85.81,85.5,84.31
1998-04-16,86.31,291100.0,86.31,85.19,85.0
1998-04-17,85.44,255700.0,87.25,87.19,85.19
1998-04-20,87.06,290300.0,87.5,86.88,86.44
1998-04-21,86.88,456800.0,88.94,88.75,86.81
