date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,55.81,74600.0,56.0,56.0,55.75
1998-01-05,56.0,22200.0,56.0,55.88,55.88
1998-01-06,55.69,76200.0,55.69,55.0,55.0
1998-01-07,55.06,8200.0,55.06,54.75,54.75
1998-01-08,54.75,5800.0,54.75,54.5,54.5
1998-01-09,54.38,42800.0,54.38,54.13,54.0
1998-01-12,54.13,32600.0,54.13,53.69,53.63
1998-01-13,53.56,36000.0,53.56,53.25,52.75
1998-01-14,53.38,46200.0,54.38,54.38,53.25
1998-01-15,56.0,41600.0,56.0,55.69,55.63
1998-01-16,55.69,27600.0,56.0,54.75,54.75
1998-01-20,54.75,23600.0,55.5,55.44,54.75
1998-01-21,55.44,50000.0,57.63,57.31,55.25
1998-01-22,57.31,40800.0,58.0,58.0,57.25
1998-01-23,58.0,33800.0,59.0,57.69,57.69
1998-01-26,57.75,34800.0,57.75,57.13,56.88
1998-01-27,56.88,37000.0,56.88,56.63,56.56
1998-01-28,56.63,36400.0,56.63,55.38,55.38
1998-01-29,55.38,14000.0,55.38,55.0,55.0
1998-01-30,55.0,26800.0,55.0,53.63,53.63
1998-02-02,53.69,81800.0,54.13,54.13,53.44
1998-02-03,54.13,36600.0,56.75,56.75,54.13
1998-02-04,58.75,50800.0,59.25,59.06,58.31
1998-02-05,58.81,38000.0,58.81,58.56,58.38
1998-02-06,58.56,10600.0,58.56,58.56,58.56
1998-02-09,58.44,21000.0,59.06,59.06,58.25
1998-02-10,59.31,10800.0,59.56,59.56,59.31
1998-02-11,59.56,7400.0,60.31,59.94,59.56
1998-02-12,59.88,3200.0,60.31,60.31,59.88
1998-02-13,60.56,6400.0,61.44,61.31,60.56
1998-02-17,61.19,18000.0,61.19,60.88,60.69
1998-02-18,60.94,4200.0,61.19,61.19,60.94
1998-02-19,60.94,14200.0,60.94,60.63,60.63
1998-02-20,60.38,5000.0,60.5,60.44,60.38
1998-02-23,60.25,27000.0,62.0,62.0,60.25
1998-02-24,61.75,7600.0,61.75,61.63,61.56
1998-02-25,61.63,27400.0,62.0,61.88,61.63
1998-02-26,61.88,5200.0,62.44,62.31,61.88
1998-02-27,62.38,39200.0,62.69,62.69,62.13
1998-03-02,62.56,33200.0,62.75,62.69,62.56
1998-03-03,62.69,5800.0,62.69,62.31,62.25
1998-03-04,62.56,18600.0,62.75,62.63,62.38
1998-03-05,62.38,11400.0,62.56,62.56,62.31
1998-03-06,62.75,37000.0,64.0,64.0,62.75
1998-03-09,62.0,104600.0,63.0,62.75,61.5
1998-03-10,62.88,23800.0,62.88,61.63,61.63
1998-03-11,61.5,18000.0,61.63,61.13,60.63
1998-03-12,60.81,11400.0,60.81,60.56,60.56
1998-03-13,60.44,10600.0,60.44,59.63,59.63
1998-03-16,59.5,30400.0,62.13,61.88,59.5
1998-03-17,61.88,4200.0,61.94,61.88,61.88
1998-03-18,61.88,13000.0,61.94,61.81,61.75
1998-03-19,61.75,66200.0,61.75,59.31,59.25
1998-03-20,59.06,16200.0,59.19,58.88,58.88
1998-03-23,58.81,6800.0,59.0,58.63,58.63
1998-03-24,58.56,5400.0,58.69,58.69,58.56
1998-03-25,58.75,21600.0,59.25,59.25,58.75
