date,1. open,5. volume,2. high,4. close,3. low
2017-06-29,10.0,41055425.0,11.0,10.0,10.0
2017-06-30,9.98,12405090.0,10.1,9.34,9.17
2017-07-03,9.48,4270843.0,9.67,9.67,8.88
2017-07-05,9.6,5103758.0,9.63,8.84,8.78
2017-07-06,8.83,12546889.0,8.84,8.06,7.95
2017-07-07,8.11,8187054.0,8.24,7.73,7.36
2017-07-10,7.81,4947767.0,8.32,8.14,7.62
2017-07-11,7.6,6541211.0,7.88,7.14,7.08
2017-07-12,7.13,3514921.0,7.64,7.56,7.1
2017-07-13,7.36,1987263.0,7.8,7.4,7.3545
2017-07-14,7.31,1567926.0,7.49,7.36,7.2
2017-07-17,6.88,8296164.0,6.9,6.59,6.45
2017-07-18,6.57,5093255.0,6.62,6.36,6.23
2017-07-19,6.39,4015310.0,6.88,6.65,6.35
2017-07-20,6.6,1505637.0,6.73,6.52,6.42
2017-07-21,6.49,1104560.0,6.68,6.55,6.45
2017-07-24,7.22,16012157.0,7.865,7.41,7.0
2017-07-25,7.81,4631361.0,7.84,7.5,7.39
2017-07-26,7.421,4532914.0,7.44,6.75,6.75
2017-07-27,6.9,2097613.0,6.95,6.72,6.57
2017-07-28,6.88,1938890.0,6.9,6.74,6.65
2017-07-31,6.89,1391903.0,6.9,6.61,6.59
2017-08-01,6.67,2116467.0,6.7,6.37,6.3
2017-08-02,6.37,3824951.0,6.37,6.2,6.05
2017-08-03,6.25,2775047.0,6.42,6.22,6.05
2017-08-04,6.27,7592675.0,6.35,5.83,5.7
2017-08-07,5.9,3644380.0,5.939,5.85,5.8
2017-08-08,5.8,2329735.0,5.95,5.81,5.73
2017-08-09,5.72,4903103.0,6.55,6.24,5.51
2017-08-10,5.38,16568811.0,5.7,5.14,5.03
2017-08-11,5.08,3297560.0,5.2,5.12,5.0
2017-08-14,5.08,3221344.0,5.45,5.36,5.03
2017-08-15,5.45,3195937.0,5.82,5.65,5.31
2017-08-16,5.68,1540521.0,5.72,5.5,5.47
2017-08-17,5.46,2288528.0,5.69,5.39,5.33
2017-08-18,5.3,1515159.0,5.36,5.31,5.12
2017-08-21,5.29,1700252.0,5.294,5.24,5.08
2017-08-22,5.14,3160404.0,5.31,5.25,5.11
2017-08-23,5.2,1757724.0,5.55,5.47,5.16
2017-08-24,5.44,1677001.0,5.65,5.48,5.42
2017-08-25,5.45,1173262.0,5.53,5.39,5.33
2017-08-28,5.35,1097015.0,5.455,5.38,5.184
2017-08-29,5.3,1594414.0,5.38,5.17,5.16
2017-08-30,5.2,906984.0,5.35,5.33,5.18
2017-08-31,5.43,1084042.0,5.47,5.24,5.22
2017-09-01,5.22,1000669.0,5.258,5.22,5.16
2017-09-05,5.21,998196.0,5.35,5.22,5.19
2017-09-06,5.2,3236983.0,5.62,5.47,5.18
2017-09-07,5.49,1779710.0,5.55,5.34,5.272
2017-09-08,5.38,1507647.0,5.49,5.38,5.31
2017-09-11,5.44,1179071.0,5.465,5.41,5.31
2017-09-12,5.45,1740610.0,5.45,5.37,5.28
2017-09-13,5.32,1055623.0,5.45,5.39,5.3
2017-09-14,5.39,4657437.0,5.93,5.65,5.39
2017-09-15,5.79,4237294.0,6.16,6.06,5.71
2017-09-18,6.24,3237443.0,6.25,5.67,5.65
2017-09-19,5.66,3618125.0,5.79,5.51,5.36
2017-09-20,5.5,3375706.0,5.53,5.22,5.2
2017-09-21,5.55,3505068.0,5.68,5.23,5.2
2017-09-22,5.24,2737609.0,5.3,5.19,5.12
2017-09-25,5.32,5736537.0,5.573,5.54,5.23
2017-09-26,5.6,3540608.0,5.905,5.8,5.515
2017-09-27,5.89,2499027.0,5.93,5.8,5.51
2017-09-28,5.8,2126285.0,5.84,5.59,5.46
2017-09-29,5.56,1341855.0,5.59,5.45,5.44
2017-10-02,5.42,1149539.0,5.54,5.44,5.4
2017-10-03,5.41,2435599.0,5.49,5.34,5.305
2017-10-04,5.37,1099187.0,5.39,5.34,5.28
2017-10-05,5.34,1373473.0,5.39,5.32,5.25
2017-10-06,5.3,845365.0,5.34,5.25,5.25
2017-10-09,5.25,2382336.0,5.293,5.15,5.15
2017-10-10,5.15,1707531.0,5.23,5.09,5.06
