date,1. open,5. volume,2. high,4. close,3. low
2000-11-30,8.75,314000.0,13.0,11.5,7.875
2000-12-01,11.31,141800.0,11.31,9.188,9.0
2000-12-04,9.125,119000.0,9.25,7.938,7.5
2000-12-05,8.219,67200.0,8.219,8.125,7.875
2000-12-06,8.109,98000.0,9.813,8.563,7.875
2000-12-07,8.875,45300.0,8.875,8.25,8.0
2000-12-08,7.875,97000.0,9.25,9.25,7.875
2000-12-11,9.219,367400.0,10.13,10.13,9.0
2000-12-12,9.828,195600.0,11.5,11.0,9.813
2000-12-13,11.0,174400.0,11.13,9.875,9.875
2000-12-14,10.78,78400.0,10.88,9.75,9.688
2000-12-15,9.75,68000.0,10.0,10.0,9.688
2000-12-18,10.25,107500.0,10.25,9.125,9.0
2000-12-19,9.063,122100.0,9.5,8.0,8.0
2000-12-20,8.594,388600.0,8.625,7.75,7.5
2000-12-21,8.25,77500.0,8.25,8.25,7.5
2000-12-22,8.375,65900.0,9.844,8.875,8.375
2000-12-26,8.94,31700.0,9.25,9.0,8.5
2000-12-27,9.125,62800.0,9.25,8.625,8.031
2000-12-28,8.938,105500.0,9.25,9.188,8.625
2000-12-29,9.125,48700.0,9.25,8.938,8.875
2001-01-02,8.875,31600.0,9.109,9.0,8.75
2001-01-03,9.0,51400.0,9.0,8.5,8.438
2001-01-04,8.516,176500.0,8.625,8.5,8.25
2001-01-05,8.516,79500.0,8.625,8.375,8.125
2001-01-08,8.219,209900.0,8.313,7.5,7.313
2001-01-09,7.469,134200.0,7.469,6.75,6.5
2001-01-10,6.516,45900.0,7.375,7.0,6.25
2001-01-11,7.313,63600.0,7.313,6.813,6.625
2001-01-12,7.125,42200.0,7.125,7.0,6.625
2001-01-16,6.688,50400.0,7.125,7.063,6.625
2001-01-17,7.313,133100.0,7.5,7.0,6.938
2001-01-18,7.375,76800.0,7.625,7.5,7.0
2001-01-19,7.27,32200.0,7.38,7.0,6.75
2001-01-22,7.141,71700.0,7.25,7.0,6.813
2001-01-23,7.25,60800.0,7.313,7.313,7.0
2001-01-24,7.281,65000.0,7.625,7.625,7.25
2001-01-25,7.625,20300.0,7.625,7.625,7.313
2001-01-26,7.625,17000.0,7.625,7.625,7.375
2001-01-29,7.375,14500.0,7.625,7.625,7.313
2001-01-30,7.5,27800.0,7.625,7.625,7.5
2001-01-31,7.625,29600.0,7.75,7.625,7.313
2001-02-01,7.547,59300.0,7.75,7.5,7.125
2001-02-02,7.75,9100.0,7.875,7.75,7.375
2001-02-05,7.875,12100.0,7.875,7.797,7.313
2001-02-06,7.813,17600.0,7.813,7.688,7.031
2001-02-07,7.641,30600.0,7.875,7.875,7.5
2001-02-08,7.844,15600.0,7.875,7.688,7.563
2001-02-09,7.656,15500.0,7.656,7.125,7.125
2001-02-12,7.438,50900.0,7.438,6.938,6.625
2001-02-13,6.656,84200.0,7.063,6.875,6.625
2001-02-14,7.0,30600.0,7.0,6.813,6.813
2001-02-15,7.016,71500.0,7.063,6.625,6.625
2001-02-16,6.625,123200.0,6.875,6.75,6.625
2001-02-20,7.0,78600.0,7.0,6.656,6.625
2001-02-21,6.656,74500.0,6.656,6.563,6.25
2001-02-22,6.844,13300.0,6.875,6.625,6.25
2001-02-23,6.859,1200.0,6.875,6.875,6.5
2001-02-26,6.531,13500.0,6.906,6.906,6.5
2001-02-27,6.703,2900.0,6.75,6.5,6.5
2001-02-28,6.875,41800.0,6.875,6.625,6.375
2001-03-01,6.813,31100.0,6.875,6.438,6.438
2001-03-02,6.375,58300.0,6.813,6.625,6.375
2001-03-05,6.547,21200.0,7.0,7.0,6.5
2001-03-06,7.5,30200.0,7.5,6.563,6.563
2001-03-07,6.813,24500.0,7.0,6.875,6.563
2001-03-08,6.984,82000.0,6.984,6.438,6.375
2001-03-09,6.375,400.0,6.625,6.375,6.375
2001-03-12,6.375,11300.0,6.438,6.375,6.25
2001-03-13,6.5,52700.0,6.625,6.5,5.875
2001-03-14,6.375,8200.0,6.375,5.891,5.875
2001-03-15,5.984,3900.0,6.25,6.0,5.938
2001-03-16,6.0,16000.0,6.125,6.0,5.75
2001-03-19,5.875,17300.0,5.938,5.75,5.75
2001-03-20,5.953,25200.0,5.969,5.813,5.656
2001-03-21,5.625,42400.0,5.75,4.875,4.75
2001-03-22,4.75,26400.0,5.125,4.813,4.563
2001-03-23,5.063,16000.0,5.25,5.125,4.625
2001-03-26,4.5,23700.0,5.125,5.063,4.172
2001-03-27,5.125,222100.0,5.188,5.063,5.0
2001-03-28,5.063,105300.0,6.875,5.75,5.0
2001-03-29,5.75,48100.0,5.75,4.813,4.813
2001-03-30,5.0,19800.0,5.5,5.375,5.0
2001-04-02,5.375,14200.0,5.75,5.75,5.25
