date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,45.0,101100.0,45.44,44.38,44.25
1998-01-05,44.13,211800.0,44.38,44.06,44.0
1998-01-06,43.56,312300.0,44.25,44.0,43.56
1998-01-07,44.06,144500.0,44.06,43.88,43.38
1998-01-08,43.94,250900.0,43.94,42.81,42.75
1998-01-09,42.63,193300.0,42.75,41.56,41.25
1998-01-12,40.63,221900.0,41.81,41.81,40.63
1998-01-13,42.0,187100.0,42.63,42.38,41.88
1998-01-14,42.13,199300.0,42.75,42.75,41.56
1998-01-15,42.75,110600.0,42.75,42.13,41.94
1998-01-16,42.06,150300.0,43.25,43.25,42.0
1998-01-20,43.25,168800.0,43.25,42.56,42.31
1998-01-21,42.5,173200.0,43.31,43.25,42.0
1998-01-22,43.0,182000.0,43.31,42.63,42.56
1998-01-23,42.5,144000.0,43.0,42.44,42.06
1998-01-26,42.56,171800.0,43.44,43.13,42.5
1998-01-27,43.06,189400.0,44.25,43.63,43.06
1998-01-28,43.75,167300.0,44.06,43.81,43.56
1998-01-29,43.63,216900.0,44.81,44.25,43.5
1998-01-30,45.0,360200.0,45.88,44.88,44.75
1998-02-02,45.5,212900.0,46.31,45.81,45.5
1998-02-03,45.63,270800.0,46.5,46.38,45.5
1998-02-04,46.5,239300.0,47.56,47.19,46.38
1998-02-05,47.19,197300.0,47.56,47.25,46.69
1998-02-06,47.25,155600.0,48.44,48.0,47.25
1998-02-09,48.0,358700.0,50.38,49.56,47.94
1998-02-10,49.56,318400.0,50.25,49.69,49.56
1998-02-11,49.63,142000.0,49.63,49.13,48.5
1998-02-12,48.88,177000.0,49.5,49.38,48.75
1998-02-13,49.31,208000.0,49.88,49.38,49.19
1998-02-17,49.38,321000.0,51.0,51.0,48.88
1998-02-18,51.0,334500.0,51.44,51.31,50.44
1998-02-19,51.31,235900.0,51.94,51.81,50.81
1998-02-20,51.81,377600.0,54.63,54.25,51.75
1998-02-23,53.5,610600.0,53.56,53.06,53.0
1998-02-24,52.88,852000.0,52.94,50.13,49.38
1998-02-25,51.0,322300.0,51.56,49.94,49.94
1998-02-26,49.94,276700.0,50.19,49.25,49.19
1998-02-27,49.63,419800.0,51.06,50.5,49.63
1998-03-02,50.13,309900.0,50.25,50.0,49.25
1998-03-03,49.94,205900.0,51.38,50.94,49.94
1998-03-04,51.06,257400.0,51.06,51.06,49.88
1998-03-05,50.63,307100.0,51.0,50.81,50.44
1998-03-06,50.94,777400.0,51.75,51.69,50.94
1998-03-09,51.44,385900.0,51.75,51.44,51.25
1998-03-10,51.44,239100.0,51.94,51.88,51.44
1998-03-11,51.75,139300.0,51.88,51.75,51.5
1998-03-12,51.5,209700.0,52.19,52.19,51.5
1998-03-13,52.0,226000.0,52.38,51.31,50.56
1998-03-16,51.38,251900.0,51.5,51.38,51.31
1998-03-17,51.56,135500.0,51.88,51.63,51.5
1998-03-18,51.56,417700.0,52.25,52.13,51.31
1998-03-19,52.0,141900.0,52.38,52.25,51.94
1998-03-20,52.5,216300.0,52.75,52.38,52.31
1998-03-23,52.25,105200.0,52.94,52.75,52.19
1998-03-24,52.75,196400.0,53.13,52.94,52.69
1998-03-25,53.13,280600.0,54.0,53.31,53.0
1998-03-26,53.0,108600.0,53.06,52.81,52.44
1998-03-27,53.06,205600.0,53.13,52.0,51.38
1998-03-30,52.0,128200.0,52.88,52.5,52.0
1998-03-31,52.75,174300.0,53.38,53.38,52.69
1998-04-01,53.38,435700.0,54.13,53.94,52.56
1998-04-02,53.75,237000.0,55.0,55.0,53.13
1998-04-03,54.94,125100.0,55.0,54.06,54.0
1998-04-06,54.25,293400.0,54.25,54.0,53.94
1998-04-07,54.0,134100.0,54.0,53.44,53.25
1998-04-08,53.44,180400.0,53.81,53.63,53.31
1998-04-09,53.88,145800.0,54.06,53.94,53.69
1998-04-13,53.94,191800.0,54.0,53.31,53.13
1998-04-14,53.13,451200.0,53.5,53.5,52.25
1998-04-15,53.5,235700.0,54.81,54.63,52.63
1998-04-16,54.38,254200.0,54.81,54.63,54.06
1998-04-17,54.75,186500.0,55.25,55.25,54.63
1998-04-20,55.0,186500.0,55.31,55.31,54.38
1998-04-21,55.19,253000.0,55.81,54.75,54.69
1998-04-22,54.5,433700.0,54.5,54.0,53.63
1998-04-23,53.94,439600.0,54.75,54.63,53.88
1998-04-24,54.69,486200.0,55.13,54.94,54.69
1998-04-27,54.94,592200.0,54.94,52.5,52.5
1998-04-28,52.56,337500.0,53.0,52.25,52.13
1998-04-29,52.5,249600.0,52.63,52.5,51.88
1998-04-30,52.63,557800.0,53.0,52.38,52.25
1998-05-01,52.38,182200.0,52.69,52.5,52.0
1998-05-04,52.75,174700.0,53.5,53.25,52.75
1998-05-05,53.5,127900.0,53.5,52.75,52.13
1998-05-06,52.38,110900.0,52.38,51.69,51.63
1998-05-07,51.88,219300.0,51.88,50.81,50.19
1998-05-08,50.38,148900.0,51.31,51.31,50.38
1998-05-11,51.31,121600.0,51.44,50.94,50.88
1998-05-12,50.88,118500.0,50.94,50.81,50.06
1998-05-13,50.94,108900.0,51.38,51.19,50.69
1998-05-14,51.19,96200.0,51.69,51.56,51.19
1998-05-15,51.38,117300.0,51.44,50.31,50.0
1998-05-18,50.38,117900.0,50.44,49.75,49.75
1998-05-19,50.0,126300.0,50.13,49.75,49.56
1998-05-20,49.94,91000.0,50.13,50.13,49.56
1998-05-21,50.31,122800.0,50.5,50.25,50.19
1998-05-22,50.25,161500.0,51.25,51.06,50.25
1998-05-26,50.94,392600.0,52.13,50.94,50.5
1998-05-27,51.06,211800.0,51.06,50.63,50.25
1998-05-28,50.63,210600.0,51.44,51.25,50.44
1998-05-29,51.38,159800.0,51.94,51.81,51.31
1998-06-01,51.69,214500.0,52.56,52.31,51.63
1998-06-02,52.5,239100.0,54.0,53.25,52.38
1998-06-03,53.25,238000.0,53.56,52.13,51.94
1998-06-04,51.63,275000.0,52.19,51.94,51.25
1998-06-05,52.0,107400.0,53.06,53.06,51.56
1998-06-08,53.5,197000.0,54.69,53.69,53.38
1998-06-09,53.56,155200.0,54.94,54.38,53.56
1998-06-10,54.25,117600.0,54.31,53.19,53.19
1998-06-11,53.19,150300.0,53.19,52.13,51.88
1998-06-12,52.13,119300.0,52.13,51.63,50.81
1998-06-15,51.25,274000.0,51.25,49.5,49.5
1998-06-16,49.88,223100.0,50.38,50.19,49.88
1998-06-17,50.38,452900.0,51.0,50.44,50.0
1998-06-18,50.94,392800.0,52.0,52.0,50.88
1998-06-19,52.38,616700.0,52.81,52.06,51.81
1998-06-22,52.31,227600.0,52.38,51.61,50.56
1998-06-23,51.69,259900.0,52.63,52.44,51.5
1998-06-24,52.38,152900.0,52.5,52.5,52.0
1998-06-25,53.75,329200.0,53.75,53.13,52.81
1998-06-26,53.13,187200.0,53.75,53.06,52.94
1998-06-29,53.25,202900.0,53.94,52.75,52.75
1998-06-30,52.69,124100.0,53.75,53.75,52.69
1998-07-01,53.75,262200.0,55.0,55.0,53.25
1998-07-02,54.81,107100.0,54.81,54.75,54.25
1998-07-06,54.88,168000.0,55.63,55.38,54.88
1998-07-07,55.44,321900.0,56.5,56.19,55.19
1998-07-08,55.88,191900.0,56.75,56.69,55.63
1998-07-09,56.69,274100.0,58.06,58.06,55.88
1998-07-10,57.94,661400.0,58.38,58.13,57.31
1998-07-13,58.13,268700.0,58.19,57.75,57.75
1998-07-14,57.94,121400.0,58.94,58.81,57.81
1998-07-15,58.94,186700.0,58.94,57.81,57.5
1998-07-16,58.0,171700.0,58.0,57.69,57.25
1998-07-17,57.56,176500.0,57.63,56.94,56.75
1998-07-20,56.69,186600.0,58.13,57.69,56.69
1998-07-21,58.13,294000.0,59.75,59.06,58.0
1998-07-22,59.13,193400.0,59.94,59.31,58.94
