date,1. open,5. volume,2. high,4. close,3. low
2001-12-03,13.84,847400.0,13.84,13.8,13.5
2001-12-04,13.7,780700.0,13.84,13.75,13.6
2001-12-05,13.75,906200.0,14.2,14.06,13.75
2001-12-06,14.2,291300.0,14.2,13.98,13.7
2001-12-07,13.88,399500.0,13.88,13.48,13.4
2001-12-10,13.1,348800.0,13.1,11.2,11.2
2001-12-11,11.3,595400.0,12.58,12.58,11.3
2001-12-12,12.48,226700.0,12.85,12.0,11.95
2001-12-13,12.1,248600.0,12.4,12.0,11.75
2001-12-14,11.9,146000.0,12.08,11.98,11.76
2001-12-17,11.65,523600.0,12.1,11.0,10.8
2001-12-18,10.9,685500.0,11.5,11.5,10.7
2001-12-19,11.16,290400.0,12.1,11.95,11.05
2001-12-20,12.0,535400.0,12.0,11.51,11.35
2001-12-21,11.2,367700.0,11.95,11.9,11.15
2001-12-24,12.35,112300.0,12.95,12.89,12.1
2001-12-26,13.09,255900.0,13.2,12.51,11.96
2001-12-27,12.7,374500.0,12.95,12.9,12.7
2001-12-28,12.91,324500.0,12.91,12.0,11.9
2001-12-31,12.0,451000.0,12.4,12.1,12.0
2002-01-02,12.05,164700.0,14.0,14.0,12.01
2002-01-03,14.75,260000.0,14.75,14.75,13.75
2002-01-04,14.89,155700.0,14.89,14.81,14.11
2002-01-07,14.71,131100.0,14.71,14.26,14.02
2002-01-08,14.2,67500.0,14.2,14.2,13.81
2002-01-09,14.15,52200.0,14.35,13.8,13.8
2002-01-10,13.7,74500.0,14.05,13.57,13.2
2002-01-11,13.62,56100.0,13.74,13.5,13.5
2002-01-14,13.28,177500.0,14.65,14.61,13.2
2002-01-15,14.4,208500.0,14.52,13.96,13.88
2002-01-16,13.99,144600.0,14.0,12.8,12.8
2002-01-17,12.7,618900.0,13.74,13.74,12.7
2002-01-18,13.54,123300.0,13.65,13.45,13.1
2002-01-22,13.45,86000.0,14.04,13.82,13.35
2002-01-23,13.92,70300.0,13.92,13.92,13.3
2002-01-24,13.82,63000.0,13.82,13.5,13.5
2002-01-25,13.4,300500.0,13.61,13.61,12.9
2002-01-28,13.92,135600.0,13.92,13.75,13.66
2002-01-29,13.75,214400.0,13.75,13.2,13.02
2002-01-30,13.15,31600.0,13.18,13.08,12.82
2002-01-31,13.0,144700.0,13.05,13.05,12.5
2002-02-01,13.05,114100.0,13.05,13.03,12.74
2002-02-04,12.8,83400.0,13.99,13.39,12.69
2002-02-05,13.29,112700.0,13.29,13.24,12.53
2002-02-06,13.24,207500.0,13.45,13.27,13.1
2002-02-07,13.17,76500.0,13.25,13.19,13.1
2002-02-08,13.29,98900.0,13.47,13.4,13.26
2002-02-11,13.3,104900.0,13.35,13.2,13.0
2002-02-12,13.2,138700.0,13.3,13.27,13.15
2002-02-13,13.26,65400.0,13.3,13.3,13.25
2002-02-14,13.3,173400.0,13.35,13.35,13.25
2002-02-15,13.57,90300.0,13.57,13.44,13.3
2002-02-19,13.54,242600.0,13.58,13.46,13.3
2002-02-20,13.62,101100.0,13.62,13.55,13.45
2002-02-21,13.55,74100.0,13.69,13.57,13.5
2002-02-22,13.65,92600.0,14.65,14.52,13.65
2002-02-25,14.42,67300.0,14.75,14.52,14.25
2002-02-26,14.52,54500.0,14.52,13.96,13.88
2002-02-27,13.9,61000.0,14.3,14.1,13.5
2002-02-28,14.5,148300.0,14.61,14.2,13.9
2002-03-01,14.15,188500.0,15.5,15.3,14.06
2002-03-04,15.2,320000.0,15.85,15.6,15.2
2002-03-05,15.5,158400.0,15.75,15.4,15.23
2002-03-06,15.3,121500.0,15.4,15.35,15.0
2002-03-07,15.29,119300.0,15.3,14.85,14.75
2002-03-08,14.8,58600.0,14.92,14.5,14.35
2002-03-11,14.1,210400.0,14.8,14.71,14.0
2002-03-12,15.2,83300.0,15.2,15.2,14.75
2002-03-13,15.3,19800.0,15.3,15.23,15.1
2002-03-14,15.52,33200.0,15.52,15.5,15.15
2002-03-15,15.15,109100.0,15.4,15.1,15.02
2002-03-18,15.25,47400.0,15.25,15.14,15.07
2002-03-19,15.11,57400.0,16.0,16.0,15.03
2002-03-20,15.75,48600.0,16.0,15.26,15.25
2002-03-21,15.61,107200.0,15.61,15.58,14.75
2002-03-22,15.6,69500.0,15.85,15.51,15.31
2002-03-25,15.3,129900.0,15.75,15.31,15.2
2002-03-26,15.31,99400.0,16.01,15.9,15.21
2002-03-27,17.7,265200.0,17.7,16.5,15.9
2002-03-28,16.6,146700.0,17.15,16.53,16.08
2002-04-01,17.1,167700.0,17.1,17.0,16.15
2002-04-02,16.95,102200.0,17.06,17.05,16.86
2002-04-03,17.0,76800.0,17.03,16.75,16.7
2002-04-04,16.5,89000.0,17.05,17.05,16.5
2002-04-05,17.05,103300.0,17.3,17.18,16.8
2002-04-08,17.0,63900.0,17.85,17.6,17.0
2002-04-09,17.6,116300.0,17.8,17.6,17.15
2002-04-10,17.6,99300.0,17.91,17.86,17.4
2002-04-11,17.71,59700.0,17.78,17.47,17.41
2002-04-12,17.37,131000.0,17.9,17.9,17.37
