date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,28.75,319800.0,28.94,28.81,28.5
1998-01-05,28.88,1162800.0,28.94,28.13,28.13
1998-01-06,28.31,1123600.0,28.31,27.38,27.25
1998-01-07,27.44,519700.0,27.56,27.25,27.06
1998-01-08,27.31,577700.0,27.75,27.06,26.88
1998-01-09,26.94,1115400.0,26.94,26.0,25.31
1998-01-12,25.13,1647500.0,25.88,25.56,25.0
1998-01-13,25.75,3025200.0,25.75,24.31,23.75
1998-01-14,25.0,2202500.0,25.44,25.44,24.81
1998-01-15,26.13,1915000.0,27.06,26.69,25.88
1998-01-16,26.69,1266200.0,27.56,27.56,26.63
1998-01-20,27.63,1060300.0,27.94,27.44,27.25
1998-01-21,27.56,626800.0,27.94,27.0,26.88
1998-01-22,26.75,1089700.0,26.75,26.19,25.5
1998-01-23,26.25,804400.0,26.38,26.0,25.5
1998-01-26,26.38,354500.0,26.5,26.31,26.06
1998-01-27,26.56,595200.0,27.19,26.75,26.5
1998-01-28,27.0,315300.0,27.44,27.38,26.94
1998-01-29,27.31,376600.0,27.75,27.69,27.31
1998-01-30,27.5,247200.0,27.68,27.44,27.25
1998-02-02,27.69,470600.0,28.25,28.0,27.69
1998-02-03,28.19,405800.0,28.69,28.38,28.0
1998-02-04,28.63,402000.0,28.69,28.63,28.44
1998-02-05,28.63,746100.0,29.44,29.38,28.31
1998-02-06,29.5,354000.0,29.63,29.5,29.13
1998-02-09,29.5,493100.0,29.81,29.56,29.31
1998-02-10,29.81,502300.0,29.81,29.38,29.19
1998-02-11,29.38,831600.0,29.63,29.63,29.19
1998-02-12,29.63,540400.0,30.06,30.0,29.38
1998-02-13,29.88,776500.0,30.13,29.88,29.69
1998-02-17,30.0,444200.0,30.5,30.25,29.94
1998-02-18,30.0,517200.0,30.19,30.0,29.75
1998-02-19,30.0,515300.0,30.38,30.31,29.88
1998-02-20,30.06,958300.0,30.13,29.88,29.69
1998-02-23,29.94,629600.0,29.94,29.75,29.63
1998-02-24,29.75,456700.0,29.75,29.31,29.0
1998-02-25,29.31,267500.0,29.5,29.44,29.25
1998-02-26,29.31,295900.0,29.44,29.13,29.13
1998-02-27,29.13,1748300.0,30.63,30.25,29.06
1998-03-02,30.56,530100.0,31.19,30.0,30.0
1998-03-03,30.06,279900.0,30.81,30.5,29.81
1998-03-04,30.38,403400.0,30.81,30.5,30.13
1998-03-05,30.25,2604600.0,30.44,30.38,29.75
1998-03-06,30.5,2118500.0,32.5,32.31,30.5
1998-03-09,32.31,355500.0,32.38,32.25,32.0
1998-03-10,32.44,1319900.0,33.56,33.44,32.44
1998-03-11,34.0,260700.0,34.06,33.63,33.19
1998-03-12,34.0,562800.0,34.81,34.75,33.94
1998-03-13,34.88,685000.0,34.94,34.31,34.31
1998-03-16,34.56,1524200.0,36.25,36.0,34.56
1998-03-17,35.63,976000.0,35.63,35.0,34.5
1998-03-18,34.75,801700.0,35.0,34.75,34.25
1998-03-19,34.63,709000.0,34.63,33.75,33.38
1998-03-20,33.75,1014900.0,33.75,32.94,32.88
1998-03-23,32.88,284600.0,33.0,32.94,32.5
1998-03-24,32.94,484900.0,33.94,32.94,32.81
1998-03-25,33.0,407400.0,33.5,32.5,32.5
1998-03-26,32.56,321000.0,32.88,32.75,32.13
1998-03-27,33.13,307400.0,33.5,33.5,32.63
1998-03-30,33.31,184300.0,33.56,32.56,32.5
1998-03-31,32.81,600000.0,34.13,33.88,32.69
1998-04-01,33.75,330100.0,33.88,33.5,32.81
1998-04-02,33.81,559300.0,33.81,33.19,32.56
1998-04-03,33.25,252700.0,33.94,33.69,33.0
1998-04-06,33.69,340200.0,33.69,33.0,33.0
1998-04-07,33.0,316900.0,33.0,32.56,32.13
1998-04-08,32.5,362500.0,32.56,32.38,31.75
1998-04-09,32.63,704600.0,32.75,31.75,31.69
1998-04-13,31.56,368800.0,31.75,31.75,31.19
1998-04-14,31.5,411800.0,31.88,31.69,31.25
1998-04-15,31.44,704500.0,31.75,31.5,31.31
1998-04-16,31.69,669200.0,31.69,30.88,30.75
1998-04-17,30.5,722700.0,31.94,31.63,30.0
1998-04-20,31.63,493300.0,32.25,32.0,31.63
1998-04-21,32.0,932300.0,32.0,31.69,31.38
1998-04-22,31.69,966900.0,32.38,32.0,31.44
1998-04-23,32.0,549100.0,32.06,32.0,31.81
1998-04-24,32.13,541400.0,32.13,31.75,31.38
1998-04-27,31.38,523700.0,31.5,30.69,30.5
1998-04-28,30.5,704400.0,30.75,30.25,30.0
1998-04-29,30.31,636700.0,30.31,30.06,29.94
1998-04-30,30.06,559700.0,30.44,30.19,30.0
1998-05-01,30.0,281000.0,30.19,29.94,29.88
1998-05-04,30.13,266100.0,30.19,29.81,29.81
1998-05-05,29.81,1189700.0,29.94,29.81,29.75
1998-05-06,29.88,494000.0,30.13,29.69,29.63
1998-05-07,29.94,508000.0,30.13,29.75,29.75
1998-05-08,29.88,430100.0,30.06,29.56,29.5
1998-05-11,29.81,238200.0,29.94,29.63,29.63
1998-05-12,30.75,1704000.0,30.94,30.75,30.19
1998-05-13,30.75,2115100.0,32.81,31.63,30.75
1998-05-14,31.88,1281700.0,33.0,32.81,31.75
1998-05-15,33.06,707500.0,33.31,33.06,32.38
1998-05-18,33.75,706100.0,33.88,32.63,32.25
1998-05-19,32.69,544700.0,32.69,32.25,31.69
1998-05-20,32.19,483800.0,32.63,32.25,32.06
1998-05-21,32.31,394300.0,32.63,32.31,32.13
1998-05-22,32.31,501900.0,32.75,32.63,32.31
1998-05-26,32.69,708500.0,33.19,32.56,32.56
1998-05-27,32.63,1285000.0,32.94,32.63,32.06
1998-05-28,32.69,656000.0,33.44,33.31,32.69
1998-05-29,33.31,293700.0,33.56,33.25,33.25
1998-06-01,34.13,639100.0,34.25,33.31,33.31
1998-06-02,33.5,766100.0,33.63,33.44,33.13
1998-06-03,33.38,288100.0,33.69,33.44,33.25
1998-06-04,33.56,1523200.0,33.69,33.44,33.25
1998-06-05,33.56,954400.0,33.56,33.5,33.25
1998-06-08,33.44,1675000.0,33.5,32.06,31.75
1998-06-09,32.06,807800.0,32.06,31.63,31.56
1998-06-10,31.62,1974500.0,31.94,31.38,31.0
1998-06-11,31.44,630600.0,31.81,31.69,31.25
1998-06-12,31.69,994400.0,32.13,31.94,31.31
1998-06-15,31.44,568000.0,31.69,31.63,31.25
1998-06-16,31.94,604500.0,32.0,31.94,31.75
1998-06-17,31.94,698300.0,32.25,31.69,31.56
1998-06-18,32.0,378600.0,32.81,32.44,31.88
1998-06-19,32.63,568200.0,33.06,32.38,32.38
1998-06-22,33.19,600200.0,33.94,33.63,33.19
1998-06-23,34.0,813200.0,34.69,34.69,34.0
1998-06-24,34.75,634700.0,35.06,34.94,34.69
1998-06-25,35.0,530300.0,35.25,34.5,34.31
1998-06-26,33.38,1086500.0,33.94,32.5,32.0
1998-06-29,32.5,346100.0,32.56,32.44,32.19
1998-06-30,32.44,339300.0,32.44,31.94,31.94
1998-07-01,32.31,458800.0,33.13,32.31,31.75
1998-07-02,33.38,441800.0,33.88,33.56,33.19
1998-07-06,33.56,2126700.0,35.13,35.06,33.5
1998-07-07,35.19,1528200.0,35.44,34.94,34.56
1998-07-08,35.13,472400.0,35.38,35.38,34.63
1998-07-09,35.25,1450800.0,37.0,36.69,35.06
1998-07-10,37.44,721300.0,37.44,36.44,36.0
1998-07-13,36.63,554700.0,36.69,35.81,35.38
1998-07-14,35.94,562600.0,36.13,35.94,35.81
1998-07-15,35.94,597000.0,36.19,36.06,35.88
1998-07-16,36.19,522800.0,36.25,36.19,35.75
1998-07-17,36.38,616400.0,37.56,37.38,36.31
1998-07-20,37.38,1960200.0,37.38,36.0,36.0
1998-07-21,36.0,722300.0,36.13,35.88,35.5
1998-07-22,35.88,647300.0,37.38,37.19,35.38
1998-07-23,37.19,794100.0,38.0,36.94,36.5
1998-07-24,37.19,478800.0,37.31,36.63,36.0
1998-07-27,36.38,752000.0,36.44,34.75,34.44
1998-07-28,34.75,800900.0,34.75,34.25,33.88
1998-07-29,34.25,418200.0,35.06,35.0,34.13
1998-07-30,35.0,313800.0,35.56,35.38,35.0
1998-07-31,35.38,293600.0,35.38,34.25,34.19
1998-08-03,34.06,336400.0,34.88,34.75,34.06
1998-08-04,34.81,441700.0,35.06,33.75,33.63
1998-08-05,33.63,353100.0,34.06,33.88,33.38
1998-08-06,33.44,2051700.0,33.5,31.81,31.63
1998-08-07,33.0,431500.0,34.5,33.63,33.0
1998-08-10,33.63,618400.0,33.63,32.31,31.88
1998-08-11,31.81,580700.0,31.88,31.5,31.13
1998-08-12,31.81,402800.0,31.88,31.63,31.13
1998-08-13,32.0,242800.0,32.31,31.56,31.13
1998-08-14,31.31,493700.0,31.5,30.81,30.44
1998-08-17,30.56,307700.0,31.75,31.44,30.44
1998-08-18,31.63,505800.0,32.63,31.88,31.63
1998-08-19,32.13,480200.0,32.13,31.25,31.25
1998-08-20,31.38,284100.0,31.81,30.94,30.75
1998-08-21,30.69,346700.0,31.5,31.5,29.94
1998-08-24,31.63,201600.0,32.06,31.56,31.13
1998-08-25,31.69,1960900.0,32.38,31.19,30.88
1998-08-26,29.56,2017400.0,30.0,29.38,29.0
1998-08-27,29.25,1704900.0,29.25,27.25,26.81
1998-08-28,27.06,1433700.0,27.5,27.0,26.63
1998-08-31,26.88,769700.0,27.06,25.94,25.75
1998-09-01,25.06,4259000.0,25.19,23.75,23.0
1998-09-02,24.0,1046200.0,25.25,25.06,23.88
1998-09-03,24.0,685400.0,24.94,24.63,24.0
1998-09-04,24.88,1151600.0,24.94,24.25,24.0
1998-09-08,24.75,682300.0,26.88,26.75,24.13
1998-09-09,26.25,1237200.0,26.69,25.25,24.88
1998-09-10,25.0,1122300.0,25.0,23.5,23.19
1998-09-11,23.56,1060200.0,24.56,24.13,23.38
1998-09-14,24.38,905300.0,25.13,24.63,24.25
1998-09-15,24.5,566000.0,24.56,23.81,23.69
1998-09-16,23.94,1172600.0,24.25,23.38,23.38
1998-09-17,23.31,1244400.0,23.44,23.19,22.63
1998-09-18,22.94,450000.0,23.75,23.63,22.94
1998-09-21,23.13,443900.0,23.44,23.06,22.88
1998-09-22,23.0,749900.0,23.44,22.75,22.44
1998-09-23,23.0,1157800.0,23.19,22.31,22.0
1998-09-24,22.44,1093700.0,24.06,23.25,22.31
1998-09-25,23.25,770900.0,24.44,24.19,23.13
1998-09-28,25.25,575600.0,25.25,24.63,24.25
1998-09-29,24.81,467400.0,25.19,25.0,24.38
1998-09-30,24.75,619400.0,24.75,24.63,23.31
1998-10-01,24.63,840100.0,24.63,22.31,22.0
1998-10-02,22.44,361900.0,23.31,22.81,22.44
1998-10-05,22.81,574200.0,22.88,21.88,20.5
1998-10-06,21.63,2980500.0,23.44,21.5,21.25
1998-10-07,22.0,318100.0,23.06,22.06,21.81
1998-10-08,21.81,581800.0,22.06,21.56,20.94
1998-10-09,21.56,638300.0,23.0,22.88,21.44
1998-10-12,24.5,752200.0,24.75,23.81,23.75
1998-10-13,24.0,357900.0,24.0,23.56,23.13
1998-10-14,23.81,336000.0,24.0,23.94,23.63
1998-10-15,24.0,530200.0,26.44,26.25,24.0
1998-10-16,26.5,384500.0,26.75,26.06,26.0
1998-10-19,26.06,319500.0,26.94,26.75,25.88
1998-10-20,26.94,383400.0,27.56,27.19,26.94
1998-10-21,27.06,394500.0,27.19,27.0,26.19
1998-10-22,27.06,323500.0,27.06,26.69,26.25
1998-10-23,26.44,250300.0,27.0,26.63,26.38
1998-10-26,26.56,277700.0,26.69,26.0,25.94
1998-10-27,26.0,328200.0,26.5,25.75,25.31
1998-10-28,25.88,575000.0,26.13,25.25,25.19
1998-10-29,25.5,294000.0,25.81,25.75,25.19
1998-10-30,25.88,232500.0,26.81,26.31,25.88
1998-11-02,26.56,307600.0,27.25,27.19,26.56
1998-11-03,27.44,359900.0,27.75,27.06,27.0
1998-11-04,27.31,543800.0,27.63,27.31,27.06
1998-11-05,27.31,335600.0,28.38,28.38,27.13
1998-11-06,28.38,560400.0,28.63,28.5,27.5
1998-11-09,28.75,267000.0,28.75,27.88,27.81
1998-11-10,28.06,289400.0,28.06,27.25,27.13
1998-11-11,27.63,228500.0,28.13,27.56,27.25
1998-11-12,27.19,467100.0,27.63,26.69,26.5
1998-11-13,26.94,166100.0,27.94,27.88,26.94
1998-11-16,27.81,285900.0,28.63,28.38,27.75
1998-11-17,28.25,266500.0,28.44,28.38,27.69
1998-11-18,28.81,352300.0,29.31,28.63,28.19
1998-11-19,29.06,208900.0,29.13,29.0,28.69
1998-11-20,29.31,223200.0,29.63,29.5,29.13
1998-11-23,29.88,350400.0,30.5,29.81,29.44
1998-11-24,30.0,341000.0,30.31,30.31,29.5
1998-11-25,30.06,204100.0,30.19,30.12,29.75
1998-11-27,30.0,81400.0,30.31,30.19,29.94
1998-11-30,30.19,236700.0,30.44,30.13,29.88
1998-12-01,30.19,198900.0,30.19,29.88,29.0
1998-12-02,29.94,255300.0,29.94,29.69,29.25
1998-12-03,29.88,236900.0,30.69,30.0,29.63
1998-12-04,30.0,443100.0,31.0,31.0,30.0
1998-12-07,30.75,594600.0,32.25,32.06,30.69
1998-12-08,32.06,1175900.0,32.5,31.44,31.13
1998-12-09,31.0,582100.0,31.69,31.44,30.88
1998-12-10,31.38,267300.0,31.44,30.63,30.63
1998-12-11,30.0,405800.0,30.81,30.69,29.69
1998-12-14,30.69,566400.0,30.69,30.56,30.06
1998-12-15,30.13,630200.0,30.56,30.5,29.94
1998-12-16,30.69,441300.0,31.0,30.69,30.31
1998-12-17,30.75,276900.0,31.13,31.0,30.69
1998-12-18,31.38,460800.0,32.06,32.0,30.88
1998-12-21,31.88,438900.0,32.38,32.06,31.75
1998-12-22,32.0,393300.0,32.19,32.06,32.0
1998-12-23,32.0,435900.0,33.0,32.88,31.94
1998-12-24,33.0,101600.0,33.56,33.25,32.94
1998-12-28,33.25,273800.0,33.44,33.25,33.0
1998-12-29,33.13,605100.0,33.31,33.06,32.75
1998-12-30,33.06,243900.0,33.13,32.94,32.81
1998-12-31,33.0,349400.0,33.0,32.94,32.56
1999-01-04,33.0,611500.0,33.25,32.94,32.38
1999-01-05,32.75,345600.0,33.13,32.88,32.75
1999-01-06,32.88,349500.0,34.0,33.88,32.63
