date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,50.5,615400.0,50.5,50.13,49.69
1998-01-05,50.25,564400.0,51.25,50.88,50.06
1998-01-06,51.06,679400.0,51.06,50.69,50.44
1998-01-07,50.56,700000.0,51.44,50.94,50.56
1998-01-08,51.25,634200.0,51.56,51.0,51.0
1998-01-09,51.31,963900.0,51.31,50.0,50.0
1998-01-12,49.0,1327600.0,49.25,48.69,48.5
1998-01-13,48.75,1532000.0,49.13,48.69,48.5
1998-01-14,48.69,949000.0,50.06,49.88,48.63
1998-01-15,50.0,521400.0,50.38,50.19,50.0
1998-01-16,50.44,779900.0,52.0,52.0,50.44
1998-01-20,51.94,1559800.0,53.25,51.38,51.0
1998-01-21,50.88,1022700.0,51.44,50.44,50.31
1998-01-22,50.0,787200.0,50.44,50.13,49.88
1998-01-23,50.38,530200.0,50.88,50.19,50.13
1998-01-26,50.19,529200.0,51.38,51.19,50.19
1998-01-27,50.75,987200.0,51.44,51.06,50.63
1998-01-28,51.06,1443500.0,52.38,51.94,50.75
1998-01-29,52.5,1650700.0,54.38,53.19,52.38
1998-01-30,54.75,1512100.0,56.38,55.69,54.44
1998-02-02,56.5,1117900.0,57.75,57.63,56.5
1998-02-03,57.63,546300.0,57.75,57.31,57.25
1998-02-04,57.31,578900.0,57.31,56.31,56.06
1998-02-05,56.38,347800.0,56.75,55.94,55.69
1998-02-06,56.19,271600.0,56.69,56.25,55.63
1998-02-09,56.38,334700.0,56.56,55.5,55.31
1998-02-10,55.88,399900.0,56.75,56.56,55.38
1998-02-11,56.94,295200.0,57.38,57.0,56.19
1998-02-12,57.0,606600.0,57.0,56.13,55.56
1998-02-13,56.0,471700.0,56.31,56.0,55.25
1998-02-17,56.75,842200.0,56.75,56.19,55.5
1998-02-18,56.0,689800.0,56.88,56.81,55.75
1998-02-19,56.69,605400.0,57.56,56.19,56.13
1998-02-20,56.56,613400.0,56.56,55.63,54.5
1998-02-23,56.44,398100.0,56.5,56.44,55.25
1998-02-24,56.56,363200.0,56.56,55.75,55.31
1998-02-25,55.75,498300.0,57.19,56.25,55.56
1998-02-26,56.19,287900.0,56.56,55.94,55.63
1998-02-27,55.69,351900.0,56.69,56.63,55.44
1998-03-02,56.5,656800.0,57.0,56.75,56.0
1998-03-03,56.94,554300.0,57.38,56.75,56.38
1998-03-04,56.75,319200.0,56.75,55.81,55.38
1998-03-05,55.25,595500.0,55.56,54.69,54.38
1998-03-06,55.0,605900.0,55.63,55.38,55.0
1998-03-09,55.13,654900.0,56.88,56.25,55.13
1998-03-10,56.25,780300.0,57.0,56.56,56.25
1998-03-11,56.13,1054300.0,58.13,58.13,55.56
1998-03-12,58.06,700800.0,58.88,57.69,57.31
1998-03-13,57.88,581000.0,58.25,57.0,56.25
1998-03-16,57.13,636300.0,57.56,57.25,56.94
1998-03-17,57.25,624900.0,58.0,58.0,57.13
1998-03-18,58.13,1286300.0,59.56,59.31,58.13
1998-03-19,59.94,675300.0,60.0,59.44,59.13
1998-03-20,59.88,1261600.0,61.5,61.44,59.75
1998-03-23,62.25,1099300.0,62.25,60.75,60.44
1998-03-24,61.88,723200.0,62.44,61.69,61.31
1998-03-25,62.0,676300.0,62.13,61.13,60.56
1998-03-26,59.88,916600.0,59.88,58.69,58.56
1998-03-27,59.0,660200.0,59.13,58.0,57.88
1998-03-30,58.19,522500.0,58.19,56.75,56.56
1998-03-31,56.38,1692600.0,56.38,55.13,54.25
1998-04-01,55.13,1011100.0,55.5,55.06,54.44
1998-04-02,55.13,1347200.0,55.25,54.88,54.38
1998-04-03,55.19,1486100.0,57.38,57.0,54.88
1998-04-06,56.75,666500.0,56.88,55.63,55.5
1998-04-07,55.5,558300.0,56.19,55.94,55.31
1998-04-08,56.75,812200.0,57.38,56.06,55.75
1998-04-09,56.75,593500.0,57.19,55.88,55.63
1998-04-13,55.88,1118900.0,55.88,54.88,54.63
1998-04-14,54.75,2175500.0,54.75,53.81,52.88
1998-04-15,53.63,2729100.0,53.63,53.0,52.5
1998-04-16,53.25,1044200.0,53.31,52.88,52.69
1998-04-17,53.13,1561000.0,53.69,53.63,52.0
1998-04-20,53.75,1075200.0,54.44,53.5,53.13
1998-04-21,53.88,855900.0,54.06,53.56,53.0
1998-04-22,53.56,948300.0,53.69,53.0,53.0
1998-04-23,53.25,1475100.0,53.88,53.38,53.13
1998-04-24,54.5,2150800.0,54.94,54.5,53.25
1998-04-27,54.44,980500.0,54.44,52.88,52.63
1998-04-28,53.38,1437300.0,54.13,53.56,53.06
1998-04-29,53.69,795700.0,53.69,52.75,52.75
1998-04-30,54.25,1381400.0,56.0,55.44,54.25
1998-05-01,55.63,860600.0,55.88,55.63,55.13
