date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,38.38,2512400.0,38.5,37.75,37.12
1998-01-05,37.75,3569600.0,38.62,38.44,37.5
1998-01-06,38.25,1158000.0,38.75,38.38,38.0
1998-01-07,38.12,4334800.0,40.31,39.56,37.5
1998-01-08,39.25,4269200.0,40.25,39.38,38.88
1998-01-09,39.38,2861600.0,39.38,38.75,38.5
1998-01-12,38.12,1742400.0,38.62,38.25,37.75
1998-01-13,38.38,3352800.0,40.12,40.12,38.25
1998-01-14,39.25,3645600.0,39.38,38.81,38.12
1998-01-15,38.5,2157200.0,39.12,38.88,38.5
1998-01-16,38.88,2450800.0,40.0,39.25,38.75
1998-01-20,39.12,2324400.0,40.12,40.12,38.81
1998-01-21,39.88,2162000.0,40.12,39.12,38.81
1998-01-22,39.0,3868000.0,39.88,39.31,38.62
1998-01-23,39.25,1155600.0,40.0,39.88,38.75
1998-01-26,39.62,1346000.0,40.12,39.25,39.12
1998-01-27,39.38,3487600.0,41.12,41.0,38.75
1998-01-28,41.0,11056000.0,41.81,41.25,40.88
1998-01-29,40.25,10022000.0,40.75,39.75,39.62
1998-01-30,39.62,1892000.0,39.88,39.62,39.38
1998-02-02,40.12,1513600.0,40.25,39.81,39.75
1998-02-03,39.88,1389200.0,40.38,40.0,39.75
1998-02-04,39.75,2636400.0,40.0,38.62,38.25
1998-02-05,39.12,1846800.0,39.12,38.75,38.38
1998-02-06,39.38,1184000.0,39.44,38.88,38.62
1998-02-09,39.0,1460400.0,39.12,38.31,38.12
1998-02-10,38.62,1497600.0,39.62,39.25,38.25
1998-02-11,39.38,2122400.0,40.75,40.44,39.25
1998-02-12,40.25,896800.0,40.62,40.62,40.06
1998-02-13,40.38,1078000.0,40.88,40.5,40.38
1998-02-17,41.0,1596000.0,42.12,41.88,40.88
1998-02-18,41.88,1559200.0,42.25,42.12,41.62
1998-02-19,41.88,1242800.0,42.88,42.12,41.75
1998-02-20,42.38,1515600.0,42.94,42.56,41.75
1998-02-23,42.75,1244000.0,42.94,42.88,41.88
1998-02-24,42.75,820400.0,42.75,42.31,42.0
1998-02-25,42.25,1519600.0,43.5,43.5,41.62
1998-02-26,43.5,1745600.0,44.88,44.0,43.12
1998-02-27,44.0,1599200.0,44.0,43.19,42.88
1998-03-02,43.0,1779200.0,44.19,43.75,42.88
1998-03-03,43.5,1426000.0,44.12,43.25,43.12
1998-03-04,43.38,901200.0,43.38,42.94,42.62
