date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,49.0,305200.0,50.0,50.0,48.75
1998-01-05,50.19,336700.0,50.25,50.25,49.31
1998-01-06,50.0,285300.0,50.63,50.19,49.63
1998-01-07,50.25,259000.0,50.75,49.81,49.5
1998-01-08,49.69,258400.0,50.69,50.63,49.69
1998-01-09,50.63,489900.0,50.75,49.56,49.5
1998-01-12,49.0,390400.0,49.81,49.5,48.88
1998-01-13,49.75,223100.0,49.94,49.63,49.13
1998-01-14,49.88,278200.0,51.0,50.63,49.5
1998-01-15,51.88,575500.0,52.31,52.31,51.5
1998-01-16,54.0,805900.0,55.31,55.0,54.0
1998-01-20,55.0,593300.0,55.63,55.19,54.88
1998-01-21,54.94,427500.0,57.25,56.5,54.75
1998-01-22,55.0,467600.0,58.5,58.5,55.0
1998-01-23,59.0,1230400.0,61.0,60.25,58.75
1998-01-26,59.5,421800.0,59.56,59.0,57.81
1998-01-27,59.0,806100.0,61.75,61.69,58.13
1998-01-28,61.69,934300.0,62.75,61.88,60.88
1998-01-29,62.06,810000.0,65.19,63.25,62.0
1998-01-30,63.5,741800.0,64.5,63.13,62.38
1998-02-02,63.38,614800.0,66.5,66.06,63.38
1998-02-03,66.06,1030700.0,67.44,66.06,65.19
1998-02-04,65.0,911500.0,65.0,64.56,63.63
1998-02-05,64.31,492000.0,64.5,62.69,62.5
1998-02-06,62.94,545300.0,65.06,64.69,62.94
1998-02-09,64.75,389900.0,65.44,64.38,64.06
1998-02-10,64.56,345900.0,65.81,65.19,64.56
1998-02-11,64.94,224400.0,65.88,64.81,64.19
1998-02-12,64.31,294000.0,65.25,65.19,63.0
1998-02-13,64.94,266900.0,65.25,64.38,64.38
1998-02-17,64.13,278900.0,64.5,64.31,63.63
1998-02-18,64.31,272300.0,64.94,64.38,63.88
1998-02-19,64.5,278200.0,64.56,63.44,63.44
1998-02-20,64.75,614800.0,65.5,65.25,63.56
1998-02-23,65.5,384700.0,65.69,65.06,64.69
1998-02-24,64.81,162200.0,64.81,64.25,63.88
1998-02-25,64.5,205600.0,65.0,64.13,63.69
1998-02-26,64.38,720600.0,64.88,64.5,64.13
1998-02-27,64.25,480900.0,64.25,63.63,63.38
1998-03-02,63.63,302700.0,63.63,62.75,62.38
1998-03-03,62.75,445700.0,62.88,62.56,62.38
1998-03-04,62.63,497800.0,63.13,63.13,61.25
1998-03-05,62.75,335800.0,63.13,63.06,62.63
1998-03-06,62.88,307400.0,65.31,65.31,62.88
1998-03-09,64.56,310800.0,66.0,65.31,64.44
1998-03-10,65.13,201800.0,66.44,66.0,65.13
1998-03-11,65.75,344100.0,66.94,66.81,65.69
1998-03-12,67.31,687600.0,69.88,69.25,67.31
1998-03-13,69.25,465500.0,69.81,69.44,68.81
1998-03-16,69.19,354600.0,69.5,69.5,68.75
1998-03-17,69.75,443000.0,70.44,70.06,69.63
1998-03-18,69.81,257900.0,70.31,70.31,69.75
1998-03-19,70.31,247500.0,71.38,70.94,70.25
1998-03-20,71.19,248000.0,71.19,70.81,70.38
1998-03-23,70.13,203100.0,70.5,69.81,69.63
1998-03-24,69.56,290000.0,70.5,70.44,69.5
1998-03-25,70.31,361600.0,70.63,70.25,69.5
1998-03-26,70.13,441900.0,70.69,69.88,69.56
1998-03-27,70.0,633800.0,70.63,68.63,68.5
1998-03-30,68.63,343100.0,69.31,69.0,68.13
1998-03-31,68.88,412600.0,69.69,68.06,68.06
1998-04-01,68.06,348300.0,69.81,69.19,67.63
1998-04-02,69.06,182800.0,70.25,70.25,68.88
1998-04-03,70.13,255800.0,70.38,69.63,69.5
1998-04-06,69.38,165400.0,69.69,69.31,68.88
1998-04-07,69.06,139400.0,69.44,69.44,68.81
1998-04-08,69.5,717400.0,71.63,70.0,69.5
1998-04-09,70.06,397500.0,71.44,70.56,70.06
1998-04-13,70.56,199900.0,70.56,69.5,69.5
1998-04-14,69.5,263300.0,69.5,69.25,69.0
1998-04-15,69.5,449800.0,70.25,69.69,69.06
1998-04-16,70.56,295000.0,70.56,68.81,68.56
1998-04-17,69.06,273600.0,69.38,69.19,68.25
1998-04-20,69.44,179900.0,69.56,69.5,69.25
1998-04-21,68.75,272000.0,69.31,69.31,67.88
1998-04-22,69.56,435500.0,72.5,72.25,69.06
1998-04-23,72.13,497600.0,73.88,73.56,72.13
1998-04-24,73.63,546500.0,76.88,73.25,73.06
1998-04-27,73.25,315200.0,73.25,70.69,70.0
1998-04-28,70.94,517700.0,71.13,69.13,68.56
1998-04-29,69.13,357800.0,70.31,70.19,69.0
1998-04-30,69.94,357400.0,70.5,69.63,69.63
1998-05-01,69.88,225900.0,70.44,70.25,69.75
1998-05-04,70.5,156800.0,71.19,70.88,70.44
1998-05-05,70.94,353100.0,70.94,70.0,69.5
1998-05-06,69.81,117500.0,69.94,69.25,69.0
1998-05-07,69.0,154500.0,69.0,67.69,67.63
1998-05-08,67.75,125000.0,68.44,68.25,67.75
1998-05-11,68.5,250300.0,69.63,69.06,68.5
1998-05-12,69.31,190200.0,70.19,70.0,68.75
1998-05-13,69.94,228200.0,71.44,71.06,69.94
1998-05-14,71.19,208900.0,71.56,70.44,70.25
1998-05-15,70.25,123700.0,70.31,69.31,69.25
1998-05-18,69.25,151100.0,69.63,68.81,67.88
1998-05-19,68.81,180100.0,70.0,69.5,68.81
1998-05-20,72.25,689700.0,72.25,72.25,72.25
1998-05-21,72.19,378900.0,72.94,72.31,72.0
1998-05-22,72.31,666700.0,73.31,72.0,71.38
1998-05-26,72.0,192200.0,72.0,71.56,71.5
1998-05-27,71.31,181700.0,71.31,71.0,70.0
1998-05-28,71.0,181200.0,71.63,71.0,70.5
1998-05-29,71.25,243400.0,71.75,70.75,70.75
1998-06-01,70.88,358000.0,72.56,72.44,70.19
1998-06-02,72.5,224100.0,73.88,71.44,71.19
1998-06-03,71.25,455900.0,72.06,72.0,71.0
1998-06-04,72.0,372600.0,72.56,72.19,71.31
1998-06-05,72.06,346000.0,73.94,73.38,71.88
1998-06-08,73.63,280600.0,74.88,73.94,73.5
1998-06-09,73.69,205100.0,73.75,72.81,72.25
1998-06-10,72.94,290400.0,75.12,74.0,72.81
1998-06-11,74.25,308400.0,75.88,73.88,73.0
1998-06-12,73.63,349500.0,74.25,72.63,71.94
1998-06-15,72.38,216900.0,73.44,72.0,72.0
1998-06-16,72.0,382200.0,75.0,73.94,72.0
1998-06-17,74.13,204300.0,76.5,76.44,74.13
1998-06-18,76.69,264100.0,77.13,75.44,75.44
1998-06-19,75.44,334600.0,76.31,76.06,75.0
1998-06-22,76.13,248000.0,77.63,76.75,76.0
1998-06-23,76.5,217600.0,76.88,76.19,76.0
1998-06-24,76.25,234100.0,76.44,76.25,75.56
1998-06-25,76.13,248400.0,76.69,75.56,75.06
1998-06-26,76.0,378200.0,76.5,76.0,75.94
1998-06-29,76.25,372700.0,78.5,78.19,76.13
1998-06-30,77.38,350700.0,78.56,77.63,77.38
1998-07-01,77.88,210000.0,79.38,79.38,77.38
1998-07-02,79.38,534500.0,82.31,81.5,79.38
1998-07-06,81.5,229700.0,82.44,82.19,81.44
1998-07-07,82.44,203700.0,82.88,81.69,81.56
1998-07-08,81.94,600000.0,84.75,83.5,81.5
1998-07-09,83.75,525800.0,86.38,85.44,83.63
1998-07-10,85.81,362200.0,87.0,85.5,85.0
1998-07-13,85.5,304500.0,85.56,84.63,84.06
1998-07-14,84.38,513000.0,86.25,86.25,84.25
1998-07-15,86.5,340900.0,87.63,86.13,86.13
1998-07-16,86.25,224800.0,87.13,87.13,85.31
1998-07-17,87.19,214400.0,87.63,87.38,86.19
1998-07-20,87.5,246000.0,87.5,86.06,85.63
1998-07-21,86.31,388600.0,86.75,84.38,84.13
1998-07-22,84.38,517800.0,86.38,86.0,84.38
1998-07-23,86.25,306200.0,86.81,85.38,85.06
1998-07-24,85.13,295300.0,85.19,83.69,83.69
1998-07-27,83.44,315000.0,84.44,83.56,82.69
1998-07-28,83.63,317400.0,83.63,82.75,81.38
