date,1. open,5. volume,2. high,4. close,3. low
1999-10-01,14.0,3162400.0,14.25,14.13,14.0
1999-10-04,14.0,533400.0,14.13,14.06,14.0
1999-10-05,14.06,270600.0,14.19,14.19,14.0
1999-10-06,14.13,205400.0,14.88,14.88,14.13
1999-10-07,14.88,214200.0,14.88,14.13,14.06
1999-10-08,14.19,65600.0,14.19,14.06,14.06
1999-10-11,14.06,77500.0,14.13,14.06,14.0
1999-10-12,14.06,49200.0,14.13,14.13,14.0
1999-10-13,14.13,49900.0,14.38,14.06,14.0
1999-10-14,14.0,430900.0,14.06,13.63,13.25
1999-10-15,13.13,158200.0,13.19,13.06,12.69
1999-10-18,13.0,83800.0,13.0,12.81,12.5
1999-10-19,12.75,58200.0,13.25,13.25,12.75
1999-10-20,13.38,62600.0,13.5,13.13,13.13
1999-10-21,13.13,98200.0,13.44,13.44,13.0
1999-10-22,13.38,191200.0,13.56,13.5,13.31
1999-10-25,13.44,153100.0,13.94,13.94,13.44
1999-10-26,13.81,65600.0,14.13,14.0,13.81
1999-10-27,14.0,100900.0,14.19,14.06,14.0
1999-10-28,14.19,255300.0,14.5,14.13,14.13
1999-10-29,14.13,123200.0,15.25,15.25,14.13
1999-11-01,15.0,41800.0,15.0,14.75,14.63
1999-11-02,14.75,66600.0,14.88,14.75,14.31
1999-11-03,14.69,18500.0,14.88,14.75,14.69
1999-11-04,14.88,72100.0,15.13,14.94,14.5
1999-11-05,15.0,122900.0,15.88,15.75,14.88
1999-11-08,15.88,240000.0,17.38,16.63,15.81
1999-11-09,16.75,42400.0,16.75,16.13,16.13
1999-11-10,16.0,59900.0,16.13,16.06,15.81
1999-11-11,16.06,20000.0,16.25,16.13,16.06
1999-11-12,16.25,248500.0,18.5,18.0,16.25
1999-11-15,18.19,99200.0,18.19,17.69,17.5
1999-11-16,17.69,95300.0,17.69,17.44,17.38
1999-11-17,17.69,107900.0,18.25,17.5,17.25
1999-11-18,17.5,67500.0,17.5,17.25,17.25
1999-11-19,17.25,31200.0,17.75,17.63,17.19
1999-11-22,17.56,36500.0,17.88,17.81,17.56
1999-11-23,17.81,65500.0,19.38,19.13,17.81
1999-11-24,19.0,53800.0,19.0,18.56,18.38
1999-11-26,18.5,2600.0,18.5,18.44,18.38
1999-11-29,18.38,20200.0,18.38,18.13,17.88
1999-11-30,18.19,38100.0,18.5,18.38,18.19
1999-12-01,18.38,43800.0,18.63,18.56,18.25
1999-12-02,18.56,33200.0,19.0,19.0,18.56
1999-12-03,19.13,62000.0,19.38,19.19,19.06
1999-12-06,19.19,38200.0,19.19,18.38,18.25
1999-12-07,18.5,112500.0,19.0,18.63,18.44
1999-12-08,18.5,27700.0,18.5,18.19,18.0
1999-12-09,18.25,15500.0,18.38,18.25,18.13
1999-12-10,18.13,22400.0,18.13,17.63,17.63
1999-12-13,17.75,44500.0,18.0,17.44,17.44
1999-12-14,17.25,19400.0,17.25,17.13,17.06
1999-12-15,17.13,11100.0,17.13,17.13,16.88
1999-12-16,17.06,90700.0,17.25,16.81,16.81
1999-12-17,16.69,37300.0,17.25,17.12,16.69
1999-12-20,17.0,31300.0,17.0,16.94,16.81
1999-12-21,16.94,11800.0,17.06,17.0,16.88
1999-12-22,17.13,6300.0,17.38,17.19,17.13
1999-12-23,17.19,3700.0,17.25,17.13,17.0
1999-12-27,17.06,2400.0,17.13,17.13,17.06
1999-12-28,17.06,65600.0,17.63,17.38,17.06
1999-12-29,17.44,9600.0,17.44,17.25,17.13
1999-12-30,17.13,5100.0,17.38,17.31,17.13
1999-12-31,17.25,13000.0,17.38,17.19,17.19
2000-01-03,17.44,64600.0,17.5,16.62,16.62
2000-01-04,16.63,81900.0,16.63,15.88,15.63
2000-01-05,15.63,38100.0,15.63,15.31,15.0
2000-01-06,15.75,41200.0,16.25,16.0,15.75
2000-01-07,15.88,34700.0,16.25,15.88,15.75
2000-01-10,16.5,94200.0,16.5,16.0,16.0
2000-01-11,16.13,39700.0,16.88,16.44,16.0
2000-01-12,16.5,25100.0,17.13,17.13,16.5
2000-01-13,17.25,62000.0,17.5,16.94,16.88
2000-01-14,17.0,183100.0,17.75,17.5,16.88
2000-01-18,17.75,77300.0,18.25,18.0,17.75
2000-01-19,18.0,34500.0,18.38,18.25,17.94
2000-01-20,18.25,42200.0,18.25,17.5,17.38
2000-01-21,17.44,16000.0,17.5,17.38,17.25
2000-01-24,17.5,10700.0,17.5,17.13,17.0
2000-01-25,17.13,19200.0,17.5,17.25,17.06
2000-01-26,17.25,16600.0,17.5,17.44,17.25
2000-01-27,17.44,33600.0,18.0,17.5,17.44
2000-01-28,17.63,3900.0,17.63,17.38,17.31
2000-01-31,17.13,53900.0,17.5,17.5,17.13
2000-02-01,17.38,15400.0,17.75,17.75,17.38
2000-02-02,18.0,92700.0,18.13,17.94,17.88
2000-02-03,18.06,35200.0,18.13,18.0,17.94
2000-02-04,18.13,51500.0,18.56,18.38,18.13
2000-02-07,18.44,25200.0,18.56,18.5,18.38
2000-02-08,18.5,45300.0,18.88,18.56,18.5
2000-02-09,18.75,9100.0,18.75,18.38,18.38
2000-02-10,18.5,9700.0,18.5,17.88,17.88
2000-02-11,17.88,24700.0,18.0,17.94,17.88
2000-02-14,18.06,7100.0,18.06,18.0,17.88
2000-02-15,17.88,4900.0,18.0,17.88,17.88
2000-02-16,17.88,69000.0,18.5,18.5,17.88
2000-02-17,18.5,28100.0,18.69,18.38,18.31
2000-02-18,18.38,5000.0,18.56,18.5,18.38
2000-02-22,18.63,10700.0,18.81,18.56,18.56
2000-02-23,18.56,5700.0,18.94,18.81,18.56
2000-02-24,18.88,61800.0,19.13,19.0,18.88
2000-02-25,19.0,41400.0,19.25,19.25,19.0
2000-02-28,19.25,35700.0,20.13,20.13,19.25
2000-02-29,21.75,79900.0,21.88,21.88,21.63
2000-03-01,22.5,140600.0,22.75,21.75,21.75
2000-03-02,22.0,26600.0,22.25,22.06,22.0
2000-03-03,22.13,17300.0,22.13,22.13,22.06
2000-03-06,22.06,9900.0,22.25,22.06,22.06
2000-03-07,22.13,26200.0,22.13,22.0,21.75
2000-03-08,22.0,31700.0,22.19,22.0,22.0
2000-03-09,21.88,7800.0,22.0,22.0,21.75
2000-03-10,22.0,5200.0,22.13,22.13,21.94
2000-03-13,22.38,27900.0,23.13,22.88,22.25
2000-03-14,22.88,1300.0,23.0,22.88,22.88
2000-03-15,23.13,29000.0,24.13,24.13,22.63
2000-03-16,24.13,19500.0,25.0,24.38,24.13
2000-03-17,23.38,73300.0,24.75,24.75,23.38
2000-03-20,24.0,134700.0,24.25,24.0,23.88
2000-03-21,23.75,172200.0,24.0,24.0,23.75
2000-03-22,23.75,35900.0,23.75,22.63,22.63
2000-03-23,22.63,1300.0,22.63,22.5,22.5
2000-03-24,22.5,5600.0,22.5,22.44,22.38
2000-03-27,22.19,19600.0,22.19,22.06,22.0
2000-03-28,22.06,42600.0,22.06,20.0,19.75
2000-03-29,19.75,77000.0,19.88,19.75,19.75
2000-03-30,19.81,18700.0,20.5,20.44,19.81
2000-03-31,20.44,23500.0,20.44,20.25,20.25
2000-04-03,20.25,4000.0,20.69,20.63,20.25
2000-04-04,20.63,77700.0,20.88,20.75,20.63
2000-04-05,20.75,32700.0,21.44,21.44,20.63
2000-04-06,21.38,12500.0,22.44,22.38,21.13
2000-04-07,22.25,44500.0,24.44,24.25,22.25
2000-04-10,24.25,16100.0,24.25,24.0,24.0
2000-04-11,24.13,6300.0,24.13,24.06,24.0
2000-04-12,24.0,3800.0,24.0,23.88,23.81
2000-04-13,23.75,4900.0,23.75,23.38,23.38
2000-04-14,23.25,10200.0,23.25,23.0,23.0
2000-04-17,22.88,15500.0,22.88,22.44,22.38
2000-04-18,22.31,2900.0,22.31,21.94,21.88
2000-04-19,21.81,20400.0,21.94,21.0,21.0
2000-04-20,21.0,78800.0,21.16,21.13,20.94
2000-04-24,21.06,15100.0,21.63,21.63,21.0
2000-04-25,21.88,74600.0,24.5,24.0,21.69
2000-04-26,24.25,67700.0,24.25,24.13,23.81
2000-04-27,24.0,12600.0,24.38,24.31,24.0
2000-04-28,24.5,43100.0,26.0,26.0,24.38
2000-05-01,26.25,97500.0,26.5,24.0,24.0
2000-05-02,24.13,6100.0,24.13,23.81,23.75
2000-05-03,23.56,23000.0,24.38,24.25,23.56
2000-05-04,24.0,6300.0,24.0,23.63,23.63
2000-05-05,23.5,6200.0,23.88,23.69,23.5
2000-05-08,23.56,20400.0,24.13,24.0,23.5
2000-05-09,24.13,19900.0,24.38,24.38,24.06
2000-05-10,24.5,23400.0,25.06,25.06,24.38
2000-05-11,25.13,30200.0,25.75,25.25,25.13
2000-05-12,25.0,32300.0,25.75,25.75,24.88
2000-05-15,25.75,73700.0,26.5,25.75,25.63
2000-05-16,25.81,26100.0,26.5,26.25,25.63
2000-05-17,26.38,5300.0,26.5,26.38,26.25
2000-05-18,26.38,9400.0,26.38,26.19,26.06
2000-05-19,26.19,38200.0,26.19,26.13,26.0
2000-05-22,26.0,6700.0,26.0,25.81,25.81
2000-05-23,25.38,63200.0,25.38,23.75,23.75
2000-05-24,23.25,33100.0,23.63,23.25,23.0
2000-05-25,23.38,12500.0,23.5,23.38,23.38
2000-05-26,23.38,64800.0,23.63,23.25,23.25
2000-05-30,23.25,89000.0,23.25,23.25,22.81
2000-05-31,23.25,68300.0,23.5,23.5,23.25
2000-06-01,24.06,38200.0,24.75,24.38,24.06
2000-06-02,24.5,62400.0,26.0,25.75,24.5
2000-06-05,25.63,145400.0,27.0,26.88,25.38
2000-06-06,26.88,61200.0,26.88,26.44,26.38
2000-06-07,26.44,16400.0,26.44,25.94,25.94
2000-06-08,25.81,32200.0,25.81,25.44,25.38
2000-06-09,25.38,29700.0,25.44,25.44,25.25
2000-06-12,25.44,75500.0,25.44,25.25,24.5
2000-06-13,24.75,185700.0,26.0,26.0,24.75
