date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,94.56,1081750.0,94.88,94.63,93.38
1998-01-05,94.13,2416950.0,95.94,95.81,94.0
1998-01-06,95.25,2270550.0,96.81,96.38,94.88
1998-01-07,96.5,2107300.0,96.88,96.44,96.0
1998-01-08,95.88,2556050.0,96.69,94.31,94.25
1998-01-09,93.13,3495950.0,93.75,89.81,89.81
1998-01-12,88.94,3318600.0,92.75,92.5,88.81
1998-01-13,93.13,2274750.0,93.19,92.06,91.81
1998-01-14,93.88,2981750.0,93.88,92.0,91.69
1998-01-15,92.63,2546150.0,92.88,92.0,91.56
1998-01-16,92.0,3268900.0,94.13,93.44,91.63
1998-01-20,94.44,3051100.0,96.94,96.69,94.31
1998-01-21,96.0,2730950.0,96.0,94.5,93.5
1998-01-22,94.5,3415400.0,96.94,95.63,93.56
1998-01-23,95.94,3305050.0,97.63,97.44,94.63
1998-01-26,97.0,2416000.0,97.5,97.19,96.38
1998-01-27,96.5,3081250.0,98.13,97.5,96.5
1998-01-28,97.69,2562550.0,100.1,99.81,97.63
1998-01-29,99.75,2915550.0,101.6,101.5,98.69
1998-01-30,101.5,2190100.0,101.6,99.69,99.5
1998-02-02,102.0,3419250.0,104.6,102.4,102.0
1998-02-03,101.5,2982600.0,101.9,100.0,99.13
1998-02-04,99.63,2685500.0,100.0,100.0,98.5
1998-02-05,100.0,2145350.0,100.6,98.56,98.0
1998-02-06,98.88,2294200.0,99.75,97.94,97.81
1998-02-09,98.0,2326700.0,98.44,97.94,97.38
1998-02-10,98.38,2963700.0,101.0,100.7,98.38
1998-02-11,100.0,2310300.0,100.1,99.5,98.0
1998-02-12,99.0,2375450.0,99.75,99.06,98.0
1998-02-13,98.25,1294200.0,99.25,98.5,97.88
1998-02-17,99.0,2077450.0,99.69,99.38,98.56
1998-02-18,99.5,2058550.0,100.2,99.81,99.25
1998-02-19,99.75,2671600.0,99.88,97.75,97.0
1998-02-20,97.75,2758900.0,98.5,98.5,96.63
1998-02-23,98.5,2291700.0,100.8,100.5,98.5
1998-02-24,100.0,3039850.0,102.0,100.6,99.69
1998-02-25,101.4,2320050.0,101.8,99.94,99.94
1998-02-26,100.1,1186700.0,100.6,100.0,99.81
1998-02-27,100.8,1545400.0,101.8,100.2,99.88
1998-03-02,100.2,1606450.0,101.7,101.5,99.75
1998-03-03,101.1,2030300.0,102.8,102.3,101.0
1998-03-04,101.5,1277400.0,102.3,101.1,100.1
1998-03-05,100.5,1886950.0,101.8,100.0,99.56
1998-03-06,100.8,1829300.0,102.6,102.5,100.7
1998-03-09,102.3,2139150.0,105.0,105.0,102.0
1998-03-10,105.0,2463450.0,107.3,107.3,104.3
1998-03-11,106.8,2367000.0,107.8,107.0,106.1
