date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,46.25,523400.0,47.19,46.25,46.0
1998-01-05,46.88,648700.0,47.38,47.0,46.0
1998-01-06,46.63,624200.0,46.88,46.13,46.13
1998-01-07,46.38,854800.0,46.5,46.25,45.06
1998-01-08,46.56,1766000.0,49.56,49.25,46.44
1998-01-09,49.0,1595400.0,49.0,47.31,46.13
1998-01-12,46.0,1061700.0,47.44,45.88,45.75
1998-01-13,45.0,1052300.0,45.56,44.25,44.13
1998-01-14,44.25,1776400.0,44.88,43.25,42.81
1998-01-15,43.31,1635900.0,43.44,43.06,42.25
1998-01-16,46.5,3311300.0,48.94,46.56,46.38
1998-01-20,48.5,1340500.0,49.0,47.25,47.0
1998-01-21,47.38,998500.0,48.75,48.5,47.38
1998-01-22,48.13,1300700.0,48.81,48.69,47.56
1998-01-23,48.56,734400.0,49.5,49.31,48.0
1998-01-26,49.25,672600.0,49.25,48.94,48.63
1998-01-27,48.88,1492900.0,50.94,50.06,48.88
1998-01-28,50.75,1544200.0,52.25,51.0,49.75
1998-01-29,51.63,697600.0,52.5,51.44,50.88
1998-01-30,51.44,884400.0,51.44,50.75,50.44
1998-02-02,52.13,1011700.0,53.25,53.0,52.06
1998-02-03,53.0,1659800.0,53.94,51.38,49.75
1998-02-04,51.38,1357100.0,54.69,54.25,50.88
1998-02-05,55.25,1234600.0,55.94,54.38,53.75
1998-02-06,54.44,1222300.0,56.31,56.31,54.44
1998-02-09,56.31,870100.0,56.81,56.81,55.5
1998-02-10,59.63,3402200.0,62.5,58.0,57.44
1998-02-11,58.0,2185900.0,58.75,58.44,56.88
1998-02-12,58.75,1558500.0,58.88,57.88,57.56
1998-02-13,58.25,1334500.0,59.25,57.5,57.38
1998-02-17,58.38,829200.0,58.88,58.5,57.38
1998-02-18,58.5,569200.0,59.5,59.25,58.5
1998-02-19,59.38,1010500.0,60.38,59.75,57.25
1998-02-20,59.38,994100.0,59.44,58.0,57.94
1998-02-23,56.0,1468700.0,56.88,55.31,55.25
1998-02-24,55.06,1475700.0,57.63,55.81,54.75
1998-02-25,58.5,2289500.0,60.38,58.81,58.25
1998-02-26,58.81,1014500.0,59.75,59.31,58.5
1998-02-27,59.69,1171800.0,61.0,59.75,59.38
1998-03-02,59.25,530500.0,59.94,59.5,59.06
1998-03-03,59.06,596800.0,60.25,59.63,59.06
1998-03-04,60.44,633500.0,60.44,58.88,58.75
1998-03-05,58.5,822600.0,58.5,58.0,57.94
1998-03-06,58.0,952500.0,58.94,58.13,57.63
1998-03-09,57.5,784300.0,59.88,59.63,57.5
1998-03-10,59.38,1361500.0,62.44,61.81,59.25
1998-03-11,62.0,682100.0,62.44,61.13,60.75
1998-03-12,61.0,2103400.0,65.5,65.38,61.0
1998-03-13,69.0,3706700.0,69.31,68.13,67.56
1998-03-16,68.38,1502600.0,70.44,70.06,68.38
1998-03-17,70.13,1163500.0,70.5,69.75,69.38
1998-03-18,69.5,1002900.0,70.19,70.06,68.63
1998-03-19,70.06,1058800.0,71.69,70.94,70.0
1998-03-20,71.38,942400.0,71.5,71.0,70.56
1998-03-23,71.0,640900.0,71.0,70.25,69.63
1998-03-24,70.0,772300.0,70.25,69.38,68.63
1998-03-25,67.5,1307600.0,69.0,67.63,66.38
1998-03-26,67.5,671500.0,67.94,66.75,65.63
1998-03-27,68.0,520800.0,68.0,67.06,66.63
1998-03-30,67.13,237400.0,67.63,66.5,66.19
1998-03-31,66.5,610800.0,68.69,67.5,66.5
1998-04-01,66.75,513600.0,68.31,67.88,66.63
1998-04-02,68.06,655500.0,68.13,67.25,67.25
1998-04-03,69.0,1417600.0,73.0,71.25,68.56
1998-04-06,70.63,707500.0,70.75,69.75,69.0
1998-04-07,69.75,629100.0,71.0,69.81,69.44
1998-04-08,70.13,416000.0,70.13,69.0,68.31
1998-04-09,68.75,544900.0,68.91,68.5,68.25
1998-04-13,68.25,445700.0,68.5,67.69,67.13
1998-04-14,67.63,422300.0,68.38,68.38,66.81
1998-04-15,68.0,221400.0,68.0,67.13,66.81
1998-04-16,67.0,623100.0,67.81,67.19,66.75
1998-04-17,67.19,900300.0,70.25,70.06,67.19
1998-04-20,70.06,858200.0,70.38,69.94,69.5
1998-04-21,69.69,408300.0,69.94,69.69,68.81
1998-04-22,69.06,469000.0,70.06,69.88,69.0
1998-04-23,69.75,545800.0,70.63,69.69,69.44
1998-04-24,69.44,511700.0,69.5,68.5,68.19
1998-04-27,67.0,471900.0,67.5,66.38,66.06
1998-04-28,68.5,952900.0,68.5,68.5,67.0
1998-04-29,71.0,1589600.0,73.38,72.5,70.0
1998-04-30,73.88,1136700.0,73.88,72.31,71.5
1998-05-01,72.31,575700.0,74.38,74.0,71.75
1998-05-04,74.0,518000.0,74.56,73.81,73.13
1998-05-05,73.31,363000.0,73.69,73.38,72.25
1998-05-06,73.5,287000.0,73.63,72.75,72.5
1998-05-07,72.5,363100.0,72.5,72.19,71.81
1998-05-08,71.94,294400.0,72.69,72.19,71.75
1998-05-11,71.0,389500.0,72.0,70.75,70.5
1998-05-12,70.5,497600.0,71.88,71.0,70.44
1998-05-13,71.19,271100.0,72.06,71.75,71.0
1998-05-14,71.75,805600.0,71.81,69.81,68.88
1998-05-15,69.94,515400.0,70.0,68.63,68.38
1998-05-18,68.75,641000.0,69.19,68.88,67.88
1998-05-19,69.0,512300.0,69.75,69.38,68.31
1998-05-20,67.69,696400.0,67.69,67.69,67.69
1998-05-21,69.38,492500.0,70.0,68.5,68.5
1998-05-22,68.25,446500.0,68.25,67.56,66.63
1998-05-26,68.0,367200.0,68.0,67.44,66.19
1998-05-27,65.13,1079100.0,66.13,65.5,63.75
1998-05-28,65.5,3662000.0,65.75,63.25,61.5
1998-05-29,63.75,2327100.0,64.75,63.63,63.5
1998-06-01,63.75,580600.0,64.19,61.06,60.5
1998-06-02,62.0,716900.0,63.25,63.0,61.69
1998-06-03,63.0,737100.0,64.88,63.94,63.0
1998-06-04,63.75,312900.0,64.81,64.5,63.56
1998-06-05,64.5,909600.0,66.75,65.25,64.06
1998-06-08,66.0,668400.0,67.56,66.44,65.5
1998-06-09,66.69,611700.0,66.75,64.38,64.25
1998-06-10,64.44,631800.0,65.38,64.31,64.0
1998-06-11,64.06,542900.0,64.25,63.0,62.56
1998-06-12,62.81,298500.0,63.75,62.13,61.81
1998-06-15,62.13,418800.0,62.13,61.0,60.75
1998-06-16,61.0,2110400.0,65.0,62.75,60.44
1998-06-17,62.5,1607000.0,65.13,65.13,62.25
1998-06-18,65.13,1173100.0,68.94,68.63,65.0
1998-06-19,68.63,599200.0,68.63,67.75,67.56
1998-06-22,67.5,493400.0,68.25,68.13,67.5
1998-06-23,68.63,592100.0,68.88,67.81,67.06
1998-06-24,67.25,886600.0,71.0,70.0,67.25
1998-06-25,69.88,725800.0,71.25,70.0,69.5
1998-06-26,70.0,315000.0,70.81,70.0,69.88
1998-06-29,69.5,719300.0,73.0,71.94,69.38
1998-06-30,71.88,488900.0,72.75,71.63,71.25
1998-07-01,72.63,531300.0,73.5,72.44,72.06
1998-07-02,72.5,599200.0,74.0,74.0,72.0
1998-07-06,74.88,1074800.0,78.38,78.0,74.5
1998-07-07,77.75,831500.0,77.75,76.31,75.88
1998-07-08,77.13,652400.0,77.56,76.63,76.31
1998-07-09,76.0,1447200.0,76.25,74.69,73.0
1998-07-10,74.0,1064600.0,75.13,74.38,73.56
1998-07-13,74.38,456100.0,74.38,73.75,73.5
1998-07-14,73.88,601700.0,75.0,73.94,73.63
1998-07-15,74.0,801900.0,74.44,74.13,73.5
1998-07-16,74.25,874600.0,77.13,75.19,74.25
1998-07-17,75.0,289900.0,75.0,75.0,74.75
1998-07-20,75.0,360400.0,76.5,76.19,75.0
1998-07-21,76.94,674100.0,77.25,75.06,74.88
1998-07-22,75.31,571400.0,77.63,77.25,75.06
1998-07-23,77.25,384400.0,77.25,74.5,74.5
1998-07-24,74.5,762600.0,74.5,72.63,71.63
1998-07-27,72.88,271200.0,74.38,74.06,72.25
1998-07-28,73.5,551300.0,73.56,70.44,69.88
1998-07-29,74.13,1396000.0,76.25,76.13,73.38
1998-07-30,77.13,705500.0,77.63,77.13,75.31
1998-07-31,77.13,734700.0,78.19,76.63,75.94
1998-08-03,75.88,397000.0,76.75,76.44,75.13
1998-08-04,77.25,687200.0,77.44,75.13,74.63
1998-08-05,75.19,537400.0,75.75,74.31,73.38
1998-08-06,73.75,569700.0,74.63,71.88,71.5
1998-08-07,71.88,862100.0,75.25,74.75,71.44
1998-08-10,74.5,770200.0,75.94,75.13,73.81
1998-08-11,73.5,563500.0,73.69,72.31,71.5
1998-08-12,74.5,1195700.0,75.38,74.25,72.69
1998-08-13,74.38,1222700.0,78.5,76.88,74.38
1998-08-14,76.63,738500.0,78.25,78.0,75.5
1998-08-17,77.75,726400.0,78.5,78.06,76.13
1998-08-18,78.13,1430600.0,80.0,79.81,77.5
1998-08-19,80.25,831300.0,81.5,81.13,79.44
1998-08-20,81.06,487900.0,81.06,80.25,79.75
1998-08-21,79.0,1104100.0,81.13,80.81,76.63
1998-08-24,80.75,832700.0,81.69,79.69,79.5
1998-08-25,79.94,748000.0,80.63,79.19,78.88
1998-08-26,78.5,368400.0,79.44,78.13,78.06
1998-08-27,77.13,1061200.0,77.63,75.63,75.0
1998-08-28,75.63,824900.0,75.69,72.94,72.25
1998-08-31,70.25,1338700.0,71.63,69.25,68.19
1998-09-01,69.25,881800.0,72.94,72.19,68.0
1998-09-02,71.94,913400.0,72.0,72.0,69.75
1998-09-03,71.13,677500.0,72.13,70.88,70.25
1998-09-04,71.0,1251700.0,71.0,69.56,67.0
1998-09-08,70.5,949100.0,71.63,71.31,69.13
1998-09-09,71.31,703100.0,72.0,69.75,69.75
1998-09-10,69.25,839600.0,69.25,68.25,67.75
1998-09-11,68.0,922400.0,68.31,66.56,65.94
1998-09-14,66.56,807100.0,69.25,68.38,66.56
1998-09-15,67.63,1509100.0,67.75,64.88,63.0
1998-09-16,66.13,1295500.0,67.13,67.0,65.5
1998-09-17,65.25,682000.0,66.25,64.75,64.13
1998-09-18,64.88,857300.0,65.25,63.69,63.63
