date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,33.13,27900.0,33.19,33.19,33.0
1998-01-05,33.44,39700.0,33.69,33.63,32.94
1998-01-06,33.69,53400.0,33.75,33.69,33.44
1998-01-07,33.63,36400.0,33.75,33.56,33.5
1998-01-08,33.69,34600.0,33.75,33.69,33.5
1998-01-09,33.69,66700.0,33.75,33.44,33.31
1998-01-12,33.25,22300.0,33.25,33.0,32.81
1998-01-13,32.81,58400.0,32.81,32.5,32.44
1998-01-14,32.75,55000.0,32.94,32.88,32.63
1998-01-15,32.94,77200.0,33.31,33.25,32.94
1998-01-16,33.13,140900.0,34.75,34.5,33.13
1998-01-20,34.25,117100.0,34.25,33.56,33.5
1998-01-21,33.75,288200.0,34.25,34.19,33.63
1998-01-22,34.13,259100.0,35.0,34.56,34.13
1998-01-23,34.63,94800.0,35.0,34.94,34.56
1998-01-26,34.81,294700.0,35.75,35.13,34.81
1998-01-27,35.13,6032500.0,35.63,35.56,35.13
1998-01-28,35.5,1054100.0,35.75,35.63,35.5
1998-01-29,35.69,790500.0,35.94,35.75,35.56
1998-01-30,35.56,1075500.0,35.63,35.56,35.31
1998-02-02,35.5,582700.0,35.94,35.88,35.5
1998-02-03,35.81,596300.0,36.06,35.88,35.81
1998-02-04,35.88,283900.0,35.88,35.69,35.56
1998-02-05,35.63,241700.0,35.88,35.81,35.5
1998-02-06,35.81,266200.0,35.94,35.75,35.69
1998-02-09,35.88,234500.0,35.88,35.69,35.56
1998-02-10,35.63,532700.0,35.69,35.56,35.44
1998-02-11,35.5,572400.0,35.5,35.44,35.25
1998-02-12,35.38,272100.0,35.38,35.31,35.13
1998-02-13,35.25,330000.0,35.31,35.19,35.13
1998-02-17,35.13,216100.0,35.25,35.13,35.0
1998-02-18,35.19,360500.0,35.19,35.0,34.88
1998-02-19,35.06,362700.0,35.13,35.0,34.88
1998-02-20,34.88,190500.0,35.0,34.88,34.75
1998-02-23,34.88,140700.0,35.0,34.88,34.5
1998-02-24,34.88,215400.0,35.0,35.0,34.63
1998-02-25,35.0,326400.0,35.06,34.75,34.5
1998-02-26,34.63,372500.0,34.81,34.13,33.88
1998-02-27,34.25,95000.0,34.25,34.0,34.0
1998-03-02,34.0,589800.0,34.06,33.63,33.31
1998-03-03,33.38,644800.0,33.38,33.13,32.75
1998-03-04,33.38,360900.0,34.75,34.11,33.38
1998-03-05,34.0,428000.0,34.88,34.31,33.88
1998-03-06,34.25,111900.0,34.69,34.38,34.25
1998-03-09,34.44,141700.0,34.56,34.31,34.13
1998-03-10,34.25,509600.0,34.56,34.44,34.0
1998-03-11,34.31,273200.0,34.38,34.25,34.25
1998-03-12,34.25,63300.0,34.5,34.31,34.25
1998-03-13,34.25,259200.0,34.44,34.25,34.25
1998-03-16,34.19,655100.0,34.25,33.19,32.75
1998-03-17,33.25,395300.0,33.38,33.0,32.88
