date,1. open,5. volume,2. high,4. close,3. low
2015-05-21,10.25,9553372.0,10.89,10.44,9.23
2015-05-22,10.8,2806632.0,11.22,11.08,10.5
2015-05-26,11.4,4898883.0,13.7,12.78,11.2
2015-05-27,13.58,4104295.0,14.77,12.24,12.05
2015-05-28,11.84,1768037.0,12.39,11.88,11.4
2015-05-29,12.06,831027.0,12.45,12.22,11.88
2015-06-01,12.39,1686591.0,13.09,11.49,11.37
2015-06-02,11.82,818535.0,11.8899,11.34,11.12
2015-06-03,11.17,1128188.0,11.3899,10.91,10.88
2015-06-04,10.65,1058525.0,11.34,10.76,10.61
2015-06-05,10.78,791131.0,11.2,10.96,10.7086
2015-06-08,11.24,1393539.0,12.09,11.85,11.05
2015-06-09,11.85,477390.0,11.87,11.37,11.25
2015-06-10,11.31,385941.0,11.74,11.59,11.31
2015-06-11,11.65,623358.0,11.99,11.85,11.6
2015-06-12,11.7,1344603.0,12.7,12.48,11.51
2015-06-15,12.2,1092103.0,12.47,11.84,11.7
2015-06-16,11.66,562254.0,12.0,11.93,11.4
2015-06-17,11.97,790609.0,12.35,11.89,11.78
2015-06-18,12.4,1440029.0,12.5,12.09,11.86
2015-06-19,11.99,601453.0,12.05,11.77,11.65
2015-06-22,11.82,568948.0,11.84,11.62,11.5
2015-06-23,11.56,567508.0,11.82,11.75,11.4
2015-06-24,11.75,1070673.0,12.0499,11.71,11.53
2015-06-25,11.69,473879.0,11.69,11.44,11.31
2015-06-26,11.2,906659.0,11.39,11.06,10.32
2015-06-29,10.52,1113019.0,10.8,10.12,9.95
2015-06-30,10.48,464041.0,10.8,10.77,10.4
2015-07-01,10.6,393396.0,10.6,10.31,10.2986
2015-07-02,10.27,374435.0,10.5,10.23,10.05
2015-07-06,9.99,553938.0,10.0,9.55,9.54
2015-07-07,9.37,3467775.0,9.55,7.425,7.05
2015-07-08,6.66,1172019.0,7.565,7.16,6.65
2015-07-09,8.1,1116026.0,8.45,8.13,8.01
2015-07-10,8.84,693022.0,8.94,8.33,8.1501
2015-07-13,8.35,453943.0,8.59,8.15,8.15
2015-07-14,8.1,397202.0,8.1599,8.09,7.8
2015-07-15,7.99,409767.0,8.04,7.67,7.67
2015-07-16,7.7,397568.0,7.85,7.47,7.46
2015-07-17,7.55,318348.0,7.74,7.67,7.53
2015-07-20,7.67,480584.0,7.719,7.36,7.3
2015-07-21,7.51,224941.0,7.79,7.75,7.4001
2015-07-22,7.9,1262615.0,9.0,8.97,7.9
2015-07-23,9.0,587498.0,9.44,8.68,8.65
2015-07-24,8.72,759163.0,8.81,8.13,7.9201
2015-07-27,7.6,889666.0,8.8193,8.79,7.47
2015-07-28,8.78,626125.0,8.78,8.37,8.2601
2015-07-29,8.42,393752.0,8.6975,8.53,8.26
2015-07-30,8.48,326339.0,8.48,8.35,8.1905
2015-07-31,8.41,213049.0,8.5099,8.31,8.31
2015-08-03,8.26,273743.0,8.62,8.38,8.17
2015-08-04,8.35,139040.0,8.52,8.4,8.3
2015-08-05,8.31,231774.0,8.65,8.41,8.31
2015-08-06,8.5,144945.0,8.5005,8.19,8.13
2015-08-07,8.27,156691.0,8.4999,8.28,8.21
2015-08-10,8.38,243286.0,8.64,8.55,8.28
2015-08-11,8.5,645551.0,8.6,8.24,8.2
2015-08-12,7.65,357242.0,8.1,8.09,7.48
2015-08-13,8.04,253789.0,8.07,7.7,7.61
2015-08-14,7.74,176196.0,8.0,7.73,7.57
2015-08-17,7.69,64329.0,7.8299,7.74,7.67
2015-08-18,7.7,267388.0,7.92,7.87,7.57
2015-08-19,8.49,1680562.0,8.49,6.9,6.88
2015-08-20,6.88,925426.0,6.88,6.02,6.01
2015-08-21,5.96,636503.0,5.96,5.65,5.545
2015-08-24,4.0,1028262.0,5.19,4.69,4.0
2015-08-25,5.1,942846.0,5.18,4.66,4.51
2015-08-26,4.7,369884.0,4.8,4.69,4.4
2015-08-27,4.79,599280.0,5.18,5.18,4.79
2015-08-28,5.11,442284.0,5.56,5.28,5.06
2015-08-31,5.21,203811.0,5.296,5.12,5.06
2015-09-01,4.95,202312.0,5.13,4.89,4.8
2015-09-02,4.94,104054.0,4.99,4.94,4.84
2015-09-03,4.99,613297.0,5.61,5.28,4.9001
2015-09-04,5.18,245342.0,5.37,5.15,5.02
2015-09-08,5.3,143663.0,5.38,5.34,5.3
2015-09-09,5.46,252423.0,5.49,5.1,5.03
2015-09-10,5.1,76870.0,5.22,5.11,5.0
2015-09-11,5.05,86948.0,5.12,5.09,5.03
2015-09-14,5.08,54784.0,5.21,4.99,4.95
2015-09-15,4.99,293220.0,5.1,5.08,4.97
2015-09-16,5.13,171955.0,5.3,5.29,5.08
2015-09-17,5.34,145456.0,5.45,5.35,5.2
2015-09-18,5.26,110011.0,5.45,5.43,5.26
2015-09-21,5.46,110478.0,5.46,5.15,5.1
2015-09-22,5.05,129320.0,5.39,5.19,5.0001
2015-09-23,5.2,128019.0,5.245,4.96,4.92
2015-09-24,4.9,121283.0,5.11,5.11,4.85
2015-09-25,5.16,103035.0,5.17,5.03,4.92
2015-09-28,4.96,183334.0,5.16,4.8,4.75
2015-09-29,4.8,104348.0,4.9,4.8,4.7
2015-09-30,4.85,122150.0,5.12,4.82,4.72
2015-10-01,4.76,118834.0,4.9216,4.64,4.55
2015-10-02,4.58,626811.0,5.29,5.25,4.5
2015-10-05,5.31,202212.0,5.3599,5.22,5.15
2015-10-06,5.25,84893.0,5.34,5.29,5.16
2015-10-07,5.35,459834.0,5.88,5.82,5.27
2015-10-08,5.86,264647.0,5.86,5.72,5.4201
2015-10-09,5.78,166235.0,5.78,5.49,5.3211
2015-10-12,5.58,98002.0,5.66,5.51,5.32
2015-10-13,5.52,139788.0,5.78,5.66,5.32
2015-10-14,5.68,128212.0,5.6806,5.42,5.32
2015-10-15,5.49,281120.0,5.95,5.8,5.36
2015-10-16,5.84,221731.0,6.04,5.94,5.6701
2015-10-19,5.93,170286.0,5.94,5.82,5.71
2015-10-20,5.87,189521.0,6.37,6.1,5.87
2015-10-21,6.06,174977.0,6.22,5.94,5.85
2015-10-22,5.96,250519.0,6.74,6.13,5.96
2015-10-23,6.2,351225.0,6.66,6.53,6.14
2015-10-26,6.6,1262225.0,7.94,7.54,6.6
2015-10-27,8.0,627181.0,8.09,7.33,7.1
2015-10-28,7.31,585495.0,7.9,7.82,7.2
2015-10-29,7.8,694429.0,8.44,8.3,7.6
2015-10-30,8.38,437511.0,8.65,8.64,8.05
2015-11-02,8.54,370700.0,8.57,8.35,8.21
2015-11-03,8.17,239683.0,8.43,8.09,8.0
2015-11-04,8.22,248804.0,8.24,7.85,7.7
2015-11-05,7.81,519703.0,7.97,7.45,7.31
2015-11-06,7.5,562736.0,7.52,7.3,7.0
2015-11-09,7.21,283932.0,7.53,7.31,7.1001
2015-11-10,7.19,383590.0,7.36,6.93,6.61
2015-11-11,6.93,186089.0,7.0499,6.82,6.61
2015-11-12,6.26,293474.0,7.18,7.0,6.1611
