date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,54.0,2144000.0,54.0,53.5,53.13
1998-01-05,54.25,3794000.0,54.38,53.13,52.31
1998-01-06,52.5,3939000.0,53.88,53.38,52.44
1998-01-07,53.56,4066000.0,53.94,51.63,50.94
1998-01-08,50.56,3503500.0,51.19,50.25,50.0
1998-01-09,50.06,7034500.0,50.38,47.69,46.75
1998-01-12,45.25,5687500.0,48.44,47.25,45.13
1998-01-13,49.0,4034500.0,49.69,49.63,48.81
1998-01-14,49.94,3624000.0,50.69,50.25,49.69
1998-01-15,50.19,2311000.0,50.5,49.75,49.63
1998-01-16,50.19,3019500.0,51.06,50.69,50.19
1998-01-20,51.06,3819500.0,51.31,50.75,49.38
1998-01-21,50.75,2862000.0,50.75,50.0,49.56
1998-01-22,49.25,5408500.0,49.5,48.31,48.06
1998-01-23,48.56,3625000.0,49.13,48.0,46.75
1998-01-26,47.88,2695000.0,48.75,47.06,46.88
1998-01-27,47.06,3467000.0,49.81,49.38,47.06
1998-01-28,50.0,3575500.0,50.5,50.13,49.31
1998-01-29,50.0,3020500.0,51.19,50.13,49.69
1998-01-30,50.13,1996000.0,50.69,49.56,49.5
1998-02-02,50.63,4356500.0,52.25,52.13,50.63
1998-02-03,51.88,4702500.0,53.38,53.25,51.63
1998-02-04,52.88,3210000.0,53.38,53.19,52.44
1998-02-05,53.31,2153000.0,53.38,53.0,52.13
1998-02-06,52.88,2371500.0,53.5,52.94,52.63
1998-02-09,53.25,2690500.0,53.44,53.13,52.5
1998-02-10,53.38,3215500.0,54.94,54.38,53.0
1998-02-11,54.44,1629500.0,54.94,54.13,54.13
1998-02-12,54.13,2448000.0,55.5,54.88,53.25
1998-02-13,54.5,1823500.0,55.06,54.63,54.31
1998-02-17,55.44,2177500.0,55.94,55.25,55.06
1998-02-18,55.5,1897500.0,55.88,55.75,55.25
1998-02-19,55.75,2518000.0,55.75,55.13,54.63
1998-02-20,55.69,2872000.0,56.25,56.06,55.19
1998-02-23,56.06,2641000.0,56.19,55.63,55.5
1998-02-24,55.5,2349000.0,55.69,55.06,54.81
1998-02-25,55.75,2161000.0,56.31,56.0,55.56
1998-02-26,55.56,1400000.0,56.0,56.0,55.31
1998-02-27,55.88,1579500.0,55.88,55.63,55.13
1998-03-02,55.06,1759000.0,55.81,54.88,54.44
1998-03-03,54.31,2134000.0,55.81,55.63,54.25
1998-03-04,55.69,1994500.0,56.38,55.13,54.63
1998-03-05,54.5,2089000.0,55.63,55.63,54.06
1998-03-06,55.56,2939000.0,56.38,55.75,54.88
1998-03-09,55.56,2432500.0,56.88,55.5,55.31
1998-03-10,57.5,3266500.0,58.0,57.75,56.5
1998-03-11,58.56,4537000.0,59.31,59.0,58.31
1998-03-12,59.0,2279500.0,60.75,60.0,58.81
1998-03-13,60.69,1954500.0,61.06,60.38,59.88
1998-03-16,60.13,2707000.0,60.75,60.25,59.63
1998-03-17,60.44,3003000.0,61.25,61.0,60.13
1998-03-18,60.0,1996500.0,61.0,60.63,60.0
1998-03-19,60.56,1729000.0,61.25,60.81,60.5
1998-03-20,61.13,3832500.0,62.75,62.0,60.75
1998-03-23,61.44,2634000.0,61.5,60.56,60.5
1998-03-24,61.69,1958000.0,62.06,62.0,61.13
1998-03-25,63.0,3877000.0,63.31,62.5,62.13
1998-03-26,62.63,2737000.0,63.13,63.13,62.31
1998-03-27,63.06,2601000.0,63.38,62.0,61.56
1998-03-30,61.75,2889000.0,61.94,60.5,59.5
1998-03-31,60.75,3450500.0,61.13,60.0,59.5
1998-04-01,60.44,4567500.0,60.44,59.63,59.19
1998-04-02,60.13,3094500.0,61.38,61.25,59.88
1998-04-03,61.88,2790000.0,62.19,61.69,61.25
1998-04-06,67.25,19963500.0,73.5,73.0,67.25
1998-04-07,70.25,10004500.0,71.0,68.38,66.75
1998-04-08,68.5,7385500.0,68.56,67.25,66.75
1998-04-09,67.13,4777000.0,67.75,67.31,66.88
1998-04-13,67.5,5686000.0,67.5,66.5,64.38
1998-04-14,66.56,3909000.0,66.94,66.88,65.81
1998-04-15,67.0,3675000.0,67.0,64.75,64.63
1998-04-16,64.69,2979500.0,64.69,63.31,63.31
1998-04-17,64.0,3519500.0,65.13,64.75,63.75
1998-04-20,65.88,4175000.0,66.0,64.38,63.69
1998-04-21,64.88,4482500.0,65.25,65.0,64.5
1998-04-22,65.25,2658500.0,65.69,65.25,64.69
1998-04-23,64.13,2094500.0,64.56,63.75,63.69
1998-04-24,63.88,3018000.0,64.5,62.88,62.44
1998-04-27,61.06,4582000.0,62.0,61.25,59.69
1998-04-28,62.0,3416000.0,63.0,60.75,60.13
1998-04-29,61.13,3855000.0,61.38,60.69,60.13
1998-04-30,61.63,4500500.0,62.5,61.19,61.0
1998-05-01,62.0,2792000.0,62.5,62.19,61.75
1998-05-04,62.44,2138000.0,63.0,61.88,61.88
1998-05-05,62.63,2672000.0,62.63,61.13,60.81
1998-05-06,61.25,2677000.0,61.56,59.88,59.88
1998-05-07,60.06,3065500.0,60.63,60.25,59.56
1998-05-08,60.19,4282000.0,61.19,59.63,59.38
1998-05-11,59.94,3126500.0,61.0,60.69,59.94
1998-05-12,60.81,4540000.0,62.0,61.94,60.5
1998-05-13,62.25,2944000.0,62.38,61.63,61.44
1998-05-14,61.13,2551000.0,61.81,60.75,60.56
1998-05-15,61.44,4440000.0,62.94,62.63,61.0
1998-05-18,62.56,4039000.0,63.75,62.63,62.38
1998-05-19,63.63,3722000.0,63.94,63.56,63.25
1998-05-20,64.5,3208000.0,64.88,64.88,63.75
1998-05-21,65.0,2440500.0,65.0,63.44,63.38
1998-05-22,63.63,1784500.0,63.75,63.13,63.0
1998-05-26,64.31,2264000.0,64.31,62.75,62.75
1998-05-27,62.0,3666000.0,62.25,61.06,60.06
1998-05-28,60.94,2315500.0,61.81,61.63,60.94
1998-05-29,62.38,2147500.0,62.38,61.25,61.0
1998-06-01,61.06,2573000.0,63.0,63.0,61.0
1998-06-02,63.0,3296500.0,63.88,63.88,63.0
1998-06-03,64.0,2631000.0,64.25,62.5,62.44
1998-06-04,62.5,2503500.0,63.13,63.13,62.0
1998-06-05,63.44,3009000.0,64.44,64.38,62.88
1998-06-08,64.94,3563000.0,65.13,64.88,64.5
1998-06-09,65.13,2558000.0,65.31,64.63,64.44
1998-06-10,64.38,2916000.0,64.69,63.63,63.5
1998-06-11,63.56,2896500.0,63.94,62.0,61.81
1998-06-12,61.56,2885000.0,62.25,62.25,60.88
1998-06-15,61.38,4684500.0,61.38,59.88,59.81
1998-06-16,59.88,4767500.0,60.44,60.0,59.13
1998-06-17,60.0,6225500.0,62.5,62.0,60.0
1998-06-18,62.38,4927000.0,62.38,61.63,61.25
1998-06-19,62.13,3746000.0,62.13,61.31,60.88
1998-06-22,61.25,2812000.0,61.5,60.69,60.63
1998-06-23,61.19,2940500.0,61.5,60.94,60.81
1998-06-24,60.94,5470000.0,62.94,62.69,60.63
1998-06-25,63.0,4792500.0,63.56,62.0,61.69
1998-06-26,62.56,2871000.0,62.63,61.5,60.88
1998-06-29,61.5,3316000.0,62.13,61.44,61.38
1998-06-30,61.56,2687000.0,61.63,60.63,60.31
1998-07-01,61.44,4097000.0,63.19,63.13,61.13
1998-07-02,63.13,2559000.0,63.94,63.63,62.81
1998-07-06,64.19,3506000.0,64.19,63.81,63.06
1998-07-07,64.25,5669000.0,65.63,64.56,63.5
1998-07-08,67.5,11921000.0,69.38,69.25,67.0
1998-07-09,69.0,4960500.0,69.63,68.38,68.06
1998-07-10,68.63,4621500.0,69.69,69.0,67.88
1998-07-13,69.25,4435000.0,70.75,70.06,68.75
1998-07-14,70.69,3894500.0,71.38,71.06,70.44
1998-07-15,72.13,4872500.0,72.19,70.38,70.25
1998-07-16,70.31,2754000.0,71.25,70.94,69.56
1998-07-17,71.19,3327000.0,72.19,71.69,70.56
1998-07-20,72.06,4274500.0,72.88,72.63,71.75
1998-07-21,72.63,5037000.0,72.94,69.0,68.94
1998-07-22,68.94,4807000.0,70.06,69.25,68.13
1998-07-23,69.56,3346500.0,69.63,67.13,66.88
1998-07-24,67.94,3970000.0,68.13,66.5,65.13
1998-07-27,65.75,3998500.0,67.75,67.5,65.13
1998-07-28,67.13,4256000.0,67.31,66.0,64.75
1998-07-29,66.38,3575500.0,67.0,66.25,65.38
1998-07-30,66.75,4314000.0,68.38,68.31,66.31
1998-07-31,68.25,4381000.0,69.13,67.25,65.81
1998-08-03,67.0,3377000.0,67.25,65.31,65.19
1998-08-04,66.0,7894500.0,66.25,61.81,61.75
1998-08-05,62.38,5774000.0,63.69,62.75,60.75
1998-08-06,62.5,4355500.0,63.5,63.13,61.81
1998-08-07,63.38,4732500.0,63.69,61.19,61.13
1998-08-10,61.13,4065500.0,61.69,61.56,60.56
1998-08-11,59.5,8967000.0,59.75,58.75,57.44
1998-08-12,60.63,7080500.0,60.63,59.19,58.75
1998-08-13,59.0,6073000.0,59.44,56.75,56.56
1998-08-14,57.63,5379000.0,58.38,56.0,55.56
1998-08-17,55.31,5159000.0,58.19,58.19,55.19
1998-08-18,58.75,4423000.0,59.81,59.56,57.94
1998-08-19,60.13,3634500.0,60.19,58.19,57.94
1998-08-20,57.75,4623500.0,57.88,56.19,56.06
1998-08-21,54.88,9221000.0,55.19,54.63,52.38
1998-08-24,55.5,5237500.0,55.81,53.88,53.63
1998-08-25,55.75,4855000.0,56.19,55.13,54.56
1998-08-26,53.75,5114500.0,54.88,54.63,53.44
1998-08-27,52.38,10170500.0,52.81,50.5,50.0
1998-08-28,51.31,11750500.0,51.5,48.31,47.25
1998-08-31,48.88,10765500.0,49.75,44.38,43.75
1998-09-01,44.13,16069000.0,44.75,43.38,39.75
1998-09-02,43.31,12253500.0,46.5,44.5,43.19
1998-09-03,42.31,12883500.0,43.25,41.13,40.0
1998-09-04,41.0,16815000.0,41.63,39.06,37.5
1998-09-08,44.0,16013000.0,44.63,42.19,41.06
1998-09-09,42.0,10633500.0,42.0,40.06,39.75
1998-09-10,38.0,15100000.0,39.5,39.5,37.19
1998-09-11,39.0,17106000.0,41.13,40.88,37.13
1998-09-14,41.94,12441500.0,43.25,41.5,40.94
1998-09-15,41.0,8190000.0,43.0,42.94,40.19
1998-09-16,43.25,9675500.0,44.06,43.13,42.5
1998-09-17,39.88,8662000.0,41.0,40.69,39.88
1998-09-18,40.44,7910000.0,41.19,40.19,39.75
1998-09-21,39.0,11539000.0,39.94,39.63,38.0
1998-09-22,40.25,7107000.0,40.38,39.38,38.63
1998-09-23,39.88,12787500.0,43.0,42.94,39.5
1998-09-24,42.88,14542000.0,42.88,40.5,39.38
1998-09-25,39.06,13241000.0,41.5,40.25,38.38
1998-09-28,41.0,8242000.0,41.88,40.5,39.81
1998-09-29,41.0,10734000.0,41.5,39.19,39.06
1998-09-30,38.5,13471000.0,38.94,37.5,37.19
1998-10-01,36.25,15190000.0,37.19,35.75,34.94
1998-10-02,35.5,17148500.0,38.56,38.56,34.75
1998-10-05,37.13,15685500.0,37.13,34.5,34.0
1998-10-06,34.63,15314000.0,36.13,34.5,33.56
1998-10-07,34.0,15862500.0,34.38,31.75,31.06
1998-10-08,30.63,24173000.0,32.88,32.5,28.5
1998-10-09,33.0,23036000.0,35.63,35.44,32.06
1998-10-12,37.0,15396000.0,37.5,34.94,34.88
1998-10-13,35.0,11972500.0,36.13,34.84,34.0
1998-10-14,34.44,10575000.0,35.88,35.63,33.63
1998-10-15,35.5,21527000.0,41.38,39.81,35.0
1998-10-16,40.69,33571000.0,42.19,41.81,40.38
1998-10-19,41.44,15288000.0,43.25,42.75,40.94
1998-10-20,44.88,23391000.0,46.38,45.31,44.38
1998-10-21,46.25,16637500.0,46.75,43.94,43.75
1998-10-22,44.13,12447000.0,45.56,45.06,43.56
1998-10-23,44.81,11950000.0,46.94,46.63,44.63
1998-10-26,47.0,8195500.0,47.0,46.31,45.88
1998-10-27,46.44,17548500.0,46.88,43.56,43.13
1998-10-28,43.5,12947500.0,45.06,44.31,42.69
1998-10-29,43.75,11693000.0,45.5,45.5,43.44
1998-10-30,46.38,12759000.0,47.63,47.0,46.13
1998-11-02,46.75,23410000.0,47.06,46.13,44.81
1998-11-03,45.0,23054000.0,45.31,44.13,43.5
1998-11-04,45.0,20789000.0,45.31,44.13,43.5
1998-11-05,43.88,16076000.0,45.5,45.0,43.5
1998-11-06,45.25,14098500.0,47.0,46.13,45.13
1998-11-09,45.75,15331500.0,46.0,44.88,44.19
1998-11-10,44.56,10919500.0,44.75,43.5,43.38
1998-11-11,44.0,13383000.0,44.25,42.38,41.69
1998-11-12,42.0,10445000.0,43.06,41.94,41.56
1998-11-13,42.38,9870000.0,43.5,43.38,42.31
1998-11-16,44.44,9635000.0,44.69,44.13,43.5
1998-11-17,44.25,19151000.0,47.0,45.31,43.81
1998-11-18,45.75,14408500.0,46.13,44.25,43.81
1998-11-19,44.81,9355000.0,44.94,44.44,44.0
1998-11-20,44.94,14617500.0,45.69,45.06,44.5
1998-11-23,46.5,22390500.0,49.0,49.0,46.25
1998-11-24,49.0,19184000.0,51.94,50.63,48.81
1998-11-25,51.25,9447500.0,52.5,52.38,51.13
1998-11-27,52.56,4462500.0,53.25,52.88,52.56
1998-11-30,52.56,10317000.0,52.63,50.25,50.0
1998-12-01,48.75,11455000.0,50.13,50.0,48.06
1998-12-02,49.63,9262500.0,51.19,50.31,49.38
1998-12-03,49.94,13408500.0,50.0,48.19,48.0
1998-12-04,49.13,11523500.0,49.63,49.56,47.75
1998-12-07,49.81,7035500.0,50.31,49.06,48.94
1998-12-08,49.38,7969000.0,49.88,48.5,48.5
1998-12-09,49.5,8931500.0,49.88,49.25,48.31
1998-12-10,49.13,5947500.0,49.19,47.94,47.81
1998-12-11,47.5,8163000.0,47.75,47.75,46.56
1998-12-14,47.5,9370000.0,47.56,46.06,45.5
1998-12-15,46.31,12054000.0,49.13,48.75,45.63
1998-12-16,49.44,8136500.0,49.63,47.63,47.5
1998-12-17,48.81,12194000.0,50.06,50.0,48.81
1998-12-18,50.13,8675500.0,50.5,49.88,49.5
1998-12-21,49.88,10106000.0,52.06,51.13,49.69
1998-12-22,51.06,5440000.0,51.38,50.44,50.13
1998-12-23,50.94,7549500.0,52.13,51.75,50.75
1998-12-24,51.75,2209500.0,52.06,51.63,51.38
1998-12-28,51.69,4352000.0,52.19,51.06,50.94
1998-12-29,51.0,5396000.0,51.19,51.0,50.0
1998-12-30,50.81,5388000.0,51.13,50.56,49.94
1998-12-31,50.19,5136500.0,50.81,49.69,49.5
1999-01-04,50.13,8687000.0,51.81,50.31,49.81
1999-01-05,50.56,7257500.0,51.5,51.25,50.56
1999-01-06,52.06,17078000.0,54.75,54.38,52.06
1999-01-07,53.75,19921000.0,59.06,58.5,53.5
1999-01-08,59.0,14272500.0,59.44,57.94,56.81
1999-01-11,56.25,10164500.0,58.56,57.75,56.25
1999-01-12,57.13,11416500.0,57.44,55.75,55.75
1999-01-13,52.5,23003500.0,54.0,52.19,49.0
1999-01-14,52.06,13304000.0,52.94,50.88,50.5
1999-01-15,50.63,12932500.0,52.25,51.5,50.44
1999-01-19,52.63,9522500.0,53.0,51.56,50.56
1999-01-20,52.56,11624000.0,55.0,53.25,52.0
1999-01-21,52.88,9334000.0,54.13,52.44,52.31
1999-01-22,51.13,7457000.0,52.5,51.63,50.88
1999-01-25,53.0,10978000.0,53.25,53.25,51.25
1999-01-26,53.5,11025000.0,55.5,55.5,52.81
1999-01-27,55.06,9650000.0,55.38,54.0,53.75
1999-01-28,54.94,8383000.0,55.75,55.5,54.38
1999-01-29,55.88,8548500.0,56.44,56.06,54.38
1999-02-01,56.25,5359500.0,56.56,54.5,54.13
1999-02-02,54.25,8444500.0,54.88,53.06,53.06
1999-02-03,52.88,8701500.0,54.88,54.38,52.0
1999-02-04,54.13,8435000.0,54.19,53.13,52.75
1999-02-05,53.0,8949000.0,53.31,52.88,52.19
1999-02-08,54.25,10083500.0,54.25,52.5,52.0
1999-02-09,52.56,10098500.0,53.0,50.63,50.44
1999-02-10,50.69,6764000.0,52.38,52.38,50.13
