date,1. open,5. volume,2. high,4. close,3. low
2005-12-05,30.0,1087800.0,30.0,26.7,26.7
2005-12-06,26.85,1743800.0,26.85,25.76,25.75
2005-12-07,26.0,1536400.0,26.0,25.55,25.25
2005-12-08,25.53,2100700.0,25.75,25.39,25.1
2005-12-09,25.4,2414700.0,25.95,25.63,24.95
2005-12-12,25.9,898600.0,26.3,26.24,25.9
2005-12-13,26.25,639700.0,26.26,26.0,25.93
2005-12-14,26.0,672800.0,26.05,25.7,25.65
2005-12-15,25.7,1948400.0,25.7,25.32,25.2
2005-12-16,25.33,1023000.0,25.5,25.3,25.17
2005-12-19,25.31,362700.0,25.4,25.29,25.1
2005-12-20,25.29,385800.0,25.29,25.07,24.74
2005-12-21,25.15,673000.0,25.3,25.25,24.98
2005-12-22,25.25,274300.0,25.25,25.11,25.0
2005-12-23,25.1,667100.0,25.52,25.5,25.1
2005-12-27,25.65,511400.0,25.93,25.65,25.3
2005-12-28,25.75,821600.0,25.84,25.05,25.0
2005-12-29,25.15,776100.0,25.25,25.0,24.75
2005-12-30,25.0,3887900.0,25.5,25.5,24.85
2006-01-03,25.6,6604500.0,27.4,26.2,25.6
2006-01-04,26.27,8900000.0,26.27,26.0,25.841
2006-01-05,26.0,8040500.0,26.44,26.36,25.83
2006-01-06,26.5,7449100.0,27.3,27.23,26.46
2006-01-09,27.0,7858700.0,27.21,27.03,26.85
2006-01-10,27.1,9081400.0,27.17,26.56,26.43
2006-01-11,26.66,6941200.0,26.75,26.18,26.05
2006-01-12,25.86,7687400.0,26.15,25.99,25.49
2006-01-13,25.95,4858900.0,26.0,25.48,25.48
2006-01-17,25.15,6226600.0,25.66,25.06,25.01
2006-01-18,25.0,5522800.0,25.67,25.0799,24.83
2006-01-19,25.64,5021500.0,25.71,25.57,25.34
2006-01-20,25.35,5064800.0,25.72,24.98,24.92
2006-01-23,25.3,6361700.0,25.9,25.82,25.05
2006-01-24,26.0,8567000.0,27.0,26.9,25.8
2006-01-25,27.0,5665700.0,27.0,26.4,26.09
2006-01-26,26.55,7545300.0,27.1099,26.81,26.48
2006-01-27,26.75,7927600.0,27.35,26.8,26.43
2006-01-30,26.85,5639100.0,27.45,27.27,26.7
2006-01-31,27.17,6437100.0,27.17,26.13,26.03
2006-02-01,26.01,4373800.0,26.56,26.14,25.96
2006-02-02,26.12,6802800.0,26.3,25.65,25.47
2006-02-03,25.6,5411600.0,26.02,25.66,25.38
2006-02-06,25.66,3735500.0,26.08,25.84,25.64
2006-02-07,25.95,3321300.0,26.14,25.53,25.53
2006-02-08,25.53,3761800.0,26.07,26.02,25.53
2006-02-09,25.8,3644000.0,26.0,25.63,25.54
2006-02-10,25.58,3895200.0,25.65,25.46,25.29
2006-02-13,25.25,2695600.0,25.63,25.54,25.15
2006-02-14,25.45,4273900.0,25.83,25.6,25.28
2006-02-15,25.72,1984200.0,25.81,25.61,25.55
2006-02-16,25.55,4152400.0,25.58,25.15,25.1
2006-02-17,25.05,5383800.0,25.95,25.85,25.03
2006-02-21,26.0,4557900.0,26.02,25.3,25.16
2006-02-22,25.45,7170900.0,25.52,25.23,25.17
2006-02-23,25.23,5946200.0,25.55,25.2,24.86
2006-02-24,25.04,7852800.0,25.27,24.53,24.53
2006-02-27,24.53,7683400.0,25.05,24.83,24.53
2006-02-28,24.66,4980000.0,24.75,24.46,24.38
2006-03-01,24.5,4525500.0,24.74,24.65,24.2101
2006-03-02,24.24,8128400.0,24.29,24.06,23.91
2006-03-03,24.06,4152400.0,24.31,23.98,23.85
2006-03-06,24.0,4676300.0,24.45,23.98,23.9
2006-03-07,23.99,4749900.0,24.44,24.36,23.98
2006-03-08,24.36,4224300.0,24.42,24.14,24.02
2006-03-09,24.1,3110400.0,24.2,23.96,23.92
2006-03-10,24.14,3694600.0,24.23,23.95,23.88
2006-03-13,24.05,3411600.0,24.27,24.02,24.01
2006-03-14,24.02,3359300.0,24.12,23.96,23.95
2006-03-15,24.05,3223200.0,24.45,24.34,23.89
2006-03-16,24.5,3201700.0,24.5,24.22,24.15
2006-03-17,24.35,4418800.0,24.75,24.62,24.16
2006-03-20,24.48,2975200.0,24.6,24.4,24.26
2006-03-21,24.56,6324000.0,24.8,24.78,24.55
2006-03-22,24.82,7172300.0,25.09,25.08,24.75
2006-03-23,25.0,3651500.0,25.0,24.89,24.85
2006-03-24,24.75,4420400.0,25.06,25.03,24.73
2006-03-27,24.85,4419300.0,25.04,24.78,24.55
2006-03-28,24.7,4653700.0,24.77,24.42,24.22
2006-03-29,24.4,5789100.0,24.54,24.44,24.23
2006-03-30,24.55,5351700.0,24.69,24.24,24.2
2006-03-31,24.23,5896800.0,24.38,23.98,23.97
2006-04-03,24.1,4671500.0,24.74,24.7,24.05
2006-04-04,24.6,3546900.0,24.8,24.77,24.49
2006-04-05,24.91,5419900.0,25.0,24.9,24.67
2006-04-06,24.9,7143300.0,25.5,25.47,24.76
2006-04-07,25.16,4156200.0,25.46,25.14,24.99
2006-04-10,25.1,5378200.0,25.16,24.89,24.87
2006-04-11,25.0,3229300.0,25.0,24.6,24.43
2006-04-12,24.65,2068500.0,24.8,24.53,24.53
2006-04-13,24.44,1795200.0,24.9,24.85,24.43
2006-04-17,24.95,2373400.0,24.95,24.71,24.51
2006-04-18,24.8,4781200.0,24.91,24.8,24.17
2006-04-19,24.78,3309400.0,24.82,24.56,24.38
2006-04-20,24.58,3766000.0,24.71,24.53,24.43
2006-04-21,24.7,3113600.0,24.84,24.81,24.5
2006-04-24,24.72,1945300.0,24.93,24.81,24.7
2006-04-25,24.9,4056600.0,25.37,25.37,24.65
2006-04-26,25.4,5903900.0,25.58,25.15,25.03
2006-04-27,25.19,4015100.0,25.6,25.5,25.13
2006-04-28,25.5,4942000.0,25.57,25.47,25.34
2006-05-01,25.47,4909200.0,26.01,25.78,25.47
2006-05-02,25.85,6549700.0,25.9,25.55,25.5
2006-05-03,25.56,4728000.0,25.8,25.75,25.53
2006-05-04,25.75,2686500.0,26.15,26.04,25.7
2006-05-05,26.08,2673800.0,26.44,26.38,26.05
2006-05-08,26.5,5272100.0,26.81,26.6,26.46
2006-05-09,26.72,4228600.0,26.8,26.67,26.61
2006-05-10,26.77,4107000.0,26.77,26.3,26.25
2006-05-11,26.3,3550300.0,26.35,25.92,25.89
2006-05-12,25.55,3674100.0,26.05,25.66,25.43
2006-05-15,25.55,2980000.0,25.8,25.66,25.25
2006-05-16,25.79,5039500.0,26.43,26.33,25.77
2006-05-17,26.25,5144600.0,26.51,25.8,25.77
