date,1. open,5. volume,2. high,4. close,3. low
1998-08-18,12.88,5783000.0,13.12,13.0,12.88
1998-08-19,13.0,388700.0,13.25,13.0,13.0
1998-08-20,13.12,348500.0,13.25,13.0,13.0
1998-08-21,13.0,804000.0,13.0,13.0,13.0
1998-08-24,13.0,119700.0,13.0,13.0,13.0
1998-08-25,13.0,294100.0,13.0,13.0,12.88
1998-08-26,13.0,383800.0,13.0,12.25,12.12
1998-08-27,12.25,435300.0,12.38,11.12,10.75
1998-08-28,11.38,192400.0,11.38,10.0,10.0
1998-08-31,10.0,150800.0,10.13,8.13,7.63
1998-09-01,8.25,440700.0,9.0,8.5,6.69
1998-09-02,8.5,509200.0,10.5,9.56,8.5
1998-09-03,9.75,165900.0,9.75,8.75,8.5
1998-09-04,9.0,155700.0,9.0,8.38,8.13
1998-09-08,9.0,149300.0,10.0,9.88,8.75
1998-09-09,9.88,116900.0,10.0,9.5,9.5
1998-09-10,9.38,80700.0,9.38,9.25,9.0
1998-09-11,9.31,84800.0,9.38,9.0,9.0
1998-09-14,9.25,90800.0,9.63,9.0,9.0
1998-09-15,9.13,200400.0,9.25,8.75,8.63
1998-09-16,8.75,221300.0,8.75,7.88,7.75
1998-09-17,7.88,87300.0,8.63,8.28,7.88
1998-09-18,8.38,147300.0,8.69,8.25,7.75
1998-09-21,7.88,472900.0,8.0,7.0,6.88
1998-09-22,7.13,728300.0,8.13,8.0,7.06
1998-09-23,8.25,382500.0,8.63,8.38,8.0
1998-09-24,8.5,280800.0,9.38,9.06,8.5
1998-09-25,8.75,44400.0,9.44,9.38,8.75
1998-09-28,9.5,26500.0,9.88,9.38,9.38
1998-09-29,9.5,88300.0,9.75,9.53,9.25
1998-09-30,9.5,172300.0,10.06,9.63,9.38
1998-10-01,9.63,85500.0,9.63,8.88,8.88
1998-10-02,8.88,58700.0,9.25,8.88,8.88
1998-10-05,8.75,63000.0,8.88,8.0,8.0
1998-10-06,9.0,129500.0,9.13,8.38,8.0
1998-10-07,8.38,340400.0,8.63,7.81,7.81
1998-10-08,7.75,346800.0,7.81,6.31,6.0
1998-10-09,7.0,271500.0,7.13,6.25,6.13
1998-10-12,6.5,660400.0,6.5,6.25,6.0
1998-10-13,6.25,228600.0,7.5,7.0,6.25
1998-10-14,6.88,46400.0,7.63,7.63,6.88
1998-10-15,7.5,44100.0,7.63,7.56,7.38
1998-10-16,7.81,421600.0,8.38,7.88,7.5
1998-10-19,8.13,50600.0,8.56,8.56,8.0
1998-10-20,8.63,354800.0,9.5,9.38,8.5
1998-10-21,9.44,156000.0,10.38,10.0,9.44
1998-10-22,10.13,134600.0,11.5,11.44,10.0
1998-10-23,11.63,411400.0,13.13,13.0,11.38
1998-10-26,13.0,125500.0,13.0,12.75,12.63
1998-10-27,12.88,417500.0,13.38,12.44,12.38
1998-10-28,12.38,53000.0,12.75,12.75,12.25
1998-10-29,12.63,280000.0,13.06,12.0,11.75
1998-10-30,12.0,198600.0,12.88,12.88,11.88
1998-11-02,12.94,105900.0,13.31,12.88,12.63
1998-11-03,12.81,24900.0,12.88,12.75,12.63
1998-11-04,12.88,105800.0,12.88,12.5,12.25
1998-11-05,12.5,81800.0,13.25,13.25,12.31
1998-11-06,13.25,55600.0,13.31,13.25,12.88
1998-11-09,12.88,84200.0,13.31,13.25,12.75
