date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,7.688,327100.0,7.75,7.625,7.5
1998-01-05,7.625,430400.0,7.625,7.188,7.125
1998-01-06,7.125,1382800.0,7.188,6.688,6.438
1998-01-07,6.688,1463000.0,6.688,6.25,6.125
1998-01-08,6.125,1517400.0,6.25,6.0,5.75
1998-01-09,6.0,712700.0,6.0,5.75,5.75
1998-01-12,5.625,491000.0,5.75,5.563,5.5
1998-01-13,5.563,647700.0,5.938,5.875,5.563
1998-01-14,6.0,1152300.0,6.5,6.438,6.0
1998-01-15,6.438,558000.0,6.625,6.375,6.313
1998-01-16,6.438,1038000.0,6.438,6.125,5.938
1998-01-20,6.188,489600.0,6.188,6.063,6.063
1998-01-21,6.063,526100.0,6.125,6.063,5.875
1998-01-22,5.938,489800.0,6.0,5.875,5.688
1998-01-23,6.0,395100.0,6.25,6.0,5.875
1998-01-26,6.063,166800.0,6.063,6.0,5.938
1998-01-27,6.0,308000.0,6.0,5.75,5.75
1998-01-28,5.875,488000.0,5.875,5.625,5.5
1998-01-29,5.5,696700.0,6.063,5.938,5.5
1998-01-30,6.0,354300.0,6.0,5.75,5.625
1998-02-02,5.813,314100.0,5.875,5.813,5.688
1998-02-03,5.813,787100.0,6.063,5.938,5.75
1998-02-04,5.938,928700.0,6.188,6.063,5.875
1998-02-05,6.0,726600.0,6.125,6.063,5.938
1998-02-06,6.0,443900.0,6.125,6.0,5.875
1998-02-09,6.0,269900.0,6.0,6.0,5.813
1998-02-10,5.938,328700.0,6.0,6.0,5.875
1998-02-11,6.0,351700.0,6.063,5.938,5.875
1998-02-12,6.0,1671300.0,6.875,6.625,6.0
1998-02-13,6.75,756200.0,6.875,6.688,6.5
1998-02-17,6.813,316300.0,6.813,6.5,6.438
1998-02-18,6.438,298000.0,6.563,6.5,6.188
1998-02-19,6.563,254500.0,6.625,6.5,6.375
1998-02-20,6.5,224900.0,6.5,6.438,6.25
1998-02-23,6.313,371200.0,6.375,6.188,6.063
1998-02-24,6.188,212100.0,6.188,6.188,6.063
1998-02-25,6.313,367100.0,6.438,6.375,6.063
1998-02-26,6.375,534100.0,6.688,6.375,6.375
1998-02-27,6.438,1165100.0,7.188,7.063,6.375
1998-03-02,7.063,1016500.0,7.25,7.0,6.938
1998-03-03,6.938,868000.0,7.0,7.0,6.75
1998-03-04,7.0,1483400.0,7.313,7.125,6.938
1998-03-05,7.063,910200.0,7.438,7.188,6.938
1998-03-06,7.25,697800.0,7.313,7.0,6.875
1998-03-09,6.938,474000.0,7.0,6.75,6.563
1998-03-10,6.75,377000.0,6.875,6.75,6.5
1998-03-11,6.75,439300.0,6.75,6.313,6.313
1998-03-12,6.375,396600.0,6.563,6.5,6.375
1998-03-13,6.563,394300.0,6.688,6.563,6.5
1998-03-16,6.5,416100.0,6.5,6.25,6.125
1998-03-17,6.188,920100.0,6.188,6.0,5.875
1998-03-18,5.938,1041300.0,6.25,6.188,5.938
1998-03-19,6.25,328400.0,6.313,6.125,6.063
1998-03-20,6.25,638400.0,6.313,6.188,6.125
1998-03-23,6.438,2545900.0,6.625,6.563,6.313
1998-03-24,6.563,725500.0,6.563,6.25,6.25
1998-03-25,6.25,1047400.0,6.25,6.0,5.875
1998-03-26,5.938,935600.0,6.125,6.0,5.875
1998-03-27,6.0,1337700.0,6.063,5.938,5.875
1998-03-30,5.938,1889600.0,5.938,5.625,5.563
1998-03-31,5.625,1332600.0,5.938,5.938,5.594
1998-04-01,5.875,946500.0,5.938,5.813,5.688
1998-04-02,5.875,938100.0,5.875,5.813,5.688
1998-04-03,5.813,953100.0,5.875,5.625,5.563
1998-04-06,5.688,791300.0,5.688,5.625,5.5
1998-04-07,5.563,669500.0,5.625,5.375,5.313
1998-04-08,5.438,1410400.0,5.813,5.688,5.438
1998-04-09,5.625,370700.0,5.688,5.625,5.5
1998-04-13,5.75,678200.0,5.813,5.625,5.563
1998-04-14,5.625,1822000.0,5.625,5.25,5.063
1998-04-15,5.125,4765300.0,5.563,5.5,5.063
1998-04-16,5.5,2760700.0,5.563,5.438,5.375
1998-04-17,5.688,2709300.0,6.0,5.813,5.688
1998-04-20,5.813,1632600.0,5.875,5.75,5.563
1998-04-21,5.69,1200500.0,5.75,5.56,5.56
1998-04-22,5.563,474900.0,5.625,5.563,5.438
1998-04-23,5.563,352300.0,5.563,5.438,5.375
1998-04-24,5.5,656200.0,5.5,5.31,5.31
1998-04-27,5.25,1055900.0,5.313,5.188,5.063
1998-04-28,5.25,446900.0,5.25,5.188,5.125
1998-04-29,5.188,899000.0,5.313,5.188,5.125
1998-04-30,5.188,2081700.0,5.188,5.125,4.813
1998-05-01,5.063,5122900.0,5.063,4.875,4.75
1998-05-04,5.063,4949900.0,5.125,5.063,4.938
1998-05-05,5.0,844500.0,5.063,5.0,4.938
1998-05-06,5.063,290400.0,5.063,4.938,4.813
1998-05-07,4.875,3009900.0,5.125,5.0,4.688
1998-05-08,5.0,880700.0,5.0,5.0,4.938
1998-05-11,4.938,339400.0,5.0,4.938,4.813
1998-05-12,4.938,584700.0,5.0,5.0,4.875
1998-05-13,5.0,408500.0,5.0,4.938,4.875
1998-05-14,4.938,452700.0,4.938,4.875,4.75
1998-05-15,4.813,372400.0,4.875,4.875,4.75
1998-05-18,4.875,1585000.0,4.875,4.688,4.563
1998-05-19,4.625,1914500.0,4.688,4.625,4.5
1998-05-20,4.56,2387600.0,4.62,4.62,4.25
1998-05-21,4.688,1691700.0,4.875,4.75,4.688
1998-05-22,4.813,431400.0,4.813,4.625,4.563
1998-05-26,4.563,228900.0,4.688,4.5,4.5
1998-05-27,4.438,828600.0,4.438,4.375,4.25
1998-05-28,4.375,206200.0,4.375,4.313,4.25
1998-05-29,4.313,361200.0,4.375,4.313,4.25
1998-06-01,4.313,186800.0,4.438,4.313,4.313
1998-06-02,4.375,308700.0,4.438,4.438,4.313
1998-06-03,4.5,870300.0,4.5,4.25,4.25
1998-06-04,4.313,799500.0,4.313,4.25,4.188
1998-06-05,4.25,404500.0,4.5,4.438,4.25
1998-06-08,4.5,230600.0,4.5,4.375,4.313
1998-06-09,4.313,372100.0,4.375,4.313,4.25
