date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,22.13,28100.0,23.13,23.13,22.13
1998-01-05,24.13,157400.0,24.38,22.5,22.5
1998-01-06,22.38,228800.0,22.38,21.69,21.0
1998-01-07,21.69,41200.0,23.0,22.25,21.69
1998-01-08,22.0,59000.0,23.13,23.0,22.0
1998-01-09,22.63,35100.0,23.0,22.0,22.0
1998-01-12,21.5,231800.0,22.13,21.38,21.38
1998-01-13,22.0,25100.0,22.0,21.75,21.25
1998-01-14,21.75,146400.0,22.25,21.44,21.38
1998-01-15,21.75,104300.0,21.75,21.5,21.38
1998-01-16,21.75,17300.0,22.38,22.25,21.38
1998-01-20,22.0,87200.0,23.13,23.13,22.0
1998-01-21,23.0,35400.0,23.13,23.0,22.88
1998-01-22,22.88,23100.0,23.0,22.63,22.63
1998-01-23,22.63,52800.0,23.5,23.25,22.63
1998-01-26,23.5,124300.0,23.5,22.88,22.5
1998-01-27,23.0,24100.0,23.0,22.5,22.5
1998-01-28,22.5,38700.0,22.75,22.63,22.5
1998-01-29,22.63,27100.0,23.25,22.88,22.63
1998-01-30,23.19,32600.0,23.19,22.88,22.63
1998-02-02,23.13,145200.0,24.63,24.0,23.13
1998-02-03,23.75,39800.0,24.5,24.0,23.75
1998-02-04,24.0,139400.0,24.38,23.63,23.63
1998-02-05,23.5,18300.0,23.88,23.5,23.5
1998-02-06,23.88,61700.0,24.38,23.75,23.5
1998-02-09,23.63,181200.0,24.75,24.25,23.63
1998-02-10,24.25,100400.0,25.25,25.0,24.25
1998-02-11,24.63,515800.0,25.0,23.0,22.13
1998-02-12,23.25,116100.0,23.63,23.63,23.0
1998-02-13,23.88,40800.0,23.88,23.75,23.25
1998-02-17,24.13,174300.0,24.13,23.63,23.5
1998-02-18,24.0,517800.0,24.0,23.63,23.63
1998-02-19,24.0,46200.0,24.0,23.38,23.38
1998-02-20,23.38,22300.0,23.63,23.13,23.13
1998-02-23,23.13,155400.0,23.38,22.88,22.88
1998-02-24,22.88,104400.0,23.31,22.0,22.0
1998-02-25,22.0,50300.0,22.5,22.38,21.88
1998-02-26,22.25,37300.0,22.25,21.88,21.88
1998-02-27,22.13,69500.0,22.75,22.75,21.88
1998-03-02,22.41,90100.0,22.75,21.63,21.63
1998-03-03,22.0,103500.0,22.0,21.5,21.38
1998-03-04,22.0,122400.0,22.0,21.63,21.5
1998-03-05,21.38,57000.0,21.75,21.63,21.38
1998-03-06,21.5,106100.0,22.0,21.75,21.5
1998-03-09,22.0,26600.0,22.0,21.75,21.5
1998-03-10,21.75,58100.0,21.75,21.5,21.5
1998-03-11,21.75,487700.0,22.25,22.06,21.5
1998-03-12,22.0,74300.0,22.5,22.13,22.0
1998-03-13,22.13,61800.0,23.13,22.75,22.0
1998-03-16,23.0,198100.0,23.88,23.63,22.5
1998-03-17,23.25,229100.0,23.38,23.0,22.75
1998-03-18,22.75,387500.0,23.13,23.13,22.75
1998-03-19,23.25,149300.0,23.69,23.5,23.0
1998-03-20,23.25,64500.0,23.63,23.5,23.25
1998-03-23,23.25,92000.0,23.63,23.25,23.25
1998-03-24,23.38,226700.0,24.13,24.0,23.25
1998-03-25,24.0,102100.0,24.63,23.5,23.5
1998-03-26,24.25,86200.0,24.25,23.5,23.5
1998-03-27,23.5,55200.0,24.0,23.81,23.5
1998-03-30,23.88,34000.0,24.13,24.0,23.88
1998-03-31,24.0,255600.0,26.25,26.0,24.0
1998-04-01,24.63,404200.0,25.0,24.75,24.31
1998-04-02,24.63,290000.0,27.0,26.75,24.25
1998-04-03,25.63,414400.0,25.94,25.13,25.0
1998-04-06,25.0,79300.0,26.0,25.31,24.75
1998-04-07,25.13,34900.0,25.13,24.75,24.75
1998-04-08,24.75,124000.0,24.88,24.5,24.5
1998-04-09,24.5,55400.0,24.75,24.0,23.75
1998-04-13,24.0,78500.0,24.0,23.25,22.75
1998-04-14,23.38,58400.0,23.63,23.13,22.88
1998-04-15,22.88,670800.0,23.0,23.0,22.38
1998-04-16,22.75,31600.0,23.75,23.31,22.75
1998-04-17,23.38,81600.0,23.75,23.31,23.0
1998-04-20,22.88,69900.0,23.25,23.25,22.75
1998-04-21,23.0,56500.0,23.25,23.0,22.88
1998-04-22,23.25,225900.0,23.38,23.25,22.88
1998-04-23,23.38,171300.0,23.38,23.13,22.75
1998-04-24,23.0,35800.0,23.13,23.0,22.88
1998-04-27,23.0,347500.0,23.0,22.5,22.38
1998-04-28,22.63,100800.0,22.63,22.38,22.38
1998-04-29,22.63,182800.0,22.88,22.75,22.38
1998-04-30,22.5,36300.0,22.88,22.88,22.5
1998-05-01,22.5,69100.0,23.0,22.94,22.38
1998-05-04,22.94,28200.0,23.0,22.75,22.63
1998-05-05,23.0,25000.0,23.13,22.75,22.63
1998-05-06,23.0,6200.0,23.0,22.88,22.75
1998-05-07,22.88,32100.0,22.94,22.75,22.5
1998-05-08,22.75,37600.0,22.75,22.75,22.5
1998-05-11,22.5,27000.0,22.63,22.59,22.5
1998-05-12,22.63,29600.0,22.63,22.56,22.44
1998-05-13,22.56,35700.0,22.56,22.38,22.38
1998-05-14,22.5,34600.0,22.5,22.13,22.13
1998-05-15,22.38,16600.0,22.44,22.38,22.06
1998-05-18,22.5,158600.0,22.5,21.75,21.5
1998-05-19,22.25,74200.0,22.63,22.13,21.88
1998-05-20,22.62,50600.0,22.62,22.5,22.38
1998-05-21,22.63,99600.0,22.75,22.63,22.5
1998-05-22,22.5,75400.0,22.88,22.75,22.5
1998-05-26,22.88,139700.0,23.0,22.75,22.56
1998-05-27,22.5,73900.0,23.0,22.81,22.5
1998-05-28,22.75,28100.0,22.94,22.88,22.75
1998-05-29,22.88,52100.0,23.13,23.13,22.75
1998-06-01,23.13,135200.0,23.75,23.56,23.0
1998-06-02,23.5,135400.0,24.13,23.88,23.5
1998-06-03,23.69,69400.0,23.88,23.88,23.56
1998-06-04,23.56,105000.0,24.0,23.56,23.5
1998-06-05,23.63,176500.0,23.63,23.25,22.5
1998-06-08,23.0,111500.0,23.75,23.75,23.0
1998-06-09,23.63,166400.0,24.0,23.69,23.63
1998-06-10,23.62,82700.0,23.75,22.88,22.75
1998-06-11,22.88,174500.0,23.38,22.25,21.63
1998-06-12,22.63,360800.0,22.63,22.13,21.88
1998-06-15,21.75,113500.0,22.25,22.0,21.5
1998-06-16,22.5,48600.0,23.5,23.5,21.88
1998-06-17,23.5,303600.0,23.5,22.88,22.75
1998-06-18,23.0,100900.0,23.5,23.06,22.63
1998-06-19,23.13,311500.0,24.0,23.88,23.0
1998-06-22,23.63,70200.0,24.13,24.0,23.25
1998-06-23,24.13,119800.0,24.13,23.94,23.88
1998-06-24,24.0,92300.0,24.0,23.88,23.5
1998-06-25,23.81,89100.0,24.0,23.88,23.81
1998-06-26,24.0,436000.0,24.75,24.44,23.88
1998-06-29,24.75,102600.0,25.0,24.69,24.5
1998-06-30,24.5,450600.0,25.13,24.88,24.5
1998-07-01,24.88,183100.0,25.0,24.94,24.88
1998-07-02,25.0,200300.0,25.13,25.13,24.94
