date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,173.0,94800.0,173.2,172.3,172.1
1998-01-05,172.8,193800.0,174.6,172.2,171.0
1998-01-06,172.2,147600.0,172.8,172.1,170.9
1998-01-07,171.5,192100.0,171.9,169.8,169.8
1998-01-08,169.3,205000.0,171.3,170.5,169.0
1998-01-09,170.8,383200.0,176.1,170.1,170.0
1998-01-12,169.6,241700.0,172.1,171.6,169.5
1998-01-13,171.56,165500.0,173.5,172.12,171.56
1998-01-14,173.0,144500.0,173.0,172.6,170.8
1998-01-15,172.5,123500.0,172.5,170.6,170.3
1998-01-16,173.5,233600.0,173.6,170.6,170.5
1998-01-20,173.0,186600.0,176.0,175.9,172.0
1998-01-21,175.8,90600.0,176.5,175.2,174.3
1998-01-22,174.9,135400.0,177.0,176.6,174.4
1998-01-23,176.0,121600.0,176.0,174.5,174.1
1998-01-26,174.3,119600.0,176.4,175.3,174.3
1998-01-27,175.2,200200.0,177.2,174.6,174.5
1998-01-28,174.8,317800.0,175.5,175.0,174.3
1998-01-29,175.0,253900.0,176.1,173.3,173.3
1998-01-30,173.4,270100.0,173.4,169.6,168.1
1998-02-02,170.5,539500.0,171.0,170.0,168.0
1998-02-03,170.3,274400.0,173.8,173.4,169.4
1998-02-04,173.5,276200.0,175.0,174.6,172.4
1998-02-05,176.3,210900.0,178.3,177.8,176.0
1998-02-06,178.3,123700.0,179.8,179.5,178.1
1998-02-09,179.8,204100.0,181.0,180.1,178.6
1998-02-10,182.5,135100.0,182.5,180.1,179.0
1998-02-11,180.4,304000.0,182.0,179.5,178.8
1998-02-12,179.3,200000.0,179.8,179.3,178.3
1998-02-13,179.3,117400.0,180.3,179.3,178.9
1998-02-17,180.1,213800.0,180.1,178.3,177.6
1998-02-18,178.3,165900.0,178.4,177.9,177.3
1998-02-19,177.9,154900.0,177.9,177.5,176.8
1998-02-20,177.5,203800.0,177.7,177.2,176.3
1998-02-23,177.0,300300.0,177.4,176.6,175.5
1998-02-24,176.6,316400.0,178.6,177.6,176.1
1998-02-25,178.1,372700.0,187.5,186.5,178.1
1998-02-26,186.4,315600.0,188.8,187.9,185.8
1998-02-27,190.0,231400.0,191.9,191.0,188.8
1998-03-02,193.8,276500.0,195.3,192.2,192.1
1998-03-03,191.8,313400.0,192.4,192.0,191.8
1998-03-04,192.0,314700.0,192.0,190.3,189.5
1998-03-05,190.5,212900.0,190.6,189.1,188.8
1998-03-06,189.1,264700.0,191.8,190.9,189.1
1998-03-09,190.9,246300.0,192.9,191.3,190.8
1998-03-10,192.8,454000.0,194.8,194.5,191.8
1998-03-11,194.0,192500.0,195.0,192.4,192.4
1998-03-12,192.4,330300.0,194.9,194.7,191.8
1998-03-13,194.7,166900.0,196.1,196.1,193.1
1998-03-16,199.0,420700.0,202.1,201.9,199.0
1998-03-17,201.9,179600.0,201.9,201.6,200.8
1998-03-18,202.5,190200.0,204.4,203.8,202.1
1998-03-19,203.6,162800.0,203.6,201.9,201.4
1998-03-20,202.9,237400.0,207.0,207.0,201.1
1998-03-23,207.0,147100.0,207.0,203.4,203.2
1998-03-24,206.0,246900.0,206.0,203.6,203.1
1998-03-25,204.0,204300.0,207.0,205.2,204.0
1998-03-26,205.2,209900.0,207.5,207.3,205.2
1998-03-27,207.6,194800.0,208.0,204.3,204.3
1998-03-30,205.3,178700.0,205.6,205.1,204.4
1998-03-31,206.0,216800.0,206.3,205.0,205.0
1998-04-01,205.0,152600.0,205.69,205.25,204.25
1998-04-02,205.3,128800.0,208.8,208.4,205.0
1998-04-03,208.3,276000.0,208.3,204.9,204.8
1998-04-06,207.5,244200.0,211.0,209.8,207.5
1998-04-07,210.8,178600.0,210.8,208.3,207.9
1998-04-08,208.0,110800.0,208.1,204.9,204.4
1998-04-09,204.6,220900.0,206.8,205.8,203.6
1998-04-13,205.8,143000.0,206.5,206.1,204.4
1998-04-14,206.1,196100.0,207.6,207.0,205.5
1998-04-15,207.1,207300.0,212.8,212.8,207.1
1998-04-16,212.0,153900.0,212.1,210.8,209.9
1998-04-17,210.8,152200.0,214.3,214.3,210.0
1998-04-20,214.1,90600.0,214.1,210.4,210.4
1998-04-21,209.0,108500.0,211.1,209.8,208.1
1998-04-22,209.5,208500.0,214.9,212.6,208.5
1998-04-23,212.3,98900.0,212.5,207.9,206.3
1998-04-24,208.0,154200.0,208.8,205.9,204.4
1998-04-27,206.1,331500.0,208.4,205.0,202.1
1998-04-28,206.8,252500.0,206.8,205.5,202.1
1998-04-29,205.3,95700.0,205.3,202.7,201.8
1998-04-30,204.0,235400.0,208.2,206.9,204.0
1998-05-01,208.5,164400.0,212.0,212.0,208.5
1998-05-04,210.0,111400.0,212.0,209.1,209.1
1998-05-05,209.2,164300.0,210.6,210.1,209.1
1998-05-06,210.0,181700.0,210.4,209.6,209.1
1998-05-07,209.4,144600.0,211.6,209.6,208.9
1998-05-08,210.4,313200.0,213.0,211.9,210.4
1998-05-11,211.9,165900.0,214.4,211.4,211.4
1998-05-12,211.1,118500.0,211.8,211.4,209.6
