date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,74.5,451500.0,74.5,73.25,72.69
1998-01-05,74.0,770000.0,74.88,74.88,73.25
1998-01-06,74.94,861600.0,74.94,71.94,71.75
1998-01-07,70.25,1125100.0,71.63,71.63,69.88
1998-01-08,71.63,949700.0,71.75,69.75,69.38
1998-01-09,69.0,1796200.0,69.06,68.0,67.5
1998-01-12,67.25,1351000.0,68.44,67.88,67.25
1998-01-13,68.06,1201400.0,68.25,68.0,67.5
1998-01-14,68.25,1676500.0,69.5,69.44,67.88
1998-01-15,69.44,1050300.0,69.44,69.19,67.75
1998-01-16,70.0,1088200.0,71.0,70.69,69.69
1998-01-20,70.56,812600.0,71.25,71.06,70.31
1998-01-21,71.0,921100.0,71.25,70.0,69.75
1998-01-22,69.13,721400.0,69.88,69.44,68.88
1998-01-23,69.75,1183400.0,70.19,69.06,68.75
1998-01-26,69.63,443900.0,70.19,69.81,69.06
1998-01-27,69.69,979000.0,71.25,70.63,69.63
1998-01-28,70.88,763500.0,71.69,71.5,70.44
1998-01-29,71.81,1691000.0,72.63,72.31,71.06
1998-01-30,72.5,1218500.0,73.81,73.25,72.13
1998-02-02,74.0,940300.0,74.5,74.5,73.63
1998-02-03,74.81,2006300.0,75.75,75.75,73.25
1998-02-04,75.5,1305500.0,76.5,76.19,75.0
1998-02-05,76.69,986500.0,77.63,77.63,76.5
1998-02-06,77.5,1099300.0,78.25,77.63,77.44
1998-02-09,77.88,780100.0,78.75,78.31,77.13
1998-02-10,78.13,673100.0,78.88,78.69,77.63
1998-02-11,78.56,916000.0,80.5,80.31,78.25
1998-02-12,79.75,897300.0,81.69,81.13,79.25
1998-02-13,81.0,648500.0,81.0,80.13,79.25
1998-02-17,80.0,1364900.0,80.31,77.88,77.63
1998-02-18,78.06,752100.0,79.94,79.31,78.0
1998-02-19,80.5,671300.0,80.5,78.25,78.25
1998-02-20,78.81,682400.0,80.13,80.06,78.25
1998-02-23,80.0,556800.0,80.06,79.0,78.63
1998-02-24,78.75,572800.0,79.88,78.5,78.38
1998-02-25,78.88,738600.0,79.69,78.88,78.56
1998-02-26,78.63,345300.0,79.0,79.0,78.25
1998-02-27,79.25,655900.0,81.81,81.19,78.75
1998-03-02,80.94,611000.0,81.56,81.13,80.06
1998-03-03,80.25,611000.0,81.25,80.25,79.5
1998-03-04,79.75,1042700.0,80.13,79.31,78.75
1998-03-05,79.0,914900.0,79.44,79.19,78.63
1998-03-06,80.25,1730400.0,84.25,83.94,80.25
1998-03-09,83.94,1364600.0,87.5,86.75,83.5
1998-03-10,87.88,991400.0,87.88,86.81,85.38
1998-03-11,86.25,650200.0,88.0,87.81,86.0
1998-03-12,87.13,850300.0,87.38,85.44,85.25
1998-03-13,84.5,815800.0,85.5,83.81,82.88
1998-03-16,84.0,670100.0,84.63,83.56,83.25
1998-03-17,83.81,759600.0,84.94,84.75,83.5
1998-03-18,84.75,590500.0,86.31,85.94,84.63
1998-03-19,85.69,575900.0,86.5,85.19,84.19
1998-03-20,85.44,751200.0,85.69,85.63,84.5
1998-03-23,85.38,417400.0,86.0,85.63,84.69
1998-03-24,86.25,363500.0,86.75,86.75,85.75
1998-03-25,86.75,574300.0,87.25,85.75,84.56
1998-03-26,86.75,704500.0,88.88,86.88,85.81
1998-03-27,88.75,820500.0,88.75,86.63,85.13
1998-03-30,86.38,457900.0,87.5,86.56,85.25
1998-03-31,86.56,535300.0,87.44,86.75,85.63
1998-04-01,86.5,530000.0,88.0,87.75,86.19
1998-04-02,88.0,1067500.0,88.13,87.13,86.0
1998-04-03,87.75,547400.0,88.06,87.75,86.5
1998-04-06,88.0,608900.0,88.63,87.06,87.06
1998-04-07,87.19,679200.0,87.25,85.63,84.75
1998-04-08,85.25,584800.0,85.75,84.63,84.56
1998-04-09,84.94,470500.0,86.13,85.75,84.75
1998-04-13,85.5,609000.0,85.94,85.44,83.63
1998-04-14,85.19,382000.0,85.19,84.38,84.31
1998-04-15,85.0,851000.0,85.0,83.19,83.0
1998-04-16,83.25,719000.0,83.38,82.44,81.5
1998-04-17,83.5,838100.0,86.25,85.75,82.69
1998-04-20,87.63,931500.0,87.94,87.75,86.0
1998-04-21,86.75,479700.0,86.75,85.88,85.63
1998-04-22,86.25,1892700.0,89.88,89.5,85.38
1998-04-23,89.75,1195800.0,91.5,89.31,88.13
1998-04-24,89.5,1111600.0,89.63,87.75,86.75
1998-04-27,86.75,1511300.0,87.19,87.0,85.63
1998-04-28,87.75,925600.0,88.0,86.81,86.06
1998-04-29,86.88,677600.0,87.88,87.69,86.25
1998-04-30,88.0,872800.0,90.38,89.69,87.88
1998-05-01,89.5,427800.0,91.0,90.19,89.5
1998-05-04,90.88,835700.0,90.88,89.13,88.81
1998-05-05,89.13,574800.0,90.0,89.13,88.38
1998-05-06,89.0,624400.0,89.0,88.0,87.63
1998-05-07,88.0,986800.0,89.13,88.31,87.75
1998-05-08,88.31,652700.0,90.44,88.06,88.0
1998-05-11,88.06,716900.0,88.5,87.75,87.13
1998-05-12,87.38,612200.0,88.81,88.38,87.38
1998-05-13,88.25,463300.0,88.5,88.0,87.69
1998-05-14,87.38,698000.0,90.13,89.69,87.06
1998-05-15,89.5,537300.0,89.69,88.94,88.5
1998-05-18,88.75,327300.0,90.88,90.63,88.06
1998-05-19,90.63,581300.0,90.63,89.88,89.25
1998-05-20,90.62,978400.0,90.81,89.0,87.75
1998-05-21,89.25,495200.0,90.5,89.44,89.0
1998-05-22,89.44,360900.0,89.56,88.56,88.0
1998-05-26,88.75,595200.0,89.06,86.31,86.31
1998-05-27,85.88,819100.0,87.13,87.13,84.88
1998-05-28,87.0,534000.0,87.19,86.56,86.0
1998-05-29,86.81,569900.0,87.5,87.0,86.63
1998-06-01,87.0,504000.0,88.75,87.88,86.25
1998-06-02,88.25,800200.0,88.5,87.0,86.63
1998-06-03,87.0,604300.0,88.38,87.0,86.69
1998-06-04,86.81,326900.0,88.0,87.88,85.88
1998-06-05,88.75,431800.0,89.5,89.5,87.56
1998-06-08,89.5,421300.0,90.5,89.88,89.0
1998-06-09,89.75,539000.0,89.81,88.81,88.19
1998-06-10,88.56,572800.0,90.5,88.31,87.88
1998-06-11,88.13,546700.0,88.88,88.06,87.63
1998-06-12,88.06,646100.0,88.38,87.44,86.25
1998-06-15,86.75,576900.0,87.63,86.44,86.25
1998-06-16,86.31,538100.0,87.0,86.63,84.94
1998-06-17,87.25,788800.0,90.0,89.69,86.75
1998-06-18,89.69,683500.0,92.13,91.44,89.25
1998-06-19,91.0,1359400.0,91.0,87.88,87.25
