date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,45.88,17400.0,46.5,46.5,45.63
1998-01-05,46.5,105900.0,46.69,46.63,46.44
1998-01-06,46.63,29100.0,46.63,45.88,45.75
1998-01-07,45.81,43900.0,46.44,46.25,45.56
1998-01-08,46.31,19000.0,46.31,45.5,45.5
1998-01-09,45.56,59000.0,45.56,43.56,43.5
1998-01-12,43.0,71000.0,45.38,44.69,42.75
1998-01-13,44.69,27800.0,44.88,44.56,44.44
1998-01-14,44.69,52300.0,45.13,44.88,44.31
1998-01-15,44.75,48100.0,44.75,43.81,43.63
1998-01-16,44.0,56500.0,44.81,44.63,44.0
1998-01-20,44.63,45100.0,45.63,45.31,44.63
1998-01-21,45.31,63700.0,45.31,44.69,44.38
1998-01-22,44.44,75200.0,44.5,43.88,43.63
1998-01-23,43.88,91900.0,45.75,45.31,43.88
1998-01-26,45.19,101100.0,46.38,46.06,45.0
1998-01-27,46.0,28900.0,46.69,46.63,45.88
1998-01-28,46.69,64700.0,48.75,48.63,46.69
1998-01-29,48.63,88100.0,50.19,49.06,48.63
1998-01-30,49.0,39200.0,49.25,48.75,48.75
1998-02-02,49.0,81900.0,50.38,50.19,49.0
1998-02-03,50.19,10800.0,50.19,50.0,49.81
1998-02-04,50.0,25200.0,50.0,49.5,49.38
1998-02-05,49.56,82900.0,50.69,50.44,49.56
1998-02-06,50.44,23900.0,50.69,50.13,50.13
1998-02-09,49.94,20600.0,50.5,50.38,49.56
1998-02-10,50.44,31000.0,51.63,51.19,50.44
1998-02-11,51.19,21900.0,51.81,51.75,51.19
1998-02-12,51.75,41900.0,51.81,50.81,50.81
1998-02-13,50.63,16100.0,50.88,50.69,50.44
1998-02-17,50.75,36300.0,51.38,50.94,50.75
1998-02-18,50.94,11900.0,51.38,50.94,50.94
1998-02-19,51.06,20800.0,51.25,51.0,50.94
1998-02-20,51.06,45700.0,51.06,50.19,49.75
1998-02-23,50.25,40300.0,51.0,51.0,50.06
1998-02-24,51.0,28100.0,51.0,50.31,50.19
1998-02-25,50.31,7200.0,50.94,50.81,50.31
1998-02-26,50.88,23700.0,51.0,50.94,50.88
1998-02-27,50.94,66600.0,51.69,51.38,50.63
1998-03-02,51.5,50000.0,52.81,52.63,51.5
1998-03-03,52.56,24400.0,53.5,52.88,52.56
1998-03-04,52.63,45900.0,52.78,52.69,52.56
1998-03-05,52.44,42000.0,52.63,52.5,52.0
