date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,79.25,99400.0,79.44,79.12,78.0
1998-01-05,78.62,193200.0,79.12,79.12,77.88
1998-01-06,78.75,122500.0,79.75,78.06,77.5
1998-01-07,77.5,146600.0,77.62,77.31,76.62
1998-01-08,77.38,172200.0,77.88,76.88,76.75
1998-01-09,76.62,287900.0,77.94,77.5,75.94
1998-01-12,76.75,357700.0,78.62,77.0,75.19
1998-01-13,76.12,287400.0,77.62,77.12,76.12
1998-01-14,77.38,312800.0,79.25,79.06,76.5
1998-01-15,78.81,180200.0,79.38,77.5,77.0
1998-01-16,78.0,209600.0,78.12,77.5,77.0
1998-01-20,75.5,410800.0,77.38,76.44,75.5
1998-01-21,76.0,473700.0,76.44,75.06,74.38
1998-01-22,74.81,416100.0,77.25,76.69,74.69
1998-01-23,76.44,222600.0,76.75,75.94,74.81
1998-01-26,76.31,125000.0,76.38,76.12,75.5
1998-01-27,75.75,264200.0,77.06,76.44,75.75
1998-01-28,76.19,260700.0,76.38,76.06,75.5
1998-01-29,76.31,227700.0,78.25,76.56,76.12
1998-01-30,76.62,142900.0,77.38,76.62,76.25
1998-02-02,77.44,198200.0,79.5,78.12,77.44
1998-02-03,77.88,108900.0,79.0,79.0,77.88
1998-02-04,79.0,345000.0,79.0,78.5,78.25
1998-02-05,78.38,240300.0,79.0,78.5,78.31
1998-02-06,78.88,100200.0,79.94,79.44,78.88
1998-02-09,79.31,139200.0,79.75,79.25,78.5
1998-02-10,79.25,285000.0,80.88,79.81,79.19
1998-02-11,79.44,272800.0,81.25,80.88,79.44
1998-02-12,80.5,202400.0,82.44,82.31,79.88
1998-02-13,81.88,228300.0,83.12,82.75,81.75
1998-02-17,82.94,250400.0,83.19,81.62,80.94
1998-02-18,81.5,378600.0,83.62,82.62,81.5
1998-02-19,82.81,250700.0,83.44,82.94,82.44
1998-02-20,83.38,271000.0,84.75,84.56,82.75
1998-02-23,84.81,302300.0,86.5,85.5,84.69
1998-02-24,85.44,241900.0,86.31,85.44,85.06
1998-02-25,85.44,164500.0,87.19,86.56,85.38
1998-02-26,86.69,153400.0,87.0,86.94,86.19
1998-02-27,86.69,165100.0,88.0,87.75,86.56
1998-03-02,87.81,161600.0,88.25,87.69,87.19
1998-03-03,87.81,239100.0,88.62,88.38,87.62
1998-03-04,87.75,529400.0,87.75,85.81,85.56
1998-03-05,85.38,431200.0,86.38,86.12,85.38
1998-03-06,86.31,407400.0,87.5,87.25,86.25
1998-03-09,87.31,291800.0,89.25,89.0,87.31
1998-03-10,88.81,236800.0,89.44,88.88,88.0
1998-03-11,89.12,165000.0,89.94,88.69,88.56
1998-03-12,89.0,161800.0,89.0,87.81,87.0
1998-03-13,87.81,183900.0,87.81,86.81,86.62
1998-03-16,87.06,175200.0,87.44,86.69,86.5
1998-03-17,86.69,340400.0,87.12,86.88,86.69
1998-03-18,87.5,225800.0,88.5,87.5,87.19
1998-03-19,87.25,98500.0,88.56,88.25,87.19
1998-03-20,88.5,126300.0,88.69,88.56,87.88
1998-03-23,88.0,131000.0,88.19,87.69,87.0
1998-03-24,87.25,297100.0,87.25,87.06,86.5
1998-03-25,87.0,265300.0,87.5,86.0,85.12
1998-03-26,86.38,265900.0,87.06,86.62,85.56
1998-03-27,85.75,306500.0,86.38,84.0,83.75
1998-03-30,84.0,288700.0,85.88,85.06,84.0
1998-03-31,85.94,170300.0,86.19,85.94,84.5
1998-04-01,85.69,310900.0,87.31,87.31,84.62
1998-04-02,87.06,229000.0,89.0,88.56,86.62
1998-04-03,88.56,234400.0,89.44,89.44,88.0
1998-04-06,89.44,289600.0,90.19,89.5,89.12
1998-04-07,89.38,232400.0,90.0,88.12,87.56
1998-04-08,88.38,200600.0,88.38,87.75,87.0
1998-04-09,87.69,86000.0,88.19,87.56,87.0
1998-04-13,87.31,175300.0,87.31,86.94,85.44
1998-04-14,86.94,101000.0,87.06,86.31,85.75
1998-04-15,86.19,252200.0,86.19,85.5,84.56
1998-04-16,85.06,130600.0,85.25,84.5,84.25
1998-04-17,84.0,355000.0,84.88,84.44,83.25
1998-04-20,83.88,194900.0,84.56,84.56,83.75
1998-04-21,85.69,241900.0,86.12,85.38,84.75
1998-04-22,85.0,126900.0,85.38,84.94,84.62
1998-04-23,84.44,281000.0,85.06,84.38,84.06
1998-04-24,84.62,900400.0,85.25,81.56,81.5
1998-04-27,81.44,416800.0,81.44,80.75,80.06
1998-04-28,81.0,338300.0,81.31,79.75,79.12
1998-04-29,80.0,582700.0,80.44,80.19,79.56
1998-04-30,82.0,370100.0,84.06,83.94,81.56
