date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,90.13,274600.0,91.5,91.0,90.0
1998-01-05,91.0,230400.0,91.25,91.25,90.44
1998-01-06,91.0,255400.0,91.06,88.44,88.38
1998-01-07,88.19,358200.0,88.75,86.88,86.56
1998-01-08,86.5,244667.0,87.0,85.0,84.0
1998-01-09,85.5,432267.0,85.88,83.5,83.0
1998-01-12,82.0,311667.0,83.5,83.5,81.5
1998-01-13,83.31,225067.0,84.5,84.38,82.75
1998-01-14,84.88,176800.0,86.38,86.25,84.75
1998-01-15,86.0,116067.0,86.38,85.94,85.0
1998-01-16,86.75,294600.0,88.63,88.0,86.5
1998-01-20,87.75,329667.0,91.25,91.13,87.63
1998-01-21,92.0,348067.0,92.25,88.69,88.44
1998-01-22,88.69,192000.0,89.0,88.25,88.0
1998-01-23,88.31,444200.0,88.88,86.81,85.25
1998-01-26,86.81,282867.0,88.19,87.06,86.75
1998-01-27,86.81,446667.0,90.75,90.31,86.81
1998-01-28,90.25,400600.0,91.94,91.25,90.0
1998-01-29,91.13,457400.0,93.44,93.19,91.0
1998-01-30,93.19,383800.0,94.75,94.38,93.19
1998-02-02,94.44,605867.0,98.94,98.0,94.13
1998-02-03,97.5,411000.0,99.88,97.69,96.88
1998-02-04,97.75,267067.0,97.88,96.19,95.94
1998-02-05,96.19,252600.0,96.31,96.06,94.88
1998-02-06,96.19,160600.0,97.38,96.88,96.19
1998-02-09,96.63,266667.0,96.94,96.5,95.75
1998-02-10,96.25,232667.0,97.5,96.69,95.88
1998-02-11,96.13,398067.0,96.63,95.56,94.88
1998-02-12,95.38,331867.0,95.44,95.38,94.63
1998-02-13,95.0,182200.0,95.06,94.63,94.0
1998-02-17,94.75,344200.0,95.38,94.75,94.5
1998-02-18,94.38,303867.0,95.94,95.25,93.75
1998-02-19,95.0,222467.0,95.06,95.0,94.31
1998-02-20,95.0,294867.0,95.38,95.0,94.38
1998-02-23,95.25,388800.0,97.19,96.75,95.25
1998-02-24,96.81,283200.0,97.38,96.81,96.44
1998-02-25,97.0,267000.0,99.38,98.56,97.0
1998-02-26,98.31,242000.0,100.1,99.75,97.81
1998-02-27,100.0,404867.0,100.8,100.8,99.5
1998-03-02,100.4,282667.0,100.8,99.88,98.88
1998-03-03,99.88,294000.0,101.1,100.5,99.56
1998-03-04,100.5,163200.0,100.5,99.81,99.81
1998-03-05,99.56,188267.0,99.81,98.75,98.75
1998-03-06,99.0,330400.0,101.3,100.8,99.0
1998-03-09,101.0,225667.0,102.5,102.5,100.9
1998-03-10,102.8,222467.0,103.4,103.1,102.5
1998-03-11,102.6,161667.0,103.8,103.6,102.6
1998-03-12,103.8,242267.0,103.8,103.3,102.8
1998-03-13,103.0,150467.0,103.3,102.4,102.2
1998-03-16,101.5,219667.0,104.5,104.2,101.5
1998-03-17,104.2,184600.0,105.3,104.5,103.4
1998-03-18,104.1,180867.0,105.0,104.9,104.1
1998-03-19,104.8,135667.0,106.9,106.8,104.3
1998-03-20,107.1,259200.0,107.5,107.4,105.3
1998-03-23,107.1,123800.0,107.1,105.0,104.9
1998-03-24,105.0,116867.0,108.2,107.1,105.0
1998-03-25,107.4,132467.0,107.8,105.1,104.7
1998-03-26,105.9,211467.0,105.9,105.3,104.5
1998-03-27,105.4,170467.0,106.1,103.9,103.6
1998-03-30,104.0,182667.0,104.6,103.2,103.0
1998-03-31,104.3,386800.0,107.0,105.8,104.3
1998-04-01,105.4,344067.0,105.4,104.1,103.3
1998-04-02,70.0,288333.0,71.38,71.38,69.81
1998-04-03,72.0,304800.0,73.0,71.31,71.19
1998-04-06,70.81,458200.0,71.94,71.0,70.75
1998-04-07,71.06,251200.0,71.25,69.81,69.0
