date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,31.81,449600.0,32.44,32.13,30.88
1998-01-05,32.63,906400.0,33.0,31.0,30.88
1998-01-06,30.88,645000.0,31.0,30.63,30.38
1998-01-07,30.5,872400.0,31.0,30.56,29.94
1998-01-08,30.63,454400.0,31.63,30.97,30.5
1998-01-09,31.0,353600.0,31.13,30.38,29.94
1998-01-12,30.13,658200.0,30.25,30.13,29.5
1998-01-13,30.13,310400.0,31.0,30.81,30.13
1998-01-14,30.88,2186200.0,32.69,32.69,30.88
1998-01-15,32.75,1401800.0,32.81,32.25,31.5
1998-01-16,32.38,894200.0,33.38,33.13,32.25
1998-01-20,33.13,923400.0,33.38,32.81,32.38
1998-01-21,32.63,167200.0,33.0,32.5,32.5
1998-01-22,32.25,305800.0,33.19,32.88,32.25
1998-01-23,32.0,1148600.0,33.5,33.25,31.0
1998-01-26,33.25,332800.0,33.5,32.56,32.5
1998-01-27,32.5,575800.0,32.75,31.75,31.0
1998-01-28,31.75,601400.0,31.88,30.31,30.31
1998-01-29,30.38,766800.0,32.13,31.75,30.38
1998-01-30,31.88,271000.0,32.13,31.06,31.06
1998-02-02,31.25,261800.0,31.63,31.13,30.88
1998-02-03,31.13,308800.0,31.25,30.75,30.56
1998-02-04,30.75,357000.0,30.94,30.38,30.13
1998-02-05,30.63,1511600.0,32.31,30.31,30.25
1998-02-06,30.31,486400.0,32.0,31.75,30.31
1998-02-09,32.06,351200.0,32.44,32.38,31.75
1998-02-10,32.25,753400.0,33.63,33.38,32.13
1998-02-11,33.5,689000.0,34.13,33.75,33.25
1998-02-12,33.75,570400.0,34.13,34.0,33.0
1998-02-13,33.88,148000.0,34.0,33.31,33.31
1998-02-17,33.56,451800.0,33.56,32.81,32.19
1998-02-18,32.63,353600.0,33.13,32.44,32.38
1998-02-19,32.56,333200.0,32.94,32.75,32.44
1998-02-20,32.63,230400.0,33.0,32.63,32.38
1998-02-23,32.5,251400.0,32.75,32.0,31.75
1998-02-24,32.13,431200.0,33.5,33.19,32.13
1998-02-25,33.13,484000.0,33.75,33.5,33.06
1998-02-26,33.5,636200.0,35.06,34.81,33.5
