date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,43.94,200700.0,43.94,43.88,43.63
1998-01-05,43.88,557300.0,44.0,43.88,43.75
1998-01-06,43.75,636200.0,44.19,44.0,43.75
1998-01-07,44.0,718800.0,44.44,44.44,43.81
1998-01-08,44.25,1678300.0,44.25,43.88,43.5
1998-01-09,44.0,369400.0,44.13,43.94,43.75
1998-01-12,43.94,479700.0,44.06,43.94,43.56
1998-01-13,44.0,368000.0,44.06,44.0,43.88
1998-01-14,44.0,306800.0,44.0,43.94,43.75
1998-01-15,43.88,220000.0,43.94,43.69,43.63
1998-01-16,43.69,433800.0,44.31,43.75,43.69
1998-01-20,43.88,225800.0,44.31,44.0,43.81
1998-01-21,43.75,301900.0,44.13,44.13,43.69
1998-01-22,44.0,355800.0,44.25,44.19,43.94
1998-01-23,44.19,131900.0,44.19,43.81,43.75
1998-01-26,43.75,122600.0,43.94,43.81,43.63
1998-01-27,43.69,219800.0,43.81,43.5,43.5
1998-01-28,43.75,268700.0,44.19,43.69,43.63
1998-01-29,43.5,449800.0,43.69,43.25,43.19
1998-01-30,43.13,158100.0,43.13,42.56,42.56
1998-02-02,42.81,130200.0,42.94,42.88,42.81
1998-02-03,42.88,213600.0,42.88,42.63,42.5
1998-02-04,42.63,201700.0,42.69,42.25,42.25
1998-02-05,42.25,323200.0,42.44,41.94,41.88
1998-02-06,41.94,525800.0,42.75,42.44,41.94
1998-02-09,42.69,562600.0,43.0,42.88,42.38
1998-02-10,43.0,206800.0,43.0,42.94,42.75
1998-02-11,42.94,268500.0,43.0,42.81,42.5
1998-02-12,42.94,163200.0,43.19,43.19,42.81
1998-02-13,43.25,119500.0,43.25,43.13,42.88
1998-02-17,43.25,286000.0,43.31,42.94,42.94
1998-02-18,42.94,404400.0,43.25,42.94,42.75
1998-02-19,43.06,213800.0,43.13,42.94,42.94
1998-02-20,43.0,166300.0,43.25,43.13,42.88
1998-02-23,44.0,147200.0,44.0,43.56,43.44
1998-02-24,43.5,184600.0,43.56,43.31,43.0
1998-02-25,43.19,238500.0,44.0,43.69,43.19
1998-02-26,43.63,183600.0,44.19,44.19,43.63
1998-02-27,44.25,167500.0,44.25,44.25,44.13
1998-03-02,44.25,185300.0,44.5,44.31,44.13
1998-03-03,44.44,279900.0,44.75,44.69,44.38
1998-03-04,44.69,94700.0,44.75,44.5,44.31
1998-03-05,44.25,248100.0,44.25,44.13,44.0
1998-03-06,44.13,214100.0,44.13,44.0,43.75
1998-03-09,43.88,106400.0,44.13,44.13,43.75
1998-03-10,44.13,86100.0,44.94,44.75,44.13
1998-03-11,45.0,130500.0,45.0,44.81,44.5
1998-03-12,44.81,120100.0,44.81,44.63,44.19
1998-03-13,44.63,110800.0,44.94,44.88,44.56
1998-03-16,45.0,316100.0,45.0,44.69,44.44
1998-03-17,44.69,197400.0,44.75,44.75,44.44
1998-03-18,44.63,149300.0,44.81,44.81,44.63
1998-03-19,44.88,340100.0,45.31,45.31,44.88
1998-03-20,45.38,573600.0,46.13,45.94,45.31
1998-03-23,45.94,166000.0,46.56,46.25,45.94
1998-03-24,46.19,127900.0,46.5,46.0,45.63
1998-03-25,46.19,451200.0,47.06,47.0,46.19
1998-03-26,47.0,174200.0,47.0,46.31,46.31
1998-03-27,46.38,182300.0,46.69,46.44,46.13
1998-03-30,46.38,132900.0,46.44,46.44,46.25
1998-03-31,46.5,622400.0,47.31,46.94,46.5
1998-04-01,47.06,469200.0,47.06,46.31,46.25
1998-04-02,46.38,291300.0,47.0,46.94,46.31
1998-04-03,46.94,102500.0,46.94,46.75,46.56
1998-04-06,46.88,195300.0,47.19,46.44,46.31
1998-04-07,46.63,150500.0,46.63,46.19,46.0
1998-04-08,46.06,121100.0,46.5,46.5,45.88
1998-04-09,46.44,140700.0,46.69,46.5,46.31
1998-04-13,46.44,231400.0,46.88,45.75,45.44
1998-04-14,45.81,79000.0,46.5,46.31,45.75
1998-04-15,46.31,132300.0,46.38,46.25,45.81
1998-04-16,46.13,283500.0,46.13,45.88,45.56
1998-04-17,45.63,125700.0,46.31,46.25,45.63
1998-04-20,46.19,335700.0,46.5,45.63,45.5
1998-04-21,45.0,573600.0,45.06,45.0,44.63
1998-04-22,45.0,148500.0,45.0,44.5,44.19
1998-04-23,44.5,195400.0,44.5,43.88,43.63
1998-04-24,43.88,323100.0,43.88,43.75,43.63
1998-04-27,43.5,379800.0,43.63,43.44,43.06
1998-04-28,43.44,280700.0,43.5,43.38,43.38
1998-04-29,43.38,316500.0,43.63,43.56,43.31
1998-04-30,43.5,1094800.0,44.0,43.69,43.5
1998-05-01,43.88,573100.0,44.0,43.69,43.63
1998-05-04,43.5,326400.0,43.5,43.31,42.94
1998-05-05,43.19,294100.0,43.19,42.94,42.69
1998-05-06,43.0,119600.0,43.0,42.94,42.88
1998-05-07,42.94,379600.0,43.0,42.94,42.63
1998-05-08,42.81,643800.0,43.25,42.81,42.75
1998-05-11,42.88,272500.0,43.31,42.81,42.69
1998-05-12,42.81,232900.0,42.81,42.63,42.19
1998-05-13,42.75,169200.0,42.94,42.0,42.0
1998-05-14,42.0,147400.0,42.31,42.0,41.81
1998-05-15,42.25,131100.0,42.63,41.5,41.5
1998-05-18,41.5,115900.0,42.0,41.25,41.13
1998-05-19,41.25,177500.0,42.0,41.31,41.25
1998-05-20,41.5,207200.0,41.5,41.5,41.5
1998-05-21,41.5,216400.0,41.56,41.38,41.25
1998-05-22,41.38,296200.0,41.88,41.38,41.38
1998-05-26,41.19,137500.0,41.25,41.13,41.13
1998-05-27,41.0,215100.0,42.0,42.0,40.69
1998-05-28,42.06,410300.0,42.88,42.69,41.56
1998-05-29,42.56,216000.0,43.75,43.56,42.56
1998-06-01,43.5,214700.0,44.5,44.19,43.38
1998-06-02,44.69,202200.0,44.75,44.06,44.06
1998-06-03,44.06,389000.0,44.63,44.31,44.06
1998-06-04,44.44,235400.0,44.56,44.44,44.13
1998-06-05,44.44,170600.0,44.44,44.38,44.06
1998-06-08,44.38,445600.0,44.88,44.38,44.25
1998-06-09,44.38,110000.0,44.94,44.69,44.38
1998-06-10,44.62,242900.0,45.5,44.5,44.38
1998-06-11,44.5,167300.0,44.63,44.5,44.13
1998-06-12,44.5,187900.0,44.94,44.94,44.5
1998-06-15,45.0,345200.0,45.75,45.06,44.81
1998-06-16,45.19,363800.0,45.19,44.88,44.81
1998-06-17,44.88,212900.0,44.88,44.75,44.56
