date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,54.19,463600.0,55.31,54.25,54.19
1998-01-05,54.06,529700.0,54.38,54.0,53.5
1998-01-06,54.0,816400.0,54.69,54.44,53.75
1998-01-07,53.63,241100.0,53.94,53.0,52.88
1998-01-08,52.88,198300.0,53.44,53.06,52.69
1998-01-09,53.06,267600.0,53.69,52.31,52.25
1998-01-12,51.5,388200.0,52.94,52.88,50.56
1998-01-13,52.94,236800.0,53.94,53.94,52.63
1998-01-14,54.0,474000.0,55.06,55.06,54.0
1998-01-15,56.75,888600.0,59.56,59.56,56.44
1998-01-16,59.75,764900.0,60.5,59.69,59.0
1998-01-20,59.94,460100.0,60.94,60.75,59.0
1998-01-21,60.19,323200.0,60.19,59.88,58.75
1998-01-22,59.63,505200.0,59.63,58.06,57.88
1998-01-23,58.25,227700.0,58.56,57.25,57.0
1998-01-26,57.5,271200.0,59.56,59.31,57.5
1998-01-27,59.31,500900.0,62.25,61.56,59.19
1998-01-28,61.56,673100.0,64.5,63.06,61.56
1998-01-29,63.19,384300.0,66.88,65.31,62.06
1998-01-30,65.56,299300.0,66.13,65.13,65.0
1998-02-02,65.13,227700.0,66.38,66.19,65.13
1998-02-03,66.44,258600.0,66.88,65.0,64.88
1998-02-04,64.81,235000.0,65.5,65.13,64.81
1998-02-05,65.31,155200.0,65.31,64.31,64.13
1998-02-06,64.25,172900.0,65.0,64.63,64.25
1998-02-09,64.81,305600.0,67.38,67.0,64.75
1998-02-10,67.19,196900.0,67.56,67.25,66.69
1998-02-11,67.0,169300.0,67.13,66.75,66.63
1998-02-12,66.88,214500.0,66.94,66.0,65.81
1998-02-13,65.94,142300.0,66.25,64.88,64.75
1998-02-17,65.31,576800.0,69.63,68.13,65.31
1998-02-18,68.5,498200.0,70.38,69.5,68.5
1998-02-19,69.5,193000.0,70.19,70.06,69.06
1998-02-20,70.0,238600.0,70.19,69.44,69.19
1998-02-23,69.56,212100.0,69.75,67.63,67.38
1998-02-24,67.81,124500.0,68.25,67.69,67.63
1998-02-25,67.69,202900.0,67.69,67.44,66.75
1998-02-26,67.44,412700.0,68.5,67.44,67.44
1998-02-27,67.25,288900.0,67.44,67.19,65.81
1998-03-02,67.25,152900.0,67.44,67.0,66.88
1998-03-03,66.94,119500.0,67.13,67.0,66.5
1998-03-04,66.75,203400.0,67.13,65.88,65.5
1998-03-05,64.13,340700.0,65.25,64.56,64.13
1998-03-06,64.56,365900.0,69.13,69.06,64.56
1998-03-09,68.88,331200.0,70.44,69.13,68.5
1998-03-10,69.38,233800.0,71.5,71.25,69.25
1998-03-11,72.5,309600.0,74.44,74.19,72.44
1998-03-12,74.06,455900.0,77.63,77.31,74.06
1998-03-13,77.31,315600.0,79.19,77.69,75.94
1998-03-16,77.63,293100.0,78.0,76.81,76.44
1998-03-17,76.88,219700.0,76.94,76.5,76.0
1998-03-18,76.38,176100.0,77.63,77.19,76.0
1998-03-19,77.44,120100.0,78.5,77.38,77.31
1998-03-20,76.63,90200.0,77.38,77.19,76.31
1998-03-23,76.63,93000.0,77.31,76.13,76.13
1998-03-24,76.13,152800.0,77.88,77.44,76.13
1998-03-25,77.38,267300.0,79.19,76.5,76.5
1998-03-26,76.75,553600.0,81.38,80.75,76.75
1998-03-27,81.25,541100.0,81.88,78.38,78.38
1998-03-30,78.5,255400.0,79.88,79.06,78.5
1998-03-31,79.69,209000.0,80.19,78.88,78.81
1998-04-01,82.75,532600.0,85.0,84.81,82.31
1998-04-02,85.63,291100.0,86.5,84.75,84.75
1998-04-03,85.0,448400.0,87.69,87.25,84.56
1998-04-06,87.25,389200.0,89.56,89.06,87.25
1998-04-07,89.75,451700.0,89.94,87.94,87.25
1998-04-08,87.94,208000.0,88.31,86.31,85.5
1998-04-09,86.31,343200.0,88.19,87.69,86.31
1998-04-13,87.94,465300.0,90.44,90.38,87.88
1998-04-14,90.5,372800.0,91.25,90.0,89.0
1998-04-15,90.0,690400.0,90.19,88.25,87.75
1998-04-16,93.0,1088500.0,97.31,97.31,92.5
1998-04-17,97.0,555800.0,100.7,99.69,96.0
1998-04-20,99.81,489500.0,100.4,99.5,99.25
1998-04-21,99.75,378700.0,100.9,100.9,99.5
1998-04-22,100.8,473900.0,104.9,104.2,100.7
1998-04-23,104.0,468900.0,104.2,99.63,99.13
1998-04-24,99.56,513600.0,101.8,96.94,96.0
1998-04-27,92.0,826200.0,92.69,91.38,87.13
1998-04-28,93.0,569000.0,94.56,91.75,91.0
1998-04-29,91.81,152100.0,92.44,92.13,91.81
1998-04-30,95.0,546700.0,96.25,96.06,94.0
1998-05-01,96.13,206300.0,97.31,96.75,96.13
1998-05-04,96.69,359400.0,98.63,97.88,96.69
1998-05-05,97.81,223000.0,97.81,97.13,95.38
1998-05-06,97.38,308400.0,97.94,94.5,93.0
1998-05-07,94.56,172200.0,94.75,93.56,92.75
1998-05-08,93.75,166300.0,96.13,95.13,93.69
1998-05-11,95.13,239700.0,97.5,95.44,95.13
1998-05-12,95.38,174000.0,96.31,96.0,94.25
1998-05-13,96.0,1501800.0,99.75,98.63,96.0
1998-05-14,98.63,408300.0,100.3,99.0,97.75
1998-05-15,99.0,126500.0,99.5,98.94,98.56
1998-05-18,99.44,277900.0,100.9,100.6,99.44
1998-05-19,100.7,341500.0,102.3,100.9,100.7
1998-05-20,101.25,242500.0,101.69,101.31,99.75
1998-05-21,101.8,240300.0,102.6,102.3,101.7
1998-05-22,102.3,195100.0,103.3,101.7,101.7
1998-05-26,101.8,286100.0,102.9,99.0,98.5
1998-05-27,97.75,461400.0,99.5,99.44,97.69
1998-05-28,99.19,321200.0,100.8,98.75,98.63
1998-05-29,99.25,112400.0,100.0,99.81,99.0
1998-06-01,100.0,153500.0,100.0,99.44,98.87
1998-06-02,99.88,194600.0,100.4,99.56,99.0
1998-06-03,99.69,512300.0,102.5,100.6,99.69
1998-06-04,100.8,388000.0,102.6,101.8,99.5
1998-06-05,101.9,372700.0,102.6,102.5,101.8
1998-06-08,102.9,355700.0,102.9,102.1,101.4
1998-06-09,102.0,268500.0,102.1,101.9,101.6
1998-06-10,101.56,215400.0,101.56,101.38,100.75
1998-06-11,101.4,188500.0,101.6,101.0,101.0
1998-06-12,101.6,1018600.0,104.9,103.4,101.6
1998-06-15,103.3,529200.0,103.3,101.3,101.3
1998-06-16,101.5,317900.0,101.9,101.3,99.75
1998-06-17,101.6,292800.0,104.8,104.3,101.6
1998-06-18,104.1,241600.0,107.5,107.1,103.9
1998-06-19,106.0,445800.0,106.4,105.4,104.6
1998-06-22,106.8,302500.0,109.4,108.7,106.4
1998-06-23,109.7,215600.0,110.6,110.6,108.8
1998-06-24,116.5,963000.0,116.8,114.9,114.5
1998-06-25,115.1,800700.0,116.5,115.9,114.9
1998-06-26,116.4,388000.0,117.4,116.9,116.0
1998-06-29,116.8,589800.0,119.6,119.6,116.8
1998-06-30,120.5,3860400.0,125.4,124.2,120.0
1998-07-01,123.8,1065800.0,125.5,125.4,122.0
1998-07-02,125.5,642500.0,126.4,123.0,122.0
1998-07-06,123.0,413200.0,123.9,123.1,122.7
1998-07-07,123.4,429400.0,125.6,124.8,122.0
1998-07-08,124.9,475200.0,127.3,127.3,124.9
1998-07-09,127.1,854200.0,129.9,128.1,126.4
1998-07-10,128.0,632400.0,128.4,127.0,125.4
1998-07-13,126.3,300700.0,126.3,125.6,124.9
1998-07-14,125.9,495800.0,128.8,128.6,125.1
1998-07-15,128.6,305400.0,128.6,127.1,126.6
1998-07-16,128.1,787500.0,129.4,124.7,124.6
1998-07-17,124.7,936200.0,124.9,124.1,120.4
1998-07-20,124.0,450300.0,124.0,122.7,122.1
1998-07-21,122.7,402800.0,122.7,118.8,118.8
1998-07-22,117.3,547000.0,117.4,116.3,114.5
1998-07-23,116.0,264100.0,118.3,115.9,115.3
1998-07-24,116.1,402200.0,116.4,113.0,111.1
1998-07-27,112.0,432900.0,113.9,113.9,110.6
1998-07-28,114.1,540200.0,114.4,110.0,109.5
1998-07-29,110.1,321200.0,110.5,110.1,109.4
1998-07-30,111.3,395300.0,115.9,115.3,110.8
1998-07-31,115.8,381500.0,117.0,116.1,114.1
1998-08-03,115.1,313700.0,115.3,112.8,112.8
1998-08-04,113.2,488600.0,113.9,109.9,108.8
1998-08-05,111.5,752200.0,113.4,110.6,109.6
1998-08-06,110.6,286100.0,112.8,112.3,110.0
1998-08-07,112.6,264600.0,115.7,113.5,112.3
1998-08-10,113.3,363400.0,117.0,116.6,113.0
1998-08-11,115.0,472000.0,115.9,114.1,113.6
1998-08-12,115.0,427900.0,115.9,115.1,113.6
1998-08-13,114.3,225500.0,115.6,114.1,114.0
1998-08-14,114.8,487000.0,115.8,114.1,113.6
1998-08-17,114.1,340600.0,115.6,115.4,114.1
1998-08-18,115.6,468900.0,118.3,118.1,115.5
1998-08-19,118.1,399700.0,118.8,117.9,117.1
1998-08-20,117.9,306700.0,119.8,118.6,116.9
1998-08-21,118.1,558200.0,118.1,115.6,112.5
1998-08-24,115.5,264600.0,118.0,116.4,115.5
1998-08-25,117.3,394600.0,120.4,119.4,116.9
1998-08-26,118.4,340700.0,118.6,116.9,116.7
1998-08-27,116.7,1139700.0,116.8,107.4,105.8
1998-08-28,107.6,1485100.0,108.0,104.4,100.3
1998-08-31,104.7,1988900.0,105.5,87.5,87.0
1998-09-01,89.44,1255600.0,93.56,93.06,83.25
1998-09-02,92.81,1059700.0,94.56,93.44,91.0
1998-09-03,92.5,945200.0,93.5,91.0,90.5
1998-09-04,91.0,833900.0,91.13,86.56,83.75
1998-09-08,95.0,996600.0,95.0,93.0,90.06
1998-09-09,93.0,654700.0,95.0,90.06,90.06
1998-09-10,88.5,797100.0,88.5,84.0,83.0
1998-09-11,84.25,1304500.0,92.25,91.5,83.5
1998-09-14,95.0,699500.0,96.94,94.06,94.0
1998-09-15,96.0,1398400.0,106.2,104.4,95.75
1998-09-16,104.7,1218000.0,109.6,109.5,104.6
1998-09-17,105.5,766700.0,105.8,103.9,101.9
1998-09-18,104.5,521900.0,107.6,107.0,104.1
1998-09-21,104.0,671100.0,108.0,107.4,103.9
1998-09-22,107.7,513300.0,111.5,109.2,107.7
1998-09-23,109.4,580900.0,115.0,114.2,109.4
1998-09-24,114.2,748800.0,115.6,112.8,112.3
