date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,19.06,41800.0,19.13,19.0,19.0
1998-01-05,19.0,83267.0,19.25,18.5,18.31
1998-01-06,18.31,83467.0,18.31,17.75,17.5
1998-01-07,17.75,78067.0,18.31,18.31,17.75
1998-01-08,18.13,35000.0,18.13,18.0,17.81
1998-01-09,17.94,61200.0,17.94,17.38,17.38
1998-01-12,17.25,50267.0,17.25,17.06,16.88
1998-01-13,17.13,44067.0,18.06,18.06,17.13
1998-01-14,18.06,21667.0,18.63,18.63,18.06
1998-01-15,18.5,63600.0,18.63,18.38,18.13
1998-01-16,18.38,49600.0,19.38,19.38,18.38
1998-01-20,19.5,138000.0,21.0,20.94,19.5
1998-01-21,20.81,100667.0,20.81,19.63,19.56
1998-01-22,19.38,56000.0,19.44,18.31,18.06
1998-01-23,18.31,37267.0,18.81,18.75,18.31
1998-01-26,18.69,20667.0,18.81,18.81,18.56
1998-01-27,18.56,6867.0,18.94,18.75,18.56
1998-01-28,18.94,140067.0,20.0,19.94,18.94
1998-01-29,19.69,40200.0,20.31,20.0,19.69
1998-01-30,20.0,78000.0,20.13,19.81,19.81
1998-02-02,19.88,85467.0,20.75,19.75,19.59
1998-02-03,19.75,77067.0,20.25,20.25,19.75
1998-02-04,20.25,33667.0,20.31,20.31,20.25
1998-02-05,20.38,147467.0,20.38,19.94,19.88
1998-02-06,20.25,65200.0,20.25,20.25,20.0
1998-02-09,20.25,193800.0,20.25,19.81,19.81
1998-02-10,19.88,83000.0,20.38,20.31,19.88
1998-02-11,20.38,61000.0,20.38,19.88,19.88
1998-02-12,20.0,125400.0,20.0,20.0,19.75
1998-02-13,20.0,52867.0,20.19,20.13,20.0
1998-02-17,20.06,59667.0,20.31,20.31,20.06
1998-02-18,20.25,40400.0,20.5,20.5,20.19
1998-02-19,20.5,38600.0,20.63,20.44,20.38
1998-02-20,20.44,29000.0,21.06,21.06,20.44
1998-02-23,20.5,71667.0,20.5,20.13,19.88
1998-02-24,20.0,60800.0,20.0,20.0,19.75
1998-02-25,20.06,102800.0,20.13,20.0,19.94
1998-02-26,20.06,67600.0,20.81,20.69,19.94
1998-02-27,20.69,40067.0,21.0,21.0,20.69
1998-03-02,21.06,38267.0,21.44,21.19,21.06
1998-03-03,21.25,55000.0,21.5,21.44,21.0
1998-03-04,21.44,91400.0,21.81,21.69,21.38
1998-03-05,21.56,69067.0,21.63,21.31,21.31
1998-03-06,21.31,36067.0,21.63,21.63,21.25
1998-03-09,21.88,123867.0,21.88,21.31,21.19
1998-03-10,21.31,116467.0,21.63,21.63,21.31
1998-03-11,21.5,57467.0,21.69,21.13,21.13
1998-03-12,21.13,27000.0,21.13,21.06,20.75
1998-03-13,21.13,34667.0,21.19,21.0,21.0
1998-03-16,21.0,44200.0,21.25,21.19,21.0
1998-03-17,21.13,92200.0,21.19,20.0,19.81
1998-03-18,20.13,86267.0,20.81,20.81,20.06
1998-03-19,20.81,79600.0,20.94,20.94,20.38
1998-03-20,20.81,81200.0,21.25,21.13,20.81
1998-03-23,21.31,186600.0,22.56,21.75,21.31
1998-03-24,21.31,70067.0,21.75,21.69,21.25
1998-03-25,21.69,87600.0,21.81,21.0,20.75
1998-03-26,21.0,31867.0,21.19,21.19,20.75
1998-03-27,21.06,51000.0,21.44,21.13,21.0
1998-03-30,21.25,34000.0,21.69,21.25,21.19
1998-03-31,23.0,337800.0,23.0,22.63,21.94
1998-04-01,22.63,101800.0,23.06,23.0,22.31
1998-04-02,23.0,46467.0,23.06,22.75,22.56
1998-04-03,22.94,39667.0,23.0,22.69,22.69
1998-04-06,22.88,274667.0,23.38,22.94,22.88
1998-04-07,23.0,125867.0,23.0,22.31,22.25
1998-04-08,22.31,37200.0,22.75,22.5,22.31
1998-04-09,22.56,78267.0,22.75,22.63,22.44
1998-04-13,22.69,40467.0,22.69,22.38,22.38
1998-04-14,22.38,83800.0,22.81,22.75,22.38
1998-04-15,22.81,88667.0,23.06,22.63,22.5
1998-04-16,22.5,40000.0,22.5,22.19,22.13
1998-04-17,22.19,53600.0,22.81,22.81,22.13
1998-04-20,22.88,46667.0,23.31,23.06,22.81
1998-04-21,23.13,99800.0,23.88,23.88,23.13
1998-04-22,23.75,82067.0,24.0,23.5,23.38
1998-04-23,23.44,106200.0,23.44,23.13,23.0
1998-04-24,23.19,49400.0,23.38,23.13,22.81
1998-04-27,23.0,171267.0,23.0,22.19,21.81
1998-04-28,22.5,42867.0,22.94,22.69,22.5
1998-04-29,22.69,64000.0,23.44,23.31,22.69
1998-04-30,23.06,145867.0,23.5,23.44,23.06
1998-05-01,23.31,34400.0,23.75,23.69,23.31
1998-05-04,23.81,66467.0,24.0,23.69,23.69
1998-05-05,23.56,43400.0,23.63,23.63,23.19
1998-05-06,23.5,73000.0,23.5,23.25,23.0
1998-05-07,23.25,29200.0,23.31,23.13,23.0
1998-05-08,23.13,16400.0,23.38,23.38,23.0
1998-05-11,23.38,24067.0,23.38,22.69,22.5
1998-05-12,22.81,47200.0,22.88,22.25,22.19
1998-05-13,22.31,22467.0,22.38,22.19,21.94
1998-05-14,22.0,23467.0,22.13,21.81,21.75
1998-05-15,22.06,47067.0,22.13,21.5,21.5
1998-05-18,21.88,35067.0,21.88,21.31,21.25
1998-05-19,21.44,11267.0,21.81,21.75,21.44
