date,1. open,5. volume,2. high,4. close,3. low
2001-06-15,21.08,4200.0,24.0,24.0,21.08
2001-06-18,24.48,10900.0,25.32,25.08,24.48
2001-06-19,25.48,24600.0,26.72,26.56,25.48
2001-06-20,26.56,56000.0,27.08,26.88,26.56
2001-06-21,26.72,36700.0,26.72,25.4,25.4
2001-06-22,25.24,55200.0,25.24,22.88,22.88
2001-06-25,23.0,119000.0,23.24,22.24,22.24
2001-06-26,22.48,278300.0,23.08,23.0,22.4
2001-06-27,23.24,219600.0,23.64,22.72,22.56
2001-06-28,22.96,61900.0,24.0,23.56,22.8
2001-06-29,23.64,119200.0,24.16,23.48,23.48
2001-07-02,23.51,2011100.0,24.24,23.66,23.45
2001-07-03,23.41,346300.0,23.41,23.15,22.9
2001-07-05,23.35,725800.0,23.4,22.35,21.7
2001-07-06,22.4,772600.0,22.4,21.72,21.46
2001-07-09,21.52,855600.0,22.2,21.7,21.3
2001-07-10,22.0,532200.0,22.2,21.26,21.25
2001-07-11,21.26,1028100.0,21.74,20.74,20.5
2001-07-12,20.5,980700.0,20.99,20.76,20.3
2001-07-13,20.65,502500.0,20.9,20.1,19.75
2001-07-16,19.8,597900.0,20.01,19.45,19.4
2001-07-17,19.46,1624600.0,20.2,20.16,19.0
2001-07-18,19.97,1224600.0,21.5,20.97,19.7
2001-07-19,20.93,1035700.0,21.6,21.6,20.9
2001-07-20,21.5,517300.0,22.55,21.59,21.5
2001-07-23,21.5,306400.0,21.54,20.75,20.75
2001-07-24,21.1,1202400.0,21.2,20.59,20.51
2001-07-25,20.7,637900.0,21.66,21.66,20.5
2001-07-26,21.6,588100.0,21.71,21.5,21.05
2001-07-27,21.5,355000.0,22.12,21.11,21.05
2001-07-30,21.12,744500.0,21.47,20.15,20.1
2001-07-31,20.2,554400.0,21.2,20.7,20.15
2001-08-01,20.5,1036600.0,21.25,20.85,20.45
2001-08-02,21.01,787200.0,21.55,21.14,21.01
2001-08-03,21.14,367500.0,21.85,21.31,21.11
2001-08-06,21.06,406200.0,21.42,21.1,21.06
2001-08-07,21.01,653100.0,21.4,21.05,20.9
2001-08-08,21.01,444000.0,21.09,20.81,20.75
2001-08-09,20.8,371800.0,21.0,20.87,20.7
2001-08-10,20.75,624200.0,20.8,20.75,20.5
2001-08-13,20.75,441700.0,21.0,20.04,19.91
2001-08-14,20.15,777500.0,20.24,19.85,19.56
2001-08-15,19.9,626800.0,19.9,19.36,19.12
2001-08-16,19.26,483900.0,20.12,19.75,19.26
2001-08-17,19.55,238500.0,19.9,19.88,19.55
2001-08-20,19.81,254800.0,20.06,19.59,19.5
2001-08-21,19.59,240700.0,20.18,19.64,19.56
2001-08-22,19.64,398600.0,20.23,19.75,19.62
2001-08-23,19.7,332600.0,19.95,19.86,19.6
2001-08-24,19.82,374100.0,20.04,19.65,19.52
2001-08-27,19.55,569300.0,19.78,19.49,19.49
2001-08-28,19.5,635100.0,19.67,19.5,19.41
2001-08-29,19.5,317600.0,19.75,19.38,19.31
2001-08-30,19.3,1133200.0,19.87,19.8,19.3
2001-08-31,20.05,863600.0,20.4,20.32,20.01
2001-09-04,20.35,381400.0,20.89,20.31,20.06
2001-09-05,20.15,663600.0,20.56,20.08,19.91
2001-09-06,19.83,449500.0,20.05,19.75,19.54
2001-09-07,19.6,707200.0,19.73,18.61,18.29
2001-09-10,18.21,399100.0,19.3,19.05,18.21
2001-09-17,14.4,1121300.0,17.75,15.5,14.4
2001-09-18,15.6,530000.0,15.88,14.8,14.75
2001-09-19,14.68,1774000.0,14.68,13.1,11.8
2001-09-20,13.25,1847400.0,13.25,12.95,12.7
2001-09-21,14.05,1937800.0,14.05,13.45,12.2
2001-09-24,13.55,1262300.0,14.25,14.25,13.55
2001-09-25,14.15,789400.0,14.49,14.19,13.0
2001-09-26,14.8,239800.0,14.8,13.75,13.75
2001-09-27,14.25,368700.0,14.25,13.49,13.2
2001-09-28,14.15,572500.0,14.49,14.2,13.75
2001-10-01,14.3,537300.0,15.1,14.7,14.05
2001-10-02,14.8,383600.0,15.4,15.4,14.0
2001-10-03,15.4,312800.0,15.4,15.14,14.31
2001-10-04,15.59,406800.0,15.59,15.41,14.7
2001-10-05,15.6,298700.0,15.6,15.52,15.0
2001-10-08,16.34,409900.0,16.34,15.6,15.05
2001-10-09,16.0,350800.0,16.0,15.18,15.01
2001-10-10,15.2,674400.0,15.6,15.24,15.06
2001-10-11,15.49,506700.0,15.7,15.06,14.5
2001-10-12,15.1,350600.0,15.31,15.24,14.75
2001-10-15,15.22,394700.0,15.5,15.3,15.15
2001-10-16,15.4,577500.0,15.4,15.1,14.9
2001-10-17,15.1,852900.0,15.1,15.01,14.9
2001-10-18,14.8,470000.0,15.19,14.76,14.72
2001-10-19,14.76,260900.0,15.15,14.99,14.76
2001-10-22,14.89,476100.0,15.23,14.9,14.77
2001-10-23,14.9,372500.0,15.6,15.06,14.72
2001-10-24,15.25,527200.0,15.25,14.65,14.21
2001-10-25,14.65,295100.0,15.0,14.74,14.4
2001-10-26,14.8,423700.0,14.8,14.67,14.4
2001-10-29,14.63,209200.0,14.88,14.49,14.01
2001-10-30,14.58,765700.0,14.58,14.11,14.01
2001-10-31,14.05,789800.0,14.23,13.5,12.99
2001-11-01,13.6,487600.0,14.0,13.85,13.48
2001-11-02,13.82,815000.0,14.15,13.78,13.78
2001-11-05,13.9,706200.0,14.2,13.99,13.65
