date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,44.63,1725900.0,44.75,44.0,43.5
1998-01-05,43.81,1083800.0,45.0,44.88,43.63
1998-01-06,44.75,1688200.0,44.88,43.88,43.88
1998-01-07,43.88,1414800.0,44.38,43.44,42.5
1998-01-08,43.44,3642200.0,45.25,44.81,43.44
1998-01-09,44.94,2170300.0,45.0,43.5,42.75
1998-01-12,42.81,2036200.0,43.88,43.75,42.25
1998-01-13,44.0,1237100.0,44.0,43.56,43.38
1998-01-14,43.88,2056700.0,44.13,43.31,43.31
1998-01-15,43.5,635300.0,43.5,43.0,42.5
1998-01-16,43.69,1179200.0,44.5,44.5,43.25
1998-01-20,44.38,1208600.0,45.5,45.5,44.13
1998-01-21,45.13,2889900.0,45.63,44.5,44.13
1998-01-22,44.13,709000.0,44.75,44.63,43.75
1998-01-23,44.94,1285200.0,45.0,43.38,43.13
1998-01-26,43.38,1522200.0,43.88,42.13,42.0
1998-01-27,42.19,1799600.0,44.25,43.56,42.0
1998-01-28,43.94,1269100.0,44.0,43.25,42.5
1998-01-29,43.0,1485200.0,43.5,43.44,43.0
1998-01-30,43.63,808500.0,43.88,43.38,43.25
1998-02-02,43.5,993400.0,44.63,44.13,43.38
1998-02-03,44.13,602100.0,45.0,44.69,43.88
1998-02-04,44.56,987000.0,46.25,45.88,44.25
1998-02-05,46.13,2090400.0,47.13,45.5,44.88
1998-02-06,45.75,1137400.0,46.75,46.63,45.5
1998-02-09,46.25,1328500.0,46.31,44.69,44.5
1998-02-10,44.88,1409500.0,46.19,45.0,44.56
1998-02-11,45.13,1046200.0,45.94,44.75,44.75
1998-02-12,44.88,1012600.0,46.13,45.38,44.38
1998-02-13,45.25,463900.0,45.94,45.5,44.75
1998-02-17,45.75,860600.0,46.19,45.75,45.69
1998-02-18,45.63,1148400.0,46.94,46.81,45.5
1998-02-19,46.88,796900.0,46.88,45.75,45.5
1998-02-20,45.94,1323500.0,46.75,46.5,44.75
1998-02-23,46.75,2760800.0,49.25,48.88,46.38
1998-02-24,48.75,2614300.0,50.25,49.38,48.5
1998-02-25,49.5,2405100.0,49.94,49.75,48.81
1998-02-26,49.44,1996900.0,50.75,50.5,48.81
1998-02-27,50.75,2889200.0,50.75,48.88,48.88
