date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,57.94,426100.0,59.44,59.38,57.75
1998-01-05,59.13,539000.0,59.44,58.69,57.88
1998-01-06,58.44,760900.0,58.44,56.56,56.06
1998-01-07,55.63,1071300.0,56.06,55.75,55.25
1998-01-08,55.75,772100.0,55.94,55.38,55.13
1998-01-09,55.25,817900.0,55.69,53.0,52.94
1998-01-12,52.75,950200.0,55.44,55.44,52.69
1998-01-13,55.69,438500.0,55.69,55.0,54.13
1998-01-14,55.06,518400.0,55.13,55.13,53.5
1998-01-15,54.94,414600.0,54.94,53.94,53.81
1998-01-16,54.06,592700.0,55.13,54.94,53.88
1998-01-20,55.0,541900.0,55.13,55.06,54.44
1998-01-21,55.13,585300.0,55.63,54.38,53.63
1998-01-22,54.13,494800.0,54.5,53.25,53.25
1998-01-23,53.38,795000.0,54.38,54.19,52.69
1998-01-26,54.44,606300.0,54.75,54.31,53.63
1998-01-27,54.31,633800.0,55.19,54.69,54.25
1998-01-28,55.0,425000.0,55.38,54.81,54.44
1998-01-29,54.81,579700.0,56.31,55.75,54.56
1998-01-30,55.5,935600.0,55.69,53.5,53.5
1998-02-02,53.69,851700.0,55.5,55.0,53.69
1998-02-03,54.88,979300.0,54.94,54.75,53.81
1998-02-04,54.75,833200.0,55.94,55.06,54.56
1998-02-05,55.19,619600.0,55.88,55.81,55.0
1998-02-06,56.0,521400.0,56.44,55.88,55.63
1998-02-09,56.13,1250600.0,56.13,54.5,54.25
1998-02-10,54.63,2386100.0,54.81,54.69,53.88
1998-02-11,54.69,803400.0,55.56,55.44,54.5
1998-02-12,55.44,634300.0,55.5,55.38,54.56
1998-02-13,55.13,406800.0,55.38,55.19,54.88
1998-02-17,55.5,766000.0,55.81,54.56,54.31
1998-02-18,53.25,1712900.0,55.31,55.06,53.25
1998-02-19,55.94,841900.0,55.94,55.06,54.94
1998-02-20,55.75,1216700.0,56.88,56.63,55.31
1998-02-23,57.25,744100.0,57.56,57.0,56.69
1998-02-24,56.81,699400.0,57.0,56.69,56.5
1998-02-25,57.0,566800.0,58.25,57.81,56.94
1998-02-26,58.0,615900.0,58.44,58.19,57.81
1998-02-27,58.06,424900.0,58.44,58.06,58.0
1998-03-02,58.0,380000.0,58.88,58.25,57.88
1998-03-03,58.38,468000.0,58.94,58.5,58.25
1998-03-04,58.13,472700.0,58.5,58.38,58.06
1998-03-05,58.13,453100.0,58.44,58.06,58.06
1998-03-06,58.31,405100.0,58.88,58.88,58.19
1998-03-09,58.5,346600.0,59.0,58.94,58.31
1998-03-10,58.81,503500.0,58.88,58.44,58.31
1998-03-11,58.56,368500.0,58.75,58.5,58.13
1998-03-12,58.25,444800.0,59.38,59.31,58.06
1998-03-13,59.31,469900.0,60.0,59.88,58.94
1998-03-16,58.94,735600.0,60.81,60.38,58.94
1998-03-17,60.13,861100.0,60.44,59.5,59.5
1998-03-18,59.44,349800.0,60.56,60.31,59.38
1998-03-19,60.44,317500.0,61.38,60.94,60.38
1998-03-20,61.69,670700.0,62.5,61.81,60.75
1998-03-23,61.0,531300.0,62.88,62.75,61.0
1998-03-24,62.75,315500.0,62.75,61.81,61.44
1998-03-25,62.19,372500.0,62.41,61.44,60.81
1998-03-26,61.19,588400.0,62.25,60.75,60.69
1998-03-27,60.75,948100.0,60.81,59.44,59.38
1998-03-30,59.31,586000.0,60.0,59.69,59.06
1998-03-31,56.94,1002000.0,57.13,56.75,56.5
1998-04-01,56.75,679000.0,56.94,55.81,55.69
1998-04-02,55.88,761100.0,56.0,56.0,55.38
1998-04-03,56.0,707700.0,56.06,54.69,54.31
1998-04-06,55.19,777500.0,55.38,53.94,53.88
1998-04-07,53.0,723100.0,53.63,53.38,52.5
1998-04-08,53.13,789900.0,53.31,52.38,52.31
1998-04-09,52.88,617300.0,53.44,52.81,52.56
1998-04-13,52.94,860400.0,52.94,51.94,51.5
1998-04-14,52.0,947600.0,52.63,52.44,52.0
1998-04-15,52.44,751400.0,52.5,51.75,51.56
1998-04-16,51.5,902200.0,51.56,51.25,50.19
1998-04-17,51.25,729700.0,53.06,52.5,51.25
1998-04-20,52.56,637500.0,53.38,52.38,52.06
1998-04-21,52.31,702600.0,52.56,51.31,51.13
1998-04-22,51.63,605600.0,52.0,51.06,51.06
1998-04-23,50.81,733800.0,51.69,50.56,50.31
1998-04-24,50.81,700100.0,51.44,49.88,49.88
