date,1. open,5. volume,2. high,4. close,3. low
2004-06-23,15.0,10893600.0,17.3,17.2,14.75
2004-06-24,17.55,2221800.0,17.69,16.76,16.5
2004-06-25,16.51,1677500.0,16.75,15.8,15.79
2004-06-28,16.0,567700.0,16.21,16.0,15.436
2004-06-29,16.0,528000.0,16.7,16.4,15.83
2004-06-30,16.4,521900.0,16.94,16.07,16.03
2004-07-01,16.08,438700.0,16.2,16.03,15.9
2004-07-02,16.1,248300.0,16.98,16.98,16.05
2004-07-06,16.93,304200.0,17.0,17.0,16.48
2004-07-07,16.9,446900.0,16.9,16.31,16.05
2004-07-08,16.31,544800.0,16.31,15.74,15.66
2004-07-09,15.94,149200.0,16.57,16.4,15.9
2004-07-12,16.6,195200.0,16.83,16.75,16.15
2004-07-13,16.74,418500.0,16.74,16.08,16.08
2004-07-14,16.05,591500.0,16.05,15.65,15.58
2004-07-15,15.75,451500.0,15.8,15.34,14.94
2004-07-16,15.4,819700.0,16.4,16.0,14.96
2004-07-19,16.05,238700.0,16.17,16.01,15.83
2004-07-20,16.01,561300.0,16.18,16.06,15.53
2004-07-21,16.1,6353800.0,16.1,11.7,11.05
2004-07-22,11.55,2456200.0,13.18,12.98,11.3
2004-07-23,12.95,418600.0,13.5,13.04,12.75
2004-07-26,13.55,321500.0,13.55,13.28,12.88
2004-07-27,13.38,187800.0,13.43,13.14,13.1
2004-07-28,13.05,383700.0,13.22,12.99,12.6
2004-07-29,13.0,227000.0,13.35,12.96,12.95
2004-07-30,12.96,203800.0,13.2,13.01,12.55
2004-08-02,12.98,324400.0,13.08,12.81,12.57
2004-08-03,12.8,736100.0,13.09,12.13,11.99
2004-08-04,12.13,686700.0,12.15,11.98,11.95
2004-08-05,11.99,757600.0,11.99,10.9,10.68
2004-08-06,10.9,449300.0,11.0,10.77,10.71
2004-08-09,10.95,280400.0,11.05,10.99,10.86
2004-08-10,11.0,183300.0,11.04,11.0,10.88
2004-08-11,10.95,157100.0,10.95,10.62,10.59
2004-08-12,10.72,394500.0,10.73,9.99,9.92
2004-08-13,9.99,624000.0,10.05,9.59,9.47
2004-08-16,9.6,542800.0,9.85,9.72,9.0
2004-08-17,9.88,742000.0,10.99,10.97,9.88
2004-08-18,10.9,424400.0,12.15,11.95,10.68
2004-08-19,11.95,327400.0,12.25,12.17,11.7
2004-08-20,12.5,1008700.0,13.2,12.6,11.89
2004-08-23,12.7,281900.0,12.95,12.5,12.36
2004-08-24,12.6,268100.0,12.78,12.77,12.42
2004-08-25,12.8,300200.0,13.05,12.96,12.5
2004-08-26,12.97,117800.0,13.0,12.9,12.81
2004-08-27,13.0,115900.0,13.21,13.15,12.9
2004-08-30,13.22,151500.0,13.26,13.17,13.06
2004-08-31,13.2,218600.0,13.25,13.0,12.7
2004-09-01,13.2,128200.0,13.33,13.33,13.16
2004-09-02,13.28,249700.0,13.97,13.89,13.28
2004-09-03,13.9,231000.0,13.94,13.75,13.62
2004-09-07,13.76,298000.0,13.76,13.43,13.4
2004-09-08,13.33,137500.0,13.33,13.24,13.15
2004-09-09,13.24,632300.0,13.3,13.17,12.97
2004-09-10,13.15,698800.0,14.3,14.25,13.15
2004-09-13,14.4,1086300.0,15.5,15.2,14.4
2004-09-14,15.2,513000.0,16.09,15.91,15.0
2004-09-15,15.92,1036800.0,17.14,16.34,15.7
2004-09-16,16.35,629600.0,16.49,16.26,16.06
2004-09-17,16.2,1121900.0,16.21,15.67,14.84
2004-09-20,15.75,149300.0,16.1,16.01,15.69
2004-09-21,16.05,581800.0,16.9,16.36,16.05
2004-09-22,16.3,519200.0,16.3,16.07,15.81
2004-09-23,16.07,279400.0,16.07,15.71,15.65
2004-09-24,15.96,699000.0,16.85,16.04,15.8
2004-09-27,16.0,345000.0,16.07,15.59,15.51
2004-09-28,15.52,465700.0,15.54,15.0,14.77
2004-09-29,15.05,425100.0,15.87,15.75,15.05
2004-09-30,15.75,1130300.0,15.91,15.63,15.62
2004-10-01,15.63,653400.0,16.78,16.65,15.52
2004-10-04,17.15,788300.0,17.84,16.87,16.56
2004-10-05,16.88,340200.0,17.12,16.9,16.6
2004-10-06,16.9,358400.0,17.25,17.25,16.49
2004-10-07,17.9,1471800.0,18.82,18.5,17.61
2004-10-08,18.46,632100.0,18.46,17.62,17.47
2004-10-11,17.64,266200.0,18.35,18.18,17.6
2004-10-12,18.0,224300.0,18.39,18.39,17.67
2004-10-13,18.6,432000.0,19.23,18.5,18.41
2004-10-14,18.5,261800.0,18.75,17.99,17.85
2004-10-15,18.06,236700.0,18.24,17.98,17.6
2004-10-18,17.98,173200.0,17.98,17.98,17.98
2004-10-19,18.35,155600.0,18.44,18.23,18.12
2004-10-20,18.13,190200.0,18.26,18.15,17.9
2004-10-21,18.17,180400.0,18.68,18.4,18.04
2004-10-22,18.5,279200.0,18.58,17.4,17.25
2004-10-25,17.55,264000.0,18.36,18.15,17.55
2004-10-26,18.1,119200.0,18.45,18.45,17.79
2004-10-27,18.5,480700.0,19.59,19.27,18.15
2004-10-28,19.3,625200.0,20.6,20.15,19.0
2004-10-29,20.1,449900.0,20.32,20.32,19.41
2004-11-01,20.5,803400.0,22.0,21.7,20.4
