date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,8.25,2500.0,8.75,8.75,8.25
1998-01-05,8.75,3200.0,8.75,7.875,7.875
1998-01-06,7.75,10600.0,7.75,7.75,7.25
1998-01-07,7.75,3700.0,7.75,7.625,7.25
1998-01-08,7.625,82600.0,8.5,7.875,6.0
1998-01-09,8.75,15800.0,8.75,8.0,7.5
1998-01-12,7.625,50600.0,8.375,8.188,7.625
1998-01-13,8.0,6500.0,8.25,8.125,8.0
1998-01-14,8.75,3000.0,8.75,8.25,8.25
1998-01-15,7.875,6200.0,8.125,7.75,7.75
1998-01-16,7.75,6700.0,8.0,7.75,7.75
1998-01-20,8.0,7500.0,8.0,7.875,7.875
1998-01-21,8.25,5000.0,8.25,7.875,7.75
1998-01-22,7.938,17900.0,8.0,7.625,7.625
1998-01-23,7.625,152400.0,7.625,7.375,7.375
1998-01-26,7.375,6100.0,8.0,7.625,7.375
1998-01-27,8.125,50200.0,8.25,7.938,7.875
1998-01-28,8.25,4500.0,8.25,8.0,8.0
1998-01-29,8.25,3700.0,8.375,8.375,8.125
1998-01-30,8.5,1600.0,8.5,8.125,8.125
1998-02-02,8.625,7800.0,8.625,8.25,8.125
1998-02-03,8.5,800.0,8.5,8.25,8.25
1998-02-04,8.25,5800.0,8.375,8.25,8.25
1998-02-05,8.188,3200.0,8.313,8.313,8.188
1998-02-06,8.313,37400.0,8.375,8.375,8.25
1998-02-09,8.25,2000.0,8.25,8.125,8.125
1998-02-10,8.375,14400.0,8.375,8.375,8.0
1998-02-11,8.375,4400.0,8.375,8.375,8.125
1998-02-12,8.375,16300.0,8.375,8.125,8.125
1998-02-13,8.125,5500.0,8.375,8.375,8.0
1998-02-17,8.125,1400.0,8.375,8.25,8.125
1998-02-18,8.375,5300.0,8.375,8.125,8.125
1998-02-19,8.125,4200.0,8.125,8.125,8.125
1998-02-20,8.125,100.0,8.125,8.125,8.125
1998-02-23,8.125,6600.0,8.125,7.625,7.625
1998-02-24,7.625,1000.0,7.625,7.625,7.625
1998-02-25,7.625,3600.0,8.0,7.625,7.625
1998-02-26,7.625,4900.0,7.75,7.625,7.625
1998-02-27,7.625,0.0,7.625,7.625,7.625
1998-03-02,7.625,4700.0,8.0,7.75,7.625
1998-03-03,7.5,4100.0,7.5,7.375,7.375
1998-03-04,7.375,7900.0,7.375,7.0,7.0
1998-03-05,7.125,18800.0,7.125,6.375,6.375
1998-03-06,6.625,7900.0,6.875,6.75,6.438
1998-03-09,7.0,26300.0,7.0,6.625,6.5
1998-03-10,6.625,90100.0,6.625,6.125,6.0
1998-03-11,6.125,50700.0,6.625,6.625,6.0
1998-03-12,6.625,3700.0,6.75,6.25,6.0
1998-03-13,6.0,243700.0,6.5,6.375,6.0
1998-03-16,6.75,45800.0,6.75,6.125,6.125
1998-03-17,6.25,199600.0,6.375,6.063,6.0
1998-03-18,6.375,53300.0,6.5,6.5,6.125
1998-03-19,6.5,40000.0,6.625,6.5,6.375
1998-03-20,6.375,51600.0,7.0,6.875,6.375
1998-03-23,7.5,79400.0,7.5,6.781,6.625
1998-03-24,6.75,10100.0,7.375,7.0,6.75
1998-03-25,7.375,23000.0,7.375,6.75,6.625
1998-03-26,7.0,19200.0,7.0,6.5,6.25
1998-03-27,6.125,58000.0,6.875,6.25,6.0
1998-03-30,6.625,3400.0,6.625,6.375,6.375
1998-03-31,6.75,48700.0,7.25,7.25,6.75
1998-04-01,7.375,9200.0,7.375,6.875,6.875
1998-04-02,6.75,1500.0,6.75,6.75,6.75
1998-04-03,7.0,20700.0,7.5,7.5,6.75
1998-04-06,7.375,12400.0,7.375,7.25,7.0
1998-04-07,7.25,37600.0,7.25,7.0,6.75
1998-04-08,6.75,13300.0,6.875,6.813,6.75
1998-04-09,6.813,49100.0,7.0,7.0,6.75
1998-04-13,7.0,0.0,7.0,7.0,7.0
1998-04-14,7.0,13800.0,7.125,6.875,6.875
1998-04-15,7.25,16300.0,7.5,7.438,7.0
1998-04-16,7.5,37000.0,7.5,6.75,6.5
1998-04-17,6.938,10100.0,7.313,7.313,6.625
1998-04-20,7.375,96800.0,7.375,7.0,6.75
1998-04-21,6.75,58900.0,7.0,6.75,6.75
1998-04-22,7.25,169700.0,7.25,7.25,6.625
1998-04-23,7.0,2800.0,7.25,7.25,7.0
1998-04-24,7.25,400.0,7.25,7.0,7.0
1998-04-27,7.063,16300.0,7.125,7.0,6.75
1998-04-28,7.0,10500.0,7.0,6.938,6.875
1998-04-29,6.938,8000.0,6.938,6.938,6.875
1998-04-30,6.875,21300.0,6.938,6.875,6.875
1998-05-01,6.875,25300.0,6.875,6.75,6.688
1998-05-04,6.813,37700.0,7.0,7.0,6.75
1998-05-05,7.125,20800.0,7.125,7.0,6.875
1998-05-06,7.0,25700.0,7.0,6.875,6.875
1998-05-07,6.813,12600.0,7.0,7.0,6.75
1998-05-08,6.875,9000.0,7.063,6.938,6.813
1998-05-11,7.0,4800.0,7.0,6.875,6.875
1998-05-12,7.0,300.0,7.0,6.875,6.875
1998-05-13,7.0,6900.0,7.0,6.938,6.875
1998-05-14,6.875,4000.0,6.875,6.875,6.875
1998-05-15,6.875,2500.0,6.875,6.875,6.875
1998-05-18,6.875,7000.0,6.875,6.875,6.875
1998-05-19,6.875,900.0,7.0,6.875,6.875
1998-05-20,6.875,0.0,6.875,6.875,6.875
1998-05-21,6.875,3000.0,6.875,6.875,6.875
1998-05-22,6.938,8700.0,7.0,7.0,6.875
1998-05-26,6.875,8800.0,6.875,6.875,6.875
1998-05-27,6.813,11100.0,6.813,6.5,6.5
1998-05-28,6.5,2000.0,6.563,6.563,6.5
1998-05-29,6.563,5700.0,6.563,6.563,6.5
1998-06-01,6.75,7600.0,6.75,6.25,6.125
1998-06-02,6.5,9400.0,6.5,5.875,5.875
1998-06-03,5.875,6300.0,6.125,6.063,5.875
1998-06-04,6.125,1000.0,6.125,6.125,6.125
1998-06-05,6.125,2900.0,6.375,6.125,6.125
1998-06-08,6.125,1700.0,6.375,6.375,6.125
1998-06-09,6.125,600.0,6.25,6.25,6.125
1998-06-10,6.25,1400.0,6.25,6.25,6.25
1998-06-11,6.125,2500.0,6.25,6.125,6.125
1998-06-12,6.125,3800.0,6.125,5.875,5.875
1998-06-15,6.0,5100.0,6.0,5.75,5.75
1998-06-16,5.75,4800.0,5.75,5.75,5.75
1998-06-17,5.75,108000.0,5.75,5.75,5.625
1998-06-18,5.625,1500.0,5.625,5.625,5.625
1998-06-19,5.875,17100.0,5.875,5.75,5.625
1998-06-22,5.875,2500.0,5.875,5.625,5.625
1998-06-23,5.625,10000.0,5.625,5.625,5.5
1998-06-24,5.875,4600.0,5.875,5.75,5.75
1998-06-25,5.875,6700.0,5.875,5.875,5.75
1998-06-26,5.75,18400.0,5.75,5.75,5.625
1998-06-29,5.625,400.0,5.625,5.625,5.625
1998-06-30,5.75,5000.0,5.75,5.5,5.5
1998-07-01,5.5,3500.0,5.5,5.5,5.5
1998-07-02,5.5,2600.0,5.688,5.5,5.5
1998-07-06,5.5,4000.0,5.625,5.625,5.5
1998-07-07,5.625,2100.0,5.75,5.75,5.625
1998-07-08,5.75,4900.0,5.75,5.625,5.625
1998-07-09,5.625,2200.0,5.625,5.625,5.625
1998-07-10,5.5,4000.0,5.5,5.375,5.375
1998-07-13,5.375,0.0,5.375,5.375,5.375
1998-07-14,5.5,9900.0,5.5,5.375,5.375
1998-07-15,5.25,33300.0,5.438,4.875,4.875
1998-07-16,4.875,7300.0,4.875,4.875,4.875
1998-07-17,4.875,22600.0,5.0,4.625,4.625
1998-07-20,4.625,13500.0,4.75,4.5,4.5
1998-07-21,4.625,62100.0,4.875,4.0,4.0
1998-07-22,4.0,46400.0,4.063,4.063,4.0
1998-07-23,4.063,37400.0,4.063,4.0,4.0
1998-07-24,4.063,48500.0,4.063,3.75,3.625
1998-07-27,3.625,25800.0,3.688,3.25,3.25
1998-07-28,3.375,14900.0,3.375,3.375,3.25
1998-07-29,3.375,53400.0,3.375,3.125,2.875
1998-07-30,3.0,63400.0,3.5,3.375,3.0
1998-07-31,3.5,72000.0,3.563,3.5,3.438
1998-08-03,3.563,18400.0,3.563,3.5,3.313
1998-08-04,3.563,51000.0,3.563,3.0,2.813
1998-08-05,3.125,20400.0,3.125,2.813,2.813
1998-08-06,3.125,16400.0,3.125,2.875,2.813
1998-08-07,2.875,21000.0,2.938,2.875,2.813
1998-08-10,3.0,6200.0,3.0,2.938,2.875
1998-08-11,2.813,21200.0,3.0,3.0,2.75
1998-08-12,2.813,3000.0,3.0,3.0,2.75
1998-08-13,3.0,10400.0,3.25,3.25,3.0
1998-08-14,3.375,1300.0,3.375,3.125,3.125
1998-08-17,3.25,5000.0,3.25,3.25,3.25
1998-08-18,3.5,1900.0,3.5,3.25,3.25
1998-08-19,3.25,19900.0,3.5,3.5,3.25
1998-08-20,3.5,1300.0,3.5,3.375,3.375
1998-08-21,3.25,2400.0,3.25,3.25,3.25
1998-08-24,3.25,8000.0,3.5,3.125,3.125
1998-08-25,3.25,100.0,3.25,3.25,3.25
1998-08-26,3.313,2100.0,3.313,3.125,3.125
1998-08-27,3.25,9900.0,3.25,3.063,3.063
1998-08-28,3.063,50200.0,3.063,2.75,2.688
1998-08-31,2.75,36200.0,2.75,2.75,2.703
1998-09-01,2.688,19900.0,2.75,2.5,2.25
1998-09-02,2.625,16300.0,2.625,2.625,2.5
1998-09-03,2.563,3600.0,2.875,2.875,2.563
1998-09-04,3.0,25300.0,3.125,3.0,3.0
1998-09-08,3.375,2100.0,3.375,3.25,3.25
1998-09-09,3.125,29300.0,3.188,3.0,3.0
1998-09-10,3.188,16000.0,3.188,3.0,3.0
1998-09-11,3.0,0.0,3.0,3.0,3.0
1998-09-14,3.25,4100.0,3.25,3.125,3.125
1998-09-15,3.125,7200.0,3.125,3.0,3.0
1998-09-16,3.125,4300.0,3.125,3.0,3.0
1998-09-17,3.0,17600.0,3.0,3.0,3.0
1998-09-18,3.0,13000.0,3.0,2.938,2.938
1998-09-21,2.938,0.0,2.938,2.938,2.938
1998-09-22,3.125,6000.0,3.125,3.0,3.0
1998-09-23,3.0,2600.0,3.0,2.875,2.875
1998-09-24,2.875,6100.0,3.0,2.75,2.75
1998-09-25,2.75,5100.0,2.75,2.625,2.5
1998-09-28,2.75,8500.0,2.75,2.5,2.5
1998-09-29,2.625,100.0,2.625,2.625,2.625
1998-09-30,2.5,6300.0,2.75,2.75,2.5
1998-10-01,2.625,600.0,2.75,2.75,2.625
1998-10-02,2.625,25200.0,2.875,2.875,2.625
1998-10-05,2.75,1000.0,2.75,2.75,2.75
1998-10-06,2.688,13900.0,2.75,2.5,2.5
1998-10-07,2.625,6500.0,2.625,2.5,2.5
1998-10-08,2.5,10600.0,2.75,2.75,2.5
1998-10-09,2.75,88600.0,2.875,2.75,2.5
1998-10-12,2.813,78100.0,2.875,2.75,2.75
1998-10-13,2.813,32300.0,3.0,3.0,2.75
1998-10-14,2.969,101100.0,3.063,3.0,2.938
1998-10-15,3.0,20300.0,3.0,3.0,2.938
1998-10-16,3.063,43100.0,3.063,3.0,2.875
1998-10-19,3.0,15300.0,3.0,2.938,2.875
1998-10-20,3.0,10500.0,3.0,3.0,3.0
1998-10-21,3.0,10800.0,3.0,3.0,2.938
1998-10-22,3.0,103300.0,3.063,3.0,2.875
1998-10-23,3.0,5200.0,3.063,3.063,3.0
1998-10-26,3.063,14100.0,3.063,3.0,3.0
1998-10-27,3.188,38900.0,3.188,2.938,2.875
1998-10-28,2.75,31600.0,2.938,2.75,2.75
1998-10-29,2.875,1700.0,2.875,2.75,2.75
1998-10-30,2.75,12800.0,2.875,2.75,2.75
1998-11-02,2.813,33200.0,2.938,2.938,2.75
1998-11-03,3.063,25100.0,3.063,3.0,2.969
1998-11-04,3.063,59300.0,3.125,3.0,2.938
1998-11-05,3.063,18400.0,3.125,3.063,3.0
1998-11-06,3.125,16800.0,3.125,3.063,2.938
1998-11-09,3.063,37000.0,3.188,3.063,3.0
1998-11-10,3.0,23700.0,3.063,3.0,2.813
1998-11-11,3.063,17200.0,3.063,3.0,2.938
1998-11-12,3.063,14800.0,3.063,3.0,2.938
1998-11-13,2.938,40200.0,3.0,2.875,2.875
1998-11-16,3.0,39800.0,3.0,2.938,2.906
1998-11-17,3.0,43600.0,3.125,3.0,2.875
1998-11-18,3.125,19300.0,3.125,2.875,2.875
1998-11-19,3.0,51000.0,3.0,2.938,2.813
1998-11-20,2.938,31500.0,2.938,2.625,2.625
1998-11-23,2.688,37700.0,2.688,2.656,2.563
1998-11-24,2.688,7200.0,2.688,2.625,2.625
1998-11-25,2.625,15100.0,2.625,2.625,2.625
1998-11-27,2.625,2200.0,2.625,2.5,2.5
1998-11-30,2.563,30200.0,2.563,2.375,2.313
1998-12-01,2.438,49400.0,2.563,2.438,2.438
1998-12-02,2.563,5600.0,2.563,2.531,2.5
1998-12-03,2.469,6900.0,2.469,2.25,2.25
1998-12-04,2.375,14400.0,2.5,2.25,2.125
1998-12-07,2.063,139400.0,2.25,1.719,1.063
1998-12-08,1.75,53800.0,1.938,1.938,1.625
1998-12-09,1.781,22500.0,2.0,1.813,1.625
1998-12-10,1.844,13800.0,1.938,1.844,1.844
