date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,56.63,7142267.0,58.38,58.06,55.63
1998-01-05,58.13,11792467.0,59.13,57.94,56.75
1998-01-06,57.25,9039000.0,58.38,57.19,56.13
1998-01-07,56.88,12362467.0,56.88,55.5,54.94
1998-01-08,54.94,12657267.0,56.75,56.13,53.5
1998-01-09,55.38,13999000.0,56.13,54.25,53.88
1998-01-12,52.0,13087667.0,55.75,55.69,51.5
1998-01-13,56.0,10393200.0,56.44,56.0,55.13
1998-01-14,56.88,8698067.0,57.13,57.0,55.88
1998-01-15,56.75,8331867.0,58.25,57.44,56.56
1998-01-16,58.25,8095267.0,58.75,57.88,57.56
1998-01-20,58.31,9487200.0,59.5,59.5,58.13
1998-01-21,58.75,8710067.0,59.5,59.38,56.75
1998-01-22,58.56,7239800.0,59.19,57.75,57.56
1998-01-23,58.31,7794667.0,58.63,57.69,56.5
1998-01-26,57.94,6659067.0,58.0,56.63,55.81
1998-01-27,56.63,11252867.0,59.38,59.25,55.88
1998-01-28,59.88,17443667.0,62.38,61.88,59.69
1998-01-29,62.0,20851467.0,64.75,63.75,61.88
1998-01-30,64.31,8654800.0,64.38,63.06,62.75
1998-02-02,64.94,14033467.0,65.63,63.94,63.5
1998-02-03,63.94,14741200.0,64.81,63.0,62.13
1998-02-04,63.5,20847667.0,65.75,64.56,63.38
1998-02-05,65.75,12614000.0,66.19,64.38,64.38
1998-02-06,64.25,7841467.0,66.0,65.94,63.5
1998-02-09,66.38,9323867.0,66.38,64.0,63.38
1998-02-10,64.25,9740200.0,65.13,64.75,63.38
1998-02-11,65.06,5452800.0,65.13,64.88,64.06
1998-02-12,64.31,7530267.0,65.88,65.25,64.13
1998-02-13,64.94,5037200.0,65.81,64.88,64.5
1998-02-17,65.88,6943800.0,66.0,64.94,64.13
1998-02-18,64.63,7425800.0,65.63,65.5,64.5
1998-02-19,65.75,7295400.0,66.25,65.44,65.38
1998-02-20,65.88,8516667.0,66.13,65.81,64.69
1998-02-23,66.38,6374467.0,66.5,65.63,65.19
1998-02-24,65.88,9679067.0,66.94,64.75,64.75
1998-02-25,65.38,8602467.0,66.94,66.75,64.81
1998-02-26,66.44,7790600.0,66.63,66.5,65.75
1998-02-27,67.13,9739867.0,68.5,65.88,65.88
1998-03-02,66.88,7527800.0,67.25,65.25,64.5
1998-03-03,64.31,8762267.0,65.0,64.5,63.38
1998-03-04,64.56,6529400.0,65.5,65.25,64.31
1998-03-05,63.38,17064000.0,64.63,61.81,61.13
1998-03-06,62.56,10723067.0,64.5,64.38,61.94
1998-03-09,63.69,10215800.0,64.44,61.22,61.13
1998-03-10,62.75,14756200.0,62.88,61.38,60.0
1998-03-11,62.44,12638200.0,64.25,62.63,62.03
1998-03-12,63.25,7891067.0,64.13,63.94,62.5
1998-03-13,64.75,6882667.0,65.25,64.56,64.13
1998-03-16,64.81,5587400.0,64.94,64.38,63.88
1998-03-17,64.44,9003000.0,64.94,64.56,62.88
1998-03-18,63.25,9581467.0,64.5,63.56,63.13
1998-03-19,63.63,7557267.0,64.44,64.31,63.13
1998-03-20,64.38,7166267.0,64.38,63.63,63.5
1998-03-23,63.44,11766400.0,65.88,64.75,63.38
1998-03-24,65.88,14306800.0,68.19,67.81,65.75
