date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,54.0,404700.0,54.0,53.75,53.0
1998-01-05,53.75,806600.0,54.06,54.06,53.62
1998-01-06,53.81,554800.0,54.94,54.5,53.75
1998-01-07,54.5,527700.0,54.94,54.75,53.75
1998-01-08,54.94,448700.0,55.0,54.19,53.88
1998-01-09,54.06,603600.0,54.06,51.87,51.56
1998-01-12,51.75,316800.0,53.25,52.69,51.75
1998-01-13,52.88,213000.0,53.19,53.13,52.69
1998-01-14,53.25,196800.0,53.31,53.25,52.88
1998-01-15,53.5,495600.0,53.5,52.88,52.62
1998-01-16,53.0,535700.0,53.25,52.75,52.69
1998-01-20,53.0,610600.0,53.5,53.37,52.81
1998-01-21,53.0,823400.0,53.19,51.56,51.25
1998-01-22,50.56,746200.0,50.75,50.0,49.25
1998-01-23,49.88,493400.0,50.94,50.31,49.75
1998-01-26,50.56,446900.0,51.0,50.69,50.56
1998-01-27,50.62,585900.0,51.56,51.44,50.56
1998-01-28,51.25,284300.0,52.0,51.94,50.94
1998-01-29,51.81,311500.0,53.75,52.88,51.81
1998-01-30,52.88,447700.0,53.44,53.0,52.56
1998-02-02,53.5,216100.0,53.94,53.94,53.31
1998-02-03,54.0,348600.0,54.87,54.5,54.0
1998-02-04,54.25,376200.0,55.88,55.38,54.25
1998-02-05,56.0,537600.0,56.44,56.06,55.38
1998-02-06,56.13,618400.0,57.75,57.56,56.06
1998-02-09,57.56,461700.0,57.63,57.06,56.5
1998-02-10,57.12,451200.0,57.81,57.44,57.0
1998-02-11,57.38,341000.0,58.5,58.5,57.38
1998-02-12,58.38,383400.0,59.94,59.44,57.87
1998-02-13,58.38,302900.0,59.0,59.0,58.06
1998-02-17,58.88,376200.0,59.37,59.0,58.81
1998-02-18,59.0,545500.0,59.81,58.44,58.25
1998-02-19,58.38,347200.0,58.44,57.87,57.31
1998-02-20,57.75,435800.0,58.31,58.12,57.69
1998-02-23,58.12,229200.0,58.44,57.87,57.12
1998-02-24,57.75,200700.0,57.87,57.0,56.56
1998-02-25,56.37,433000.0,57.12,56.5,56.13
1998-02-26,56.25,396800.0,56.56,56.37,55.12
1998-02-27,56.37,330100.0,56.69,55.94,55.44
1998-03-02,56.25,343700.0,56.81,56.44,56.19
1998-03-03,56.56,635100.0,57.12,57.0,56.37
1998-03-04,56.75,623900.0,57.0,56.62,56.31
1998-03-05,56.44,747400.0,56.75,55.5,55.19
1998-03-06,55.75,870500.0,56.31,56.0,55.75
1998-03-09,55.75,934100.0,56.5,56.19,55.69
1998-03-10,56.44,370200.0,56.56,56.5,56.25
1998-03-11,56.37,655400.0,57.0,56.44,56.13
1998-03-12,56.44,275200.0,56.5,56.19,56.0
1998-03-13,56.25,604000.0,56.69,56.69,56.13
1998-03-16,56.81,390200.0,57.38,57.12,56.75
1998-03-17,57.38,361600.0,58.0,57.87,57.38
1998-03-18,57.81,344000.0,58.12,57.69,57.69
1998-03-19,59.0,248100.0,59.37,59.31,58.06
1998-03-20,60.31,728100.0,60.31,59.31,58.81
1998-03-23,58.5,376000.0,59.0,58.75,57.94
1998-03-24,58.75,441800.0,59.37,58.62,58.5
1998-03-25,58.56,610100.0,60.0,58.62,58.0
1998-03-26,58.38,308400.0,59.0,58.81,58.31
